,WaDESiteUUID,SiteNativeID,SiteName,USGSSiteID,SiteTypeCV,Longitude,Latitude,SitePoint,SiteNativeURL,Geometry,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,EPSGCodeCV,NHDNetworkStatusCV,NHDProductCV,NHDUpdateDate,NHDReachCode,NHDMeasureNumber,StateCV
0,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
1,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
2,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
3,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
4,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
5,,1,Not Provided,,PUMP,,,,,,,,,,,,,,,
6,,1,Not Provided,,PUMP,,,,,,,,,,,,,,,
7,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
8,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
9,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
10,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
11,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
12,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
13,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
14,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
15,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
16,,1,Not Provided,,DAM,,,,,,,,,,,,,,,
17,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
18,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
19,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
20,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
21,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
22,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
23,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
24,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
25,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
26,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
27,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
28,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
29,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
30,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
31,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
32,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
33,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
34,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
35,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
36,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
37,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
38,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
39,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
40,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
41,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
42,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
43,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
44,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
45,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
46,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
47,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
48,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
49,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
50,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
51,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
52,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
53,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
54,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
55,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
56,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
57,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
58,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
59,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
60,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
61,,1,Not Provided,,OTHER DIVERSION,,,,,,,,,,,,,,,
62,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
63,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
64,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
65,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
66,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
67,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
68,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
69,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
70,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
71,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
72,,1,Not Provided,,PUMP,,,,,,,,,,,,,,,
73,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
74,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
75,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
76,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
77,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
78,,1,Not Provided,,DEVELOPED SPRING,,,,,,,,,,,,,,,
79,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
80,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
81,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
82,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
83,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
84,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
85,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
86,,1,Not Provided,,DEVELOPED SPRING,,,,,,,,,,,,,,,
87,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
88,,1,Not Provided,,PUMP,,,,,,,,,,,,,,,
89,,1,Not Provided,,PUMP,,,,,,,,,,,,,,,
90,,1,Not Provided,,PUMP,,,,,,,,,,,,,,,
91,,1,Not Provided,,PUMP,,,,,,,,,,,,,,,
92,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
93,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
94,,1,Not Provided,,DEVELOPED SPRING,,,,,,,,,,,,,,,
95,,1,Not Provided,,DEVELOPED SPRING,,,,,,,,,,,,,,,
96,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
97,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
98,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
99,,1,Not Provided,,DEVELOPED SPRING,,,,,,,,,,,,,,,
100,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
101,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
102,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
103,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
104,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
105,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
106,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
107,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
108,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
109,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
110,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
111,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
112,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
113,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
114,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
115,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
116,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
117,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
118,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
119,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
120,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
121,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
122,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
123,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
124,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
125,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
126,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
127,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
128,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
129,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
130,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
131,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
132,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
133,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
134,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
135,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
136,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
137,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
138,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
139,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
140,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
141,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
142,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
143,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
144,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
145,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
146,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
147,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
148,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
149,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
150,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
151,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
152,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
153,,1,Not Provided,,PUMP,,,,,,,,,,,,,,,
154,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
155,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
156,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
157,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
158,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
159,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
160,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
161,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
162,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
163,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
164,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
165,,1,Not Provided,,PUMP,,,,,,,,,,,,,,,
166,,1,Not Provided,,PUMP,,,,,,,,,,,,,,,
167,,1,Not Provided,,PUMP,,,,,,,,,,,,,,,
168,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
169,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
170,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
171,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
172,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
173,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
174,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
175,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
176,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
177,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
178,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
179,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
180,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
181,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
182,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
183,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
184,,1,Not Provided,,DAM,,,,,,,,,,,,,,,
185,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
186,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
187,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
188,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
189,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
190,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
191,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
192,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
193,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
194,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
195,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
196,,1,Not Provided,,PUMP,,,,,,,,,,,,,,,
197,,1,Not Provided,,PUMP,,,,,,,,,,,,,,,
198,,1,Not Provided,,PUMP,,,,,,,,,,,,,,,
199,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
200,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
201,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
202,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
203,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
204,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
205,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
206,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
207,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
208,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
209,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
210,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
211,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
212,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
213,,1,Not Provided,,FLOWING,,,,,,,,,,,,,,,
214,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
215,,1,Not Provided,,WELL,,,,,,,,,,,,,,,
