SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID,ReasonRemoved,index
MTwr_S302544,,MTwr_WS7334,Unspecified,Unspecified,PARK (YELLOWSTONE NATIONAL PARK),4326,,,101000000000.0,,45.06099542,-110.7837335,,,POD,Unspecified,552862,,INSTREAM,MT,,Bad County,302543.0
MTwr_S302545,,MTwr_WS7334,Unspecified,Unspecified,PARK (YELLOWSTONE NATIONAL PARK),4326,,,101000000000.0,,45.06282173,-110.7785747,,,POD,Unspecified,552857,,INSTREAM,MT,,Bad County,302544.0
MTwr_S302546,,MTwr_WS7334,Unspecified,Unspecified,PARK (YELLOWSTONE NATIONAL PARK),4326,,,101000000000.0,,45.06648305,-110.77341770000001,,,POD,Unspecified,552910,,INSTREAM,MT,,Bad County,302545.0
MTwr_S303878,,MTwr_WS7334,Unspecified,Unspecified,PARK (YELLOWSTONE NATIONAL PARK),4326,,,101000000000.0,,45.0619104,-110.78244209999998,,,POD,MIDDLE DITCH,552863,,DITCH,MT,,Bad County,303877.0
MTwr_S303879,,MTwr_WS7334,Unspecified,Unspecified,PARK (YELLOWSTONE NATIONAL PARK),4326,,,101000000000.0,,45.05823297,-110.7876061,,,POD,UPPER DITCH,552864,,DITCH,MT,,Bad County,303878.0
MTwr_S303880,,MTwr_WS7334,Unspecified,Unspecified,PARK (YELLOWSTONE NATIONAL PARK),4326,,,101000000000.0,,45.0619104,-110.78244209999998,,,POD,MIDDLE DITCH,552865,,DITCH,MT,,Bad County,303879.0
MTwr_S303881,,MTwr_WS7334,Unspecified,Unspecified,PARK (YELLOWSTONE NATIONAL PARK),4326,,,101000000000.0,,45.05823297,-110.7876061,,,POD,UPPER DITCH,552866,,DITCH,MT,,Bad County,303880.0
MTwr_S303882,,MTwr_WS7334,Unspecified,Unspecified,PARK (YELLOWSTONE NATIONAL PARK),4326,,,101000000000.0,,45.0619104,-110.78244209999998,,,POD,MIDDLE DITCH,552867,,DITCH,MT,,Bad County,303881.0
MTwr_S303883,,MTwr_WS7334,Unspecified,Unspecified,PARK (YELLOWSTONE NATIONAL PARK),4326,,,101000000000.0,,45.05823297,-110.7876061,,,POD,UPPER DITCH,552868,,DITCH,MT,,Bad County,303882.0
MTwr_S304859,,MTwr_WS7334,Unspecified,Unspecified,PARK (YELLOWSTONE NATIONAL PARK),4326,,,101000000000.0,,45.0619104,-110.78244209999998,,,POD,MIDDLE DITCH,552874,,DITCH,MT,,Bad County,304858.0
