,AllocationApplicationDate,AllocationAssociatedConsumptiveUseSiteIDs,AllocationAssociatedWithdrawalSiteIDs,AllocationBasisCV,AllocationChangeApplicationIndicator,AllocationCommunityWaterSupplySystem,AllocationCropDutyAmount,AllocationExpirationDate,AllocationFlow_CFS,AllocationLegalStatusCV,AllocationNativeID,AllocationOwner,AllocationPriorityDate,AllocationSDWISIdentifierCV,AllocationTimeframeEnd,AllocationTimeframeStart,AllocationTypeCV,AllocationVolume_AF,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,ExemptOfVolumeFlowPriority,GeneratedPowerCapacityMW,IrrigatedAcreage,IrrigationMethodCV,LegacyAllocationIDs,MethodUUID,OrganizationUUID,PopulationServed,PowerType,PrimaryUseCategory,SiteUUID,VariableSpecificUUID,WaterAllocationNativeURL,WaterSourceUUID,ReasonRemoved,index
0,,,,Unknown,,,,,,ACTIVE,39E 115378 00,"USA (DEPT OF INTERIOR BUREAU OF LAND MGMT),ERLEND LAIRD","2001-09-14,1955-09-10",,,,"STOCKWATER PERMIT,STATEMENT OF CLAIM",",2.3",STOCK,,,,11/20/2020,"http://wr.dnrc.mt.gov/reports/rwservlet?dnrcwr&report=WRD2090AR.rep&P_WRGT_ID_SEQ=203142,http://wr.dnrc.mt.gov/reports/rwservlet?dnrcwr&report=WRD2090AR.rep&P_WRGT_ID_SEQ=203141",1,,,,,"MT_Water Allocation App,MT_Water Allocation Adj",MDNRC,,,Irrigation,"MTwr_S347,MTwr_S346",MT_Consumptive Use,,"MTwr_WS21,MTwr_WS40",Bad WaterSourceUUID,333.0
1,,,,Unknown,,,,,,ACTIVE,39E 145303 00,"TALCOTT, KENNETH INC",1903-06-27,,,,STATEMENT OF CLAIM,313.0,IRRIGATION,,,,11/20/2020,http://wr.dnrc.mt.gov/reports/rwservlet?dnrcwr&report=WRD2090AR.rep&P_WRGT_ID_SEQ=230839,1,,298.0,,,MT_Water Allocation Adj,MDNRC,,,Irrigation,"MTwr_S898,MTwr_S897,MTwr_S901,MTwr_S899,MTwr_S903,MTwr_S896,MTwr_S902,MTwr_S906,MTwr_S905,MTwr_S904,MTwr_S907,MTwr_S900,MTwr_S895",MT_Consumptive Use,,"MTwr_WS103,MTwr_WS20",Bad WaterSourceUUID,814.0
2,,,,Unknown,,,,,,ACTIVE,39E 212432 00,"MONTANA, STATE OF BOARD OF LAND COMMISSIONERS",1903-06-27,,,,STATEMENT OF CLAIM,,IRRIGATION,,,,11/20/2020,http://wr.dnrc.mt.gov/reports/rwservlet?dnrcwr&report=WRD2090AR.rep&P_WRGT_ID_SEQ=317029,1,,15.0,,,MT_Water Allocation Adj,MDNRC,,,Irrigation,"MTwr_S1788,MTwr_S1790,MTwr_S1789",MT_Consumptive Use,,"MTwr_WS103,MTwr_WS20",Bad WaterSourceUUID,1574.0
3,,,,Unknown,,,,,,ACTIVE,39E 21355 00,TAUCK LAND & LIVESTOCK CO,1915-10-31,,,,STATEMENT OF CLAIM,263.0,IRRIGATION,,,,11/20/2020,http://wr.dnrc.mt.gov/reports/rwservlet?dnrcwr&report=WRD2090AR.rep&P_WRGT_ID_SEQ=46554,1,,263.0,,,MT_Water Allocation Adj,MDNRC,,,Irrigation,"MTwr_S1888,MTwr_S1890,MTwr_S1887,MTwr_S1889",MT_Consumptive Use,,"MTwr_WS27,MTwr_WS166",Bad WaterSourceUUID,1667.0
4,,,,Unknown,,,,,,ACTIVE,39E 21357 00,TAUCK LAND & LIVESTOCK CO,1914-09-14,,,,STATEMENT OF CLAIM,650.0,IRRIGATION,,,,11/20/2020,http://wr.dnrc.mt.gov/reports/rwservlet?dnrcwr&report=WRD2090AR.rep&P_WRGT_ID_SEQ=46558,1,,284.0,,,MT_Water Allocation Adj,MDNRC,,,Irrigation,"MTwr_S1894,MTwr_S1893,MTwr_S1892",MT_Consumptive Use,,"MTwr_WS103,MTwr_WS20",Bad WaterSourceUUID,1669.0
5,,,,Unknown,,,,,,ACTIVE,39E 23843 00,"TAUCK, LYLE H & SONS INC",1909-04-21,,,,STATEMENT OF CLAIM,260.0,IRRIGATION,,,,11/20/2020,http://wr.dnrc.mt.gov/reports/rwservlet?dnrcwr&report=WRD2090AR.rep&P_WRGT_ID_SEQ=50870,1,,258.0,,,MT_Water Allocation Adj,MDNRC,,,Irrigation,"MTwr_S1915,MTwr_S1917,MTwr_S1916",MT_Consumptive Use,,"MTwr_WS103,MTwr_WS20",Bad WaterSourceUUID,1688.0
6,,,,Unknown,,,,,",0.01",ACTIVE,39E 28237 00,"THEODORE L BALDICK, VIRGINIA L BALDICK,ROBERT E DYE","1980-07-21,1925-12-31",,,,"GROUND WATER CERTIFICATE,STATEMENT OF CLAIM",",1.58",STOCK,,,,11/20/2020,"http://wr.dnrc.mt.gov/reports/rwservlet?dnrcwr&report=WRD2090AR.rep&P_WRGT_ID_SEQ=58499,http://wr.dnrc.mt.gov/reports/rwservlet?dnrcwr&report=WRD2090AR.rep&P_WRGT_ID_SEQ=58500",1,,,,,"MT_Water Allocation App,MT_Water Allocation Adj",MDNRC,,,Irrigation,"MTwr_S2064,MTwr_S2063",MT_Consumptive Use,,"MTwr_WS57,MTwr_WS2",Bad WaterSourceUUID,1819.0
7,,,,Unknown,,,,,2.22,ACTIVE,39E 36247 00,"JACK R OWENS, ROSINA L OWENS",1981-09-04,,,,PROVISIONAL PERMIT,60.0,IRRIGATION,,,,11/20/2020,http://wr.dnrc.mt.gov/reports/rwservlet?dnrcwr&report=WRD2090AR.rep&P_WRGT_ID_SEQ=72434,1,,35.0,,,MT_Water Allocation App,MDNRC,,,Irrigation,"MTwr_S2397,MTwr_S2398",MT_Consumptive Use,,"MTwr_WS36,MTwr_WS186",Bad WaterSourceUUID,2091.0
8,,,,Unknown,,,,,"0.02,",ACTIVE,39F 16177 00,"ERNEST R MELUM,USA (DEPT OF INTERIOR BUREAU OF LAND MGMT)","1977-11-09,1950-12-31",,,,"GROUND WATER CERTIFICATE,STATEMENT OF CLAIM",",1.5",STOCK,,,,11/20/2020,"http://wr.dnrc.mt.gov/reports/rwservlet?dnrcwr&report=WRD2090AR.rep&P_WRGT_ID_SEQ=37543,http://wr.dnrc.mt.gov/reports/rwservlet?dnrcwr&report=WRD2090AR.rep&P_WRGT_ID_SEQ=37542",1,,,,,"MT_Water Allocation App,MT_Water Allocation Adj",MDNRC,,,Irrigation,"MTwr_S4077,MTwr_S4076",MT_Consumptive Use,,"MTwr_WS240,MTwr_WS2",Bad WaterSourceUUID,3646.0
9,,,,Unknown,,,,,,ACTIVE,39F 174388 00,LITTLE MISSOURI RIVER RANCH LLC,1900-08-10,,,,STATEMENT OF CLAIM,368.0,IRRIGATION,,,,11/20/2020,http://wr.dnrc.mt.gov/reports/rwservlet?dnrcwr&report=WRD2090AR.rep&P_WRGT_ID_SEQ=256034,1,,184.0,,,MT_Water Allocation Adj,MDNRC,,,Irrigation,"MTwr_S4383,MTwr_S4382",MT_Consumptive Use,,"MTwr_WS241,MTwr_WS293",Bad WaterSourceUUID,3901.0
