WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
MTwr_WS1,,,Fresh,UNNAMED TRIBUTARY OF SOUTH INDIAN CREEK,WaDEMT_WS1,Surface Water
MTwr_WS2,,,Fresh,GROUNDWATER,WaDEMT_WS2,Groundwater
MTwr_WS3,,,Fresh,UNNAMED TRIBUTARY OF WATSON DRAW,WaDEMT_WS3,Surface Water
MTwr_WS4,,,Fresh,UNNAMED TRIBUTARY OF EASTER CREEK,WaDEMT_WS4,Surface Water
MTwr_WS5,,,Fresh,UNNAMED TRIBUTARY OF UNNAMED TRIBUTARY OF SOUTH FORK OWL CREEK,WaDEMT_WS5,Surface Water
MTwr_WS6,,,Fresh,UNNAMED TRIBUTARY OF OWL CREEK,WaDEMT_WS6,Surface Water
MTwr_WS7,,,Fresh,FROZEN HORSE CREEK,WaDEMT_WS7,Surface Water
MTwr_WS8,,,Fresh,SOUTH INDIAN CREEK,WaDEMT_WS8,Surface Water
MTwr_WS9,,,Fresh,"SPRING, UNNAMED TRIBUTARY OF SOUTH INDIAN CREEK",WaDEMT_WS9,Groundwater
MTwr_WS10,,,Fresh,WATSON DRAW,WaDEMT_WS10,Surface Water
MTwr_WS11,,,Fresh,OWL CREEK,WaDEMT_WS11,Surface Water
MTwr_WS12,,,Fresh,LONE TREE CREEK,WaDEMT_WS12,Surface Water
MTwr_WS13,,,Fresh,UNNAMED TRIBUTARY OF FROZEN HORSE CREEK,WaDEMT_WS13,Surface Water
MTwr_WS14,,,Fresh,POCOCHECIE CREEK,WaDEMT_WS14,Surface Water
MTwr_WS15,,,Fresh,UNNAMED TRIBUTARY OF BEAN BLOSSOM CREEK,WaDEMT_WS15,Surface Water
MTwr_WS16,,,Fresh,"UNNAMED TRIBUTARY OF OWL CREEK, SOUTH FORK",WaDEMT_WS16,Surface Water
MTwr_WS17,,,Fresh,UNNAMED TRIBUTARY OF CROW CREEK,WaDEMT_WS17,Surface Water
MTwr_WS18,,,Fresh,UNNAMED TRIBUTARY OF POWDER RIVER,WaDEMT_WS18,Surface Water
MTwr_WS19,,,Fresh,UNNAMED TRIBUTARY OF SOUTH CREEK,WaDEMT_WS19,Surface Water
MTwr_WS20,,,Fresh,UNNAMED TRIBUTARY OF BOXELDER CREEK,WaDEMT_WS20,Surface Water
MTwr_WS21,,,Fresh,UNNAMED TRIBUTARY OF CABIN CREEK,WaDEMT_WS21,Surface Water
MTwr_WS22,,,Fresh,UNNAMED TRIBUTARY OF UNNAMED TRIBUTARY OF NORTH FORK WHITETAIL CREEK,WaDEMT_WS22,Surface Water
MTwr_WS23,,,Fresh,UNNAMED TRIBUTARY OF BOX ELDER CREEK,WaDEMT_WS23,Surface Water
MTwr_WS24,,,Fresh,UNNAMED TRIBUTARY OF SKULL CREEK,WaDEMT_WS24,Surface Water
MTwr_WS25,,,Fresh,UNNAMED TRIBUTARY OF DEAD BOY CREEK,WaDEMT_WS25,Surface Water
MTwr_WS26,,,Fresh,UNNAMED TRIBUTARY OF LONE TREE CREEK,WaDEMT_WS26,Surface Water
MTwr_WS27,,,Fresh,UNNAMED TRIBUTARY OF L O CREEK,WaDEMT_WS27,Surface Water
MTwr_WS28,,,Fresh,UNNAMED TRIBUTARY OF EAST L O CREEK,WaDEMT_WS28,Surface Water
MTwr_WS29,,,Fresh,UNNAMED TRIBUTARY OF MIDDLE CREEK,WaDEMT_WS29,Surface Water
MTwr_WS30,,,Fresh,UNNAMED TRIBUTARY OF TIMBER CREEK,WaDEMT_WS30,Surface Water
MTwr_WS31,,,Fresh,UNNAMED TRIBUTARY OF MUSKRAT CREEK,WaDEMT_WS31,Surface Water
MTwr_WS32,,,Fresh,SPEELMON CREEK,WaDEMT_WS32,Surface Water
MTwr_WS33,,,Fresh,UNNAMED TRIBUTARY OF SPEELMON CREEK,WaDEMT_WS33,Surface Water
MTwr_WS34,,,Fresh,UNNAMED TRIBUTARY OF BIG RAMME CREEK,WaDEMT_WS34,Surface Water
MTwr_WS35,,,Fresh,"SPRING, UNNAMED TRIBUTARY OF BOXELDER CREEK",WaDEMT_WS35,Groundwater
MTwr_WS36,,,Fresh,BOXELDER CREEK,WaDEMT_WS36,Surface Water
MTwr_WS37,,,Fresh,SKULL CREEK,WaDEMT_WS37,Surface Water
MTwr_WS38,,,Fresh,UNNAMED TRIBUTARY OF HORSE CREEK,WaDEMT_WS38,Surface Water
MTwr_WS39,,,Fresh,UNNAMED TRIBUTARY OF COAL CREEK,WaDEMT_WS39,Surface Water
MTwr_WS40,,,Fresh,UNNAMED TRIBUTARY OF CORRAL CREEK,WaDEMT_WS40,Surface Water
MTwr_WS41,,,Fresh,HORSE CREEK,WaDEMT_WS41,Surface Water
MTwr_WS42,,,Fresh,BUFFALO CREEK,WaDEMT_WS42,Surface Water
MTwr_WS43,,,Fresh,UNNAMED TRIBUTARY OF SCHULTZ CREEK,WaDEMT_WS43,Surface Water
MTwr_WS44,,,Fresh,UNNAMED TRIBUTARY OF BUFFALO CREEK,WaDEMT_WS44,Surface Water
MTwr_WS45,,,Fresh,UNNAMED TRIBUTARY OF CATAMOUNT CREEK,WaDEMT_WS45,Surface Water
MTwr_WS46,,,Fresh,DEADBOY CREEK,WaDEMT_WS46,Surface Water
MTwr_WS47,,,Fresh,HORSETRACK DRAW,WaDEMT_WS47,Surface Water
MTwr_WS48,,,Fresh,UNNAMED TRIBUTARY OF UNNAMED TRIBUTARY OF WEST FORK BOXELDER CREEK,WaDEMT_WS48,Surface Water
MTwr_WS49,,,Fresh,UNNAMED TRIBUTARY OF FOSTER DRAW,WaDEMT_WS49,Surface Water
MTwr_WS50,,,Fresh,SOUTH CREEK,WaDEMT_WS50,Surface Water
MTwr_WS51,,,Fresh,UNNAMED TRIBUTARY OF CHITO CREEK,WaDEMT_WS51,Surface Water
MTwr_WS52,,,Fresh,UNNAMED TRIBUTARY OF SPRING CREEK,WaDEMT_WS52,Surface Water
MTwr_WS53,,,Fresh,UNNAMED TRIBUTARY OF EWALT DRAW,WaDEMT_WS53,Surface Water
MTwr_WS54,,,Fresh,UNNAMED TRIBUTARY OF MCCARTY CREEK,WaDEMT_WS54,Surface Water
MTwr_WS55,,,Fresh,UNNAMED TRIBUTARY OF SAND CREEK,WaDEMT_WS55,Surface Water
MTwr_WS56,,,Fresh,"SPRING, UNNAMED TRIBUTARY OF SAND CREEK",WaDEMT_WS56,Groundwater
MTwr_WS57,,,Fresh,UNNAMED TRIBUTARY OF TRAIL CREEK,WaDEMT_WS57,Surface Water
MTwr_WS58,,,Fresh,SODA CREEK,WaDEMT_WS58,Surface Water
MTwr_WS59,,,Fresh,UNNAMED TRIBUTARY OF STEEP CREEK,WaDEMT_WS59,Surface Water
MTwr_WS60,,,Fresh,STEEP CREEK,WaDEMT_WS60,Surface Water
MTwr_WS61,,,Fresh,UNNAMED TRIBUTARY OF PARK CREEK,WaDEMT_WS61,Surface Water
MTwr_WS62,,,Fresh,"SPRING, UNNAMED TRIBUTARY OF UNNAMED TRIBUTARY OF EAST FORK GROAT CREEK",WaDEMT_WS62,Groundwater
MTwr_WS63,,,Fresh,NORTH SODA CREEK,WaDEMT_WS63,Surface Water
MTwr_WS64,,,Fresh,SPRING CREEK,WaDEMT_WS64,Surface Water
MTwr_WS65,,,Fresh,UNNAMED TRIBUTARY OF NORTH SODA CREEK,WaDEMT_WS65,Surface Water
MTwr_WS66,,,Fresh,"SPRING, UNNAMED TRIBUTARY OF NORTH SODA CREEK",WaDEMT_WS66,Groundwater
MTwr_WS67,,,Fresh,"SPRING, UNNAMED TRIBUTARY OF SPRING CREEK",WaDEMT_WS67,Groundwater
MTwr_WS68,,,Fresh,UNNAMED TRIBUTARY OF DEEP CREEK,WaDEMT_WS68,Surface Water
MTwr_WS69,,,Fresh,UNNAMED TRIBUTARY OF UNNAMED TRIBUTARY OF CLEAR FORK,WaDEMT_WS69,Surface Water
MTwr_WS70,,,Fresh,ALDRICH DRAW,WaDEMT_WS70,Surface Water
MTwr_WS71,,,Fresh,UNNAMED TRIBUTARY OF ALDRICH DRAW,WaDEMT_WS71,Surface Water
MTwr_WS72,,,Fresh,"WHITETAIL CREEK, MIDDLE FORK",WaDEMT_WS72,Surface Water
MTwr_WS73,,,Fresh,UNNAMED TRIBUTARY OF UNNAMED TRIBUTARY OF MIDDLE FORK WHITETAIL CREEK,WaDEMT_WS73,Surface Water
MTwr_WS74,,,Fresh,TRAIL CREEK,WaDEMT_WS74,Surface Water
MTwr_WS75,,,Fresh,DEEP CREEK,WaDEMT_WS75,Surface Water
MTwr_WS76,,,Fresh,CLEAR FORK,WaDEMT_WS76,Surface Water
MTwr_WS77,,,Fresh,EAST L O CREEK,WaDEMT_WS77,Surface Water
MTwr_WS78,,,Fresh,UNNAMED TRIBUTARY OF IKEY CREEK,WaDEMT_WS78,Surface Water
MTwr_WS79,,,Fresh,CORRAL CREEK,WaDEMT_WS79,Surface Water
MTwr_WS80,,,Fresh,FLAT CREEK,WaDEMT_WS80,Surface Water
