ReportingUnitUUID,ReportingUnitNativeID,ReportingUnitName,ReportingUnitTypeCV,ReportingUnitUpdateDate,ReportingUnitProductVersion,StateCV,EPSGCodeCV,Geometry
00-01-03,00-01-03,Curlew Valley,Subarea,,,UT,EPSG:4326,"MultiPolygon (((-112.58698667249979053 42.00091843694479365, -112.57918407174706488 41.98481663491538285, -112.58993740402473804 41.96127876356604247, -112.60527305388532682 41.96324915268129985, -112.60754533261548715 41.97096279741905533, -112.62013100905171825 41.95280497756958482, -112.59694925676456023 41.92230093513890665, -112.60123048139099922 41.91208743951030158, -112.65599007164303202 41.90685113995219524, -112.66337449800136028 41.91713293959812603, -112.68516299000637559 41.91903984385913873, -112.69509727541942823 41.91184205599422086, -112.70673223954085529 41.89575012646468366, -112.68433812461876187 41.88559021387803227, -112.6930488322100814 41.87981880474831797, -112.69744290406882214 41.85545604581707835, -112.71839963963626019 41.84794989907850749, -112.73984704897381448 41.82045123525174546, -112.76574295991768793 41.8056364375587961, -112.78575387392079676 41.78654991723889367, -112.79085674374744031 41.77098949547593065, -112.81856979201911884 41.76490037652162357, -112.83961988510397134 41.72881232707641885, -112.84179026999549933 41.69898672086622327, -112.86433131260126572 41.69573188041979961, -112.86432350110830214 41.6779763353624304, -112.88951709466253703 41.67782678103350236, -112.89614643078634515 41.67087727722262258, -112.88815552349072391 41.66710842856321051, -112.9281461192886411 41.64685695537843912, -113.01056358490303921 41.64295022910452815, -113.03219890665199898 41.67624402808480966, -113.02018336158521095 41.69450696283869462, -113.02739688692433617 41.71014366466631884, -113.01004988754009162 41.71005212806918649, -113.02359786332718272 41.7253950715019073, -113.01565943587466734 41.7328162783947576, -113.01920252699603964 41.7453833939635004, -113.03005973730464007 41.74924335962457889, -113.02817421849091772 41.77064702642054783, -113.01579278943205509 41.7796300787048267, -113.01350655473056861 41.79519704524618362, -113.01945317345004582 41.82233853225717723, -113.03061179031713834 41.83508251111150145, -113.02573082221864809 41.84534073234011942, -113.05056616269891379 41.86296176603318031, -113.04148804285210872 41.88271100369002653, -113.04787743856900306 41.90454368935053253, -113.06625803359081317 41.92405187451368676, -113.09016412065479074 41.93502115870840186, -113.11264155392797193 41.92567391256533682, -113.18027960999339143 41.93902923284080941, -113.19879776428381035 41.93776098126215857, -113.22797933160843797 41.91866918950275789, -113.26978890358435592 41.92006232434599156, -113.23983923384946593 41.93843467887753462, -113.23770000295807847 41.95282352704529671, -113.20383589666784019 41.97019203390769349, -113.17778055971614037 42.00082124395612482, -112.58698667249979053 42.00091843694479365)))"
000-01-03,000-01-03,Clear Creek,Subarea,,,UT,EPSG:4326,"MultiPolygon (((-113.17778055971614037 42.00082124395612482, -113.20383589666784019 41.97019203390769349, -113.23733877293308581 41.95317369986171485, -113.23983923384946593 41.93843467887753462, -113.25942494570929853 41.93101665238587827, -113.26161142513286961 41.92299581340371617, -113.34487086928319854 41.90135942892883492, -113.36109579914527501 41.90152011595532855, -113.37624966944353844 41.91304535974657597, -113.4007190744236766 41.90481584586080288, -113.42614676244977545 41.92608357009486753, -113.45802960305276486 41.92369730956634299, -113.48432570480474624 41.94043752028038341, -113.47375834628772395 41.97262221441769015, -113.45057772279871244 41.99980119987480975, -113.17778055971614037 42.00082124395612482)))"
00-07-02,00-07-02,Promontory Point,Subarea,,,UT,EPSG:4326,"MultiPolygon (((-112.36394480801827456 42.00018380865793688, -112.38128372964186497 41.98043355387035547, -112.36230899038618247 41.9575389653123878, -112.37538927009187262 41.93674231265257646, -112.36795397789140338 41.9262131195696881, -112.3832932524342425 41.91811534762670277, -112.38586834256230418 41.89564075655484743, -112.39676903085607762 41.8838816372701146, -112.36914312555923345 41.85052410163168446, -112.37205385092633492 41.84491562606692128, -112.35820303417689559 41.83636410932015792, -112.36048548400214031 41.80003323259430914, -112.34924933327835106 41.78705004444701387, -112.35940830154723358 41.7794047908828361, -112.34508256264547299 41.75793982012885408, -112.34943579248061951 41.74430982815214008, -112.34081482921007478 41.73013721353294159, -112.34103041499963638 41.68813159814339997, -112.37603931905174193 41.67078651523441124, -112.37508620691026806 41.62936526444892138, -112.39043477057830955 41.61784615586903868, -112.39696550091976235 41.58462616370444209, -112.38398199989134696 41.55791732637525371, -112.34647332924502905 41.51738988393715601, -112.35810160369526045 41.51595152262095922, -112.35505263023379996 41.47876718102026672, -112.38476458055852447 41.47215717425546444, -112.42146147123885669 41.44242346927711651, -112.41454948661585433 41.4077149645776359, -112.39748254646269743 41.39368433148234772, -112.4068666856440899 41.36750946496201919, -112.42027678453020201 41.3553576823021487, -112.40150876740722197 41.33800952749108149, -112.39978529927333284 41.31558211600383856, -112.37720353488482772 41.27470402550810746, -112.39435033146236265 41.26711226431157797, -112.40403398545784341 41.24901386080608745, -112.39625500581746564 41.23332206695565105, -112.40609349624439517 41.22100076489545728, -112.42245884265730638 41.21737431575469657, -112.43020767424089001 41.20379251913318797, -112.48601504008856011 41.21994022241020161, -112.50923197393450437 41.271999146226797, -112.50981294408114763 41.29925198298739986, -112.49880028055338244 41.3101948780354391, -112.49528064538159811 41.32889828672941235, -112.53334988929744043 41.34843394180285969, -112.5386700127806705 41.4061766122597561, -112.55389877084670047 41.43510072263175914, -112.59926046267916888 41.44883194619040268, -112.60903765550892786 41.44696141487448671, -112.59891583008567295 41.44150774025165163, -112.62170101089041907 41.42880172855003451, -112.62862182153700985 41.43598953195913026, -112.66402362303108475 41.43647186687122286, -112.67936346597176112 41.45413426973797044, -112.72461736256799725 41.47158821308079268, -112.74678798161149018 41.51119140506509808, -112.76105998666196228 41.51580661578366716, -112.76125364760474667 41.53747261440662442, -112.74112142369850176 41.56381396149622987, -112.74370089021969932 41.58791157202393407, -112.69197845222052479 41.59168639580087756, -112.68264130903266107 41.5990160936021951, -112.67810971384668051 41.62397433138058744, -112.68792023922661372 41.63202910623894581, -112.68945572351722717 41.64647652505863817, -112.65727423197948553 41.65976525488829196, -112.59869426009632321 41.66002938437369352, -112.59863696223412433 41.6713180275688444, -112.58011808408130605 41.68462808072310111, -112.58207855164786793 41.7043246000625345, -112.54768396076289605 41.73567254692392225, -112.54253144835136879 41.81772826549343591, -112.54957652387763289 41.82407251553011918, -112.54443440879509808 41.83772195411673778, -112.55200015345046438 41.84304983327564997, -112.54950913145847835 41.86444090425872133, -112.53775835967658736 41.87010548737924154, -112.53519491875897529 41.92302297301677783, -112.53964716742730445 41.9365323480843486, -112.56916995956760275 41.94225344664331345, -112.57097000165548195 41.95751992023813415, -112.56062080166374528 41.96521886923834899, -112.58698667249979053 42.00091843694479365, -112.36394480801827456 42.00018380865793688)))"
000-01-02,000-01-02,Yost,Subarea,,,UT,EPSG:4326,"MultiPolygon (((-113.45057772279871244 41.99980119987480975, -113.47375834628772395 41.97262221441769015, -113.48432570480474624 41.94043752028038341, -113.45802960305276486 41.92369730956634299, -113.42614676244977545 41.92608357009486753, -113.40455864415946508 41.90707303880805767, -113.4732755012019112 41.89217359916734296, -113.48651914576579713 41.87922949589997756, -113.53908934562214483 41.86408208129309116, -113.56181010093744987 41.8614279814923691, -113.59367938336789905 41.87436817906829845, -113.66953180254088807 41.87621482315710608, -113.6743614492950627 41.89535206286171842, -113.70803861511046762 41.90792734626524663, -113.72836912340996207 41.94639717789351607, -113.69550765272963133 41.96699832108903649, -113.71126418467966346 41.98258191611100187, -113.70420217163479037 41.99827080954270286, -113.45057772279871244 41.99980119987480975)))"
000-02-00,000-02-00,Goose Creek,Subarea,,,UT,EPSG:4326,"MultiPolygon (((-113.86093649361625069 41.99704463664905063, -113.81920324496729791 41.94816391994817906, -113.83405717014281322 41.93833930443781099, -113.84467380462137953 41.94153775371452042, -113.86905966328160389 41.92346638369615874, -113.86569487465776263 41.89126175624356563, -113.88313432847088791 41.88228683614291725, -113.89009726808727407 41.86337028008767192, -113.94443468235053274 41.84233803888717063, -113.93442788934574139 41.82996657167900878, -113.94204281453244221 41.82147446725105766, -113.94168781513117494 41.80150477895941208, -113.95628727808471581 41.79852778016694259, -113.9586520061547219 41.79020604793799976, -114.00157381841003712 41.80133747336689254, -114.00363672260762371 41.7924040948768365, -114.02226056871381843 41.78256274277812565, -114.03880624064424865 41.7907364220774511, -114.03907259330922841 41.9953909047461309, -113.86093649361625069 41.99704463664905063)))"
000-01-01,000-01-01,Lynn,Subarea,,,UT,EPSG:4326,"MultiPolygon (((-113.70420217163479037 41.99827080954270286, -113.71126418467966346 41.98258191611100187, -113.69550765272963133 41.96699832108903649, -113.72798016836209456 41.94745483309809231, -113.71887327325849526 41.92142918703903121, -113.69615079771988064 41.90054203702740665, -113.6743614492950627 41.89535206286171842, -113.67034386116981182 41.8766182354060561, -113.63558727610843846 41.87252369492068738, -113.63985471763359669 41.86111712541349306, -113.67011591700357087 41.85362682300986137, -113.67517744493954979 41.8199004931395848, -113.66865944507264885 41.80499172709959765, -113.68295654389653748 41.79641489104117369, -113.67303373354552321 41.78874618013108488, -113.67638453231461426 41.7725507224129089, -113.69098143437076942 41.77049213867106658, -113.70952411072913435 41.74984328992265148, -113.72679960882945238 41.75786296636757555, -113.73700357310767117 41.77957676337533854, -113.75175067774335957 41.78929097134548698, -113.77193928136804857 41.82354980809360967, -113.76802116342201998 41.83017046908324943, -113.78013366497651759 41.85616715126033682, -113.79361007254522065 41.85155970137687831, -113.84269943622541632 41.86840024660310178, -113.86175959588489093 41.88282813915215286, -113.86209166541735271 41.90371893804729808, -113.87272359433492852 41.91602969073369422, -113.84467380462137953 41.94153775371452042, -113.83405717014281322 41.93833930443781099, -113.81920324496729791 41.94816391994817906, -113.86093649361625069 41.99704463664905063, -113.70420217163479037 41.99827080954270286)))"
00-07-01,00-07-01,Hansel Valley,Subarea,,,UT,EPSG:4326,"MultiPolygon (((-112.76105998666196228 41.51580661578366716, -112.78235899211487947 41.54025765571404349, -112.78105008335907655 41.5508158645327299, -112.79924335818850523 41.56098469049548072, -112.78397598898028775 41.56654160695456568, -112.7834494517141195 41.58339321866272087, -112.76021507576719216 41.60720056760116137, -112.77443400343466351 41.61834548758617558, -112.789475826651028 41.61737354203085459, -112.75466467765394896 41.62652494153860516, -112.73929472138208041 41.64788418850238827, -112.79063018031115462 41.68833397875411606, -112.84346970626465634 41.70138415366452733, -112.83961988510397134 41.72881232707641885, -112.81856979201911884 41.76490037652162357, -112.79085674374744031 41.77098949547593065, -112.78575387392079676 41.78654991723889367, -112.76574295991768793 41.8056364375587961, -112.73984704897381448 41.82045123525174546, -112.71839963963626019 41.84794989907850749, -112.69744290406882214 41.85545604581707835, -112.6930488322100814 41.87981880474831797, -112.68433812461876187 41.88559021387803227, -112.70673223954085529 41.89575012646468366, -112.69509727541942823 41.91184205599422086, -112.68516299000637559 41.91903984385913873, -112.66337449800136028 41.91713293959812603, -112.65599007164303202 41.90685113995219524, -112.60260351290628478 41.91072123602601351, -112.59694925676456023 41.92230093513890665, -112.61751527096797076 41.94181044218639443, -112.61866040441510961 41.95843836964084517, -112.60713599775209559 41.97099914227810302, -112.60527305388532682 41.96324915268129985, -112.5918118263701615 41.95968124170927638, -112.57918407174706488 41.98481663491538285, -112.56062080166374528 41.96521886923834899, -112.57097000165548195 41.95751992023813415, -112.56916995956760275 41.94225344664331345, -112.53964716742730445 41.9365323480843486, -112.53491398361963149 41.92110710463438039, -112.53775835967658736 41.87010548737924154, -112.54950913145847835 41.86444090425872133, -112.55200015345046438 41.84304983327564997, -112.54443440879509808 41.83772195411673778, -112.54957652387763289 41.82407251553011918, -112.54253144835136879 41.81772826549343591, -112.54768396076289605 41.73567254692392225, -112.58207855164786793 41.7043246000625345, -112.58011808408130605 41.68462808072310111, -112.59863696223412433 41.6713180275688444, -112.59869426009632321 41.66002938437369352, -112.65727423197948553 41.65976525488829196, -112.68945572351722717 41.64647652505863817, -112.68792023922661372 41.63202910623894581, -112.67810971384668051 41.62397433138058744, -112.68193966841762688 41.6001920155571554, -112.69197845222052479 41.59168639580087756, -112.74370089021969932 41.58791157202393407, -112.74112142369850176 41.56381396149622987, -112.76125364760474667 41.53747261440662442, -112.76105998666196228 41.51580661578366716)))"
00-01-02,00-01-02,Park Valley,Subarea,,,UT,EPSG:4326,"MultiPolygon (((-113.01056358490303921 41.64295022910452815, -113.02819967370204779 41.62395550880737716, -113.02708908143601718 41.60147480742129744, -113.03633967203273869 41.59882341052019683, -113.02718013502158101 41.5897774020662041, -113.04055111680118273 41.58376436280722288, -113.01720545585462219 41.57036452853681396, -113.03685824622492362 41.56321202968456419, -113.02147352954871451 41.54970023386814404, -113.07269471895496338 41.51375612004363802, -113.0564374147766955 41.46904231274612584, -113.03794824580172929 41.45005920912913666, -113.00625314039673697 41.43786239070795574, -113.02804169011984925 41.42103892685604194, -113.00933484121604522 41.38758268506072824, -113.00147773429021925 41.3138074763729648, -113.03230239139203661 41.28774430330975775, -113.0061126807309364 41.25929661581510288, -112.97118656201486431 41.24749099264176522, -112.95396807201358058 41.24560893040010967, -112.95308632801223325 41.27245644937786295, -112.90248599365797588 41.25033903600792939, -112.88570586733369794 41.25623549767161791, -112.86306303149042662 41.24570589318542346, -112.87742171858828044 41.23910170813462628, -112.87206657248687236 41.22681859730498388, -112.88364507088854793 41.22508677745765482, -112.85300483082446021 41.22330968448130761, -112.89633115238270022 41.14408866325262437, -112.88128710919657749 41.11653716447534634, -112.88644756633863153 41.10705192932143603, -112.87915226416416203 41.0852004741524155, -112.88907018207846988 41.07714591624342404, -112.90880308455454895 41.01961195341359456, -112.93628022081870199 41.02163675736767345, -112.95465725922403522 41.03609776734433723, -112.99709793661253343 41.03074434052108899, -112.98602466924229759 41.06233691698013644, -112.99762510262243609 41.06203100621156921, -113.00427548220079643 41.07588962247562137, -112.99532546457481885 41.09438948380427092, -113.01235010724980157 41.12228779740595286, -113.00837147157567131 41.13634168551161707, -113.01522948412784331 41.14290590391851055, -112.99879470222460043 41.17049358805287795, -113.00853390431412038 41.17402398168082556, -113.07535671816077638 41.15584681677626122, -113.17933961147137722 41.16473487210958382, -113.20946030135942806 41.17516751134849784, -113.21974181498863743 41.19006795461171322, -113.22814436320294362 41.18496434320808675, -113.2502205190436797 41.22682830150928623, -113.26526520574260815 41.23674349490636359, -113.32625092502001962 41.24670248012402851, -113.34379805903344618 41.2377687636736141, -113.350037746640254 41.2154003880708828, -113.3624038512537453 41.20899996992200442, -113.37238976334541007 41.21512739478324505, -113.36967897875983624 41.22256123634485192, -113.39013936066719168 41.2545435890749701, -113.39922886596352214 41.24842021476901976, -113.43713135383835322 41.26661470047094582, -113.45881644947665734 41.26431086951014748, -113.46941548524290511 41.25366281069219809, -113.4720768997834881 41.28077264148027581, -113.42841332551529376 41.29412769555803209, -113.44829168450374368 41.3099595004877358, -113.48476437782829862 41.30858878793307554, -113.50677924313117728 41.29001318148419841, -113.53279889812033332 41.30045218535344986, -113.56900668426084167 41.29247096939361938, -113.57622636002163574 41.34646505302862352, -113.60497975029366557 41.37265426634367316, -113.60739523944540963 41.3938307769503453, -113.59332746875905684 41.42743159302163747, -113.59924521629321248 41.46136473497614361, -113.62346139678093948 41.50631915969631791, -113.6339469347175708 41.51286592387587859, -113.62998131631616161 41.51890449111355963, -113.65968608680903174 41.53568292460843026, -113.72348796710231511 41.54337715737101178, -113.74287171290382048 41.55312243746541156, -113.7560524314913124 41.54932394650882088, -113.75984871385509223 41.55904095391502295, -113.74106924548254938 41.58234217756736228, -113.75455653310297066 41.6151533529914559, -113.75103881999811506 41.65070945215343556, -113.74152447817758116 41.66000724135892597, -113.74605636565513578 41.6705493006651011, -113.73550672260353167 41.68312884577157718, -113.74050973782318863 41.70596813520596413, -113.7154459205357 41.72581585979238383, -113.69926850812110786 41.76443195692301202, -113.67638453231461426 41.7725507224129089, -113.67303373354552321 41.78874618013108488, -113.68295654389653748 41.79641489104117369, -113.66865944507264885 41.80499172709959765, -113.67517744493954979 41.8199004931395848, -113.66880705150938979 41.85529540707838692, -113.63985471763359669 41.86111712541349306, -113.63947003303614736 41.8689468064733461, -113.6284646019554998 41.87341963804192346, -113.59367938336789905 41.87436817906829845, -113.56181010093744987 41.8614279814923691, -113.53908934562214483 41.86408208129309116, -113.48651914576579713 41.87922949589997756, -113.4732755012019112 41.89217359916734296, -113.40455864415946508 41.90707303880805767, -113.3917419318041766 41.90350205460551791, -113.37624966944353844 41.91304535974657597, -113.36109579914527501 41.90152011595532855, -113.34487086928319854 41.90135942892883492, -113.27921349845520638 41.91893757652222519, -113.23251842189212368 41.91781848590873949, -113.19879776428381035 41.93776098126215857, -113.11264155392797193 41.92567391256533682, -113.09016412065479074 41.93502115870840186, -113.0494741401347909 41.90808953181619501, -113.04148804285210872 41.88271100369002653, -113.05056616269891379 41.86296176603318031, -113.02573082221864809 41.84534073234011942, -113.03061179031713834 41.83508251111150145, -113.01945317345004582 41.82233853225717723, -113.01350655473056861 41.79519704524618362, -113.01579278943205509 41.7796300787048267, -113.02817421849091772 41.77064702642054783, -113.03005973730464007 41.74924335962457889, -113.01920252699603964 41.7453833939635004, -113.01565943587466734 41.7328162783947576, -113.02359786332718272 41.7253950715019073, -113.01004988754009162 41.71005212806918649, -113.02739688692433617 41.71014366466631884, -113.02018336158521095 41.69450696283869462, -113.03219890665199898 41.67624402808480966, -113.01056358490303921 41.64295022910452815)))"
00-01-01,00-01-01,Grouse Creek,Subarea,,,UT,EPSG:4326,"MultiPolygon (((-113.86569487465776263 41.89126175624356563, -113.84269943622541632 41.86840024660310178, -113.79361007254522065 41.85155970137687831, -113.78013366497651759 41.85616715126033682, -113.76802116342201998 41.83017046908324943, -113.77193928136804857 41.82354980809360967, -113.75175067774335957 41.78929097134548698, -113.73700357310767117 41.77957676337533854, -113.72679960882945238 41.75786296636757555, -113.70952411072913435 41.74984328992265148, -113.7154459205357 41.72581585979238383, -113.74050973782318863 41.70596813520596413, -113.73550672260353167 41.68312884577157718, -113.74605636565513578 41.6705493006651011, -113.74152447817758116 41.66000724135892597, -113.75103881999811506 41.65070945215343556, -113.75455653310297066 41.6151533529914559, -113.74106924548254938 41.58234217756736228, -113.75840751202426304 41.55201033084073003, -113.64327516331212564 41.52956094376229856, -113.62998131631616161 41.51890449111355963, -113.6339469347175708 41.51286592387587859, -113.62346139678093948 41.50631915969631791, -113.59924521629321248 41.46136473497614361, -113.59332746875905684 41.42743159302163747, -113.60739523944540963 41.3938307769503453, -113.60497975029366557 41.37265426634367316, -113.57622636002163574 41.34646505302862352, -113.56897238187350752 41.29462800253699584, -113.58193183676489468 41.28488506866889196, -113.58004510971879597 41.27842202578994346, -113.59277875301769711 41.27937814363687608, -113.58514052492037649 41.26451763634912595, -113.59757612141297045 41.25651246898032554, -113.58259811535415906 41.23684774629793992, -113.58944606807656896 41.23445763486154192, -113.58287985509510065 41.23146542044592877, -113.5845427119817117 41.19848305822118562, -113.59668468447151213 41.20150767317959861, -113.5854955345540418 41.19381975150390218, -113.60076775856437337 41.19737217728660994, -113.58662240028232304 41.19054171013253551, -113.59716800933485104 41.14527422998880013, -113.58419941477028203 41.13424920519642569, -113.58134856208300789 41.11450296173020291, -113.59895799591477328 41.09677006464954729, -113.5955967883101323 41.07473155627060635, -113.60352247004828996 41.06680471219988249, -113.6311718800012045 41.08093797973251782, -113.62679925454393981 41.0745887532723728, -113.65841725440817811 41.08237698716869346, -113.66945080928663003 41.1027219764861087, -113.72302247007833387 41.12907729231900333, -113.74112722625353911 41.13509643140515948, -113.76391494692970241 41.13122002471506278, -113.76836988813947471 41.13822391174469573, -113.80466311065127627 41.13275930609025721, -113.84935361888172167 41.15111520194941619, -113.86555995146871112 41.17001118510894742, -113.90697322992151896 41.18442353752765683, -113.97227142763911445 41.19207771517834971, -113.9983604035323026 41.18849849698601417, -114.0080624818806001 41.17767567788951055, -114.01882543188132502 41.2065761929689387, -114.03825794867017862 41.19381454494143924, -114.03880624064424865 41.7907364220774511, -114.02226056871381843 41.78256274277812565, -113.99583767319423089 41.80139633085795481, -113.98543682771229157 41.79316995898302878, -113.95469030384134612 41.7902352926865035, -113.95628727808471581 41.79852778016694259, -113.94168781513117494 41.80150477895941208, -113.94204281453244221 41.82147446725105766, -113.93497619877683746 41.82705945463339248, -113.94443468235053274 41.84233803888717063, -113.89009726808727407 41.86337028008767192, -113.88313432847088791 41.88228683614291725, -113.86569487465776263 41.89126175624356563)))"
2/1/2008,2/1/2008,Ogden Valley,Subarea,,,UT,EPSG:4326,"MultiPolygon (((-111.88401402761967063 41.42582451809273181, -111.87230397412736238 41.4214298891048216, -111.88013749790484042 41.41445518370026946, -111.86915160677018832 41.39927780334701879, -111.83680941821081944 41.38825903960731978, -111.79305104968567264 41.39140926776244811, -111.76078227276661892 41.36884284646966847, -111.72572880694922048 41.37631154482291151, -111.72657964833938138 41.38533452729411266, -111.71141338363521811 41.39559131198916475, -111.70618109957501929 41.4112675671654813, -111.71795266623891507 41.41593198037850954, -111.72158012372274527 41.42706340332756554, -111.69869548025771167 41.41837388476434967, -111.66661920990343049 41.42869290463393384, -111.64772090706901508 41.40544812716571954, -111.61846947750932202 41.4223797528916009, -111.58459556885334507 41.41824555802440955, -111.57513011735616715 41.42784476772445856, -111.55613658143396094 41.42465319876039587, -111.54373734583575128 41.40726707777604787, -111.51083480101782186 41.4231562298302336, -111.50788018545736691 41.41380258219453481, -111.47560202336370594 41.39995904794893278, -111.47756587627800684 41.38431511752349934, -111.42061924824136554 41.36131074401374974, -111.42435183077927263 41.34504948972354299, -111.43807615093690799 41.33817312890318618, -111.43793740131322068 41.32301334269362059, -111.44920595352115811 41.31597713703401098, -111.43942034655754014 41.29523232560094215, -111.44534782802116979 41.27789533326296834, -111.45766168423145359 41.27354721850969099, -111.47718216004012959 41.24520681930226829, -111.49431438326381283 41.24107080812392212, -111.49721213862495972 41.22725461188807827, -111.59080576508553406 41.24082507840562783, -111.60930094245904343 41.22924530152070588, -111.61002024681639 41.21289616121813282, -111.62517172246921859 41.19985445848517003, -111.6410690529532701 41.19882098389005165, -111.65828598302012153 41.18567267575602386, -111.69890311069737265 41.18202736018691468, -111.74517319499578605 41.20344218024418126, -111.748396404594871 41.21438296241927901, -111.76420891668736601 41.20848218635003946, -111.77381961071861838 41.2182885346678205, -111.8075300138953736 41.21658709339929061, -111.81830150770001353 41.24031859989965909, -111.86046050199446711 41.26574775775799253, -111.85947832623149623 41.28308519560443557, -111.89113555951544754 41.29234931490733373, -111.89928261974596069 41.32721980612664936, -111.9190555631351458 41.33222766215696709, -111.92489660733667733 41.34705663051586555, -111.9749242901316677 41.37708055236300453, -111.96727618550374928 41.39555001058644734, -111.97246347991767834 41.42005336765600276, -111.95904586724617502 41.43350626381080559, -111.92651758041900223 41.41247468405159537, -111.88401402761967063 41.42582451809273181)))"
