Year,Basin,BasinID,GWDP_Annual,SWDTotal_Annual,GWCTotal_Annual,SWDemandTotal_Annual,TotalNonConsumptiveUse_Annual,NetSurfaceWaterLoss_Annual,,PrecipitationRate_NonPeak,PrecipitationRate_Peak,PrecipitationRate_Annual,PrecipitationVolume_NonPeak,PrecipitationVolume_Peak,PrecipitationVolume_Annual,TotalRecharge,TotalRunoff,TotalET,SuppyTotal_NonPeak,SupplyTotal_Peak,SupplyTotal_Annual,StreamflowAF_NonPeak,StreamflowAF_Peak,StreamflowAF_Annual,StreamflowAFUncapped_NonPeak,StreamflowAFUncapped_Peak,StreamflowAFUncapped_Annual,SWDTotal_NonPeak,SWDTotal_Peak,GWDP_NonPeak,GWDP_Peak,BasinInflows_NonPeak,BasinInflows_Peak,BasinInflows_Annual,LongTermDemandTotal_NonPeak,LongTermDemandTotal_Peak,LongTermDemandTotal_Annual,NearTermDemandTotal_NonPeak,NearTermDemandTotal_Peak,NearTermDemandTotal_Annual,ProjectedLongTermDemandTotal_NonPeak,ProjectedLongTermDemandTotal_Peak,ProjectedLongTermDemandTotal_Annual,SWDemandTotal_NonPeak,SWDemandTotal_Peak,SWDemandTotal_Annual,SWDemand_NonPeak,SWDemand_Peak,SWDemand_Annual,SWDEvaporation_NonPeak,SWDEvaporation_Peak,SWDEvaporation_Annual,GWCIrrigation_NonPeak,GWCIrrigation_Peak,GWCIrrigation_Annual,GWCMunicipal_NonPeak,GWCMunicipal_Peak,GWCMunicipal_Annual,GWCIndustrial_NonPeak,GWCIndustrial_Peak,GWCIndustrial_Annual,GWCTotal_NonPeak,GWCTotal_Peak,GWCTotal_Annual,NetSurfaceWaterLoss_NonPeak,NetSurfaceWaterLoss_Peak,NetSurfaceWaterLoss_Annual,TotalNonConsumptiveUse_NonPeak,TotalNonConsumptiveUse_Peak,TotalNonConsumptiveUse_Annual,InducedGWRecharge_NonPeak,InducedGWRecharge_Peak,InducedGWRecharge_Annual,InstreamFlow_NonPeak,InstreamFlow_Peak,InstreamFlow_Annual,Hydropower_NonPeak,Hydropower_Peak,Hydropower_Annual,BasinOutflows_NonPeak,BasinOutflows_Peak,BasinOutflows_Annual,GWIAcres,SWIAcres,COIAcres,NearTermBalanceNonPeak,NearTermBalance_Peak,NearTermBalance_Annual,LongTermBalance_NonPeak,LongTermBalance_Peak,LongTermBalance_Annual,ProjectedLongTermBalance_NonPeak,ProjectedLongTermBalance_Peak,ProjectedLongTermBalance_Annual
1988,BIG BLUE,1,195533,62390,443951,71639,0,0,,11,7,18,2770003,1614986,4384989,247399,323962,3813628,402694,168667,571361,259905,53533,313438,259905,53533,313438,78,62312,142711,52822,0,0,0,312982,202608,515590,142792,124380,267172,328631,212738,541370,81,71558,71639,81,71558,71639,0,0,0,302243,129533,431776,8954,1339,10293,1704,178,1882,312901,131050,443951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999160,28028,20024,259901,44287,304189,89711,-33941,55771,74062,-44071,29991
1989,BIG BLUE,1,196651,34673,258632,40494,0,0,,10,12,22,2501163,2902630,5403793,204838,268228,4930727,278765,194300,473066,131391,110351,241742,131391,115341,246732,0,34672,147374,49277,0,0,0,183183,115943,299127,147375,89771,237145,192342,121741,314083,1,40494,40494,1,40494,40494,0,0,0,172497,73927,246424,8969,1341,10310,1716,182,1899,183182,75450,258632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033696,28480,20904,131391,104530,235920,95582,78357,173939,86423,72560,158983
1990,BIG BLUE,1,186362,25231,193586,28564,0,0,,17,13,30,4050761,3209249,7260010,307439,402581,6549990,385848,324172,710020,246464,251963,498427,334139,344172,678311,187,25044,139197,47165,0,0,0,137907,84243,222150,139389,75538,214926,144803,88455,233258,192,28373,28564,192,28373,28564,0,0,0,126685,54294,180978,8978,1342,10320,2052,235,2287,137716,55870,193586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079147,30065,21856,246459,248635,495093,247940,239929,487869,241045,235717,476762
1991,BIG BLUE,1,193769,81155,538430,91211,0,0,,15,8,23,3711940,1842676,5554616,260795,341502,4952319,318101,284196,602297,171193,156180,327373,171193,183386,354579,8624,72531,138284,55485,0,0,0,388774,240867,629641,147879,137100,284980,408212,252911,661123,9595,81615,91211,9595,81615,91211,0,0,0,367860,157654,525515,9071,1362,10433,2247,236,2482,379178,159252,538430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102996,30350,22330,170222,147095,317317,-70672,43328,-27344,-90111,31285,-58826
1992,BIG BLUE,1,200790,5458,46103,6592,0,0,,15,16,31,3530551,4007678,7538229,264103,345834,6928293,272624,337312,609936,119111,284577,403688,119111,423415,542526,121,5337,153392,47398,0,0,0,34692,18002,52694,153516,53866,207382,36426,18903,55329,124,6468,6592,124,6468,6592,0,0,0,23168,9929,33098,9150,1370,10520,2249,236,2485,34568,11535,46103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118599,30640,22740,119108,283447,402555,237932,319310,557242,236198,318410,554607
1993,BIG BLUE,1,198077,9092,82441,9977,0,0,,20,22,42,4836123,5396087,10232210,535699,701482,8995030,744155,493025,1237180,591683,438328,1030011,828749,1074483,1903232,8720,372,143752,54325,0,0,0,69583,22834,92417,153327,54727,208054,73062,23976,97038,9575,402,9977,9575,402,9977,0,0,0,48602,20830,69432,9157,1367,10524,2249,236,2485,60008,22433,82441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123326,30868,22911,590828,438298,1029126,674572,470190,1144762,671093,469048,1140141
1994,BIG BLUE,1,196018,27610,201910,30703,0,0,,13,13,26,3258180,3110770,6368950,377007,493679,5498263,612442,258244,870686,463035,184023,647058,497764,186498,684262,2143,25467,147264,48754,0,0,0,146010,86603,232613,149614,77106,226721,153310,90933,244243,2350,28352,30703,2350,28352,30703,0,0,0,132127,56626,188753,9186,1375,10561,2346,250,2596,143659,58251,201910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128015,30444,23378,462827,181138,643965,466432,171641,638073,459132,167310,626442
1995,BIG BLUE,1,200469,41907,354374,45679,0,0,,22,8,29,5285239,1859229,7144468,353907,463431,6327130,527622,289717,817338,382540,192422,574962,525773,203708,729481,1426,40482,143656,56813,0,0,0,252018,148035,400053,145240,100908,246148,264619,155437,420056,1584,44095,45679,1584,44095,45679,0,0,0,238671,102287,340958,9238,1383,10621,2525,270,2795,250434,103940,354374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137041,30392,23412,382382,188808,571190,275604,141681,417285,263003,134280,397283
1996,BIG BLUE,1,207134,26266,218703,29232,0,0,,17,11,28,4076691,2715026,6791717,308353,403778,6079586,446869,265262,712130,282457,196273,478730,441253,230112,671365,7312,18955,157100,50034,0,0,0,163379,84556,247935,164977,71389,236366,171548,88784,260332,7877,21355,29232,7877,21355,29232,0,0,0,143559,61525,205085,9313,1396,10709,2629,281,2910,155501,63202,218703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155345,30280,23669,281891,193873,475764,283490,180705,464195,275321,176477,451798
1997,BIG BLUE,1,195075,32105,246800,35018,0,0,,16,12,27,3812358,2851660,6664018,307739,402975,5953304,461280,249433,710713,306272,177261,483533,331339,229118,560457,8485,23620,146523,48552,0,0,0,184184,97634,281818,155517,74576,230093,193394,102515,295909,8994,26024,35018,8994,26024,35018,0,0,0,163159,69925,233085,9376,1403,10780,2655,281,2936,175191,71610,246800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155970,29545,23087,305763,174858,480620,277095,151800,428895,267886,146918,414804
