in_MethodTypeCV,in_VariableSpecificCV,in_WaterSourceTypeCV,in_ReportingUnitName,in_ReportingUnitNativeID,in_ReportingUnitTypeCV,in_ReportYearCV,in_Amount,in_WaterSourceNativeID
Modeled,Annual Groundwater Supply,Groundwater,BIG BLUE,1,Basin,1988,195533,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,BIG BLUE,1,Basin,1989,196651,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,BIG BLUE,1,Basin,1990,186362,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,BIG BLUE,1,Basin,1991,193769,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,BIG BLUE,1,Basin,1992,200790,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,BIG BLUE,1,Basin,1993,198077,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,BIG BLUE,1,Basin,1994,196018,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,BIG BLUE,1,Basin,1995,200469,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,BIG BLUE,1,Basin,1996,207134,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,BIG BLUE,1,Basin,1997,195075,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,BIG BLUE,1,Basin,1998,208007,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,BIG BLUE,1,Basin,1999,215007,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,BIG BLUE,1,Basin,2000,207880,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,BIG BLUE,1,Basin,2001,191063,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,BIG BLUE,1,Basin,2002,193285,WaDENE_WS1
Modeled,Annual Groundwater Supply,Groundwater,BIG BLUE,1,Basin,2003,197826,WaDENE_WS1
