OrganizationName,RegulatoryOverlayName,ReportingUnitName,DataPublicationDateID
CPNRD,Central Platte NRD,Central Platte NRD,10/1/2013
LCNRD,Lewis & Clark NRD,Lewis & Clark NRD,10/1/2013
LBNRD,Little Blue NRD,Little Blue NRD,10/1/2013
LBBNRD,Lower Big Blue NRD,Lower Big Blue NRD,10/1/2013
LENRD,Lower Elkhorn NRD,Lower Elkhorn NRD,10/1/2013
LLNRD,Lower Loup NRD,Lower Loup NRD,10/1/2013
LNNRD,Lower Niobrara NRD,Lower Niobrara NRD,10/1/2013
LPNNRD,Lower Platte North NRD,Lower Platte North NRD,10/1/2013
LPSNRD,Lower Platte South NRD,Lower Platte South NRD,10/1/2013
LRNRD,Lower Republican NRD,Lower Republican NRD,10/1/2013
MNNRD,Middle Niobrara NRD,Middle Niobrara NRD,10/1/2013
MRNRD,Middle Republican NRD,Middle Republican NRD,10/1/2013
NNRD,Nemaha NRD,Nemaha NRD,10/1/2013
NPNRD,North Platte NRD,North Platte NRD,10/1/2013
PMRNRD,Papio-Missouri River NRD,Papio-Missouri River NRD,10/1/2013
SPNRD,South Platte NRD,South Platte NRD,10/1/2013
TRNRD,Tri-Basin NRD,Tri-Basin NRD,10/1/2013
TWNRD,Twin Platte NRD,Twin Platte NRD,10/1/2013
UBBNRD,Upper Big Blue NRD,Upper Big Blue NRD,10/1/2013
UENRD,Upper Elkhorn NRD,Upper Elkhorn NRD,10/1/2013
ULNRD,Upper Loup NRD,Upper Loup NRD,10/1/2013
UNWNRD,Upper Niobrara White NRD,Upper Niobrara White NRD,10/1/2013
URNRD,Upper Republican NRD,Upper Republican NRD,10/1/2013
