OrganizationName,RegulatoryOverlayName,ReportingUnitName,DataPublicationDateID
CPNRD,Central Platte NRD,Central Platte NRD,9/23/2020
LCNRD,Lewis & Clark NRD,Lewis & Clark NRD,9/23/2020
LBNRD,Little Blue NRD,Little Blue NRD,9/23/2020
LBBNRD,Lower Big Blue NRD,Lower Big Blue NRD,9/23/2020
LENRD,Lower Elkhorn NRD,Lower Elkhorn NRD,9/23/2020
LLNRD,Lower Loup NRD,Lower Loup NRD,9/23/2020
LNNRD,Lower Niobrara NRD,Lower Niobrara NRD,9/23/2020
LPNNRD,Lower Platte North NRD,Lower Platte North NRD,9/23/2020
LPSNRD,Lower Platte South NRD,Lower Platte South NRD,9/23/2020
LRNRD,Lower Republican NRD,Lower Republican NRD,9/23/2020
MNNRD,Middle Niobrara NRD,Middle Niobrara NRD,9/23/2020
MRNRD,Middle Republican NRD,Middle Republican NRD,9/23/2020
NNRD,Nemaha NRD,Nemaha NRD,9/23/2020
NPNRD,North Platte NRD,North Platte NRD,9/23/2020
PMRNRD,Papio-Missouri River NRD,Papio-Missouri River NRD,9/23/2020
SPNRD,South Platte NRD,South Platte NRD,9/23/2020
TRNRD,Tri-Basin NRD,Tri-Basin NRD,9/23/2020
TWNRD,Twin Platte NRD,Twin Platte NRD,9/23/2020
UBBNRD,Upper Big Blue NRD,Upper Big Blue NRD,9/23/2020
UENRD,Upper Elkhorn NRD,Upper Elkhorn NRD,9/23/2020
ULNRD,Upper Loup NRD,Upper Loup NRD,9/23/2020
UNWNRD,Upper Niobrara White NRD,Upper Niobrara White NRD,9/23/2020
URNRD,Upper Republican NRD,Upper Republican NRD,9/23/2020
