OID_,OBJECTID,AreaName,NRD_Name_A,NRD_Num,Shape_Leng,Shape_Length,Shape_Area
1,1,Lower Republican,LOWER REPUBLICAN,23,605099.768488797941245,605099.768488797941245,11018161576.281126022338867
2,2,Tri-Basin,TRI-BASIN,24,413768.865460849832743,413768.865460849832743,6815290176.962357521057129
3,3,Little Blue,LITTLE BLUE,5,606780.751821609446779,606780.751821609446779,10718680365.616762161254883
4,4,Lower Big Blue,LOWER BIG BLUE,2,438586.078597795451060,438586.078597795451060,7324130010.017558097839355
5,5,Nemaha,NEMAHA,11,606872.264508162741549,606872.264508162741549,10901490684.337318420410156
6,6,Middle Republican,MIDDLE REPUBLICAN,22,571873.523629714851268,571873.523629714851268,16988480359.561317443847656
7,7,Upper Republican,UPPER REPUBLICAN,21,476461.372139305400196,476461.372139305400196,12123182409.867467880249023
8,8,Lower Platte South,LOWER PLATTE SOUTH,20,555246.176038743811660,555246.176038743811660,7574223046.465472221374512
9,9,Upper Big Blue,UPPER BIG BLUE,1,597451.607490100432187,597451.607490100432187,12961294676.096460342407227
10,10,Central Platte,CENTRAL PLATTE,18,996787.839461975614540,996787.839461975614540,15183425605.888288497924805
11,11,South Platte,SOUTH PLATTE,16,574369.776943731820211,574369.776943731820211,11853536849.613485336303711
12,12,Twin Platte,TWIN PLATTE,17,703319.644588636001572,703319.644588636001572,19627372285.505836486816406
13,13,Lower Platte North,LOWER PLATTE NORTH,19,708753.304818240809254,708753.304818240809254,7402401442.036427497863770
14,14,Lower Loup,LOWER LOUP,7,1110660.012541250791401,1110660.012541250791401,36832644152.617424011230469
15,15,North Platte,NORTH PLATTE,15,784938.210277389618568,784938.210277389618568,23988534823.957798004150391
16,16,Upper Loup,UPPER LOUP,6,854846.031884838012047,854846.031884838012047,31565533825.435745239257812
17,17,Papio-Missouri River,PAPIO-MISSOURI RIVER,10,773231.814128796453588,773231.814128796453588,8327740811.801147460937500
18,18,Lower Elkhorn,LOWER ELKHORN,4,711761.928141987184063,711761.928141987184063,19016148182.359458923339844
19,19,Upper Elkhorn,UPPER ELKHORN,3,634254.718470174120739,634254.718470174120739,14408735076.019891738891602
20,20,Lewis & Clark,LEWIS & CLARK,8,512714.381962854124140,512714.381962854124140,7152294649.264963150024414
21,21,Lower Niobrara,LOWER NIOBRARA,14,584928.977239419822581,584928.977239419822581,12873548880.796701431274414
22,22,Middle Niobrara,MIDDLE NIOBRARA,13,721292.728194343391806,721292.728194343391806,22128257656.294643402099609
23,23,Upper Niobrara-White,UPPER NIOBRARA-WHITE,12,756326.595059971790761,756326.595059971790761,31079009823.890518188476562
