OID_,Join_Count,TARGET_FID,SiteUUID,Longitude,Latitude,AreaName
1,1,1,NEwr_S1,-97.5223804,40.01104072,Little Blue
2,1,2,NEwr_S10,-97.31990547,40.09873574,Little Blue
3,1,3,NEwr_S100,-98.55398337,42.59239036,Lower Niobrara
4,1,4,NEwr_S1000,-98.05816906,41.72249967,Lower Loup
5,1,5,NEwr_S10000,-96.94173043,40.45079178,Lower Big Blue
6,1,6,NEwr_S10001,-96.93665452,40.43839396,Lower Big Blue
7,1,7,NEwr_S10002,-101.2406056,42.51388985,Middle Niobrara
8,1,8,NEwr_S10003,-103.3079328,42.67650785,Upper Niobrara-White
9,1,9,NEwr_S10004,-96.9565263,40.45441473,Lower Big Blue
10,1,10,NEwr_S10005,-96.92818115,40.41416764,Lower Big Blue
11,1,11,NEwr_S10006,-96.9191243,40.40682527,Lower Big Blue
12,1,12,NEwr_S10007,-96.9191243,40.40682527,Lower Big Blue
13,1,13,NEwr_S10008,-96.9191243,40.40682527,Lower Big Blue
14,1,14,NEwr_S10009,-96.90412547,40.39910595,Lower Big Blue
15,1,15,NEwr_S1001,-98.04229968,41.71149677,Lower Loup
16,1,16,NEwr_S10010,-96.90557847,40.39225491,Lower Big Blue
17,1,17,NEwr_S10011,-96.90063502,40.39143912,Lower Big Blue
18,1,18,NEwr_S10012,-96.90063502,40.39143912,Lower Big Blue
19,1,19,NEwr_S10013,-96.90063502,40.39143912,Lower Big Blue
20,1,20,NEwr_S10014,-96.78796695,40.51808473,Lower Big Blue
21,1,21,NEwr_S10015,-96.81102029,40.49741912,Lower Big Blue
22,1,22,NEwr_S10016,-96.81102029,40.49741912,Lower Big Blue
23,1,23,NEwr_S10017,-96.83789639,40.47236683,Lower Big Blue
24,1,24,NEwr_S10018,-96.87991304,40.43535305,Lower Big Blue
25,1,25,NEwr_S10019,-96.87991304,40.43535305,Lower Big Blue
26,1,26,NEwr_S1002,-98.04229968,41.71149677,Lower Loup
27,1,27,NEwr_S10020,-96.87991304,40.43535305,Lower Big Blue
28,1,28,NEwr_S10021,-96.87991304,40.43535305,Lower Big Blue
29,1,29,NEwr_S10022,-96.89227528,40.44638259,Lower Big Blue
30,1,30,NEwr_S10023,-96.89227528,40.44638259,Lower Big Blue
31,1,31,NEwr_S10024,-96.89227528,40.44638259,Lower Big Blue
32,1,32,NEwr_S10025,-96.89227528,40.44638259,Lower Big Blue
33,1,33,NEwr_S10026,-98.4310172,41.26301541,Lower Loup
34,1,34,NEwr_S10027,-98.4310172,41.26301541,Lower Loup
35,1,35,NEwr_S10028,-98.4310172,41.26301541,Lower Loup
36,1,36,NEwr_S10029,-103.5707986,42.76081387,Upper Niobrara-White
37,1,37,NEwr_S1003,-97.76315332,41.4656979,Lower Loup
38,1,38,NEwr_S10030,-102.5569912,42.95441651,Upper Niobrara-White
39,1,39,NEwr_S10031,-103.5208866,42.74402964,Upper Niobrara-White
40,1,40,NEwr_S10032,-101.2626988,42.51541087,Middle Niobrara
41,1,41,NEwr_S10033,-98.11737418,42.37957576,Upper Elkhorn
42,1,42,NEwr_S10034,-96.89141964,40.40347147,Lower Big Blue
43,1,43,NEwr_S10035,-96.89973995,40.39052532,Lower Big Blue
44,1,44,NEwr_S10036,-96.89489102,40.38592248,Lower Big Blue
45,1,45,NEwr_S10037,-103.2381134,42.71995419,Upper Niobrara-White
46,1,46,NEwr_S10038,-97.81242936,40.49763428,Upper Big Blue
47,1,47,NEwr_S10039,-97.81242936,40.49763428,Upper Big Blue
48,1,48,NEwr_S1004,-98.59340444,41.10652866,Lower Loup
49,1,49,NEwr_S10040,-102.1677462,42.62379957,Upper Niobrara-White
50,1,50,NEwr_S10041,-98.18364235,40.37742454,Little Blue
51,1,51,NEwr_S10042,-98.18364235,40.37742454,Little Blue
52,1,52,NEwr_S10043,-102.800292,42.63430673,Upper Niobrara-White
53,1,53,NEwr_S10044,-102.800292,42.63430673,Upper Niobrara-White
54,1,54,NEwr_S10045,-97.76110702,40.49080485,Upper Big Blue
55,1,55,NEwr_S10046,-97.76110702,40.49080485,Upper Big Blue
56,1,56,NEwr_S10047,-97.76110702,40.49080485,Upper Big Blue
57,1,57,NEwr_S10048,-100.6932621,41.98481337,Upper Loup
58,1,58,NEwr_S10049,-97.72477517,40.50815112,Upper Big Blue
59,1,59,NEwr_S1005,-97.74226398,41.44271241,Lower Loup
60,1,60,NEwr_S10050,-97.65937159,40.5144947,Upper Big Blue
61,1,61,NEwr_S10051,-103.0607743,42.89004085,Upper Niobrara-White
62,1,62,NEwr_S10052,-103.0607743,42.89004085,Upper Niobrara-White
63,1,63,NEwr_S10053,-103.0607743,42.89004085,Upper Niobrara-White
64,1,64,NEwr_S10054,-103.415945,42.91810644,Upper Niobrara-White
65,1,65,NEwr_S10055,-99.31593885,41.23788955,Lower Loup
66,1,66,NEwr_S10056,-99.31593885,41.23788955,Lower Loup
67,1,67,NEwr_S10057,-99.31593885,41.23788955,Lower Loup
68,1,68,NEwr_S10058,-97.85331167,40.55444418,Upper Big Blue
69,1,69,NEwr_S10059,-102.953584,42.8363345,Upper Niobrara-White
70,1,70,NEwr_S1006,-97.76741819,41.46242166,Lower Loup
71,1,71,NEwr_S10060,-102.953584,42.8363345,Upper Niobrara-White
72,1,72,NEwr_S10061,-97.76309642,40.53578842,Upper Big Blue
73,1,73,NEwr_S10062,-97.76309642,40.53578842,Upper Big Blue
74,1,74,NEwr_S10063,-97.71958462,40.56231332,Upper Big Blue
75,1,75,NEwr_S10064,-97.71773791,40.54320714,Upper Big Blue
76,1,76,NEwr_S10065,-98.69666264,42.72224153,Lower Niobrara
77,1,77,NEwr_S10066,-98.68787619,42.727667,Lower Niobrara
78,1,78,NEwr_S10067,-98.68787619,42.727667,Lower Niobrara
79,1,79,NEwr_S10068,-97.69028524,40.54623116,Upper Big Blue
80,1,80,NEwr_S10069,-97.69028524,40.54623116,Upper Big Blue
81,1,81,NEwr_S1007,-97.76741819,41.46242166,Lower Loup
82,1,82,NEwr_S10070,-97.67134619,40.54834009,Upper Big Blue
83,1,83,NEwr_S10071,-97.67134619,40.54834009,Upper Big Blue
84,1,84,NEwr_S10072,-97.67134619,40.54834009,Upper Big Blue
85,1,85,NEwr_S10073,-97.67134619,40.54834009,Upper Big Blue
86,1,86,NEwr_S10074,-97.67134619,40.54834009,Upper Big Blue
87,1,87,NEwr_S10075,-97.67134619,40.54834009,Upper Big Blue
88,1,88,NEwr_S10076,-97.64242032,40.54221243,Upper Big Blue
89,1,89,NEwr_S10077,-97.64566497,40.54940917,Upper Big Blue
90,1,90,NEwr_S10078,-97.63957943,40.54758124,Upper Big Blue
91,1,91,NEwr_S10079,-97.63957943,40.54758124,Upper Big Blue
92,1,92,NEwr_S1008,-97.82286186,41.3928268,Lower Loup
93,1,93,NEwr_S10080,-97.64153177,40.58179197,Upper Big Blue
94,1,94,NEwr_S10081,-97.63520487,40.56606678,Upper Big Blue
95,1,95,NEwr_S10082,-97.63520487,40.56606678,Upper Big Blue
96,1,96,NEwr_S10083,-97.63520487,40.56606678,Upper Big Blue
97,1,97,NEwr_S10084,-97.65197285,40.56503101,Upper Big Blue
98,1,98,NEwr_S10085,-97.65197285,40.56503101,Upper Big Blue
99,1,99,NEwr_S10086,-97.65197285,40.56503101,Upper Big Blue
100,1,100,NEwr_S10087,-97.62151154,40.55578384,Upper Big Blue
101,1,101,NEwr_S10088,-97.6154129,40.55189495,Upper Big Blue
102,1,102,NEwr_S10089,-97.59348498,40.54466574,Upper Big Blue
103,1,103,NEwr_S1009,-97.82286186,41.3928268,Lower Loup
104,1,104,NEwr_S10090,-97.585314,40.54500543,Upper Big Blue
105,1,105,NEwr_S10091,-97.585314,40.54500543,Upper Big Blue
106,1,106,NEwr_S10092,-97.585314,40.54500543,Upper Big Blue
107,1,107,NEwr_S10093,-97.56725639,40.55763056,Upper Big Blue
108,1,108,NEwr_S10094,-97.60083839,40.58956319,Upper Big Blue
109,1,109,NEwr_S10095,-97.60083839,40.58956319,Upper Big Blue
110,1,110,NEwr_S10096,-97.55512645,40.56150332,Upper Big Blue
111,1,111,NEwr_S10097,-97.55512645,40.56150332,Upper Big Blue
112,1,112,NEwr_S10098,-97.53665429,40.5581943,Upper Big Blue
113,1,113,NEwr_S10099,-97.53665429,40.5581943,Upper Big Blue
114,1,114,NEwr_S101,-98.51931174,40.53293798,Little Blue
115,1,115,NEwr_S1010,-98.14630343,41.2855709,Lower Loup
116,1,116,NEwr_S10100,-97.52987386,40.55697497,Upper Big Blue
117,1,117,NEwr_S10101,-97.52987386,40.55697497,Upper Big Blue
118,1,118,NEwr_S10102,-97.52987386,40.55697497,Upper Big Blue
119,1,119,NEwr_S10103,-97.52987386,40.55697497,Upper Big Blue
120,1,120,NEwr_S10104,-99.4046108,41.63140504,Lower Loup
121,1,121,NEwr_S10105,-99.4046108,41.63140504,Lower Loup
122,1,122,NEwr_S10106,-99.4046108,41.63140504,Lower Loup
123,1,123,NEwr_S10107,-103.4696959,42.8877482,Upper Niobrara-White
124,1,124,NEwr_S10108,-102.5941792,42.54952056,Upper Niobrara-White
125,1,125,NEwr_S10109,-97.10801321,40.70334901,Upper Big Blue
126,1,126,NEwr_S1011,-98.19153965,41.26819501,Lower Loup
127,1,127,NEwr_S10110,-97.10801321,40.70334901,Upper Big Blue
128,1,128,NEwr_S10111,-103.0965165,42.74381555,Upper Niobrara-White
129,1,129,NEwr_S10112,-103.0965165,42.74381555,Upper Niobrara-White
130,1,130,NEwr_S10113,-103.0965165,42.74381555,Upper Niobrara-White
131,1,131,NEwr_S10114,-102.6266716,42.55746259,Upper Niobrara-White
132,1,132,NEwr_S10115,-102.7874529,42.91757189,Upper Niobrara-White
133,1,133,NEwr_S10116,-99.33418278,41.24339092,Lower Loup
134,1,134,NEwr_S10117,-99.33418278,41.24339092,Lower Loup
135,1,135,NEwr_S10118,-99.33418278,41.24339092,Lower Loup
136,1,136,NEwr_S10119,-97.98844667,42.49945344,Lower Niobrara
137,1,137,NEwr_S1012,-98.19153965,41.26819501,Lower Loup
138,1,138,NEwr_S10120,-103.2522021,42.77714509,Upper Niobrara-White
139,1,139,NEwr_S10121,-102.2612663,42.82381305,Upper Niobrara-White
140,1,140,NEwr_S10122,-98.20815596,42.67228083,Lower Niobrara
141,1,141,NEwr_S10123,-102.9550969,42.85785011,Upper Niobrara-White
142,1,142,NEwr_S10124,-102.9550969,42.85785011,Upper Niobrara-White
143,1,143,NEwr_S10125,-102.9550969,42.85785011,Upper Niobrara-White
144,1,144,NEwr_S10126,-97.88271637,41.37985286,Lower Loup
145,1,145,NEwr_S10127,-97.88271637,41.37985286,Lower Loup
146,1,146,NEwr_S10128,-102.1745249,41.40210142,North Platte
147,1,147,NEwr_S10129,-97.67019402,40.47058918,Upper Big Blue
148,1,148,NEwr_S1013,-98.420441,41.69464358,Lower Loup
149,1,149,NEwr_S10130,-97.67019402,40.47058918,Upper Big Blue
150,1,150,NEwr_S10131,-97.67019402,40.47058918,Upper Big Blue
151,1,151,NEwr_S10132,-97.67019402,40.47058918,Upper Big Blue
152,1,152,NEwr_S10133,-97.66417997,40.46490293,Upper Big Blue
153,1,153,NEwr_S10134,-97.66417997,40.46490293,Upper Big Blue
154,1,154,NEwr_S10135,-100.6764762,41.11277693,Twin Platte
155,1,155,NEwr_S10136,-100.6764762,41.11277693,Twin Platte
156,0,156,NEwr_S10137,-102.1374267,40.0850591,
157,1,157,NEwr_S10138,-102.7542039,42.89172358,Upper Niobrara-White
158,1,158,NEwr_S10139,-103.218909,42.69997159,Upper Niobrara-White
159,1,159,NEwr_S1014,-98.420441,41.69464358,Lower Loup
160,1,160,NEwr_S10140,-96.55454929,41.03426246,Lower Platte South
161,1,161,NEwr_S10141,-96.55454929,41.03426246,Lower Platte South
162,1,162,NEwr_S10142,-96.55454929,41.03426246,Lower Platte South
163,1,163,NEwr_S10143,-102.2449552,42.81695601,Upper Niobrara-White
164,1,164,NEwr_S10144,-102.2947132,42.82605507,Upper Niobrara-White
165,1,165,NEwr_S10145,-102.284331,42.82591942,Upper Niobrara-White
166,1,166,NEwr_S10146,-102.2478932,42.81812645,Upper Niobrara-White
167,1,167,NEwr_S10147,-102.2529189,42.82018752,Upper Niobrara-White
168,1,168,NEwr_S10148,-98.06671532,41.43045867,Lower Loup
169,1,169,NEwr_S10149,-99.86068422,42.56011453,Middle Niobrara
170,1,170,NEwr_S1015,-98.420441,41.69464358,Lower Loup
171,1,171,NEwr_S10150,-103.2249757,42.70318661,Upper Niobrara-White
172,1,172,NEwr_S10151,-102.9881398,42.93170123,Upper Niobrara-White
173,1,173,NEwr_S10152,-102.9881398,42.93170123,Upper Niobrara-White
174,1,174,NEwr_S10153,-102.9881398,42.93170123,Upper Niobrara-White
175,1,175,NEwr_S10154,-102.9881398,42.93170123,Upper Niobrara-White
176,1,176,NEwr_S10155,-96.7676736,40.90780357,Lower Platte South
177,1,177,NEwr_S10156,-96.7676736,40.90780357,Lower Platte South
178,1,178,NEwr_S10157,-96.7676736,40.90780357,Lower Platte South
179,1,179,NEwr_S10158,-97.29686005,40.61141977,Lower Big Blue
180,1,180,NEwr_S10159,-103.2489961,42.77260716,Upper Niobrara-White
181,1,181,NEwr_S1016,-97.97020815,41.37740852,Lower Loup
182,1,182,NEwr_S10160,-98.27662601,41.27984102,Lower Loup
183,1,183,NEwr_S10161,-99.17586562,41.46227374,Lower Loup
184,1,184,NEwr_S10162,-98.90767016,41.0202657,Lower Loup
185,1,185,NEwr_S10163,-102.9610942,42.87645301,Upper Niobrara-White
186,1,186,NEwr_S10164,-102.9610942,42.87645301,Upper Niobrara-White
187,1,187,NEwr_S10165,-97.65750319,40.46364866,Upper Big Blue
188,1,188,NEwr_S10166,-97.61749699,40.49337511,Upper Big Blue
189,1,189,NEwr_S10167,-97.62351116,40.48587752,Upper Big Blue
190,1,190,NEwr_S10168,-97.62351116,40.48587752,Upper Big Blue
191,1,191,NEwr_S10169,-97.62351116,40.48587752,Upper Big Blue
192,1,192,NEwr_S1017,-97.82286206,41.39282681,Lower Loup
193,1,193,NEwr_S10170,-102.3918529,42.57969883,Upper Niobrara-White
194,1,194,NEwr_S10171,-102.3918529,42.57969883,Upper Niobrara-White
195,1,195,NEwr_S10172,-102.3918529,42.57969883,Upper Niobrara-White
196,1,196,NEwr_S10173,-97.59493964,40.51385489,Upper Big Blue
197,1,197,NEwr_S10174,-97.57537268,40.52910415,Upper Big Blue
198,1,198,NEwr_S10175,-97.57537268,40.52910415,Upper Big Blue
199,1,199,NEwr_S10176,-97.49000212,40.53882318,Upper Big Blue
200,1,200,NEwr_S10177,-97.49000212,40.53882318,Upper Big Blue
201,1,201,NEwr_S10178,-97.49000212,40.53882318,Upper Big Blue
202,1,202,NEwr_S10179,-97.49000212,40.53882318,Upper Big Blue
203,1,203,NEwr_S1018,-97.82286206,41.39282681,Lower Loup
204,1,204,NEwr_S10180,-97.49000212,40.53882318,Upper Big Blue
205,1,205,NEwr_S10181,-97.47300454,40.52713753,Upper Big Blue
206,1,206,NEwr_S10182,-97.47300454,40.52713753,Upper Big Blue
207,1,207,NEwr_S10183,-97.45647096,40.52510131,Upper Big Blue
208,1,208,NEwr_S10184,-97.45647096,40.52510131,Upper Big Blue
209,1,209,NEwr_S10185,-97.60496421,40.44972907,Upper Big Blue
210,1,210,NEwr_S10186,-97.60496421,40.44972907,Upper Big Blue
211,1,211,NEwr_S10187,-97.60496421,40.44972907,Upper Big Blue
212,1,212,NEwr_S10188,-97.58653937,40.44438582,Upper Big Blue
213,1,213,NEwr_S10189,-97.58653937,40.44438582,Upper Big Blue
214,1,214,NEwr_S1019,-98.1079721,41.81119903,Lower Loup
215,1,215,NEwr_S10190,-97.58653937,40.44438582,Upper Big Blue
216,1,216,NEwr_S10191,-98.56181444,41.31005516,Lower Loup
217,1,217,NEwr_S10192,-97.5451036,40.44321325,Upper Big Blue
