OID_,OBJECTID,AreaName,NRD_Name_A,NRD_Num,Shape_Leng,Shape_Length,Shape_Area,in_RegulatoryStatuteLink
1,1,Lower Republican,LOWER REPUBLICAN,23,605099.7684887979,605099.7684887979,11018161576.281126,https://www.lrnrd.org/
2,2,Tri-Basin,TRI-BASIN,24,413768.8654608498,413768.8654608498,6815290176.9623575,https://www.tribasinnrd.org/
3,3,Little Blue,LITTLE BLUE,5,606780.7518216094,606780.7518216094,10718680365.616762,http://www.littlebluenrd.org/
4,4,Lower Big Blue,LOWER BIG BLUE,2,438586.07859779545,438586.07859779545,7324130010.017558,http://www.lbbnrd.net
5,5,Nemaha,NEMAHA,11,606872.2645081627,606872.2645081627,10901490684.337318,https://www.nemahanrd.org/
6,6,Middle Republican,MIDDLE REPUBLICAN,22,571873.5236297149,571873.5236297149,16988480359.561316,http://www.mrnrd.org
7,7,Upper Republican,UPPER REPUBLICAN,21,476461.37213930546,476461.37213930546,12123182409.867468,http://www.urnrd.org
8,8,Lower Platte South,LOWER PLATTE SOUTH,20,555246.1760387438,555246.1760387438,7574223046.465472,https://www.lpsnrd.org/
9,9,Upper Big Blue,UPPER BIG BLUE,1,597451.6074901004,597451.6074901004,12961294676.09646,http://www.upperbigblue.org
10,10,Central Platte,CENTRAL PLATTE,18,996787.8394619757,996787.8394619757,15183425605.888288,www.cpnrd.org
11,11,South Platte,SOUTH PLATTE,16,574369.7769437318,574369.7769437318,11853536849.613483,http://www.spnrd.org
12,12,Twin Platte,TWIN PLATTE,17,703319.644588636,703319.644588636,19627372285.50584,http://www.tpnrd.org
13,13,Lower Platte North,LOWER PLATTE NORTH,19,708753.3048182408,708753.3048182408,7402401442.0364275,http://www.lpnnrd.org
14,14,Lower Loup,LOWER LOUP,7,1110660.0125412508,1110660.0125412508,36832644152.617424,http://www.llnrd.org
15,15,North Platte,NORTH PLATTE,15,784938.2102773896,784938.2102773896,23988534823.9578,http://www.npnrd.org
16,16,Upper Loup,UPPER LOUP,6,854846.0318848381,854846.0318848381,31565533825.435745,http://www.upperloupnrd.org
17,17,Papio-Missouri River,PAPIO-MISSOURI RIVER,10,773231.8141287965,773231.8141287965,8327740811.801147,http://www.papionrd.org
18,18,Lower Elkhorn,LOWER ELKHORN,4,711761.9281419872,711761.9281419872,19016148182.359455,http://www.lenrd.org
19,19,Upper Elkhorn,UPPER ELKHORN,3,634254.7184701741,634254.7184701741,14408735076.019892,http://www.uenrd.org
20,20,Lewis & Clark,LEWIS & CLARK,8,512714.38196285407,512714.38196285407,7152294649.264963,https://lcnrd.nebraska.gov/
21,21,Lower Niobrara,LOWER NIOBRARA,14,584928.9772394198,584928.9772394198,12873548880.7967,http://www.lnnrd.org
22,22,Middle Niobrara,MIDDLE NIOBRARA,13,721292.7281943435,721292.7281943435,22128257656.294643,http://www.mnnrd.org
23,23,Upper Niobrara-White,UPPER NIOBRARA-WHITE,12,756326.5950599718,756326.5950599718,31079009823.89052,http://www.unwnrd.org
