SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
NE_1,,Unspecified,Gage,EPSG:4326,,,102702020604,,40.0946892092528,-96.51469436711149,,,Unspecified,176836,,Unknown,NE,
NE_2,,Unspecified,Nance,EPSG:4326,,,102100100503,,41.4115437978233,-98.07805792298971,,,Unspecified,188876,,Unknown,NE,
NE_3,,Unspecified,Cherry,EPSG:4326,,,101500031608,,42.9171615271735,-101.534059372052,,,Unspecified,188035,,Unknown,NE,
NE_4,,Unspecified,Fillmore,EPSG:4326,,,102702060703,,40.3706814388891,-97.61302579284059,,,Unspecified,177345,,Unknown,NE,
NE_5,,Unspecified,Holt,EPSG:4326,,,101500070504,,42.7845479373374,-98.6117694422003,,,Unspecified,190897,,Unknown,NE,
NE_6,,Unspecified,Lancaster,EPSG:4326,,,102002030306,,40.6204275533364,-96.584678019572,,,Unspecified,179686,,Unknown,NE,
NE_7,,Unspecified,Lancaster,EPSG:4326,,,102002030102,,40.628260268442105,-96.7897618593539,,,Unspecified,191531,,Unknown,NE,
NE_8,,Unspecified,Holt,EPSG:4326,,,101500070202,,42.7537120854466,-98.8695270671822,,,Unspecified,186194,,Unknown,NE,
NE_9,,Unspecified,Gage,EPSG:4326,,,102702020404,,40.3710282163947,-96.8703596288982,,,Unspecified,178783,,Unknown,NE,
NE_10,,Unspecified,Dawes,EPSG:4326,,,101402010507,,42.8176475921745,-103.136892454342,,,Unspecified,190390,,Unknown,NE,
NE_11,,Unspecified,Saline,EPSG:4326,,,102702020202,,40.692365731100395,-96.98398105133579,,,Unspecified,180008,,Unknown,NE,
NE_12,,Unspecified,Keya Paha,EPSG:4326,,,101500061104,,42.95720420743711,-99.31928722975991,,,Unspecified,190900,,Unknown,NE,
NE_13,,Unspecified,Madison,EPSG:4326,,,102200030107,,41.840253158128,-97.45867540748971,,,Unspecified,191532,,Unknown,NE,
NE_14,,Unspecified,Frontier,EPSG:4326,,,102500080503,,40.4832808502635,-100.31006147106702,,,Unspecified,177595,,Unknown,NE,
NE_15,,Unspecified,Holt,EPSG:4326,,,101500070404,,42.690272188371296,-98.51674462385941,,,Unspecified,186195,,Unknown,NE,
NE_16,,Unspecified,Scotts Bluff,EPSG:4326,,,101800090810,,41.8604473261713,-103.588980337395,,,Unspecified,187414,,Unknown,NE,
NE_17,,Unspecified,Dawes,EPSG:4326,,,101402010806,,42.964443521237,-102.908400754391,,,Unspecified,186369,,Unknown,NE,
