SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
NEwr_S1,,Unspecified,Thayer,EPSG:4326,,,102702070203,,40.01104071844539,-97.52238040360928,,,POD,Unspecified,10443,,Unknown,NE,
NEwr_S2,,Unspecified,Thayer,EPSG:4326,,,102702070203,,40.03408701146336,-97.46774568387094,,,POD,Unspecified,10442,,Unknown,NE,
NEwr_S3,,Unspecified,Thayer,EPSG:4326,,,102702070203,,40.0769791396637,-97.51284800152935,,,POD,Unspecified,10386,,Unknown,NE,
NEwr_S4,,Unspecified,Thayer,EPSG:4326,,,102702070203,,40.0769791396637,-97.51284800152935,,,POD,Unspecified,10387,,Unknown,NE,
NEwr_S5,,Unspecified,Jefferson,EPSG:4326,,,102702070205,,40.14111982599655,-97.35802359984129,,,POD,Unspecified,10376,,Unknown,NE,
NEwr_S6,,Unspecified,Jefferson,EPSG:4326,,,102702070205,,40.14111982599655,-97.35802359984129,,,POD,Unspecified,10377,,Unknown,NE,
NEwr_S7,,Unspecified,Jefferson,EPSG:4326,,,102702070205,,40.14111982599655,-97.35802359984129,,,POD,Unspecified,10378,,Unknown,NE,
NEwr_S8,,Unspecified,Jefferson,EPSG:4326,,,102702070205,,40.14111982599655,-97.35802359984129,,,POD,Unspecified,10379,,Unknown,NE,
NEwr_S9,,Unspecified,Jefferson,EPSG:4326,,,102702070205,,40.107079474716905,-97.35580381403088,,,POD,Unspecified,1668,,Unknown,NE,
NEwr_S10,,Unspecified,Jefferson,EPSG:4326,,,102702070205,,40.09873574493956,-97.31990547060526,,,POD,Unspecified,1631,,Unknown,NE,
NEwr_S11,,Unspecified,Jefferson,EPSG:4326,,,102702070205,,40.11261416536791,-97.29027088739856,,,POD,Unspecified,1705,,Unknown,NE,
NEwr_S12,,Unspecified,Jefferson,EPSG:4326,,,102702070205,,40.11261416536791,-97.29027088739856,,,POD,Unspecified,10441,,Unknown,NE,
NEwr_S13,,Unspecified,Otoe,EPSG:4326,,,102400060302,,40.6749410651999,-96.09636903853584,,,POD,Unspecified,16022,,Unknown,NE,
NEwr_S14,,Unspecified,Otoe,EPSG:4326,,,102400060302,,40.6749410651999,-96.09636903853584,,,POD,Unspecified,16023,,Unknown,NE,
NEwr_S15,,Unspecified,Otoe,EPSG:4326,,,102400060302,,40.6749410651999,-96.09636903853584,,,POD,Unspecified,16024,,Unknown,NE,
NEwr_S16,,Unspecified,Otoe,EPSG:4326,,,102400060302,,40.6749410651999,-96.09636903853584,,,POD,Unspecified,3633,,Unknown,NE,
NEwr_S17,,Unspecified,Otoe,EPSG:4326,,,102400060302,,40.6749410651999,-96.09636903853584,,,POD,Unspecified,3641,,Unknown,NE,
NEwr_S18,,Unspecified,Otoe,EPSG:4326,,,102400060302,,40.6749410651999,-96.09636903853584,,,POD,Unspecified,3643,,Unknown,NE,
NEwr_S19,,Unspecified,Otoe,EPSG:4326,,,102400060303,,40.66058716933178,-95.9983735924222,,,POD,Unspecified,16027,,Unknown,NE,
NEwr_S20,,Unspecified,Otoe,EPSG:4326,,,102400060303,,40.66058716933178,-95.9983735924222,,,POD,Unspecified,16028,,Unknown,NE,
NEwr_S21,,Unspecified,Otoe,EPSG:4326,,,102400060303,,40.66058716933178,-95.9983735924222,,,POD,Unspecified,16029,,Unknown,NE,
NEwr_S22,,Unspecified,Otoe,EPSG:4326,,,102400060303,,40.66058716933178,-95.9983735924222,,,POD,Unspecified,16030,,Unknown,NE,
NEwr_S23,,Unspecified,Otoe,EPSG:4326,,,102400060303,,40.66058716933178,-95.9983735924222,,,POD,Unspecified,16031,,Unknown,NE,
NEwr_S24,,Unspecified,Lancaster,EPSG:4326,,,102400080104,,40.54598540581113,-96.48551102897864,,,POD,Unspecified,2823,,Unknown,NE,
NEwr_S25,,Unspecified,Lancaster,EPSG:4326,,,102400080104,,40.54598540581113,-96.48551102897864,,,POD,Unspecified,2824,,Unknown,NE,
NEwr_S26,,Unspecified,Lancaster,EPSG:4326,,,102400080104,,40.54598540581113,-96.48551102897864,,,POD,Unspecified,2831,,Unknown,NE,
NEwr_S27,,Unspecified,Lancaster,EPSG:4326,,,102400080104,,40.54598540581113,-96.48551102897864,,,POD,Unspecified,2836,,Unknown,NE,
NEwr_S28,,Unspecified,Lancaster,EPSG:4326,,,102400080104,,40.54598540581113,-96.48551102897864,,,POD,Unspecified,15942,,Unknown,NE,
NEwr_S29,,Unspecified,Lancaster,EPSG:4326,,,102400080102,,40.55645415001701,-96.66309944684264,,,POD,Unspecified,2877,,Unknown,NE,
NEwr_S30,,Unspecified,Lancaster,EPSG:4326,,,102400080102,,40.55645415001701,-96.66309944684264,,,POD,Unspecified,2878,,Unknown,NE,
NEwr_S31,,Unspecified,Lancaster,EPSG:4326,,,102002030306,,40.608000267796406,-96.63319966141633,,,POD,Unspecified,15091,,Unknown,NE,
NEwr_S32,,Unspecified,Lancaster,EPSG:4326,,,102002030306,,40.608000267796406,-96.63319966141633,,,POD,Unspecified,15092,,Unknown,NE,
NEwr_S33,,Unspecified,Lancaster,EPSG:4326,,,102002030306,,40.63021338712371,-96.62374774066431,,,POD,Unspecified,15566,,Unknown,NE,
NEwr_S34,,Unspecified,Lancaster,EPSG:4326,,,102002030306,,40.63021338712371,-96.62374774066431,,,POD,Unspecified,15567,,Unknown,NE,
NEwr_S35,,Unspecified,Lancaster,EPSG:4326,,,102002030302,,40.77303594334683,-96.75519443599545,,,POD,Unspecified,15471,,Unknown,NE,
NEwr_S36,,Unspecified,Butler,EPSG:4326,,,102002030403,,41.110942500170076,-96.99086477694695,,,POD,Unspecified,15629,,Unknown,NE,
NEwr_S37,,Unspecified,Butler,EPSG:4326,,,102002030403,,41.110942500170076,-96.99086477694695,,,POD,Unspecified,15630,,Unknown,NE,
NEwr_S38,,Unspecified,Butler,EPSG:4326,,,102002030403,,41.110942500170076,-96.99086477694695,,,POD,Unspecified,15631,,Unknown,NE,
NEwr_S39,,Unspecified,Butler,EPSG:4326,,,102002030403,,41.068079293445656,-96.99030859530848,,,POD,Unspecified,5044,,Unknown,NE,
NEwr_S40,,Unspecified,Seward,EPSG:4326,,,102002030402,,41.0232388340696,-97.01389123669149,,,POD,Unspecified,4941,,Unknown,NE,
NEwr_S41,,Unspecified,Seward,EPSG:4326,,,102002030402,,41.034918392365896,-97.01055953628565,,,POD,Unspecified,4978,,Unknown,NE,
NEwr_S42,,Unspecified,Seward,EPSG:4326,,,102002030402,,41.034918392365896,-97.01055953628565,,,POD,Unspecified,4979,,Unknown,NE,
NEwr_S43,,Unspecified,Seward,EPSG:4326,,,102002030402,,41.034918392365896,-97.01055953628565,,,POD,Unspecified,4981,,Unknown,NE,
NEwr_S44,,Unspecified,Seward,EPSG:4326,,,102002030402,,41.01755291672161,-97.01272363080416,,,POD,Unspecified,15569,,Unknown,NE,
NEwr_S45,,Unspecified,Butler,EPSG:4326,,,102002030401,,41.18196166110322,-96.97389782997207,,,POD,Unspecified,15568,,Unknown,NE,
NEwr_S46,,Unspecified,Saunders,EPSG:4326,,,102002030401,,41.123911163946794,-96.89887157914526,,,POD,Unspecified,15627,,Unknown,NE,
NEwr_S47,,Unspecified,Saunders,EPSG:4326,,,102002030401,,41.123911163946794,-96.89887157914526,,,POD,Unspecified,15628,,Unknown,NE,
NEwr_S48,,Unspecified,Sioux,EPSG:4326,,,101402010107,,42.68396235960022,-103.51820405451694,,,POD,Unspecified,14054,,Unknown,NE,
NEwr_S49,,Unspecified,Dawes,EPSG:4326,,,101402010302,,42.87427590026941,-103.50364790768155,,,POD,Unspecified,7267,,Unknown,NE,
NEwr_S50,,Unspecified,Dawes,EPSG:4326,,,101402010302,,42.87427590026941,-103.50364790768155,,,POD,Unspecified,14043,,Unknown,NE,
NEwr_S51,,Unspecified,Dawes,EPSG:4326,,,101402010302,,42.87427590026941,-103.50364790768155,,,POD,Unspecified,14044,,Unknown,NE,
NEwr_S52,,Unspecified,Dawes,EPSG:4326,,,101402010803,,42.907012306359796,-103.04315589114617,,,POD,Unspecified,13938,,Unknown,NE,
NEwr_S53,,Unspecified,Dawes,EPSG:4326,,,101402010803,,42.907012306359796,-103.04315589114617,,,POD,Unspecified,13937,,Unknown,NE,
NEwr_S54,,Unspecified,Jefferson,EPSG:4326,,,102702070105,,40.11542480868713,-97.17020369032906,,,POD,Unspecified,415,,Unknown,NE,
NEwr_S55,,Unspecified,Knox,EPSG:4326,,,101500070702,,42.524682080811466,-98.2615364951368,,,POD,Unspecified,14843,,Unknown,NE,
NEwr_S56,,Unspecified,Adams,EPSG:4326,,,102702060408,,40.55760772179417,-98.39317216911422,,,POD,Unspecified,9145,,Unknown,NE,
NEwr_S57,,Unspecified,Nuckolls,EPSG:4326,,,102702060501,,40.27978982062296,-98.21272972844801,,,POD,Unspecified,2029,,Unknown,NE,
NEwr_S58,,Unspecified,Nuckolls,EPSG:4326,,,102702060501,,40.27978982062296,-98.21272972844801,,,POD,Unspecified,10679,,Unknown,NE,
NEwr_S59,,Unspecified,Nuckolls,EPSG:4326,,,102702060501,,40.27978982062296,-98.21272972844801,,,POD,Unspecified,10680,,Unknown,NE,
NEwr_S60,,Unspecified,Cuming,EPSG:4326,,,102200040401,,42.02440819865436,-96.57864458164059,,,POD,Unspecified,6496,,Unknown,NE,
NEwr_S61,,Unspecified,Cuming,EPSG:4326,,,102200040401,,42.02440819865436,-96.57864458164059,,,POD,Unspecified,6497,,Unknown,NE,
NEwr_S62,,Unspecified,Nuckolls,EPSG:4326,,,102702060501,,40.27978982062296,-98.21272972844801,,,POD,Unspecified,2081,,Unknown,NE,
NEwr_S63,,Unspecified,Nuckolls,EPSG:4326,,,102702060501,,40.27978982062296,-98.21272972844801,,,POD,Unspecified,10677,,Unknown,NE,
NEwr_S64,,Unspecified,Nuckolls,EPSG:4326,,,102702060501,,40.27978982062296,-98.21272972844801,,,POD,Unspecified,10678,,Unknown,NE,
NEwr_S65,,Unspecified,Lancaster,EPSG:4326,,,102400080102,,40.5345667456397,-96.61881395832718,,,POD,Unspecified,15873,,Unknown,NE,
NEwr_S66,,Unspecified,Lancaster,EPSG:4326,,,102400080102,,40.5345667456397,-96.61881395832718,,,POD,Unspecified,15874,,Unknown,NE,
NEwr_S67,,Unspecified,Wayne,EPSG:4326,,,102200040104,,42.27934404668177,-97.03739525562523,,,POD,Unspecified,6649,,Unknown,NE,
NEwr_S68,,Unspecified,Dawson,EPSG:4326,,,102001010608,,40.74779819623825,-99.81440725842388,,,POD,Unspecified,3666,,Unknown,NE,
NEwr_S69,,Unspecified,Dawson,EPSG:4326,,,102001010608,,40.74779819623825,-99.81440725842388,,,POD,Unspecified,3674,,Unknown,NE,
NEwr_S70,,Unspecified,Wayne,EPSG:4326,,,102200040104,,42.27943048159988,-97.03736925475485,,,POD,Unspecified,15388,,Unknown,NE,
NEwr_S71,,Unspecified,Hall,EPSG:4326,,,102001020403,,40.848674270458815,-98.53147281629096,,,POD,Unspecified,4137,,Unknown,NE,
NEwr_S72,,Unspecified,Antelope,EPSG:4326,,,102200011105,,42.147300929899984,-98.09481899687368,,,POD,Unspecified,6578,,Unknown,NE,
