WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
NEwr_WS1,,,Fresh,Mumm Reservoir,WaDENE_WS1,Surface Water
NEwr_WS2,,,Fresh,Bowman Spring Branch Reservoir No. 2-A,WaDENE_WS2,Surface Water
NEwr_WS3,,,Fresh,Bowman Spring Branch Reservoir No. 3-E,WaDENE_WS3,Surface Water
NEwr_WS4,,,Fresh,Buckley Creek Reservoir 3-C,WaDENE_WS4,Surface Water
NEwr_WS5,,,Fresh,Buckley Creek Reservoir 3-A,WaDENE_WS5,Surface Water
NEwr_WS6,,,Fresh,Buckley Creek Reservoir 3-D,WaDENE_WS6,Surface Water
NEwr_WS7,,,Fresh,Buckley Creek Reservoir 4-B,WaDENE_WS7,Surface Water
NEwr_WS8,,,Fresh,Wilson Creek Reservoir 8-H,WaDENE_WS8,Surface Water
NEwr_WS9,,,Fresh,Wilson Creek Reservoir 5-J,WaDENE_WS9,Surface Water
NEwr_WS10,,,Fresh,Upper Big Nemaha Reservoir 21-B,WaDENE_WS10,Surface Water
NEwr_WS11,,,Fresh,Upper Big Nemaha Reservoir 13-A,WaDENE_WS11,Surface Water
NEwr_WS12,,,Fresh,Scott Reservoir,WaDENE_WS12,Surface Water
NEwr_WS13,,,Fresh,Salt Creek Reservoir 35,WaDENE_WS13,Surface Water
NEwr_WS14,,,Fresh,Haines Branch,WaDENE_WS14,Surface Water
NEwr_WS15,,,Fresh,Oak-Middle Reservoir 63-D,WaDENE_WS15,Surface Water
NEwr_WS16,,,Fresh,Oak-Middle Reservoir 66-A,WaDENE_WS16,Surface Water
NEwr_WS17,,,Fresh,Oak-Middle Reservoir 87-A,WaDENE_WS17,Surface Water
NEwr_WS18,,,Fresh,Oak-Middle Reservoir 86-A,WaDENE_WS18,Surface Water
NEwr_WS19,,,Fresh,Oak-Middle Reservoir 82-B,WaDENE_WS19,Surface Water
NEwr_WS20,,,Fresh,North Oak Reservoir 6-B,WaDENE_WS20,Surface Water
NEwr_WS21,,,Fresh,North Oak Reservoir 3-A,WaDENE_WS21,Surface Water
NEwr_WS22,,,Fresh,Carter P Johnson Reservoir,WaDENE_WS22,Surface Water
NEwr_WS23,,,Fresh,Moody Reservoir No. 1,WaDENE_WS23,Surface Water
NEwr_WS24,,,Fresh,Morris Reservoir,WaDENE_WS24,Surface Water
NEwr_WS25,,,Fresh,"Blue River, Little",WaDENE_WS25,Surface Water
NEwr_WS26,,,Fresh,"Verdigre Creek, Middle Branch",WaDENE_WS26,Surface Water
NEwr_WS27,,,Fresh,Pawnee Creek,WaDENE_WS27,Surface Water
NEwr_WS28,,,Fresh,Pohlmeier Reservoir,WaDENE_WS28,Surface Water
NEwr_WS29,,,Fresh,Logan Creek,WaDENE_WS29,Surface Water
NEwr_WS30,,,Fresh,"Nemaha River, Big, Middle Branch",WaDENE_WS30,Surface Water
NEwr_WS31,,,Fresh,Dog Creek,WaDENE_WS31,Surface Water
NEwr_WS32,,,Fresh,Platte River,WaDENE_WS32,Surface Water
NEwr_WS33,,,Fresh,"Wood River, Trib. To",WaDENE_WS33,Surface Water
NEwr_WS34,,,Fresh,Elkhorn River,WaDENE_WS34,Surface Water
NEwr_WS35,,,Fresh,"Rock Creek, Trib. To",WaDENE_WS35,Surface Water
NEwr_WS36,,,Fresh,"Nemaha River, Big, North Fork, Trib. To",WaDENE_WS36,Surface Water
NEwr_WS37,,,Fresh,"Sandy Creek, Little",WaDENE_WS37,Surface Water
NEwr_WS38,,,Fresh,Plum Creek,WaDENE_WS38,Surface Water
NEwr_WS39,,,Fresh,"North Platte River, Trib. To",WaDENE_WS39,Surface Water
NEwr_WS40,,,Fresh,"Elkhorn River, Trib. To",WaDENE_WS40,Surface Water
NEwr_WS41,,,Fresh,Cache Creek,WaDENE_WS41,Surface Water
NEwr_WS42,,,Fresh,Buffalo Creek,WaDENE_WS42,Surface Water
NEwr_WS43,,,Fresh,Oak Prairie Irrigation Pit,WaDENE_WS43,Surface Water
NEwr_WS44,,,Fresh,Cedar River,WaDENE_WS44,Surface Water
NEwr_WS45,,,Fresh,"Middle Creek, South Branch, Trib. To",WaDENE_WS45,Surface Water
NEwr_WS46,,,Fresh,Crystal Creek,WaDENE_WS46,Surface Water
NEwr_WS47,,,Fresh,"Pawnee Creek, Trib. To",WaDENE_WS47,Surface Water
NEwr_WS48,,,Fresh,"Weeping Water Creek, Trib. To",WaDENE_WS48,Surface Water
NEwr_WS49,,,Fresh,Shell Creek,WaDENE_WS49,Surface Water
NEwr_WS50,,,Fresh,"Sandy Creek, Dry, Trib. To",WaDENE_WS50,Surface Water
NEwr_WS51,,,Fresh,Salt Creek,WaDENE_WS51,Surface Water
NEwr_WS52,,,Fresh,Redbird Creek,WaDENE_WS52,Surface Water
NEwr_WS53,,,Fresh,"Thirty-Two Mile Creek, West Branch, Trib. To",WaDENE_WS53,Surface Water
