SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
NEwr_S1,,NEwr_WS1,,Unspecified,Thayer,4326,,,102702070203.0,,40.01104071844539,-97.52238040360928,,,POD,Unspecified,10443,,Unspecified,NE,
NEwr_S2,,NEwr_WS2,,Unspecified,Thayer,4326,,,102702070203.0,,40.03408701146336,-97.46774568387094,,,POD,Unspecified,10442,,Unspecified,NE,
NEwr_S3,,NEwr_WS3,,Unspecified,Thayer,4326,,,102702070203.0,,40.0769791396637,-97.51284800152935,,,POD,Unspecified,10386,,Unspecified,NE,
NEwr_S4,,NEwr_WS3,,Unspecified,Thayer,4326,,,102702070203.0,,40.0769791396637,-97.51284800152935,,,POD,Unspecified,10387,,Unspecified,NE,
NEwr_S5,,NEwr_WS4,,Unspecified,Jefferson,4326,,,102702070205.0,,40.14111982599656,-97.3580235998413,,,POD,Unspecified,10376,,Unspecified,NE,
NEwr_S6,,NEwr_WS4,,Unspecified,Jefferson,4326,,,102702070205.0,,40.14111982599656,-97.3580235998413,,,POD,Unspecified,10377,,Unspecified,NE,
NEwr_S7,,NEwr_WS4,,Unspecified,Jefferson,4326,,,102702070205.0,,40.14111982599656,-97.3580235998413,,,POD,Unspecified,10378,,Unspecified,NE,
NEwr_S8,,NEwr_WS4,,Unspecified,Jefferson,4326,,,102702070205.0,,40.14111982599656,-97.3580235998413,,,POD,Unspecified,10379,,Unspecified,NE,
NEwr_S9,,NEwr_WS5,,Unspecified,Jefferson,4326,,,102702070205.0,,40.107079474716905,-97.35580381403088,,,POD,Unspecified,1668,,Unspecified,NE,
NEwr_S10,,NEwr_WS6,,Unspecified,Jefferson,4326,,,102702070205.0,,40.09873574493956,-97.31990547060526,,,POD,Unspecified,1631,,Unspecified,NE,
NEwr_S11,,NEwr_WS7,,Unspecified,Jefferson,4326,,,102702070205.0,,40.11261416536791,-97.29027088739856,,,POD,Unspecified,1705,,Unspecified,NE,
NEwr_S12,,NEwr_WS7,,Unspecified,Jefferson,4326,,,102702070205.0,,40.11261416536791,-97.29027088739856,,,POD,Unspecified,10441,,Unspecified,NE,
NEwr_S13,,NEwr_WS8,,Unspecified,Otoe,4326,,,102400060302.0,,40.6749410651999,-96.09636903853584,,,POD,Unspecified,16022,,Unspecified,NE,
NEwr_S14,,NEwr_WS8,,Unspecified,Otoe,4326,,,102400060302.0,,40.6749410651999,-96.09636903853584,,,POD,Unspecified,16023,,Unspecified,NE,
