,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,GNISCodeCV,Geometry,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,ReasonRemoved,SiteName,SiteNativeID,SitePoint,SiteTypeCV,SiteUUID,StateCV,USGSSiteID,index
0,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,181099,,Unspecified,NE_3189,NE,,3188.0
1,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,181100,,Unspecified,NE_3190,NE,,3189.0
2,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,192209,,Unspecified,NE_3213,NE,,3212.0
3,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,176808,,Unspecified,NE_3831,NE,,3830.0
4,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,190149,,Unspecified,NE_6436,NE,,6435.0
5,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,190229,,Unspecified,NE_6536,NE,,6535.0
6,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,185676,,Unspecified,NE_6610,NE,,6609.0
7,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,185675,,Unspecified,NE_6611,NE,,6610.0
8,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,189675,,Unspecified,NE_7020,NE,,7019.0
9,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,189682,,Unspecified,NE_7021,NE,,7020.0
10,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,182577,,Unspecified,NE_7165,NE,,7164.0
11,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,189921,,Unspecified,NE_7172,NE,,7171.0
12,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,189257,,Unspecified,NE_7179,NE,,7178.0
13,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,189936,,Unspecified,NE_7459,NE,,7458.0
14,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,190533,,Unspecified,NE_7742,NE,,7741.0
15,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,192997,,Unspecified,NE_8555,NE,,8554.0
16,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,193335,,Unspecified,NE_8593,NE,,8592.0
17,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,193338,,Unspecified,NE_8594,NE,,8593.0
18,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,193339,,Unspecified,NE_8595,NE,,8594.0
19,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,193234,,Unspecified,NE_8605,NE,,8604.0
20,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,193235,,Unspecified,NE_8606,NE,,8605.0
21,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,193851,,Unspecified,NE_8714,NE,,8713.0
22,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,193852,,Unspecified,NE_8715,NE,,8714.0
23,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,193853,,Unspecified,NE_8716,NE,,8715.0
24,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,194053,,Unspecified,NE_8717,NE,,8716.0
25,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,193854,,Unspecified,NE_8718,NE,,8717.0
26,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,194054,,Unspecified,NE_8719,NE,,8718.0
27,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,193855,,Unspecified,NE_8720,NE,,8719.0
28,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,193856,,Unspecified,NE_8721,NE,,8720.0
29,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,194058,,Unspecified,NE_8722,NE,,8721.0
30,,Unspecified,Unspecified,EPSG:4326,,,nan,,,,,,Bad Latitude,Unspecified,194059,,Unspecified,NE_8723,NE,,8722.0
