SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
NEwr_S1,NEre_RO3,NEwr_WS1,,Unspecified,Thayer,4326,,,1.02702E+11,,40.01104072,-97.5223804,,,POD,Unspecified,10443,,Unspecified,NE,
NEwr_S2,NEre_RO3,NEwr_WS2,,Unspecified,Thayer,4326,,,1.02702E+11,,40.03408701,-97.46774568,,,POD,Unspecified,10442,,Unspecified,NE,
NEwr_S3,NEre_RO3,NEwr_WS3,,Unspecified,Thayer,4326,,,1.02702E+11,,40.07697914,-97.512848,,,POD,Unspecified,10386,,Unspecified,NE,
NEwr_S4,NEre_RO3,NEwr_WS3,,Unspecified,Thayer,4326,,,1.02702E+11,,40.07697914,-97.512848,,,POD,Unspecified,10387,,Unspecified,NE,
NEwr_S5,NEre_RO3,NEwr_WS4,,Unspecified,Jefferson,4326,,,1.02702E+11,,40.14111983,-97.3580236,,,POD,Unspecified,10376,,Unspecified,NE,
NEwr_S6,NEre_RO3,NEwr_WS4,,Unspecified,Jefferson,4326,,,1.02702E+11,,40.14111983,-97.3580236,,,POD,Unspecified,10377,,Unspecified,NE,
NEwr_S7,NEre_RO3,NEwr_WS4,,Unspecified,Jefferson,4326,,,1.02702E+11,,40.14111983,-97.3580236,,,POD,Unspecified,10378,,Unspecified,NE,
NEwr_S8,NEre_RO3,NEwr_WS4,,Unspecified,Jefferson,4326,,,1.02702E+11,,40.14111983,-97.3580236,,,POD,Unspecified,10379,,Unspecified,NE,
NEwr_S9,NEre_RO3,NEwr_WS5,,Unspecified,Jefferson,4326,,,1.02702E+11,,40.10707947,-97.35580381,,,POD,Unspecified,1668,,Unspecified,NE,
NEwr_S10,NEre_RO3,NEwr_WS6,,Unspecified,Jefferson,4326,,,1.02702E+11,,40.09873574,-97.31990547,,,POD,Unspecified,1631,,Unspecified,NE,
NEwr_S11,NEre_RO3,NEwr_WS7,,Unspecified,Jefferson,4326,,,1.02702E+11,,40.11261417,-97.29027089,,,POD,Unspecified,1705,,Unspecified,NE,
NEwr_S12,NEre_RO3,NEwr_WS7,,Unspecified,Jefferson,4326,,,1.02702E+11,,40.11261417,-97.29027089,,,POD,Unspecified,10441,,Unspecified,NE,
NEwr_S13,NEre_RO13,NEwr_WS8,,Unspecified,Otoe,4326,,,1.024E+11,,40.67494107,-96.09636904,,,POD,Unspecified,16022,,Unspecified,NE,
NEwr_S14,NEre_RO13,NEwr_WS8,,Unspecified,Otoe,4326,,,1.024E+11,,40.67494107,-96.09636904,,,POD,Unspecified,16023,,Unspecified,NE,
NEwr_S15,NEre_RO13,NEwr_WS8,,Unspecified,Otoe,4326,,,1.024E+11,,40.67494107,-96.09636904,,,POD,Unspecified,16024,,Unspecified,NE,
NEwr_S16,NEre_RO13,NEwr_WS8,,Unspecified,Otoe,4326,,,1.024E+11,,40.67494107,-96.09636904,,,POD,Unspecified,3633,,Unspecified,NE,
NEwr_S17,NEre_RO13,NEwr_WS8,,Unspecified,Otoe,4326,,,1.024E+11,,40.67494107,-96.09636904,,,POD,Unspecified,3641,,Unspecified,NE,
NEwr_S18,NEre_RO13,NEwr_WS8,,Unspecified,Otoe,4326,,,1.024E+11,,40.67494107,-96.09636904,,,POD,Unspecified,3643,,Unspecified,NE,
NEwr_S19,NEre_RO13,NEwr_WS9,,Unspecified,Otoe,4326,,,1.024E+11,,40.66058717,-95.99837359,,,POD,Unspecified,16027,,Unspecified,NE,
NEwr_S20,NEre_RO13,NEwr_WS9,,Unspecified,Otoe,4326,,,1.024E+11,,40.66058717,-95.99837359,,,POD,Unspecified,16028,,Unspecified,NE,
NEwr_S21,NEre_RO13,NEwr_WS9,,Unspecified,Otoe,4326,,,1.024E+11,,40.66058717,-95.99837359,,,POD,Unspecified,16029,,Unspecified,NE,
NEwr_S22,NEre_RO13,NEwr_WS9,,Unspecified,Otoe,4326,,,1.024E+11,,40.66058717,-95.99837359,,,POD,Unspecified,16030,,Unspecified,NE,
NEwr_S23,NEre_RO13,NEwr_WS9,,Unspecified,Otoe,4326,,,1.024E+11,,40.66058717,-95.99837359,,,POD,Unspecified,16031,,Unspecified,NE,
NEwr_S24,NEre_RO13,NEwr_WS10,,Unspecified,Lancaster,4326,,,1.024E+11,,40.54598541,-96.48551103,,,POD,Unspecified,2823,,Unspecified,NE,
NEwr_S25,NEre_RO13,NEwr_WS10,,Unspecified,Lancaster,4326,,,1.024E+11,,40.54598541,-96.48551103,,,POD,Unspecified,2824,,Unspecified,NE,
NEwr_S26,NEre_RO13,NEwr_WS10,,Unspecified,Lancaster,4326,,,1.024E+11,,40.54598541,-96.48551103,,,POD,Unspecified,2831,,Unspecified,NE,
NEwr_S27,NEre_RO13,NEwr_WS10,,Unspecified,Lancaster,4326,,,1.024E+11,,40.54598541,-96.48551103,,,POD,Unspecified,2836,,Unspecified,NE,
NEwr_S28,NEre_RO13,NEwr_WS10,,Unspecified,Lancaster,4326,,,1.024E+11,,40.54598541,-96.48551103,,,POD,Unspecified,15942,,Unspecified,NE,
NEwr_S29,NEre_RO13,NEwr_WS11,,Unspecified,Lancaster,4326,,,1.024E+11,,40.55645415,-96.66309945,,,POD,Unspecified,2877,,Unspecified,NE,
NEwr_S30,NEre_RO13,NEwr_WS11,,Unspecified,Lancaster,4326,,,1.024E+11,,40.55645415,-96.66309945,,,POD,Unspecified,2878,,Unspecified,NE,
NEwr_S31,NEre_RO9,NEwr_WS12,,Unspecified,Lancaster,4326,,,1.02002E+11,,40.60800027,-96.63319966,,,POD,Unspecified,15091,,Unspecified,NE,
NEwr_S32,NEre_RO9,NEwr_WS12,,Unspecified,Lancaster,4326,,,1.02002E+11,,40.60800027,-96.63319966,,,POD,Unspecified,15092,,Unspecified,NE,
NEwr_S33,NEre_RO9,NEwr_WS13,,Unspecified,Lancaster,4326,,,1.02002E+11,,40.63021339,-96.62374774,,,POD,Unspecified,15566,,Unspecified,NE,
NEwr_S34,NEre_RO9,NEwr_WS13,,Unspecified,Lancaster,4326,,,1.02002E+11,,40.63021339,-96.62374774,,,POD,Unspecified,15567,,Unspecified,NE,
NEwr_S35,NEre_RO9,NEwr_WS14,,Unspecified,Lancaster,4326,,,1.02002E+11,,40.77303594,-96.75519444,,,POD,Unspecified,15471,,Unspecified,NE,
NEwr_S36,NEre_RO9,NEwr_WS15,,Unspecified,Butler,4326,,,1.02002E+11,,41.1109425,-96.99086478,,,POD,Unspecified,15629,,Unspecified,NE,
NEwr_S37,NEre_RO9,NEwr_WS15,,Unspecified,Butler,4326,,,1.02002E+11,,41.1109425,-96.99086478,,,POD,Unspecified,15630,,Unspecified,NE,
NEwr_S38,NEre_RO9,NEwr_WS15,,Unspecified,Butler,4326,,,1.02002E+11,,41.1109425,-96.99086478,,,POD,Unspecified,15631,,Unspecified,NE,
NEwr_S39,NEre_RO9,NEwr_WS16,,Unspecified,Butler,4326,,,1.02002E+11,,41.06807929,-96.9903086,,,POD,Unspecified,5044,,Unspecified,NE,
