,AllocationAmount,AllocationApplicationDate,AllocationAssociatedConsumptiveUseSiteIDs,AllocationAssociatedWithdrawalSiteIDs,AllocationBasisCV,AllocationChangeApplicationIndicator,AllocationCommunityWaterSupplySystem,AllocationCropDutyAmount,AllocationExpirationDate,AllocationLegalStatusCV,AllocationMaximum,AllocationNativeID,AllocationOwner,AllocationPriorityDate,AllocationSDWISIdentifierCV,AllocationTimeframeEnd,AllocationTimeframeStart,AllocationTypeCV,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDOI,DataPublicationDate,GeneratedPowerCapacityMW,IrrigatedAcreage,IrrigationMethodCV,LegacyAllocationIDs,MethodUUID,OrganizationUUID,PopulationServed,PowerType,PrimaryUseCategory,ReasonRemoved,SiteUUID,VariableSpecificUUID,WaterAllocationNativeURL,WaterSourceUUID,index
0,"0.33,1.21",,,,,,,,,Active,,A-10131,,"1962-12-14,1962-08-30",,09/30,04/01,,Irrigation from Natural Stream,,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_59,NE_60",NEDNR_Allocation All,,"NE_49,NE_48",57.0
1,"268.6,11013.49",,,,,,,,,Active,,A-10282,,1964-01-20,,09/30,04/01,,Supplemental Irrigation and Incidental Underground Storage,,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_138,NE_137",NEDNR_Allocation All,,NE_89,133.0
2,"0,9.85",,,,,,,,,Active,,A-10286,,1964-01-22,,09/30,04/01,,"Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.)",,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_142,NE_141",NEDNR_Allocation All,,NE_90,136.0
3,"0.83,0.67",,,,,,,,,Active,,A-10447,,1964-09-23,,09/30,04/01,,"Temporary Transfer to In-Stream Use,Irrigation from Natural Stream",,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_221,NE_222",NEDNR_Allocation All,,NE_69,214.0
4,"0.68,1.24",,,,,,,,,Active,,A-10803,,1966-03-16,,09/30,04/01,,"Temporary Transfer to In-Stream Use,Irrigation from Natural Stream",,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_410,NE_411",NEDNR_Allocation All,,NE_69,402.0
5,"0.28,1.15",,,,,,,,,Active,,A-10852,,1966-05-20,,09/30,04/01,,"Temporary Transfer to In-Stream Use,Irrigation from Natural Stream",,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_445,NE_444",NEDNR_Allocation All,,NE_71,435.0
6,"0.08,0.01",,,,,,,,,Active,,A-10882,,1966-07-12,,09/30,04/01,,Irrigation from Natural Stream,,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_470,NE_471",NEDNR_Allocation All,,NE_186,460.0
7,"13.89,14.0",,,,,,,,,Active,,A-11576,,1968-10-18,,09/30,04/01,,"Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.)",,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_899,NE_898",NEDNR_Allocation All,,NE_297,887.0
8,"3.03,3.61",,,,,,,,,Active,,A-11685,,1969-04-07,,09/30,04/01,,"Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.)",,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_964,NE_965",NEDNR_Allocation All,,NE_309,952.0
9,"0.42,1.03",,,,,,,,,Active,,A-12486A,,1972-01-19,,09/30,04/01,,"Temporary Transfer to In-Stream Use,Irrigation from Natural Stream",,,,,08/27/2020,,,,,NEDNR_Water Rights,NEDNR,,,Irrigation,Bad AllocationAmount,"NE_1464,NE_1465",NEDNR_Allocation All,,NE_71,1451.0
