OID_,ProjectID,RightID,ApplicationNumber,LegalDescription,SubSectionID,Section_,Township,Range,RangeDirectionID,HUC_12,Status,Use,Canal_System,Irrigation_District,County,NRD_1,Water_Division,Source,Current_Acres,Grant_,Units,PriorityDate,Longitude,Latitude
1,1,933,D-1025R,SW SW S21 T01N-R41W,11,21,1,41,2,102500020907.000000000000000,Active,IR - Irrigation from Natural Stream,,,Dundy,Upper Republican,1B - Republican River,Republican River,125.000000000000000,1.800000000000000,CFS,4/4/1890 0:00:00,-101.964731259278537,40.033267210450504
2,1,945,A-6427,NE SE S22 T01N-R40W,14,22,1,40,2,102500021104.000000000000000,Active,IR - Irrigation from Natural Stream,,,Dundy,Upper Republican,1B - Republican River,Republican River,91.799999999999997,1.310000000000000,CFS,7/16/1954 0:00:00,-101.816246321972585,40.035813934386091
3,1,1501,A-11007,NW SE S36 T01N-R19W,13,36,1,19,2,102500150307.000000000000000,Active,IR - Irrigation from Natural Stream,,,Harlan,Lower Republican,1B - Republican River,Prairie Dog Creek,32.000000000000000,0.460000000000000,CFS,12/30/1966 0:00:00,-99.410349914135210,40.005893683149885
4,1,1504,A-3010,NW SW S31 T01N-R18W,9,31,1,18,2,102500150307.000000000000000,Active,IR - Irrigation from Natural Stream,,,Harlan,Lower Republican,1B - Republican River,Prairie Dog Creek,75.200000000000003,0.440000000000000,CFS,11/6/1939 0:00:00,-99.404383298452075,40.009102815271419
5,1,1505,A-2948,NW NE S32 T01N-R18W,5,32,1,18,2,102500150307.000000000000000,Active,IR - Irrigation from Natural Stream,,,Harlan,Lower Republican,1B - Republican River,Prairie Dog Creek,35.399999999999999,0.250000000000000,CFS,8/7/1939 0:00:00,-99.375044555682450,40.013726238454495
6,1,1503,A-4951,NW NW S31 T01N-R18W,1,31,1,18,2,102500150307.000000000000000,Active,ST - Storage,,,Harlan,Lower Republican,1B - Republican River,"Prairie Dog Creek, Trib. To",,101.000000000000000,AF,3/22/1952 0:00:00,-99.401062112879004,40.014082799906070
7,1,1582,A-13106,SW NW S35 T01N-R16W,3,35,1,16,2,102500160403.000000000000000,Active,IR - Irrigation from Natural Stream,,,Franklin,Lower Republican,1B - Republican River,Rebecca Creek,28.500000000000000,0.410000000000000,CFS,7/26/1974 0:00:00,-99.099634208809690,40.012629915809363
8,1,1655,A-16328,SE NE S33 T01N-R13W,8,33,1,13,2,102500160408.000000000000000,Active,ST - Storage,,,Franklin,Lower Republican,1B - Republican River,School Creek,,103.900000000000006,AF,8/29/1984 0:00:00,-98.785882686430384,40.011836974944465
9,1,1506,A-3047,SW SE S29 T01N-R18W,15,29,1,18,2,102500150307.000000000000000,Active,IR - Irrigation from Natural Stream,,,Harlan,Lower Republican,1B - Republican River,Prairie Dog Creek,47.899999999999999,0.090000000000000,CFS,12/12/1939 0:00:00,-99.375363866519038,40.017140873747159
10,1,1809,A-3240R,SE SE S35 T01N-R07W,16,35,1,7,2,102500160803.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nuckolls,Lower Republican,1B - Republican River,Republican River,122.000000000000000,0.870000000000000,CFS,8/26/1940 0:00:00,-98.067373735650719,40.002969015435021
11,1,1824,A-15741,SW SE S32 T01N-R06W,15,32,1,6,2,102500160803.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nuckolls,Lower Republican,1B - Republican River,Republican River,75.000000000000000,1.070000000000000,CFS,12/23/1980 0:00:00,-98.015725712496589,40.002825970187210
12,1,1656,A-16379,NE NE S33 T01N-R13W,6,33,1,13,2,102500160408.000000000000000,Active,SO - Stor-only (irrigation from a reservoir on lands not covered by a natural flow appropriation),,,Franklin,Lower Republican,1B - Republican River,South Reservoir Sullivan,62.000000000000000,103.900000000000006,AF,5/10/1985 0:00:00,-98.784495016552185,40.014529274837557
13,1,1657,A-16329,NE NE S33 T01N-R13W,6,33,1,13,2,102500160408.000000000000000,Active,ST - Storage,,,Franklin,Lower Republican,1B - Republican River,School Creek,,28.800000000000001,AF,8/29/1984 0:00:00,-98.783216354538425,40.014811948228825
14,1,1835,A-7443,NW SE S34 T01N-R06W,13,34,1,6,2,102500160804.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nuckolls,Lower Republican,1B - Republican River,Crosby Creek,56.130000000000003,0.400000000000000,CFS,5/4/1955 0:00:00,-97.978663705481210,40.007097478270239
15,1,1815,A-3443R,SE NE S36 T01N-R07W,8,36,1,7,2,102500160803.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nuckolls,Lower Republican,1B - Republican River,"Blakely Creek, Trib. To",86.799999999999997,0.030000000000000,CFS,5/9/1941 0:00:00,-98.048123836891648,40.010464563741415
16,1,1816,A-8422R,SE NE S36 T01N-R07W,8,36,1,7,2,102500160803.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nuckolls,Lower Republican,1B - Republican River,"Blakely Creek, Trib. To",86.799999999999997,0.620000000000000,CFS,3/15/1956 0:00:00,-98.048123836891648,40.010464563741415
17,1,1825,A-4897,SE NW S33 T01N-R06W,4,33,1,6,2,102500160804.000000000000000,Active,ST - Storage,,,Nuckolls,Lower Republican,1B - Republican River,Valley Home Creek,,8.000000000000000,AF,8/9/1951 0:00:00,-98.003567559659757,40.009967964537701
18,1,1808,A-12285,SW NE S33 T01N-R07W,7,33,1,7,2,102500160802.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nuckolls,Lower Republican,1B - Republican River,"Republican River, Trib. To",88.000000000000000,1.260000000000000,CFS,5/28/1971 0:00:00,-98.113100107830476,40.012364494822798
19,1,1685,A-16326,NW SW S26 T01N-R13W,9,26,1,13,2,102500160503.000000000000000,Active,ST - Storage,,,Franklin,Lower Republican,1B - Republican River,Rock Creek,,45.700000000000003,AF,8/29/1984 0:00:00,-98.762994006978516,40.022783077344180
20,1,1711,A-16170,NE SE S29 T01N-R12W,14,29,1,12,2,102500160501.000000000000000,Active,IR - Irrigation from Natural Stream,,,Webster,Lower Republican,1B - Republican River,Walnut Creek,94.700000000000003,1.350000000000000,CFS,2/1/1983 0:00:00,-98.690611383900503,40.021964245880561
21,1,1710,A-12522,NE SE S29 T01N-R12W,14,29,1,12,2,102500160501.000000000000000,Active,IR - Irrigation from Natural Stream,,,Webster,Lower Republican,1B - Republican River,Walnut Creek,14.400000000000000,0.210000000000000,CFS,2/25/1972 0:00:00,-98.690448681315004,40.022500432186774
