RightID,RightStatus,RightUse,ApplicationNumber,Location,PointOfDiversionID,PrimaryIndicator,PointofDiversionStatus,WaterDivision,FieldOffice,CarrierA,CarrierB,SourceName,ProGrant,Units,GPM,Rate,CurrentTotalAcres,CountyName,NRDName,HUC12,PriorityDate,BeneficialDate,ApprovalDate,IrrigationProject,Notice_Status,Notice_EffectiveDate,Notice_Type,Reason_AdminAction,BeneficialUseCategory,ReasonRemoved,index
9810,Active    ,ST,A-18224,NWNE S24-T7-R10W,9145,1,1,1C,,Becker Lake,,Pawnee Creek,181.0,AF,,,,Adams,Little Blue,102702060408,2004-03-25,,2004-05-26T00:00:00,,Open,2018-08-20T00:00:00,Open,Blue River Compact,Storage,Null GPM,0.0
348,Active    ,SI,A-17892B,SWNE S27-T4-R8W,2029,1,1,1C,,Pump,,Pohlmeier Reservoir,17.1,AF,,,49.0,Nuckolls,Little Blue,102702060501,2000-07-18,2003-09-01T00:00:00,2001-03-28T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
348,Active    ,SI,A-17892B,NWNE S27-T4-R8W,10679,7,1,1C,,Pump,,Pohlmeier Reservoir,17.1,AF,,,49.0,Nuckolls,Little Blue,102702060501,2000-07-18,2003-09-01T00:00:00,2001-03-28T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
348,Active    ,SI,A-17892B,NENW S27-T4-R8W,10680,7,1,1C,,Pump,,Pohlmeier Reservoir,17.1,AF,,,49.0,Nuckolls,Little Blue,102702060501,2000-07-18,2003-09-01T00:00:00,2001-03-28T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
9938,Active    ,SI,A-17892A,NENW S27-T4-R8W,2081,7,1,1C,,Pump,,Pohlmeier Reservoir,44.3,AF,,,127.0,Nuckolls,Little Blue,102702060501,2000-07-18,2003-09-01T00:00:00,2001-03-28T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
9938,Active    ,SI,A-17892A,SWNE S27-T4-R8W,10677,1,1,1C,,Pump,,Pohlmeier Reservoir,44.3,AF,,,127.0,Nuckolls,Little Blue,102702060501,2000-07-18,2003-09-01T00:00:00,2001-03-28T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
9938,Active    ,SI,A-17892A,NWNE S27-T4-R8W,10678,7,1,1C,,Pump,,Pohlmeier Reservoir,44.3,AF,,,127.0,Nuckolls,Little Blue,102702060501,2000-07-18,2003-09-01T00:00:00,2001-03-28T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
9945,Active    ,ST,A-18326,SWNW S17-T22-R4E,15412,1,1,2B,,Kulhanek Pond,,"Rock Creek, Trib. To",24.2,AF,,,,Cuming,Lower Elkhorn,102200030403,2005-08-22,,2006-01-20T00:00:00,,Open,2020-09-11T00:00:00,Open,Instream Flow (NGPC and CPNRD),Storage,Null GPM,0.0
10007,Active    ,ST,A-18370, S16-T2-R12E,9475,1,1,1F,,Nettie Stehlik Reservoir,,"Nemaha River, Big, North Fork, Trib. To",26.4,AF,,,,Pawnee,Nemaha,102400080206,2006-01-19,,2006-06-07T00:00:00,,,,,,Storage,Null GPM,0.0
10070,Active    ,ST,A-16315, S6-T25-R10W,9615,1,1,2B,,Cache Creek Res. No. 8,,Cache Creek,3.26,AF,,,0.0,Holt,Upper Elkhorn,102200010802,1984-07-24,,1984-08-15T00:00:00,,Open,2016-05-25T00:00:00,Open,Natural Flow (Reminder),Storage,Null GPM,0.0
9890,Active    ,SO,A-18279,SWNW S19-T10-R5E,9182,1,1,2B,,Pump,,Oak Prairie Irrigation Pit,14.7,AF,,,25.1,Lancaster,Lower Platte South,102002030201,2005-02-11,2009-09-01T00:00:00,2006-05-31T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
10038,Active    ,ST,A-18395, S6-T25-R6W,15739,1,1,2B,,Janet Bentley Reservoir,,"Elkhorn River, Trib. To",72.7,AF,,,,Antelope,Upper Elkhorn,102200011105,2006-04-27,,2006-06-28T00:00:00,,Open,2020-09-11T00:00:00,Open,Instream Flow (NGPC and CPNRD),Storage,Null GPM,0.0
6099,Active    ,SS,A-17610,SENE S25-T21-R12W,6298,1,1,2A,,Lake Ericson,,Cedar River,108.0,AF,,,0.0,Wheeler,Lower Loup,102100100302,1997-08-06,,1999-01-04T00:00:00,,Open,2020-09-11T00:00:00,Open,Instream Flow (NGPC and CPNRD),Supplemental Storage (an appropriation that has a prior appropriation for storage),Null GPM,0.0
9889,Active    ,ST,A-18278,SENW S19-T10-R5E,9659,1,1,2B,,Oak Prairie Irrig. Pit,,"Middle Creek, South Branch, Trib. To",14.7,AF,,,,Lancaster,Lower Platte South,102002030201,2005-02-11,,2006-05-31T00:00:00,,Open,2020-09-11T00:00:00,Open,Instream Flow (NGPC and CPNRD),Storage,Null GPM,0.0
9974,Active    ,ST,A-18355,NENW S15-T3-R6E,9418,1,1,1D,,Belding North Small Res.,,Crystal Creek,1.05,AF,,,,Gage,Lower Big Blue,102702020409,2005-10-27,2009-04-01T00:00:00,2006-05-31T00:00:00,,,,,,Storage,Null GPM,0.0
9812,Active    ,SS,A-18226,NWNE S24-T7-R10W,9147,1,1,1C,,Becker Lake,,"Pawnee Creek, Trib. To",181.0,AF,,,,Adams,Little Blue,102702060408,2004-03-25,,2004-05-26T00:00:00,,Open,2018-08-20T00:00:00,Open,Blue River Compact,Supplemental Storage (an appropriation that has a prior appropriation for storage),Null GPM,0.0
9952,Active    ,ST,A-18333, S8-T10-R12E,9474,1,1,1F,,Koch Reservoir,,"Weeping Water Creek, Trib. To",50.5,AF,,,0.0,Cass,Lower Platte South,102400010204,2005-09-07,,2007-03-06T00:00:00,,,,,,Storage,Null GPM,0.0
8449,Active    ,SI,A-18082,NWNE S30-T32-R13W,14841,1,1,2C,,Pump,,North Reservoir,28.5,AF,,,37.0,Holt,Lower Niobrara,101500070201,2002-05-31,2005-09-01T00:00:00,2003-02-25T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
10528,Active    ,ST,A-18571,NW S1-T5-R12E,7829,1,1,1F,,Arlen Grotrian Reservoir,,Piper Creek,18.5,AF,,,,Nemaha,Nemaha,102400060402,2008-02-19,,2008-08-22T00:00:00,,,,,,Storage,Null GPM,0.0
5557,Active    ,SI,A-15864, S19-T14-R11W,7800,1,1,2A,,Pump,,Tara Reservoir,1.9,AF,,,163.0,Howard,Lower Loup,102100030802,1981-05-05,1983-10-01T00:00:00,1981-08-14T00:00:00,,,,,,Supplemental Irrigation (irrigation from reservoir on lands also covered by natural flow appropriation.),Null GPM,0.0
10355,Active    ,SO,A-12090A, S19-T5-R8W,7450,1,1,1C,,Pump,,Haba Reservoir,9.74,AF,,,126.0,Clay,Little Blue,102702060410,1970-09-29,,,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
10568,Active    ,SO,A-15372A,NW S22-T8-R8W,8067,1,1,1D,,Pump,,Korgan Reservoir,21.79,AF,,,151.0,Clay,Upper Big Blue,102702030303,1978-12-01,1982-10-01T00:00:00,1979-02-16T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
10568,Active    ,SO,A-15372A,NWNE S22-T8-R8W,8068,7,1,1D,,Pump,,Korgan Reservoir,21.79,AF,,,151.0,Clay,Upper Big Blue,102702030303,1978-12-01,1982-10-01T00:00:00,1979-02-16T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
10568,Active    ,SO,A-15372A,SENW S22-T8-R8W,8069,7,1,1D,,Pump,,Korgan Reservoir,21.79,AF,,,151.0,Clay,Upper Big Blue,102702030303,1978-12-01,1982-10-01T00:00:00,1979-02-16T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
10571,Active    ,SO,A-13540A, S25-T19-R2E,7941,1,1,2B,,Pump,,Ternes Reservoir,17.57,AF,,,67.0,Colfax,Lower Elkhorn,102200030505,1975-04-08,1976-10-01T00:00:00,1975-08-15T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
10571,Active    ,SO,A-13540A, S25-T19-R2E,7942,7,1,2B,,Pump,,Ternes Reservoir,17.57,AF,,,67.0,Colfax,Lower Elkhorn,102200030505,1975-04-08,1976-10-01T00:00:00,1975-08-15T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
10572,Active    ,SO,A-13540B, S25-T19-R2E,7943,1,1,2B,,Pump,,Ternes Reservoir,17.57,AF,,,75.0,Colfax,Lower Elkhorn,102200030505,1975-04-08,1976-10-01T00:00:00,1975-08-15T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
10572,Active    ,SO,A-13540B, S25-T19-R2E,7944,7,1,2B,,Pump,,Ternes Reservoir,17.57,AF,,,75.0,Colfax,Lower Elkhorn,102200030505,1975-04-08,1976-10-01T00:00:00,1975-08-15T00:00:00,,,,,,Storage Use-only (irrigation from reservoir on lands not covered by natural flow appropriation),Null GPM,0.0
9981,Active    ,ST,A-18362, S15-T8-R8E,9459,1,1,1F,,Starr Recreation Pond,,"Nemaha River, Little, Trib. To",5.96,AF,,,0.0,Lancaster,Nemaha,102400060203,2005-11-28,,2007-01-11T00:00:00,,,,,,Storage,Null GPM,0.0
9973,Active    ,ST,A-18354,NENW S15-T3-R6E,9417,1,1,1D,,Belding North Small Res.,,Crystal Creek,2.96,AF,,,,Gage,Lower Big Blue,102702020409,2005-10-27,2008-10-01T00:00:00,2006-05-31T00:00:00,,,,,,Storage,Null GPM,0.0
9991,Active    ,ST,A-18365,SWNW S2-T10-R6E,9662,1,1,2B,,Links at  Lincoln Res.,,"Oak Creek, Trib. To",92.7,AF,,,,Lancaster,Lower Platte South,102002030406,2005-12-09,2008-10-01T00:00:00,2006-05-31T00:00:00,,Open,2020-09-11T00:00:00,Open,Instream Flow (NGPC and CPNRD),Storage,Null GPM,0.0
