MethodUUID,OrganizationUUID,ReportingUnitUUID,VariableSpecificUUID,WaterSourceUUID,AllocationCropDutyAmount,Amount,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,InterbasinTransferFromID,InterbasinTransferToID,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifierCV,TimeframeEnd,TimeframeStart,CommunityWaterSupplySyste
NVDWR_Water Use,NVDWR,NVag_RU1,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU2,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU3,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU4,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU5,NVDWR_Withdrawal,NVag_WS1,,4.48,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU6,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU7,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU8,NVDWR_Withdrawal,NVag_WS1,,80.4,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU9,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU10,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU11,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU12,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU13,NVDWR_Withdrawal,NVag_WS1,,208.15,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU14,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU15,NVDWR_Withdrawal,NVag_WS1,,8.41,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU16,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU17,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU18,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU19,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU20,NVDWR_Withdrawal,NVag_WS1,,745.4099999999999,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU21,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
NVDWR_Water Use,NVDWR,NVag_RU22,NVDWR_Withdrawal,NVag_WS1,,0.0,Commercial,,,,05/13/2021,,,,,,,,,Unspecified,2015,,12/31/2015,01/01/2015,
