Year,in_ReportingUnitType,in_ReportingUnitNativeID,in_ReportingUnitName,NV_BenUse,in_Amount,in_TimeframeStart,in_TimeframeEnd
2015,Basin,009,Long Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,033B,Quinn River Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,012,Mosquito Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,007,Swan Lake Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,029,Pine Forest Valley,COM,4.48,01/01/2015,12/31/2015
2015,Basin,014,Surprise Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,189B,Thousand Springs Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,033A,Quinn River Valley,COM,80.4,01/01/2015,12/31/2015
2015,Basin,067,Little Humboldt Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,190,Grouse Creek Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,008,Massacre Lake Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,003,Gridley Lake Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,042,Marys River Area,COM,208.15,01/01/2015,12/31/2015
2015,Basin,068,Hardscrabble Area,COM,0.0,01/01/2015,12/31/2015
2015,Basin,189D,Thousand Springs Valley,COM,8.41,01/01/2015,12/31/2015
2015,Basin,013,Warner Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,011,Coleman Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,041,Goose Creek Area,COM,0.0,01/01/2015,12/31/2015
2015,Basin,010,Macy Flat,COM,0.0,01/01/2015,12/31/2015
2015,Basin,040,Salmon Falls Creek Area,COM,745.4099999999999,01/01/2015,12/31/2015
2015,Basin,006,Guano Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,005,Sage Hen Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,004,Virgin Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,039,Jarbidge River Area,COM,0.0,01/01/2015,12/31/2015
2015,Basin,002,Continental Lake Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,038,Bruneau River Area,COM,0.0,01/01/2015,12/31/2015
2015,Basin,001,Pueblo Valley,COM,10.63,01/01/2015,12/31/2015
2015,Basin,030A,Kings River Valley,COM,112.35,01/01/2015,12/31/2015
2015,Basin,037,Owyhee River Area,COM,0.0,01/01/2015,12/31/2015
2015,Basin,034,Little Owyhee  River Area,COM,0.0,01/01/2015,12/31/2015
2015,Basin,035,South Fork Owyhee River Area,COM,0.0,01/01/2015,12/31/2015
2015,Basin,028,Black Rock Desert,COM,0.0,01/01/2015,12/31/2015
2015,Basin,189C,Thousand Springs Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,069,Paradise Valley,COM,240.49,01/01/2015,12/31/2015
2015,Basin,025,High Rock Lake Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,030B,Kings River Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,027,Summit Lake Valley,COM,0.0,01/01/2015,12/31/2015
2015,Basin,044,North Fork Area,COM,2.54,01/01/2015,12/31/2015
2015,Basin,036,Independence Valley,COM,0.0,01/01/2015,12/31/2015
