OID_,County,Total,COM,CON,DOM,ENV,IND,IRR,MM,MUN,OTH,PWR,QM,REC,STK,WLD,GlobalID,Shape_Length,Shape_Area
1,Clark,96196.890799999993760,1297.000000000000000,438.760800000000017,5746.000000000000000,3240.159999999999854,3238.250000000000000,6209.000000000000000,2989.159999999999854,57176.769999999996799,0.000000000000000,0,10203.340000000000146,5494.449999999999818,21,143.000000000000000,{00000000-0000-0000-0000-000000000000},734866.608383667422459,20877341590.386524200439453
2,Mineral,10993.603916199999730,35.380000000000003,0.000000000000000,96.000000000000000,6.510000000000000,72.303284000000005,6320.000000000000000,1127.885809200000040,1075.750000000000000,0.000000000000000,0,1891.284822999999960,0.000000000000000,64,304.490000000000009,{00000000-0000-0000-0000-000000000000},483551.122120066895150,9870862132.940164566040039
3,Lander,93094.801599119993625,2.020000000000000,0.000000000000000,601.000000000000000,1889.342257849999896,996.637118959999952,79413.285865950005245,7554.372000000000298,923.245557129999952,0.000000000000000,1177,213.476469070000007,49.422330160000001,275,0.000000000000000,{00000000-0000-0000-0000-000000000000},632704.546309775556438,14286827695.831640243530273
4,Churchill,21086.717280199998640,729.440000000000055,1.252111200000000,4192.000000000000000,151.160168999999996,4882.510000000000218,6141.000000000000000,8.650000000000000,2177.918999999999869,0.000000000000000,0,2005.049999999999955,130.719999999999999,341,326.016000000000020,{00000000-0000-0000-0000-000000000000},556646.025404790998437,13009824833.801078796386719
5,Eureka,130096.901028809996205,14.238096219999999,0.000000000000000,232.000000000000000,12.340000000000000,1836.742964369999981,92751.055660119993263,34489.480000000003201,112.794230290000002,0.000000000000000,0,151.250077809999993,0.000000000000000,497,0.000000000000000,{00000000-0000-0000-0000-000000000000},538374.687104616430588,10819743513.318464279174805
6,Washoe,59020.731099869997706,1194.378814070000089,22.000000000000000,8689.799999999999272,5042.199999999999818,1421.830999999999904,18431.939999999998690,0.000000000000000,14335.213380799999868,91.310000000000002,0,6147.948905000000195,1358.058999999999969,1075,1211.049999999999955,{00000000-0000-0000-0000-000000000000},788553.362419782904908,16945521445.987213134765625
7,Lyon,64973.229652460002399,1325.059999999999945,0.720000000000000,4542.000000000000000,0.140000000000000,4549.840000000000146,39306.120994999997492,268.055246000000011,7625.020730459999868,0.000000000000000,0,1831.107680999999957,5162.564999999999600,254,108.599999999999994,{00000000-0000-0000-0000-000000000000},473480.297053341055289,5244386775.892219543457031
8,Esmeralda,39892.819999999999709,16.000000000000000,0.000000000000000,226.000000000000000,0.000000000000000,0.000000000000000,28894.000000000000000,9928.159999999999854,152.979999999999990,1.000000000000000,0,413.680000000000007,181.000000000000000,80,0.000000000000000,{00000000-0000-0000-0000-000000000000},430351.830230925173964,9287197894.737802505493164
9,Carson City,5976.135000000000218,20.585000000000001,0.000000000000000,1031.799999999999955,0.000000000000000,6.770000000000000,94.000000000000000,0.000000000000000,4755.539999999999964,0.000000000000000,0,65.439999999999998,0.000000000000000,2,0.000000000000000,{00000000-0000-0000-0000-000000000000},112860.290827014629031,407504112.699642181396484
10,Humboldt,281525.940298520028591,467.199730139999986,5.532205600000000,1886.000000000000000,0.013441710000000,5231.358648340000400,260454.889384250011062,7811.000000000000000,3298.419052879999981,899.272655060000034,0,312.217459220000023,819.738930979999964,295,45.298790330000003,{00000000-0000-0000-0000-000000000000},713302.003230809117667,25000675292.283298492431641
11,White Pine,99758.711999999999534,51.189999999999998,0.000000000000000,699.000000000000000,0.000000000000000,52.850000000000001,79846.500000000000000,12090.469999999999345,5179.872000000000298,0.000000000000000,0,1457.160000000000082,30.520000000000000,289,62.149999999999999,{00000000-0000-0000-0000-000000000000},613824.753625714103691,23041507058.724414825439453
12,Elko,71735.809628600007272,788.491045569999983,9.990000000000000,3431.000000000000000,502.759184640000001,1361.465022489999910,48426.176018819998717,2116.309999999999945,11754.672363449999466,166.287681740000011,0,1402.347700329999952,259.769411559999980,1499,17.541200000000000,{00000000-0000-0000-0000-000000000000},903593.000510036479682,44545551100.393943786621094
13,Lincoln,62406.160000000003492,668.000000000000000,0.000000000000000,462.000000000000000,0.000000000000000,17.440000000000001,57623.000000000000000,11.000000000000000,3212.719999999999800,8.960000000000001,0,77.689999999999998,43.369999999999997,213,68.980000000000004,{00000000-0000-0000-0000-000000000000},735452.367693006293848,27555173552.850662231445312
14,Pershing,40332.092926329998591,77.168867530000000,0.000000000000000,498.000000000000000,9.609999999999999,0.000000000000000,37084.724826739999116,1353.996000000000095,1058.231500000000096,0.000000000000000,0,151.760981780000009,4.630750280000000,87,6.970000000000000,{00000000-0000-0000-0000-000000000000},541814.610204609576613,15706462464.945619583129883
15,Storey,3733.030000000000200,6.000000000000000,0.000000000000000,899.000000000000000,0.000000000000000,528.820000000000050,0.000000000000000,28.940000000000001,790.830000000000041,0.000000000000000,0,1458.440000000000055,0.000000000000000,0,21.000000000000000,{00000000-0000-0000-0000-000000000000},147130.844347358506639,686031102.167594909667969
16,Douglas,30927.692159859998355,220.505518480000006,0.000000000000000,4076.000000000000000,351.529999999999973,231.830000000000013,9338.794841999999335,0.000000000000000,8176.789999999999964,129.740000000000009,0,5740.551913379999860,652.809886000000006,130,1879.140000000000100,{00000000-0000-0000-0000-000000000000},236387.818431556137512,1911992691.073472976684570
17,Nye,96195.000000000000000,2665.780000000000200,4.000000000000000,6219.000000000000000,0.000000000000000,868.320000000000050,63752.196000000003551,11886.000000000000000,4565.029999999999745,46.460000000000001,0,2612.825024730000223,2824.230000000000018,746,4.790000000000000,{00000000-0000-0000-0000-000000000000},1102181.737202965654433,47096286970.759788513183594
