WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
NVos_WS1,,,Fresh,BARTLETT CREEK,WaDENV_WS1,Surface Water
NVos_WS2,,,Fresh,RIFFE CREEK,WaDENV_WS2,Surface Water
NVos_WS3,,,Fresh,DEEP CREEK,WaDENV_WS3,Surface Water
NVos_WS4,,,Fresh,CROOKED CREEK,WaDENV_WS4,Surface Water
NVos_WS5,,,Fresh,EAST FORK OWYHEE RIVER,WaDENV_WS5,Surface Water
NVos_WS6,,,Fresh,JACKS CREEK,WaDENV_WS6,Surface Water
NVos_WS7,,,Fresh,CLEAR CREEK,WaDENV_WS7,Surface Water
NVos_WS8,,,Fresh,CLEAR CREEK DITCH,WaDENV_WS8,Surface Water
NVos_WS9,,,Fresh,TRAIL CREEK,WaDENV_WS9,Surface Water
NVos_WS10,,,Fresh,VAN DUSER CREEK,WaDENV_WS10,Surface Water
NVos_WS11,,,Fresh,ROAD CANYON CREEK,WaDENV_WS11,Surface Water
NVos_WS12,,,Fresh,WOOD GULCH,WaDENV_WS12,Surface Water
NVos_WS13,,,Fresh,TIMBER GULCH,WaDENV_WS13,Surface Water
NVos_WS14,,,Fresh,BEAVER CREEK,WaDENV_WS14,Surface Water
NVos_WS15,,,Fresh,WARM CREEK,WaDENV_WS15,Surface Water
NVos_WS16,,,Fresh,CHICKEN CREEK,WaDENV_WS16,Surface Water
NVos_WS17,,,Fresh,MARTIN CREEK,WaDENV_WS17,Surface Water
NVos_WS18,,,Fresh,SLAUGHTERHOUSE CREEK,WaDENV_WS18,Surface Water
NVos_WS19,,,Fresh,CALIFORNIA CREEK,WaDENV_WS19,Surface Water
NVos_WS20,,,Fresh,ROSS GULCH,WaDENV_WS20,Surface Water
NVos_WS21,,,Fresh,UPPER BUCK CREEK,WaDENV_WS21,Surface Water
NVos_WS22,,,Fresh,DORSEY CREEK,WaDENV_WS22,Surface Water
NVos_WS23,,,Fresh,MIDDLE FORK CREEK,WaDENV_WS23,Surface Water
NVos_WS24,,,Fresh,MIDDLE FORK CREEK DITCH NO 2,WaDENV_WS24,Surface Water
NVos_WS25,,,Fresh,WESTERBEEK CREEK,WaDENV_WS25,Surface Water
NVos_WS26,,,Fresh,DORSEY CREEK DITCH NO 1,WaDENV_WS26,Surface Water
NVos_WS27,,,Fresh,COLUMBET CREEK,WaDENV_WS27,Surface Water
NVos_WS28,,,Fresh,UPPER MIDDLE FORK CREEK,WaDENV_WS28,Surface Water
NVos_WS29,,,Fresh,WEST FORK UPPER COLUMBET CREEK,WaDENV_WS29,Surface Water
NVos_WS30,,,Fresh,UPPER COLUMBET CREEK,WaDENV_WS30,Surface Water
NVos_WS31,,,Fresh,SANOVIA PIPE,WaDENV_WS31,Surface Water
NVos_WS32,,,Fresh,SANOVIA CREEK,WaDENV_WS32,Surface Water
NVos_WS33,,,Fresh,BUCK CREEK,WaDENV_WS33,Surface Water
NVos_WS34,,,Fresh,CORRAL CREEK,WaDENV_WS34,Surface Water
NVos_WS35,,,Fresh,BUCK CREEK DITCH NO 1,WaDENV_WS35,Surface Water
NVos_WS36,,,Fresh,SALMON RIVER,WaDENV_WS36,Surface Water
NVos_WS37,,,Fresh,VALMY HOT POTS SPRING,WaDENV_WS37,Groundwater
NVos_WS38,,,Fresh,SOUTH FORK LITTLE HUMBOLDT RIVER,WaDENV_WS38,Surface Water
NVos_WS39,,,Fresh,Black Rock Springs,WaDENV_WS39,Groundwater
NVos_WS40,,,Fresh,Blue Spring Canyon Area,WaDENV_WS40,Groundwater
NVos_WS41,,,Fresh,"RW-2, RW-3P, RW-4P, RW-5P, RW-8P, RW-9P",WaDENV_WS41,Groundwater
NVos_WS42,,,Fresh,Holt Spring,WaDENV_WS42,Groundwater
NVos_WS43,,,Fresh,Ice Plant Springs,WaDENV_WS43,Groundwater
NVos_WS44,,,Fresh,,,Surface Water
NVos_WS45,,,Fresh,Lowery Spring,WaDENV_WS45,Groundwater
NVos_WS46,,,Fresh,RW-6P and RW-7P,WaDENV_WS46,Surface Water
NVos_WS47,,,Fresh,Riepe Springs,WaDENV_WS47,Groundwater
NVos_WS48,,,Fresh,Ward Mining District,WaDENV_WS48,Groundwater
NVos_WS49,,,Fresh,SHERIDAN CREEK,WaDENV_WS49,Surface Water
NVos_WS50,,,Fresh,OLD BENNETT SPRING,WaDENV_WS50,Groundwater
NVos_WS51,,,Fresh,UPPER SIMPSON CREEK,WaDENV_WS51,Surface Water
NVos_WS52,,,Fresh,FOUR-EYED NICKS SPRINGS BROOK,WaDENV_WS52,Surface Water
NVos_WS53,,,Fresh,THREE MILE CANYON,WaDENV_WS53,Surface Water
NVos_WS54,,,Fresh,BOX SPRINGS CANYON,WaDENV_WS54,Surface Water
NVos_WS55,,,Fresh,Cain Spring,WaDENV_WS55,Groundwater
NVos_WS56,,,Fresh,Saratoga Hot Spring,WaDENV_WS56,Groundwater
NVos_WS57,,,Fresh,Ink House Spring,WaDENV_WS57,Groundwater
NVos_WS58,,,Fresh,Healy Spring,WaDENV_WS58,Groundwater
NVos_WS59,,,Fresh,Ruby Spring 222,WaDENV_WS59,Groundwater
NVos_WS60,,,Fresh,Whites Creek North Branch,WaDENV_WS60,Surface Water
NVos_WS61,,,Fresh,ROCK CANYON,WaDENV_WS61,Surface Water
NVos_WS62,,,Fresh,,,Groundwater
NVos_WS63,,,Fresh,SEVEN DEVILS HOT SPRINGS,WaDENV_WS62,Groundwater
NVos_WS64,,,Fresh,BUSHEE CREEK,WaDENV_WS63,Surface Water
NVos_WS65,,,Fresh,Barrel Springs,WaDENV_WS64,Groundwater
NVos_WS66,,,Fresh,Outlaw Spring,WaDENV_WS65,Groundwater
NVos_WS67,,,Fresh,Unnamed,WaDENV_WS66,Groundwater
NVos_WS68,,,Fresh,Rabbithole Spring,WaDENV_WS67,Groundwater
NVos_WS69,,,Fresh,Wild Rose Spring,WaDENV_WS68,Groundwater
NVos_WS70,,,Fresh,FRED SPRING,WaDENV_WS69,Groundwater
NVos_WS71,,,Fresh,FLORIO SPRING AND TRIBS,WaDENV_WS70,Groundwater
NVos_WS72,,,Fresh,BULLWACKER SPRING,WaDENV_WS71,Groundwater
NVos_WS73,,,Fresh,UNNAMED SPRING AND SEEPS,WaDENV_WS72,Groundwater
NVos_WS74,,,Fresh,Hot Creek,WaDENV_WS73,Surface Water
NVos_WS75,,,Fresh,LANI SPRING,WaDENV_WS74,Groundwater
NVos_WS76,,,Fresh,Iverson Flume,WaDENV_WS75,Groundwater
NVos_WS77,,,Fresh,FIVE MILE CANYON SPRING #2,WaDENV_WS76,Groundwater
NVos_WS78,,,Fresh,WILLIAMS SPRING,WaDENV_WS77,Surface Water
NVos_WS79,,,Fresh,TORRE CREEK,WaDENV_WS78,Surface Water
NVos_WS80,,,Fresh,RICHMOND SPRING,WaDENV_WS79,Groundwater
NVos_WS81,,,Fresh,BV-045,WaDENV_WS80,Groundwater
NVos_WS82,,,Fresh,BV-046,WaDENV_WS81,Groundwater
NVos_WS83,,,Fresh,SIERRA CANYON CREEK,WaDENV_WS82,Surface Water
NVos_WS84,,,Fresh,SUMMIT SPRING,WaDENV_WS83,Groundwater
NVos_WS85,,,Fresh,MIDDLE SPRING,WaDENV_WS84,Groundwater
NVos_WS86,,,Fresh,UNNAMED SPRING #3,WaDENV_WS85,Groundwater
NVos_WS87,,,Fresh,Smith Creek,WaDENV_WS86,Surface Water
NVos_WS88,,,Fresh,Coyote,WaDENV_WS87,Groundwater
NVos_WS89,,,Fresh,Swallow Spring(s),WaDENV_WS88,Groundwater
NVos_WS90,,,Fresh,Rock Spring,WaDENV_WS89,Groundwater
NVos_WS91,,,Fresh,Cleveland Ranch Spring North,WaDENV_WS90,Groundwater
NVos_WS92,,,Fresh,Cleveland Ranch Spring South,WaDENV_WS91,Groundwater
NVos_WS93,,,Fresh,Keegan Spring Complex North,WaDENV_WS92,Groundwater
NVos_WS94,,,Fresh,Swallow Spring (South),WaDENV_WS93,Groundwater
NVos_WS95,,,Fresh,MILK RANCH SPRING,WaDENV_WS94,Groundwater
NVos_WS96,,,Fresh,Burns Creek,WaDENV_WS95,Surface Water
NVos_WS97,,,Fresh,Stump Creek,WaDENV_WS96,Surface Water
NVos_WS98,,,Fresh,Sheep Creek,WaDENV_WS97,Surface Water
NVos_WS99,,,Fresh,Mahala Creek,WaDENV_WS98,Surface Water
NVos_WS100,,,Fresh,Flag Spring 3,WaDENV_WS99,Groundwater
NVos_WS101,,,Fresh,Hardy,WaDENV_WS100,Groundwater
NVos_WS102,,,Fresh,Maynard Spring,WaDENV_WS101,Groundwater
NVos_WS103,,,Fresh,Keegan,WaDENV_WS102,Groundwater
NVos_WS104,,,Fresh,GANSBERG SPRING/STUTLER CREEK,WaDENV_WS103,Surface Water
NVos_WS105,,,Fresh,MILK RANCH SPRING LOWER SITE,WaDENV_WS104,Groundwater
NVos_WS106,,,Fresh,BV-001,WaDENV_WS105,Groundwater
NVos_WS107,,,Fresh,BV-002,WaDENV_WS106,Surface Water
NVos_WS108,,,Fresh,BV-004,WaDENV_WS107,Groundwater
NVos_WS109,,,Fresh,BV-006,WaDENV_WS108,Surface Water
NVos_WS110,,,Fresh,BV-007,WaDENV_WS109,Groundwater
NVos_WS111,,,Fresh,BV-008,WaDENV_WS110,Groundwater
NVos_WS112,,,Fresh,BV-009,WaDENV_WS111,Groundwater
NVos_WS113,,,Fresh,BV-010,WaDENV_WS112,Groundwater
NVos_WS114,,,Fresh,BV-011,WaDENV_WS113,Groundwater
NVos_WS115,,,Fresh,BV-012,WaDENV_WS114,Groundwater
NVos_WS116,,,Fresh,Ruby Valley Spring System,WaDENV_WS115,Surface Water
NVos_WS117,,,Fresh,Cave Creek,WaDENV_WS116,Groundwater
NVos_WS118,,,Fresh,Silver King,WaDENV_WS117,Groundwater
NVos_WS119,,,Fresh,Lewis,WaDENV_WS118,Groundwater
NVos_WS120,,,Fresh,Parker Station Spring,WaDENV_WS119,Groundwater
NVos_WS121,,,Fresh,Cave,WaDENV_WS120,Groundwater
NVos_WS122,,,Fresh,Littlefield,WaDENV_WS121,Groundwater
NVos_WS123,,,Fresh,Big Mud,WaDENV_WS122,Groundwater
NVos_WS124,,,Fresh,Grassy,WaDENV_WS123,Groundwater
NVos_WS125,,,Fresh,Layton Spring,WaDENV_WS124,Groundwater
NVos_WS126,,,Fresh,Turnley Spring,WaDENV_WS125,Groundwater
NVos_WS127,,,Fresh,South Millick Spring,WaDENV_WS126,Groundwater
NVos_WS128,,,Fresh,Swallow Spring (North),WaDENV_WS127,Groundwater
NVos_WS129,,,Fresh,Willow Spring,WaDENV_WS128,Groundwater
NVos_WS130,,,Fresh,Flag Spring 1,WaDENV_WS129,Groundwater
NVos_WS131,,,Fresh,Flag Spring 2,WaDENV_WS130,Groundwater
NVos_WS132,,,Fresh,SNAKE CREEK,WaDENV_WS131,Surface Water
NVos_WS133,,,Fresh,Cottonwood Springs,WaDENV_WS132,Groundwater
NVos_WS134,,,Fresh,ROWLAND SPRING,WaDENV_WS133,Groundwater
NVos_WS135,,,Fresh,East Cottonwood Creek,WaDENV_WS134,Surface Water
NVos_WS136,,,Fresh,Hot,WaDENV_WS135,Groundwater
NVos_WS137,,,Fresh,BAKER CREEK,WaDENV_WS136,Surface Water
NVos_WS138,,,Fresh,129-455,WaDENV_WS137,Groundwater
NVos_WS139,,,Fresh,GRAYSON SPRING,WaDENV_WS138,Groundwater
NVos_WS140,,,Fresh,BV-070,WaDENV_WS139,Groundwater
NVos_WS141,,,Fresh,BV-056,WaDENV_WS140,Groundwater
NVos_WS142,,,Fresh,BV-044,WaDENV_WS141,Groundwater
NVos_WS143,,,Fresh,Cottonwood Creek,WaDENV_WS142,Surface Water
NVos_WS144,,,Fresh,KITTEN SPRING,WaDENV_WS143,Surface Water
