RegulatoryOverlayUUID,OversightAgency,RegulatoryDescription,RegulatoryName,RegulatoryOverlayNativeID,RegulatoryStatusCV,RegulatoryStatute,RegulatoryStatuteLink,StatutoryEffectiveDate,StatutoryEndDate,RegulatoryOverlayTypeCV,WaterSourceTypeCV
NVre_RO1,Office of the Nevada State Engineer,"No description, not designated.",Long Valley,0,Not Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO2,Office of the Nevada State Engineer,"No description, not designated.",Quinn River Valley,1,Not Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO3,Office of the Nevada State Engineer,"No description, not designated.",Mosquito Valley,2,Not Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO4,Office of the Nevada State Engineer,"No description, not designated.",Swan Lake Valley,3,Not Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO5,Office of the Nevada State Engineer,State Engineer's order(s) list certain types of uses as preferred in these basins.  Quantity restrictions may be placed on these preferred uses.  State Engineer's order(s) also state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.  Other uses may also be listed as denied.,Pine Forest Valley Designated,4,Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO6,Office of the Nevada State Engineer,"No description, not designated.",Surprise Valley,5,Not Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO7,Office of the Nevada State Engineer,State Engineer's order(s) do not define any administrative controls.,Thousand Springs Valley Designated,6,Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO8,Office of the Nevada State Engineer,State Engineer's order(s) do not define any administrative controls.,Quinn River Valley Designated,7,Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO9,Office of the Nevada State Engineer,State Engineer's order(s) do not define any administrative controls.,Little Humboldt Valley Designated,8,Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO10,Office of the Nevada State Engineer,"No description, not designated.",Grouse Creek Valley,9,Not Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO11,Office of the Nevada State Engineer,"No description, not designated.",Massacre Lake Valley,10,Not Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO12,Office of the Nevada State Engineer,"No description, not designated.",Gridley Lake Valley,11,Not Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO13,Office of the Nevada State Engineer,"No description, not designated.",Quinn River Valley,12,Not Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO14,Office of the Nevada State Engineer,State Engineer's order(s) do not define any administrative controls.,Marys River Area Designated,13,Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO15,Office of the Nevada State Engineer,State Engineer's order(s) do not define any administrative controls.,Hardscrabble Area Designated,14,Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO16,Office of the Nevada State Engineer,State Engineer's order(s) do not define any administrative controls.,Thousand Springs Valley Designated,15,Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO17,Office of the Nevada State Engineer,"No description, not designated.",Warner Valley,16,Not Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO18,Office of the Nevada State Engineer,"No description, not designated.",Coleman Valley,17,Not Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO19,Office of the Nevada State Engineer,"No description, not designated.",Goose Creek Area,18,Not Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
