DataPublicationDate,OrganizationUUID,RegulatoryOverlayUUID,ReportingUnitUUID
1981-07-01,NVDWR,NVre_RO1,NVre_RU1
1981-07-01,NVDWR,NVre_RO30,NVre_RU2
1981-07-01,NVDWR,NVre_RO3,NVre_RU3
1981-07-01,NVDWR,NVre_RO4,NVre_RU4
1981-07-01,NVDWR,NVre_RO5,NVre_RU5
1981-07-01,NVDWR,NVre_RO6,NVre_RU6
1981-07-01,NVDWR,NVre_RO7,NVre_RU7
1981-07-01,NVDWR,NVre_RO13,NVre_RU8
1981-07-01,NVDWR,NVre_RO9,NVre_RU9
1981-07-01,NVDWR,NVre_RO10,NVre_RU10
1981-07-01,NVDWR,NVre_RO11,NVre_RU11
1981-07-01,NVDWR,NVre_RO12,NVre_RU12
1981-07-01,NVDWR,NVre_RO14,NVre_RU13
1981-07-01,NVDWR,NVre_RO15,NVre_RU14
1981-07-01,NVDWR,NVre_RO16,NVre_RU15
1981-07-01,NVDWR,NVre_RO17,NVre_RU16
1981-07-01,NVDWR,NVre_RO18,NVre_RU17
1981-07-01,NVDWR,NVre_RO19,NVre_RU18
1981-07-01,NVDWR,NVre_RO20,NVre_RU19
1981-07-01,NVDWR,NVre_RO21,NVre_RU20
1981-07-01,NVDWR,NVre_RO22,NVre_RU21
1981-07-01,NVDWR,NVre_RO23,NVre_RU22
1981-07-01,NVDWR,NVre_RO24,NVre_RU23
1981-07-01,NVDWR,NVre_RO25,NVre_RU24
1981-07-01,NVDWR,NVre_RO26,NVre_RU25
1981-07-01,NVDWR,NVre_RO27,NVre_RU26
1981-07-01,NVDWR,NVre_RO28,NVre_RU27
1981-07-01,NVDWR,NVre_RO29,NVre_RU28
1981-07-01,NVDWR,NVre_RO31,NVre_RU29
1981-07-01,NVDWR,NVre_RO32,NVre_RU30
1981-07-01,NVDWR,NVre_RO33,NVre_RU31
1981-07-01,NVDWR,NVre_RO34,NVre_RU32
1981-07-01,NVDWR,NVre_RO35,NVre_RU33
1981-07-01,NVDWR,NVre_RO36,NVre_RU34
1981-07-01,NVDWR,NVre_RO37,NVre_RU35
1981-07-01,NVDWR,NVre_RO38,NVre_RU36
1981-07-01,NVDWR,NVre_RO39,NVre_RU37
1981-07-01,NVDWR,NVre_RO40,NVre_RU38
1981-07-01,NVDWR,NVre_RO41,NVre_RU39
1981-07-01,NVDWR,NVre_RO42,NVre_RU40
1981-07-01,NVDWR,NVre_RO43,NVre_RU41
1981-07-01,NVDWR,NVre_RO44,NVre_RU42
1981-07-01,NVDWR,NVre_RO45,NVre_RU43
1981-07-01,NVDWR,NVre_RO48,NVre_RU44
1981-07-01,NVDWR,NVre_RO47,NVre_RU45
1981-07-01,NVDWR,NVre_RO49,NVre_RU46
1981-07-01,NVDWR,NVre_RO50,NVre_RU47
1981-07-01,NVDWR,NVre_RO51,NVre_RU48
1981-07-01,NVDWR,NVre_RO52,NVre_RU49
1981-07-01,NVDWR,NVre_RO53,NVre_RU50
1981-07-01,NVDWR,NVre_RO54,NVre_RU51
1981-07-01,NVDWR,NVre_RO55,NVre_RU52
1981-07-01,NVDWR,NVre_RO56,NVre_RU53
1981-07-01,NVDWR,NVre_RO57,NVre_RU54
1981-07-01,NVDWR,NVre_RO58,NVre_RU55
1981-07-01,NVDWR,NVre_RO59,NVre_RU56
1981-07-01,NVDWR,NVre_RO60,NVre_RU57
1981-07-01,NVDWR,NVre_RO61,NVre_RU58
1981-07-01,NVDWR,NVre_RO62,NVre_RU59
1981-07-01,NVDWR,NVre_RO63,NVre_RU60
1981-07-01,NVDWR,NVre_RO64,NVre_RU61
1981-07-01,NVDWR,NVre_RO65,NVre_RU62
1981-07-01,NVDWR,NVre_RO66,NVre_RU63
1981-07-01,NVDWR,NVre_RO67,NVre_RU64
1981-07-01,NVDWR,NVre_RO68,NVre_RU65
1981-07-01,NVDWR,NVre_RO69,NVre_RU66
1981-07-01,NVDWR,NVre_RO70,NVre_RU67
1981-07-01,NVDWR,NVre_RO71,NVre_RU68
1981-07-01,NVDWR,NVre_RO72,NVre_RU69
1981-07-01,NVDWR,NVre_RO73,NVre_RU70
1981-07-01,NVDWR,NVre_RO74,NVre_RU71
1981-07-01,NVDWR,NVre_RO75,NVre_RU72
1981-07-01,NVDWR,NVre_RO76,NVre_RU73
1981-07-01,NVDWR,NVre_RO77,NVre_RU74
1981-07-01,NVDWR,NVre_RO78,NVre_RU75
1981-07-01,NVDWR,NVre_RO79,NVre_RU76
1981-07-01,NVDWR,NVre_RO80,NVre_RU77
1981-07-01,NVDWR,NVre_RO81,NVre_RU78
1981-07-01,NVDWR,NVre_RO82,NVre_RU79
1981-07-01,NVDWR,NVre_RO83,NVre_RU80
1981-07-01,NVDWR,NVre_RO84,NVre_RU81
1981-07-01,NVDWR,NVre_RO85,NVre_RU82
1981-07-01,NVDWR,NVre_RO86,NVre_RU83
1981-07-01,NVDWR,NVre_RO87,NVre_RU84
1981-07-01,NVDWR,NVre_RO88,NVre_RU85
1981-07-01,NVDWR,NVre_RO89,NVre_RU86
1981-07-01,NVDWR,NVre_RO90,NVre_RU87
1981-07-01,NVDWR,NVre_RO91,NVre_RU88
1981-07-01,NVDWR,NVre_RO92,NVre_RU89
1981-07-01,NVDWR,NVre_RO93,NVre_RU90
1981-07-01,NVDWR,NVre_RO94,NVre_RU91
1981-07-01,NVDWR,NVre_RO95,NVre_RU92
1981-07-01,NVDWR,NVre_RO96,NVre_RU93
1981-07-01,NVDWR,NVre_RO97,NVre_RU94
1981-07-01,NVDWR,NVre_RO98,NVre_RU95
1981-07-01,NVDWR,NVre_RO99,NVre_RU96
1981-07-01,NVDWR,NVre_RO100,NVre_RU97
1981-07-01,NVDWR,NVre_RO101,NVre_RU98
1981-07-01,NVDWR,NVre_RO102,NVre_RU99
1981-07-01,NVDWR,NVre_RO103,NVre_RU100
1981-07-01,NVDWR,NVre_RO104,NVre_RU101
1981-07-01,NVDWR,NVre_RO105,NVre_RU102
1981-07-01,NVDWR,NVre_RO106,NVre_RU103
1981-07-01,NVDWR,NVre_RO107,NVre_RU104
1981-07-01,NVDWR,NVre_RO108,NVre_RU105
1981-07-01,NVDWR,NVre_RO109,NVre_RU106
1981-07-01,NVDWR,NVre_RO110,NVre_RU107
1981-07-01,NVDWR,NVre_RO111,NVre_RU108
1981-07-01,NVDWR,NVre_RO112,NVre_RU109
1981-07-01,NVDWR,NVre_RO113,NVre_RU110
1981-07-01,NVDWR,NVre_RO114,NVre_RU111
1981-07-01,NVDWR,NVre_RO115,NVre_RU112
