RegulatoryOverlayUUID,OversightAgency,RegulatoryDescription,RegulatoryName,RegulatoryOverlayNativeID,RegulatoryStatusCV,RegulatoryStatute,RegulatoryStatuteLink,StatutoryEffectiveDate,StatutoryEndDate,RegulatoryOverlayTypeCV,WaterSourceTypeCV
NVre_RO1,Office of the Nevada State Engineer,"No description, not designated.",Long Valley,009,Not Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO2,Office of the Nevada State Engineer,"No description, not designated.",Quinn River Valley,033B,Not Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO3,Office of the Nevada State Engineer,"No description, not designated.",Mosquito Valley,012,Not Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO4,Office of the Nevada State Engineer,"No description, not designated.",Swan Lake Valley,007,Not Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO5,Office of the Nevada State Engineer,State Engineer's order(s) list certain types of uses as preferred in these basins.  Quantity restrictions may be placed on these preferred uses.  State Engineer's order(s) also state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.  Other uses may also be listed as denied.,Pine Forest Valley,029,Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO6,Office of the Nevada State Engineer,"No description, not designated.",Surprise Valley,014,Not Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO7,Office of the Nevada State Engineer,State Engineer's order(s) do not define any administrative controls.,Thousand Springs Valley,189B,Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO8,Office of the Nevada State Engineer,State Engineer's order(s) do not define any administrative controls.,Quinn River Valley,033A,Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO9,Office of the Nevada State Engineer,State Engineer's order(s) do not define any administrative controls.,Little Humboldt Valley,067,Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
NVre_RO10,Office of the Nevada State Engineer,"No description, not designated.",Grouse Creek Valley,190,Not Designated,NRS 534.120,https://www.leg.state.nv.us/NRS/NRS-534.html#NRS534Sec037,07/01/1981,,Groundwater Basin Designations,Groundwater
