SiteUUID,PODorPOUSite,Longitude,Latitude
NVwr_S1,POD,-118.527228999731,41.9883349988498
NVwr_S10,POD,-118.616668999589,41.9438899994191
NVwr_S1000,POD,-118.607773000524,41.0974999993671
NVwr_S1001,POD,-118.760080000436,40.5925119987804
NVwr_S1002,POD,-118.734718000173,40.8991699986707
NVwr_S1003,POD,-118.57861700018,41.067616999381
NVwr_S1004,POD,-118.57197300059,41.0091469994166
NVwr_S1005,POD,-119.347329000347,40.7232899991958
NVwr_S10052,POD,-115.42277499979,41.8766629989739
NVwr_S10052,POD,-115.42277499979,41.8766629989739
NVwr_S10053,POD,-114.762497000067,41.8305549993214
NVwr_S10053,POD,-114.762497000067,41.8305549993214
NVwr_S10053,POD,-114.762497000067,41.8305549993214
NVwr_S10053,POD,-114.762497000067,41.8305549993214
NVwr_S10053,POD,-114.762497000067,41.8305549993214
NVwr_S1006,POD,-118.687782000002,40.7411119987389
NVwr_S1007,POD,-118.929718000126,41.3094439992729
NVwr_S1008,POD,-118.934722999398,41.3058319988644
NVwr_S1009,POD,-118.559447999793,41.3152769991136
NVwr_S1009,POD,-118.559447999793,41.3152769991136
NVwr_S101,POD,-119.889452000454,40.5124559991234
NVwr_S1010,POD,-118.788054999847,40.5641669992572
NVwr_S1010,POD,-118.788054999847,40.5641669992572
NVwr_S1011,POD,-118.728614999413,41.4663889991756
NVwr_S1012,POD,-118.723609999787,41.488887998897
NVwr_S1013,POD,-119.361389000463,40.6711119988944
NVwr_S1014,POD,-119.356383999937,40.6822239992453
NVwr_S10143,POD,-114.774833999571,41.6901609988573
NVwr_S1015,POD,-119.356383999545,40.667499999457
NVwr_S1016,POD,-119.346946999993,40.6599999987228
NVwr_S1017,POD,-119.361388999905,40.6563909992863
NVwr_S10177,POD,-114.103186000129,41.9002999990939
NVwr_S10179,POD,-114.346390000121,41.8194429990151
NVwr_S1018,POD,-118.628059000462,40.9183349994197
NVwr_S1018,POD,-118.628059000462,40.9183349994197
NVwr_S10180,POD,-114.247092000565,41.7379439988384
NVwr_S10181,POD,-114.121823999468,41.7213539986586
NVwr_S10182,POD,-114.170703000366,41.8487399990672
NVwr_S10183,POD,-114.14750300059,41.8505649992151
NVwr_S10184,POD,-114.156846999586,41.8265439990611
NVwr_S10185,POD,-114.077052000362,41.8901289992275
NVwr_S10186,POD,-114.184936000007,41.7838219988006
NVwr_S10187,POD,-114.106794000426,41.7222559991022
NVwr_S1019,POD,-118.930000000425,41.256389999227
NVwr_S10193,POD,-114.969444000597,41.1088889986966
NVwr_S10195,POD,-115.111945999448,41.3952789986484
NVwr_S10196,POD,-114.95677899982,41.102219998943
NVwr_S10197,POD,-114.953676999625,41.1021319988517
NVwr_S10198,POD,-115.250058000339,41.3201899986804
NVwr_S10199,POD,-115.175728000243,41.2706039994721
NVwr_S1020,POD,-118.954720000113,41.4622229986847
NVwr_S10200,POD,-115.128791999811,41.3928649987133
NVwr_S10201,POD,-115.214906999943,41.4950879988447
NVwr_S10202,POD,-114.955614999883,41.100886999289
NVwr_S10203,POD,-114.950271999707,41.2413899993986
NVwr_S10204,POD,-115.398055999673,41.0647199991189
NVwr_S10205,POD,-115.215629000126,41.1530749990269
NVwr_S10206,POD,-115.090579000342,41.2204259986506
NVwr_S10207,POD,-115.081532999815,41.2508259990959
NVwr_S10208,POD,-114.976944000198,41.2838899990936
NVwr_S10209,POD,-115.12694499983,41.283053998992
NVwr_S1021,POD,-118.954720000087,41.4466669992327
NVwr_S10210,POD,-114.881641999776,41.191833998833
NVwr_S10211,POD,-115.12584800059,41.5152699992948
NVwr_S10213,POD,-115.025002000379,41.2619439992547
NVwr_S10214,POD,-114.90803600021,41.1425869991181
NVwr_S10215,POD,-114.992661000353,41.1318889992686
NVwr_S10216,POD,-115.025810000551,41.2595509991404
NVwr_S10217,POD,-115.008198000169,41.2374349987463
NVwr_S10218,POD,-115.305557000128,41.6127779992911
NVwr_S10219,POD,-115.268721999557,41.075234999458
NVwr_S1022,POD,-118.967223999445,41.3969459988526
NVwr_S1022,POD,-118.967223999445,41.3969459988526
NVwr_S10220,POD,-114.996109000439,41.2838899987217
NVwr_S10221,POD,-115.141388000436,41.1377789987447
NVwr_S10222,POD,-114.855835000029,41.198890998727
NVwr_S10223,POD,-115.12916599953,41.2886119988924
NVwr_S10224,POD,-114.901769000347,41.1993719993494
NVwr_S10225,POD,-115.015555999467,41.2913889993947
NVwr_S10226,POD,-115.30250499944,41.0788879989225
NVwr_S10227,POD,-115.696671000345,40.7141689987568
NVwr_S10228,POD,-115.613609000208,40.6713909991611
NVwr_S10228,POD,-115.613609000208,40.6713909991611
NVwr_S10229,POD,-115.978615000444,40.5155559986616
NVwr_S1023,POD,-118.982223999422,41.3933329987395
NVwr_S10230,POD,-115.658615000045,40.7580569991839
NVwr_S10231,POD,-115.684444000436,40.8072219989289
NVwr_S10231,POD,-115.684444000436,40.8072219989289
NVwr_S10232,POD,-115.615828999724,40.6583369993573
NVwr_S10233,POD,-115.993049999597,40.5227779989722
NVwr_S10234,POD,-115.754448000509,40.7325019990487
NVwr_S10235,POD,-115.763611000375,40.6377789987084
NVwr_S10236,POD,-115.718659999577,40.7094759989051
NVwr_S10237,POD,-115.62528200042,40.7102779987582
NVwr_S10238,POD,-115.58611299988,40.7097239990273
NVwr_S10238,POD,-115.58611299988,40.7097239990273
NVwr_S10239,POD,-115.981110000521,40.6166649987852
NVwr_S1024,POD,-118.655838000534,40.7838899992173
NVwr_S1024,POD,-118.655838000534,40.7838899992173
NVwr_S1024,POD,-118.655838000534,40.7838899992173
NVwr_S1024,POD,-118.655838000534,40.7838899992173
NVwr_S10240,POD,-115.998603999933,40.5774989992228
NVwr_S10241,POD,-115.941665999486,40.6172219988946
NVwr_S10242,POD,-115.720558000406,40.7105559990739
NVwr_S10243,POD,-115.648675000381,40.7600169987318
NVwr_S10244,POD,-115.665832999544,40.7636109991369
NVwr_S10245,POD,-115.67773300049,40.7240829987521
NVwr_S10246,POD,-115.625281999736,40.8022229994424
NVwr_S10247,POD,-116.010559000122,40.6086079994753
NVwr_S10247,POD,-116.010559000122,40.6086079994753
NVwr_S10248,POD,-115.739998000227,40.6961139986584
NVwr_S10249,POD,-115.531111000167,40.704166999091
NVwr_S1025,POD,-118.693893000065,40.7724989991417
NVwr_S1025,POD,-118.693893000065,40.7724989991417
NVwr_S1025,POD,-118.693893000065,40.7724989991417
NVwr_S10250,POD,-115.742696000504,40.7069619992203
NVwr_S10251,POD,-115.989166000219,40.5955539987437
NVwr_S10252,POD,-115.782783999887,40.6855579989346
NVwr_S10253,POD,-115.763611000094,40.6597249994994
NVwr_S10254,POD,-115.922218000036,40.5916669987571
NVwr_S10255,POD,-115.893332999449,40.587775998633
NVwr_S10256,POD,-115.653892999727,40.7655559993414
NVwr_S10256,POD,-115.653892999727,40.7655559993414
NVwr_S10257,POD,-115.763610999477,40.6927799990981
NVwr_S1026,POD,-118.693893000065,40.7724989991417
NVwr_S1026,POD,-118.693893000065,40.7724989991417
NVwr_S1026,POD,-118.693893000065,40.7724989991417
NVwr_S1026,POD,-118.693893000065,40.7724989991417
NVwr_S10261,POD,-115.663055000567,40.7983319986707
NVwr_S10266,POD,-117.413054999453,39.9724999988221
NVwr_S10266,POD,-117.413054999453,39.9724999988221
NVwr_S10267,POD,-117.433052000453,39.9574999993867
NVwr_S10268,POD,-117.394165000321,40.0263899991605
NVwr_S10269,POD,-117.365273000446,39.997779998692
NVwr_S1027,POD,-118.52573499996,40.9844099994094
NVwr_S1027,POD,-118.52573499996,40.9844099994094
NVwr_S10270,POD,-117.459721999776,39.9591669993123
NVwr_S10271,POD,-117.33193999962,39.9761119989124
NVwr_S10271,POD,-117.33193999962,39.9761119989124
NVwr_S10272,POD,-117.456939999471,39.9866679993534
NVwr_S10273,POD,-117.365272999476,39.9941669988379
NVwr_S10274,POD,-117.371116999423,40.0405539987476
NVwr_S10274,POD,-117.371116999423,40.0405539987476
NVwr_S10275,POD,-117.393608000348,39.9872209988206
NVwr_S10275,POD,-117.393608000348,39.9872209988206
NVwr_S10275,POD,-117.393608000348,39.9872209988206
NVwr_S10275,POD,-117.393608000348,39.9872209988206
NVwr_S10275,POD,-117.393608000348,39.9872209988206
NVwr_S10276,POD,-117.418884000176,39.9430579991017
NVwr_S10277,POD,-117.322777000354,40.0013889994371
NVwr_S10278,POD,-117.427498000241,40.004722999478
NVwr_S10279,POD,-117.408057999664,40.005000999038
NVwr_S1028,POD,-118.526947000181,40.9852789995002
NVwr_S10280,POD,-117.399162000076,39.9577789986218
NVwr_S10280,POD,-117.399162000076,39.9577789986218
NVwr_S10281,POD,-117.456939999605,39.9830549989939
NVwr_S10282,POD,-117.351111999726,39.9797209991977
NVwr_S10283,POD,-117.384994999521,39.9577789989244
NVwr_S10284,POD,-117.356667000462,40.0263899986369
NVwr_S10285,POD,-117.463881999764,39.6413919987045
NVwr_S10286,POD,-117.399089999824,39.7434949991485
NVwr_S10287,POD,-117.403335999906,39.9941669991719
NVwr_S10287,POD,-117.403335999906,39.9941669991719
NVwr_S10288,POD,-117.454163000062,39.6413919994446
NVwr_S1029,POD,-118.525284000411,40.8424989987676
NVwr_S10298,POD,-117.453641999462,39.9550139992637
NVwr_S10298,POD,-117.453641999462,39.9550139992637
NVwr_S1030,POD,-118.624443000012,40.9000019990605
NVwr_S10304,POD,-117.225280999661,40.03777699925
NVwr_S10304,POD,-117.225280999661,40.03777699925
NVwr_S10305,POD,-117.225281000199,40.0305559991776
NVwr_S10306,POD,-117.211388000274,40.0594439987011
NVwr_S10306,POD,-117.211388000274,40.0594439987011
NVwr_S10306,POD,-117.211388000274,40.0594439987011
NVwr_S10306,POD,-117.211388000274,40.0594439987011
NVwr_S10307,POD,-117.249161000365,40.059165998837
NVwr_S10307,POD,-117.249161000365,40.059165998837
NVwr_S10308,POD,-117.248886000428,40.0449979986957
NVwr_S10309,POD,-117.230002999721,40.0449979986487
NVwr_S10309,POD,-117.230002999721,40.0449979986487
NVwr_S1031,POD,-118.63854300006,40.89923999876
NVwr_S10310,POD,-117.130446000103,40.1019739990812
NVwr_S10311,POD,-117.15694399958,40.0891649987004
NVwr_S10312,POD,-117.241666999662,40.0324999989325
NVwr_S10313,POD,-117.248329000121,40.0161089986858
NVwr_S10314,POD,-117.103055999583,40.2383329990023
NVwr_S10315,POD,-117.131111000141,40.1352779994078
NVwr_S10316,POD,-117.10055500015,40.2291679988372
NVwr_S10317,POD,-117.189719999881,40.0888859991403
NVwr_S10317,POD,-117.189719999881,40.0888859991403
NVwr_S10318,POD,-117.184997999938,40.0741649994683
NVwr_S10319,POD,-117.267502000402,40.0302769992155
NVwr_S1032,POD,-118.838058000097,41.5252759994176
NVwr_S1032,POD,-118.838058000097,41.5252759994176
NVwr_S1032,POD,-118.838058000097,41.5252759994176
NVwr_S10320,POD,-117.2583310004,40.0447239987905
NVwr_S10320,POD,-117.2583310004,40.0447239987905
NVwr_S10321,POD,-117.100555000139,40.2219469987204
NVwr_S10322,POD,-117.253890999545,40.059165999422
NVwr_S10322,POD,-117.253890999545,40.059165999422
NVwr_S10322,POD,-117.253890999545,40.059165999422
NVwr_S10323,POD,-117.170830000229,40.0741649994506
NVwr_S10323,POD,-117.170830000229,40.0741649994506
NVwr_S10324,POD,-117.26778399987,40.0447239987754
NVwr_S10324,POD,-117.26778399987,40.0447239987754
NVwr_S10325,POD,-117.263053999878,40.0447239995206
NVwr_S10326,POD,-117.224997999623,40.0163879988014
NVwr_S10326,POD,-117.224997999623,40.0163879988014
NVwr_S10327,POD,-117.206383000082,40.0199999986672
NVwr_S10328,POD,-117.220557999441,40.030833998748
NVwr_S10328,POD,-117.220557999441,40.030833998748
NVwr_S10329,POD,-117.250556000092,40.010832998803
NVwr_S1033,POD,-118.682777000383,40.8536109989684
NVwr_S1033,POD,-118.682777000383,40.8536109989684
NVwr_S10330,POD,-117.251444000569,40.0178319993351
NVwr_S10331,POD,-117.114723000437,40.2219469988466
NVwr_S10332,POD,-117.192222999514,40.048888998724
NVwr_S10333,POD,-117.219994999586,40.0545289990992
NVwr_S10334,POD,-117.239165999774,40.0233349993515
NVwr_S10334,POD,-117.239165999774,40.0233349993515
NVwr_S10334,POD,-117.239165999774,40.0233349993515
NVwr_S10335,POD,-117.166388999425,40.0963859989015
NVwr_S10336,POD,-117.138054000542,40.1041639995112
NVwr_S10336,POD,-117.138054000542,40.1041639995112
NVwr_S10336,POD,-117.138054000542,40.1041639995112
NVwr_S10336,POD,-117.138054000542,40.1041639995112
NVwr_S10337,POD,-117.128615999429,40.1336139988878
NVwr_S10337,POD,-117.128615999429,40.1336139988878
NVwr_S10338,POD,-117.197219999475,40.0630529987875
NVwr_S10339,POD,-117.192222999974,40.052497998659
NVwr_S1034,POD,-118.711388000104,40.8497199991914
NVwr_S10340,POD,-117.229720999596,40.0091669991617
NVwr_S10340,POD,-117.229720999596,40.0091669991617
NVwr_S10341,POD,-117.128616000567,40.1297189992852
NVwr_S10341,POD,-117.128616000567,40.1297189992852
NVwr_S10342,POD,-117.229721000424,40.023608998752
NVwr_S10342,POD,-117.229721000424,40.023608998752
NVwr_S10343,POD,-117.2252810004,40.0413889987268
NVwr_S10344,POD,-117.225555000239,40.0558319992149
NVwr_S10344,POD,-117.225555000239,40.0558319992149
NVwr_S10345,POD,-117.189720000061,40.0777779991907
NVwr_S10345,POD,-117.189720000061,40.0777779991907
NVwr_S10345,POD,-117.189720000061,40.0777779991907
NVwr_S10346,POD,-117.215553000084,40.0163879993971
NVwr_S10346,POD,-117.215553000084,40.0163879993971
NVwr_S10346,POD,-117.215553000084,40.0163879993971
NVwr_S10346,POD,-117.215553000084,40.0163879993971
NVwr_S10347,POD,-117.152221999709,40.1038859995078
NVwr_S10347,POD,-117.152221999709,40.1038859995078
NVwr_S10347,POD,-117.152221999709,40.1038859995078
NVwr_S10347,POD,-117.152221999709,40.1038859995078
NVwr_S10348,POD,-117.196945000414,40.0524979987952
NVwr_S10348,POD,-117.196945000414,40.0524979987952
NVwr_S10348,POD,-117.196945000414,40.0524979987952
NVwr_S10348,POD,-117.196945000414,40.0524979987952
NVwr_S10349,POD,-117.234717999754,40.0413889988412
NVwr_S10350,POD,-117.215827999915,40.023608998964
NVwr_S10350,POD,-117.215827999915,40.023608998964
NVwr_S10351,POD,-117.272507000166,40.0519449992977
NVwr_S10352,POD,-117.147498999828,40.1113889988905
NVwr_S10353,POD,-117.095558000135,40.1961139991964
NVwr_S10354,POD,-117.224997999704,40.0236089994611
NVwr_S10354,POD,-117.224997999704,40.0236089994611
NVwr_S10354,POD,-117.224997999704,40.0236089994611
NVwr_S10355,POD,-117.211104999594,40.0236089992502
NVwr_S10355,POD,-117.211104999594,40.0236089992502
NVwr_S10356,POD,-117.239441000349,40.0522229991195
NVwr_S10357,POD,-117.015756999501,40.1233939988261
NVwr_S10358,POD,-117.159523000107,39.9595599989013
NVwr_S10369,POD,-115.315276999804,41.6350019991601
NVwr_S10370,POD,-115.377777000208,41.3130529992534
NVwr_S10371,POD,-115.28583499995,41.1902769986364
NVwr_S10372,POD,-115.285834999719,41.1938899992485
NVwr_S10373,POD,-115.437500000254,41.3866689993273
NVwr_S10374,POD,-115.434998000104,41.3883359987754
NVwr_S10375,POD,-115.353050000475,41.4605559988527
NVwr_S10376,POD,-115.266672999674,41.3634709994179
NVwr_S10378,POD,-115.226111999565,41.1369479991737
NVwr_S10379,POD,-114.963768000026,41.1479499990063
NVwr_S10380,POD,-115.302504999568,41.1083339992556
NVwr_S10380,POD,-115.302504999568,41.1083339992556
NVwr_S10381,POD,-115.108783000115,41.5563989991888
NVwr_S10382,POD,-115.125187000117,41.5614299995065
NVwr_S10383,POD,-115.131715999397,41.556466999442
NVwr_S10384,POD,-115.160003999994,41.1969449991848
NVwr_S10385,POD,-115.174720999432,41.2119449994441
NVwr_S10386,POD,-115.199165000327,41.1641689992679
NVwr_S10387,POD,-115.072501999762,41.2733349989176
NVwr_S10388,POD,-115.139998999882,41.2372209990081
NVwr_S10389,POD,-115.154723999704,41.2374989986656
NVwr_S10390,POD,-115.194442999549,41.1530569994584
NVwr_S10391,POD,-115.199164999964,41.1533359990168
NVwr_S10400,POD,-115.064445000106,41.1047209987495
NVwr_S10401,POD,-115.064444999827,41.1011089988937
NVwr_S10402,POD,-115.184653999567,41.026743999446
NVwr_S10403,POD,-115.296668999609,40.8830529992757
NVwr_S10404,POD,-115.219170000562,40.851108998812
NVwr_S10405,POD,-115.315833999952,40.9127809987162
NVwr_S10406,POD,-115.355835000584,40.8144449990542
NVwr_S10406,POD,-115.355835000584,40.8144449990542
NVwr_S10407,POD,-115.281112999653,41.0549999986205
NVwr_S10408,POD,-115.298111000372,40.905289998905
NVwr_S10409,POD,-115.19560000016,40.8666999986429
NVwr_S10410,POD,-115.150095000202,41.0852149987187
NVwr_S10411,POD,-115.420273000573,40.9799999993436
NVwr_S10412,POD,-115.247679000482,40.8627039993217
NVwr_S10413,POD,-115.302503000532,40.8608339989924
NVwr_S10413,POD,-115.302503000532,40.8608339989924
NVwr_S10414,POD,-115.347971999636,40.8210879994069
NVwr_S10415,POD,-115.296112000241,40.7627789993713
NVwr_S10416,POD,-115.225280999681,40.9750019992468
NVwr_S10417,POD,-115.014724999476,41.0411109992953
NVwr_S10418,POD,-115.196388000395,41.0255549991041
NVwr_S10419,POD,-115.217465000301,40.8196309993244
NVwr_S10420,POD,-115.41555799983,40.9655569988616
NVwr_S10421,POD,-115.406112999422,40.9799999991783
NVwr_S10422,POD,-115.219719000523,41.0363879993703
NVwr_S10422,POD,-115.219719000523,41.0363879993703
NVwr_S10423,POD,-115.297501000549,40.8138889990113
NVwr_S10424,POD,-115.286667000042,40.9163889992364
NVwr_S10425,POD,-115.311110999671,40.9166679991631
NVwr_S10426,POD,-115.082222000058,41.0241659988177
NVwr_S10427,POD,-115.153336000581,41.0577769988226
NVwr_S10428,POD,-115.301116999455,40.9538879994246
NVwr_S10429,POD,-115.010558999606,41.111110999018
NVwr_S10443,POD,-115.812158000342,41.0636579991049
NVwr_S10444,POD,-115.659446999717,41.1327739993931
NVwr_S10445,POD,-115.870833999977,41.4766649992449
NVwr_S10446,POD,-115.544441000062,40.9727779992287
NVwr_S10447,POD,-115.867045000222,41.5212659988921
NVwr_S10448,POD,-115.563525999522,41.0859319991225
NVwr_S10449,POD,-115.853889000484,41.1455569993732
NVwr_S10449,POD,-115.853889000484,41.1455569993732
NVwr_S10450,POD,-115.653149000197,41.5923859990711
NVwr_S10451,POD,-115.839447000427,41.1347239993422
NVwr_S10452,POD,-115.959356999888,41.1354999990296
NVwr_S10453,POD,-115.546387000337,40.9511109989349
NVwr_S10454,POD,-115.853988999436,41.3041769988925
NVwr_S10455,POD,-115.522338999953,41.4149099987172
NVwr_S10456,POD,-115.462776000089,40.9658359987392
NVwr_S10457,POD,-115.692223000391,41.3044429991998
NVwr_S10458,POD,-115.6550680004,41.5949409991152
NVwr_S10459,POD,-115.853377999932,41.1633029990118
NVwr_S10460,POD,-115.794998000255,41.1894449992847
NVwr_S10461,POD,-115.780555999482,41.2038879987847
NVwr_S10462,POD,-115.790000999667,41.207499999437
NVwr_S10463,POD,-115.814728000332,41.1638909986611
NVwr_S10464,POD,-115.415000999942,41.3447229987818
NVwr_S10465,POD,-115.415275999824,41.2750019989644
NVwr_S10497,POD,-115.457160000455,40.7767849986361
NVwr_S10498,POD,-115.472524999883,40.6874209993208
NVwr_S10499,POD,-115.446189999639,40.738553999276
NVwr_S10500,POD,-115.445172000271,40.7349139986446
NVwr_S10501,POD,-115.384719999423,40.821944999468
NVwr_S10502,POD,-115.402779000135,40.6897239988886
NVwr_S10503,POD,-115.516388000227,40.6763919987428
NVwr_S10504,POD,-115.437540000483,40.7624279993181
NVwr_S10505,POD,-115.60360700005,40.9508319995112
NVwr_S10506,POD,-115.432495000143,40.9286119993345
NVwr_S10507,POD,-115.487901999688,40.7316149992027
NVwr_S10508,POD,-115.425555999866,40.8422219990492
NVwr_S10509,POD,-115.457222000095,40.8405529991984
NVwr_S10510,POD,-115.477501000597,40.7350009987914
NVwr_S10511,POD,-115.528618000314,40.7316669990875
NVwr_S10512,POD,-115.359160999526,40.7838899992283
NVwr_S10513,POD,-115.53447900017,40.7655969993164
NVwr_S10514,POD,-115.511646000431,40.7716369988522
NVwr_S10515,POD,-115.360000999728,40.9169459993832
NVwr_S10516,POD,-115.369719999717,40.9244459992468
NVwr_S10517,POD,-115.350273000283,40.9169459988013
NVwr_S10518,POD,-115.478381000009,40.7776089993053
NVwr_S10519,POD,-115.466941999809,40.8624989986303
NVwr_S10520,POD,-115.457221999499,40.8586079991433
NVwr_S10521,POD,-115.461944999954,40.8697199993502
NVwr_S10522,POD,-115.481667000068,40.8588869993525
NVwr_S10523,POD,-115.47666900051,40.8588869990711
NVwr_S10524,POD,-115.417777999708,40.8583339990104
NVwr_S10525,POD,-115.428739000293,40.7064339992407
NVwr_S10526,POD,-115.428328999728,40.8222199986149
NVwr_S10527,POD,-115.48319400051,40.7684339989836
NVwr_S10528,POD,-115.368613999555,40.6269419988214
NVwr_S10529,POD,-115.514441999482,40.7244449992368
NVwr_S10530,POD,-115.375071999832,40.7776769990157
NVwr_S10531,POD,-115.445557000586,40.6430589988918
NVwr_S10532,POD,-115.428055000171,40.8402749991403
NVwr_S10533,POD,-115.418053000215,40.8547209991205
NVwr_S10538,POD,-117.80692400056,41.5549159992669
NVwr_S10539,POD,-117.700556000034,41.3711109991061
NVwr_S10540,POD,-117.831940000404,41.7322239994221
NVwr_S10541,POD,-117.833054000235,41.5277789991478
NVwr_S10542,POD,-117.82360800037,41.5349999986792
NVwr_S10543,POD,-117.842780999841,41.5497209992714
NVwr_S10544,POD,-117.812782000413,41.7027779990914
NVwr_S1057,POD,-119.561393999416,41.6083339988562
NVwr_S1058,POD,-119.620560000504,41.5483319987007
NVwr_S1059,POD,-119.574705999444,41.6902799990812
NVwr_S10599,POD,-115.494438000141,40.5913889988929
NVwr_S10599,POD,-115.494438000141,40.5913889988929
NVwr_S1060,POD,-119.659721000443,41.6411129993733
NVwr_S10600,POD,-114.664443999958,40.0899999992009
NVwr_S10601,POD,-115.564728000338,40.5624999994506
NVwr_S10602,POD,-115.701384999837,40.6002769994254
NVwr_S10603,POD,-115.711694000419,40.6157669992032
NVwr_S10603,POD,-115.711694000419,40.6157669992032
NVwr_S10604,POD,-115.583611000141,40.5552789986656
NVwr_S10605,POD,-115.413055000125,40.5833319993086
NVwr_S10606,POD,-115.54110700017,40.6022219995107
NVwr_S10607,POD,-115.539444000267,40.5247229987157
NVwr_S1061,POD,-119.654649999423,41.6741849994039
NVwr_S10616,POD,-115.667569000428,40.4223609994479
NVwr_S10617,POD,-115.583969999644,40.0184379987713
NVwr_S10618,POD,-115.588006000145,40.0091139993118
NVwr_S10619,POD,-115.726815000297,40.367676998944
NVwr_S1062,POD,-119.685593000165,41.7399679989046
NVwr_S10620,POD,-115.793520999519,39.907192999484
NVwr_S10621,POD,-115.801102000082,39.9345239993592
NVwr_S10622,POD,-115.65499900053,40.4802779988526
NVwr_S10623,POD,-115.808776000321,40.0537419987021
NVwr_S10624,POD,-115.810726000061,40.0635659993551
NVwr_S10625,POD,-115.764167999883,40.1413919989528
NVwr_S10626,POD,-115.628986000555,40.3597959993179
NVwr_S10627,POD,-115.601943999927,40.2058329986279
NVwr_S10628,POD,-115.770560999442,39.9508319990199
NVwr_S10629,POD,-115.842499000051,40.3838919992546
NVwr_S1063,POD,-119.580001999534,41.6841659994635
NVwr_S10630,POD,-115.652778999736,40.4247249993083
NVwr_S10631,POD,-115.753891000434,40.4163889993424
NVwr_S10632,POD,-115.568886000378,39.9505579994522
NVwr_S10633,POD,-115.703809999973,40.2612509991522
NVwr_S10634,POD,-115.758613999761,40.4055559992701
NVwr_S10635,POD,-115.578260000444,40.4740399991448
NVwr_S10636,POD,-115.789718999671,40.3133319989179
NVwr_S10637,POD,-115.789444000436,40.2988889995028
NVwr_S10638,POD,-115.611389000078,39.9622229994816
NVwr_S10639,POD,-115.788886999564,39.9469449990402
NVwr_S10640,POD,-115.584167000333,40.4761119991531
NVwr_S10641,POD,-115.673567000163,40.2533899995176
NVwr_S10642,POD,-115.684507999924,40.3479249990676
