OID_,BasinID,BasinName,SubAreaNam,Designated,DesigStatu,DesigOrder,PreferUse,HydRegID,HydRegName,Shape_STAr,Shape_STLe,in_BasinName,in_RegulatoryStatusCV,in_RegulatoryDescription
0,009,Long Valley, ,No, , , ,1,Northwest Region,1126935605.8,225645.674761,Long Valley,Not Designated,"No description, not designated."
1,033B,Quinn River Valley,McDermitt Subarea,No, , , ,2,Black Rock Desert Region,239619862.962,247552.099201,Quinn River Valley,Not Designated,"No description, not designated."
2,012,Mosquito Valley, ,No, , , ,1,Northwest Region,85753381.2618,47416.6313212,Mosquito Valley,Not Designated,"No description, not designated."
3,007,Swan Lake Valley, ,No, , , ,1,Northwest Region,605153604.631,140437.181358,Swan Lake Valley,Not Designated,"No description, not designated."
4,029,Pine Forest Valley, ,Yes,PUID,711,1290,2,Black Rock Desert Region,1370976822.1,191394.527411,Pine Forest Valley Designated,Designated,State Engineer's order(s) list certain types of uses as preferred in these basins.  Quantity restrictions may be placed on these preferred uses.  State Engineer's order(s) also state that irrigation is not a preferred use in these basins and applications for new irrigation appropriations will be denied.  Other uses may also be listed as denied.
5,014,Surprise Valley, ,No, , , ,1,Northwest Region,541616486.344,210387.031731,Surprise Valley,Not Designated,"No description, not designated."
6,189B,Thousand Springs Valley,Toano-Rock Spring Area,Yes,D,853, ,11,Great Salt Lake Basin,1604594023.61,227417.968778,Thousand Springs Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
7,033A,Quinn River Valley,Orovada Subarea,Yes,D,285, ,2,Black Rock Desert Region,1506355752.87,210973.377359,Quinn River Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
8,067,Little Humboldt Valley, ,Yes,D,1242, ,4,Humboldt River Basin,2553570695.46,348117.931482,Little Humboldt Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
9,190,Grouse Creek Valley, ,No, , , ,11,Great Salt Lake Basin,154726349.97,103299.981866,Grouse Creek Valley,Not Designated,"No description, not designated."
10,008,Massacre Lake Valley, ,No, , , ,1,Northwest Region,449765948.768,96041.3926284,Massacre Lake Valley,Not Designated,"No description, not designated."
11,003,Gridley Lake Valley, ,No, , , ,1,Northwest Region,508421217.152,105750.086248,Gridley Lake Valley,Not Designated,"No description, not designated."
12,033A,Quinn River Valley,Orovada Subarea,No, , , ,2,Black Rock Desert Region,115680845.418,202465.268808,Quinn River Valley,Not Designated,"No description, not designated."
13,042,Marys River Area, ,Yes,D,837, ,4,Humboldt River Basin,2506719571.84,297569.823415,Marys River Area Designated,Designated,State Engineer's order(s) do not define any administrative controls.
14,068,Hardscrabble Area, ,Yes,D,1258, ,4,Humboldt River Basin,426143820.663,107027.263071,Hardscrabble Area Designated,Designated,State Engineer's order(s) do not define any administrative controls.
15,189D,Thousand Springs Valley,Montello-Crittenden Cr. Area,Yes,D,853, ,11,Great Salt Lake Basin,1258621484.35,215759.732356,Thousand Springs Valley Designated,Designated,State Engineer's order(s) do not define any administrative controls.
16,013,Warner Valley, ,No, , , ,1,Northwest Region,218746615.465,63730.7227693,Warner Valley,Not Designated,"No description, not designated."
