OID_,BasinID,BasinName,SubAreaNam,Designated,DesigStatu,DesigOrder,PreferUse,HydRegID,HydRegName,Shape_STAr,Shape_STLe
0,009,Long Valley, ,No, , , ,1,Northwest Region,1126935605.799999952316284,225645.674761000002036
1,033B,Quinn River Valley,McDermitt Subarea,No, , , ,2,Black Rock Desert Region,239619862.962000012397766,247552.099201000004541
2,012,Mosquito Valley, ,No, , , ,1,Northwest Region,85753381.261800006031990,47416.631321200002276
3,007,Swan Lake Valley, ,No, , , ,1,Northwest Region,605153604.631000041961670,140437.181358000001637
4,029,Pine Forest Valley, ,Yes,PUID,711,1290,2,Black Rock Desert Region,1370976822.099999904632568,191394.527410999988206
5,014,Surprise Valley, ,No, , , ,1,Northwest Region,541616486.343999981880188,210387.031730999995489
6,189B,Thousand Springs Valley,Toano-Rock Spring Area,Yes,D,853, ,11,Great Salt Lake Basin,1604594023.609999895095825,227417.968778000009479
7,033A,Quinn River Valley,Orovada Subarea,Yes,D,285, ,2,Black Rock Desert Region,1506355752.869999885559082,210973.377359000005526
8,067,Little Humboldt Valley, ,Yes,D,1242, ,4,Humboldt River Basin,2553570695.460000038146973,348117.931481999985408
9,190,Grouse Creek Valley, ,No, , , ,11,Great Salt Lake Basin,154726349.969999998807907,103299.981866000001901
10,008,Massacre Lake Valley, ,No, , , ,1,Northwest Region,449765948.768000006675720,96041.392628400004469
11,003,Gridley Lake Valley, ,No, , , ,1,Northwest Region,508421217.152000010013580,105750.086248000006890
12,033A,Quinn River Valley,Orovada Subarea,No, , , ,2,Black Rock Desert Region,115680845.417999997735023,202465.268807999993442
13,042,Marys River Area, ,Yes,D,837, ,4,Humboldt River Basin,2506719571.840000152587891,297569.823414999991655
14,068,Hardscrabble Area, ,Yes,D,1258, ,4,Humboldt River Basin,426143820.662999987602234,107027.263070999993943
15,189D,Thousand Springs Valley,Montello-Crittenden Cr. Area,Yes,D,853, ,11,Great Salt Lake Basin,1258621484.349999904632568,215759.732355999993160
16,013,Warner Valley, ,No, , , ,1,Northwest Region,218746615.465000003576279,63730.722769300002255
17,011,Coleman Valley, ,No, , , ,1,Northwest Region,139144949.877000004053116,60812.895406299998285
18,041,Goose Creek Area, ,No, , , ,3,Snake River Basin,837816770.100000023841858,125274.895495999997365
19,010,Macy Flat, ,No, , , ,1,Northwest Region,71973042.125699996948242,39425.238070899999002
20,040,Salmon Falls Creek Area, ,Yes,ID,736,737,3,Snake River Basin,3164230280.579999923706055,266107.221897999988869
21,006,Guano Valley, ,No, , , ,1,Northwest Region,384944733.407000005245209,103887.221399000001838
22,005,Sage Hen Valley, ,No, , , ,1,Northwest Region,58529137.937399998307228,45703.600153799998225
23,004,Virgin Valley, ,No, , , ,1,Northwest Region,1268281753.190000057220459,195389.257614000001922
24,039,Jarbidge River Area, ,No, , , ,3,Snake River Basin,723674966.628999948501587,132599.500563999987207
25,002,Continental Lake Valley, ,No, , , ,1,Northwest Region,549806763.029000043869019,112203.853766999993240
26,038,Bruneau River Area, ,No, , , ,3,Snake River Basin,1345606546.279999971389771,234278.633142000006046
27,001,Pueblo Valley, ,No, , , ,1,Northwest Region,365971821.167999982833862,110161.643976000006660
28,030A,Kings River Valley,Rio King Subarea,Yes,ID,740,743,2,Black Rock Desert Region,773413533.141000032424927,139607.025362999993376
29,033B,Quinn River Valley,McDermitt Subarea,Yes,D,285, ,2,Black Rock Desert Region,1276507095.069999933242798,264870.301473000028636
30,037,Owyhee River Area, ,Yes,PUID,1204,1204,3,Snake River Basin,1376915556.230000019073486,211794.548863000003621
31,034,Little Owyhee  River Area, ,No, , , ,3,Snake River Basin,1806596674.230000019073486,223643.376933999999892
32,035,South Fork Owyhee River Area, ,No, , , ,3,Snake River Basin,3401077507.690000057220459,295120.632784000015818
33,028,Black Rock Desert, ,Yes,D,1229, ,2,Black Rock Desert Region,5624780805.890000343322754,461755.979565999994520
