SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
NVss_S1,,NVss_WS1,,Unspecified,Humboldt,4326,,,,,41.47777,-118.78836000000001,,,Gage,028  N41 E28 17AADD1,28.0,,STREAM,NV,
NVss_S2,,NVss_WS2,,Unspecified,Elko,4326,,,,,41.637879999999996,-115.87182,,,Gage,037  N43 E54 10ADDC1,29.0,,STREAM,NV,
NVss_S3,,NVss_WS3,,Unspecified,Elko,4326,,,,,41.609629999999996,-115.89373,,,Gage,037  N43 E54 21ADCB1,30.0,,STREAM,NV,
NVss_S4,,NVss_WS4,,Unspecified,Elko,4326,,,,,41.59837,-115.845,,,Gage,037  N43 E54 25BACB1,31.0,,STREAM,NV,
NVss_S5,,NVss_WS3,,Unspecified,Elko,4326,,,,,41.600770000000004,-115.89331000000001,,,Gage,037  N43 E54 28AABB1,32.0,,STREAM,NV,
NVss_S6,,NVss_WS5,,Unspecified,Elko,4326,,,,,41.62249,-115.79185,,,Gage,037  N43 E55 16CBBC1,33.0,,STREAM,NV,
NVss_S7,,NVss_WS4,,Unspecified,Elko,4326,,,,,41.61517,-115.8018,,,Gage,037  N43 E55 20ABBC1,34.0,,STREAM,NV,
NVss_S8,,NVss_WS6,,Unspecified,Elko,4326,,,,,41.61063,-115.80398999999998,,,Gage,037  N43 E55 20BDDB1,35.0,,STREAM,NV,
NVss_S9,,NVss_WS7,,Unspecified,Elko,4326,,,,,41.59751,-115.77508,,,Gage,037  N43 E55 28ADAB1,36.0,,STREAM,NV,
NVss_S10,,NVss_WS8,,Unspecified,Elko,4326,,,,,41.59751,-115.77508,,,Gage,037  N43 E55 28ADAB2,37.0,,STREAM,NV,
NVss_S11,,NVss_WS8,,Unspecified,Elko,4326,,,,,41.5972,-115.77577,,,Gage,037  N43 E55 28ADAC1,38.0,,STREAM,NV,
NVss_S12,,NVss_WS5,,Unspecified,Elko,4326,,,,,41.601820000000004,-115.78748,,,Gage,037  N43 E55 28BABB1,39.0,,STREAM,NV,
NVss_S13,,NVss_WS5,,Unspecified,Elko,4326,,,,,41.59939,-115.78833999999999,,,Gage,037  N43 E55 28BBDA1,40.0,,STREAM,NV,
NVss_S14,,NVss_WS5,,Unspecified,Elko,4326,,,,,41.59939,-115.78833999999999,,,Gage,037  N43 E55 28BBDA2,41.0,,STREAM,NV,
NVss_S15,,NVss_WS6,,Unspecified,Elko,4326,,,,,41.593140000000005,-115.82633,,,Gage,037  N43 E55 30CABA1,42.0,,STREAM,NV,
