MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,WaterSourceUUID,Amount,AllocationCropDutyAmount,AssociatedNativeAllocationIDs,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,Geometry,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifier,TimeframeEnd,TimeframeStart,ReasonRemoved,index
NVss_M1,NVss_O1,,NVss_V1,,,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2015,,2015-09-24,2015-09-24,Incomplete WaterSourceUUID,1079.0
NVss_M1,NVss_O1,NVss_S104,NVss_V1,,0.004233217593999999,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2017,,2017-06-06,2017-06-06,Incomplete WaterSourceUUID,1231.0
NVss_M1,NVss_O1,NVss_S104,NVss_V1,,0.0024953703712,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2017,,2017-09-26,2017-09-26,Incomplete WaterSourceUUID,1232.0
NVss_M1,NVss_O1,NVss_S104,NVss_V1,,0.0033420138899999995,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2017,,2017-11-07,2017-11-07,Incomplete WaterSourceUUID,1233.0
NVss_M1,NVss_O1,NVss_S105,NVss_V1,,0.5636863427800001,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2017,,2017-06-13,2017-06-13,Incomplete WaterSourceUUID,1234.0
NVss_M1,NVss_O1,NVss_S105,NVss_V1,,1.3925057875,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2017,,2017-09-26,2017-09-26,Incomplete WaterSourceUUID,1235.0
NVss_M1,NVss_O1,NVss_S105,NVss_V1,,0.9134837966,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2017,,2017-11-07,2017-11-07,Incomplete WaterSourceUUID,1236.0
NVss_M1,NVss_O1,NVss_S140,NVss_V1,,6.52,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2018,,2018-01-19,2018-01-19,Incomplete WaterSourceUUID,1328.0
NVss_M1,NVss_O1,NVss_S140,NVss_V1,,5.99,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2018,,2018-07-17,2018-07-17,Incomplete WaterSourceUUID,1329.0
NVss_M1,NVss_O1,NVss_S141,NVss_V1,,2.8,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2018,,2018-01-19,2018-01-19,Incomplete WaterSourceUUID,1330.0
NVss_M1,NVss_O1,NVss_S141,NVss_V1,,3.71,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2018,,2018-07-17,2018-07-17,Incomplete WaterSourceUUID,1331.0
NVss_M1,NVss_O1,NVss_S143,NVss_V1,,,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2018,,2018-03-29,2018-03-29,Incomplete WaterSourceUUID,1333.0
NVss_M1,NVss_O1,NVss_S143,NVss_V1,,0.0,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2018,,2018-07-17,2018-07-17,Incomplete WaterSourceUUID,1334.0
NVss_M1,NVss_O1,NVss_S146,NVss_V1,,0.0,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2018,,2018-03-29,2018-03-29,Incomplete WaterSourceUUID,1338.0
NVss_M1,NVss_O1,NVss_S146,NVss_V1,,0.0,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2018,,2018-07-17,2018-07-17,Incomplete WaterSourceUUID,1339.0
NVss_M1,NVss_O1,NVss_S105,NVss_V1,,0.9914641207,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2016,,2016-11-07,2016-11-07,Incomplete WaterSourceUUID,2291.0
NVss_M1,NVss_O1,NVss_S140,NVss_V1,,13.98,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2017,,2017-09-06,2017-09-06,Incomplete WaterSourceUUID,2512.0
NVss_M1,NVss_O1,NVss_S140,NVss_V1,,11.93,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2017,,2017-10-05,2017-10-05,Incomplete WaterSourceUUID,2515.0
NVss_M1,NVss_O1,NVss_S140,NVss_V1,,10.31,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2017,,2017-11-01,2017-11-01,Incomplete WaterSourceUUID,2516.0
NVss_M1,NVss_O1,NVss_S140,NVss_V1,,8.19,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2017,,2017-12-19,2017-12-19,Incomplete WaterSourceUUID,2517.0
NVss_M1,NVss_O1,NVss_S141,NVss_V1,,5.24,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2017,,2017-09-06,2017-09-06,Incomplete WaterSourceUUID,2518.0
NVss_M1,NVss_O1,NVss_S141,NVss_V1,,3.59,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2017,,2017-10-05,2017-10-05,Incomplete WaterSourceUUID,2519.0
NVss_M1,NVss_O1,NVss_S140,NVss_V1,,,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2019,,2019-04-29,2019-04-29,Incomplete WaterSourceUUID,2574.0
NVss_M1,NVss_O1,NVss_S140,NVss_V1,,,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2019,,2019-05-29,2019-05-29,Incomplete WaterSourceUUID,2575.0
NVss_M1,NVss_O1,NVss_S140,NVss_V1,,,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2019,,2019-06-24,2019-06-24,Incomplete WaterSourceUUID,2576.0
NVss_M1,NVss_O1,NVss_S141,NVss_V1,,,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2019,,2019-04-29,2019-04-29,Incomplete WaterSourceUUID,2577.0
NVss_M1,NVss_O1,NVss_S141,NVss_V1,,,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2019,,2019-05-29,2019-05-29,Incomplete WaterSourceUUID,2578.0
NVss_M1,NVss_O1,NVss_S141,NVss_V1,,,,,Unspecified,,,,01/26/2022,,,,,,,,Unspecified,2019,,2019-06-24,2019-06-24,Incomplete WaterSourceUUID,2579.0
