SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
NVwr_S1,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.98833499884979,-118.52722899973101,,,Unknown,,,stream,NV,
NVwr_S2,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.9886789991443,-118.636906000351,,,001  N47 E30 04B   2,,,Underground,NV,
NVwr_S3,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.962779999384,-118.616112000058,,,Unknown,,,Underground,NV,
NVwr_S4,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.9898359990277,-118.63262700019301,,,001  N47 E30 03B   2,,,Underground,NV,
NVwr_S5,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.992871999281,-118.637436000544,,,001  N47 E30 04B   4,,,Underground,NV,
NVwr_S6,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.992938998613795,-118.643407999935,,,001  N47 E30 05AA  1,,,Underground,NV,
NVwr_S7,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.9517559990763,-118.62515700008,,,001  N47 E30 16DABB1,,,Underground,NV,
NVwr_S8,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.989457998868495,-118.63642700052601,,,001  N47 E30 04B   6,,,Underground,NV,
NVwr_S9,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.8130529987283,-118.785552999639,,,Unknown,,,Spring,NV,
NVwr_S10,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.681945999159296,-118.722220999862,,,Unknown,,,lake,NV,
NVwr_S11,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.9572399989879,-118.697429999909,,,002  N46 E28 01AAAA1,,,Spring,NV,
NVwr_S12,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.9212169989051,-118.710334000016,,,002  N46 E28 13BDBC1,,,Spring,NV,
NVwr_S13,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.8165969987476,-118.74516699998101,,,002  N45 E28 22ADDC1,,,Underground,NV,
NVwr_S14,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.7004839993237,-118.740464999502,,,002  N44 E28 35BCDD1,,,stream,NV,
NVwr_S15,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.9268439994463,-118.764507000357,,,002  N46 E28 16BAAA1,,,Underground,NV,
NVwr_S16,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.8227069987907,-118.738625000079,,,002  N45 E28 23BBAD1,,,Underground,NV,
NVwr_S17,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.71831099884521,-118.714281999766,,,002  N44 E28 25ABCC1,,,stream,NV,
NVwr_S18,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.7232249987039,-118.68019299995001,,,002  N44 E29 24DCDA1,,,Spring,NV,
NVwr_S19,Unknown,Digitized,Humboldt,EPSG:4326,,,,,41.769326999283,-118.710716999786,,,002  N44 E28 01DACC1,,,stream,NV,
