MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,AllocationApplicationDate,AllocationAssociatedConsumptiveUseSiteIDs,AllocationAssociatedWithdrawalSiteIDs,AllocationBasisCV,AllocationChangeApplicationIndicator,AllocationCommunityWaterSupplySystem,AllocationCropDutyAmount,AllocationExpirationDate,AllocationFlow_CFS,AllocationLegalStatusCV,AllocationNativeID,AllocationOwner,AllocationPriorityDate,AllocationSDWISIdentifierCV,AllocationTimeframeEnd,AllocationTimeframeStart,AllocationTypeCV,AllocationVolume_AF,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,ExemptOfVolumeFlowPriority,GeneratedPowerCapacityMW,IrrigatedAcreage,IrrigationMethodCV,LegacyAllocationIDs,OwnerClassificationCV,PopulationServed,PowerType,PrimaryUseCategory,WaterAllocationNativeURL,ReasonRemoved,index
NVDWR_Diversion Tracking,NVDWR,"NVwr_S35732,NVwr_S88826",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",10732,,1941-09-13,,12/31,01/01,,0,Mining and Milling,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=10732,Bad AllocationLegalStatusCV,815.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S88350,NVwr_S36427",NVDWR_Allocation,,,,,,,,,,"Certificate,Forfeited",13849,,1951-10-01,,12/31,01/01,,0,Irrigation,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=13849,Bad AllocationLegalStatusCV,4329.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S87974,NVwr_S26652",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",16789,,1955-11-16,,12/31,01/01,,0,Irrigation,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=16789,Bad AllocationLegalStatusCV,7619.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S36722,NVwr_S87955",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",16847,,1956-01-31,,12/31,01/01,,0,Irrigation,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=16847,Bad AllocationLegalStatusCV,7686.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S69673,NVwr_S36664",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",16848,,1956-01-31,,12/31,01/01,,0,Irrigation,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=16848,Bad AllocationLegalStatusCV,7687.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S65210,NVwr_S87632",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",18410,,1959-11-02,,12/31,01/01,,0,Mining and Milling,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=18410,Bad AllocationLegalStatusCV,9492.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S66338,NVwr_S87605",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",18525,,1960-01-18,,12/31,01/01,,0,Irrigation-DLE,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=18525,Bad AllocationLegalStatusCV,9621.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S87603,NVwr_S16524",NVDWR_Allocation,,,,,,,,,,"Certificate,Forfeited",18529,,1960-01-19,,12/31,01/01,,0,Irrigation,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=18529,Bad AllocationLegalStatusCV,9625.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S35085,NVwr_S87511",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",18840,,1960-05-12,,12/31,01/01,,0,Irrigation,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=18840,Bad AllocationLegalStatusCV,9979.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S63699,NVwr_S87465",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",18998,,1950-11-09,,12/31,01/01,,0,Irrigation,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=18998,Bad AllocationLegalStatusCV,10158.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S15559,NVwr_S87281",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",19888,,1961-06-05,,12/31,01/01,,0,Irrigation,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=19888,Bad AllocationLegalStatusCV,11177.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S87083,NVwr_S28814",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",20821,,1962-10-30,,12/31,01/01,,0,Irrigation,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=20821,Bad AllocationLegalStatusCV,12255.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S11296,NVwr_S86742",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",22733,,1960-08-15,,12/31,01/01,,0,Irrigation,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=22733,Bad AllocationLegalStatusCV,14446.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S86719,NVwr_S44396",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",22851,,1965-11-12,,12/31,01/01,,0,Irrigation,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=22851,Bad AllocationLegalStatusCV,14579.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S86651,NVwr_S64604",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",23235,,1966-07-08,,12/31,01/01,,0,Irrigation,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=23235,Bad AllocationLegalStatusCV,15048.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S86056,NVwr_S48265",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",25678,,1966-02-28,,12/31,01/01,,0,Irrigation,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=25678,Bad AllocationLegalStatusCV,17842.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S86055,NVwr_S66337",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",25679,,1970-06-24,,12/31,01/01,,0,Irrigation,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=25679,Bad AllocationLegalStatusCV,17843.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S66340,NVwr_S86054",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",25680,,1970-06-24,,12/31,01/01,,0,Irrigation,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=25680,Bad AllocationLegalStatusCV,17845.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S85918,NVwr_S50343",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",26239,,1971-07-30,,12/31,01/01,,0,Mining and Milling,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=26239,Bad AllocationLegalStatusCV,18502.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S85914,NVwr_S25646",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",26254,,1971-08-12,,12/31,01/01,,0,Quasi-Municipal,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=26254,Bad AllocationLegalStatusCV,18519.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S85531,NVwr_S65505",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",27714,,1973-08-27,,12/31,01/01,,0,Commercial,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=27714,Bad AllocationLegalStatusCV,20203.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S71897,NVwr_S60222",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",27826,,1961-11-30,,12/31,01/01,,0,Quasi-Municipal,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=27826,Bad AllocationLegalStatusCV,20330.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S65644,NVwr_S85497",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",27860,,1973-10-25,,12/31,01/01,,0,Mining and Milling,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=27860,Bad AllocationLegalStatusCV,20370.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S66339,NVwr_S84916",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",30319,,1976-06-08,,12/31,01/01,,0,Irrigation,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=30319,Bad AllocationLegalStatusCV,23177.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S65458,NVwr_S84845",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",30502,,1971-04-21,,12/31,01/01,,0,Irrigation,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=30502,Bad AllocationLegalStatusCV,23400.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S65458,NVwr_S84845",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",30503,,1971-04-21,,12/31,01/01,,0,Irrigation,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=30503,Bad AllocationLegalStatusCV,23401.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S65458,NVwr_S84845",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",30504,,1974-11-15,,12/31,01/01,,0,Irrigation,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=30504,Bad AllocationLegalStatusCV,23402.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S84844,NVwr_S65459",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",30505,,1971-04-21,,12/31,01/01,,0,Irrigation,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=30505,Bad AllocationLegalStatusCV,23403.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S84844,NVwr_S65459",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",30506,,1974-11-15,,12/31,01/01,,0,Irrigation,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=30506,Bad AllocationLegalStatusCV,23404.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S84844,NVwr_S65459",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",30507,,1971-04-21,,12/31,01/01,,0,Irrigation,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=30507,Bad AllocationLegalStatusCV,23405.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S65643,NVwr_S84788",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",30805,,1976-11-08,,12/31,01/01,,0,Mining and Milling,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=30805,Bad AllocationLegalStatusCV,23742.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S84276,NVwr_S65641",NVDWR_Allocation,,,,,,,,,,"Certificate,Abrogated",35884,,1978-09-15,,12/31,01/01,,0,Mining and Milling,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=35884,Bad AllocationLegalStatusCV,29543.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S64423,NVwr_S84147",NVDWR_Allocation,,,,,,,,,,"Permit,Canceled",36837,,1989-03-20,,12/31,01/01,,0,Quasi-Municipal,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=36837,Bad AllocationLegalStatusCV,30642.0
NVDWR_Diversion Tracking,NVDWR,"NVwr_S84134,NVwr_S21118",NVDWR_Allocation,,,,,,,,,,"Permit,Canceled",36991,,1989-03-20,,12/31,01/01,,0,Quasi-Municipal,,,,08/03/2020,,0,,,,,Unspecified,,,Unspecified,http://water.nv.gov/permitinformation.aspx?app=36991,Bad AllocationLegalStatusCV,30814.0
