MethodUUID,OrganizationUUID,ReportingUnitUUID,VariableSpecificUUID,WaterSourceUUID,AllocationCropDutyAmount,Amount,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,InterbasinTransferFromID,InterbasinTransferToID,IrrigatedAcreage,IrrigationMethodCV,PopulationServed,PowerGeneratedGWh,PowerType,PrimaryUseCategory,ReportYearCV,SDWISIdentifierCV,TimeframeEnd,TimeframeStart
NMOSE_Water Uses,NMOSE,NMag_RU1,NMOSE_Withdrawal,NMag_WS1,,125483.15625,Public Water Supply,,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU1,NMOSE_Withdrawal,NMag_WS1,,3561.89990234375,Domestic (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU1,NMOSE_Withdrawal,NMag_WS1,,4037.0,Irrigated Agriculture,,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU1,NMOSE_Withdrawal,NMag_WS1,,753.2000122070309,Livestock (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU1,NMOSE_Withdrawal,NMag_WS1,,3711.30004882813,Commercial (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU1,NMOSE_Withdrawal,NMag_WS1,,485.049987792969,Industrial (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU1,NMOSE_Withdrawal,NMag_WS1,,324.739990234375,Mining (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU1,NMOSE_Withdrawal,NMag_WS1,,179.360000610352,Power (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU1,NMOSE_Withdrawal,NMag_WS1,,0.0,Reservoir Evaporation,,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU2,NMOSE_Withdrawal,NMag_WS1,,125.44000244140601,Public Water Supply,,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU2,NMOSE_Withdrawal,NMag_WS1,,136.789993286133,Domestic (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU2,NMOSE_Withdrawal,NMag_WS1,,1869.0,Irrigated Agriculture,,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU2,NMOSE_Withdrawal,NMag_WS1,,332.459991455078,Livestock (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU2,NMOSE_Withdrawal,NMag_WS1,,16.3500003814697,Commercial (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU2,NMOSE_Withdrawal,NMag_WS1,,11.130000114440902,Industrial (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU2,NMOSE_Withdrawal,NMag_WS1,,3.50999999046326,Mining (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU2,NMOSE_Withdrawal,NMag_WS1,,0.0,Power (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU2,NMOSE_Withdrawal,NMag_WS1,,0.0,Reservoir Evaporation,,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU3,NMOSE_Withdrawal,NMag_WS1,,16273.4501953125,Public Water Supply,,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU3,NMOSE_Withdrawal,NMag_WS1,,586.409973144531,Domestic (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU3,NMOSE_Withdrawal,NMag_WS1,,266461.0,Irrigated Agriculture,,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU3,NMOSE_Withdrawal,NMag_WS1,,2889.30004882813,Livestock (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU3,NMOSE_Withdrawal,NMag_WS1,,2801.65991210938,Commercial (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU3,NMOSE_Withdrawal,NMag_WS1,,157.389999389648,Industrial (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU3,NMOSE_Withdrawal,NMag_WS1,,148.539993286133,Mining (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU3,NMOSE_Withdrawal,NMag_WS1,,0.0,Power (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU3,NMOSE_Withdrawal,NMag_WS1,,0.0,Reservoir Evaporation,,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU4,NMOSE_Withdrawal,NMag_WS1,,2854.10009765625,Public Water Supply,,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU4,NMOSE_Withdrawal,NMag_WS1,,842.849975585938,Domestic (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU4,NMOSE_Withdrawal,NMag_WS1,,1354.0,Irrigated Agriculture,,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU4,NMOSE_Withdrawal,NMag_WS1,,211.190002441406,Livestock (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU4,NMOSE_Withdrawal,NMag_WS1,,53.779998779296896,Commercial (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU4,NMOSE_Withdrawal,NMag_WS1,,9.93000030517578,Industrial (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU4,NMOSE_Withdrawal,NMag_WS1,,3859.32006835938,Mining (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU4,NMOSE_Withdrawal,NMag_WS1,,0.0,Power (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU4,NMOSE_Withdrawal,NMag_WS1,,0.0,Reservoir Evaporation,,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU5,NMOSE_Withdrawal,NMag_WS1,,107.87999725341801,Public Water Supply,,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU5,NMOSE_Withdrawal,NMag_WS1,,58.4300003051758,Domestic (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU5,NMOSE_Withdrawal,NMag_WS1,,91.0,Irrigated Agriculture,,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU5,NMOSE_Withdrawal,NMag_WS1,,354.899993896484,Livestock (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU5,NMOSE_Withdrawal,NMag_WS1,,362.649993896484,Commercial (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU5,NMOSE_Withdrawal,NMag_WS1,,0.0,Industrial (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU5,NMOSE_Withdrawal,NMag_WS1,,277.769989013672,Mining (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU5,NMOSE_Withdrawal,NMag_WS1,,0.0,Power (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU5,NMOSE_Withdrawal,NMag_WS1,,0.0,Reservoir Evaporation,,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU6,NMOSE_Withdrawal,NMag_WS1,,8678.349609375,Public Water Supply,,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU6,NMOSE_Withdrawal,NMag_WS1,,357.23001098632795,Domestic (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU6,NMOSE_Withdrawal,NMag_WS1,,329831.0,Irrigated Agriculture,,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU6,NMOSE_Withdrawal,NMag_WS1,,1169.61999511719,Livestock (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU6,NMOSE_Withdrawal,NMag_WS1,,216.88000488281298,Commercial (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU6,NMOSE_Withdrawal,NMag_WS1,,0.0,Industrial (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU6,NMOSE_Withdrawal,NMag_WS1,,10.0,Mining (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU6,NMOSE_Withdrawal,NMag_WS1,,0.0,Power (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU6,NMOSE_Withdrawal,NMag_WS1,,0.0,Reservoir Evaporation,,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU7,NMOSE_Withdrawal,NMag_WS1,,429.649993896484,Public Water Supply,,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU7,NMOSE_Withdrawal,NMag_WS1,,38.779998779296896,Domestic (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU7,NMOSE_Withdrawal,NMag_WS1,,8596.0,Irrigated Agriculture,,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU7,NMOSE_Withdrawal,NMag_WS1,,329.57000732421903,Livestock (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU7,NMOSE_Withdrawal,NMag_WS1,,2.55999994277954,Commercial (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU7,NMOSE_Withdrawal,NMag_WS1,,0.0,Industrial (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU7,NMOSE_Withdrawal,NMag_WS1,,10.0,Mining (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU7,NMOSE_Withdrawal,NMag_WS1,,0.0,Power (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU7,NMOSE_Withdrawal,NMag_WS1,,0.0,Reservoir Evaporation,,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU8,NMOSE_Withdrawal,NMag_WS1,,28955.98046875,Public Water Supply,,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU8,NMOSE_Withdrawal,NMag_WS1,,2311.63989257813,Domestic (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU8,NMOSE_Withdrawal,NMag_WS1,,104989.0,Irrigated Agriculture,,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU8,NMOSE_Withdrawal,NMag_WS1,,2977.30004882813,Livestock (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU8,NMOSE_Withdrawal,NMag_WS1,,4547.25,Commercial (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU8,NMOSE_Withdrawal,NMag_WS1,,129.490005493164,Industrial (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU8,NMOSE_Withdrawal,NMag_WS1,,44.7999992370605,Mining (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU8,NMOSE_Withdrawal,NMag_WS1,,1707.08996582031,Power (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU8,NMOSE_Withdrawal,NMag_WS1,,0.0,Reservoir Evaporation,,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU9,NMOSE_Withdrawal,NMag_WS1,,14216.8896484375,Public Water Supply,,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
NMOSE_Water Uses,NMOSE,NMag_RU9,NMOSE_Withdrawal,NMag_WS1,,161.160003662109,Domestic (self-supplied),,,,06/25/2020,,,,,,,,,Unspecified,1990,,01/01/1990,12/31/1990
