ReportingUnitUUID,EPSGCodeCV,Geometry,ReportingUnitName,ReportingUnitNativeID,ReportingUnitProductVersion,ReportingUnitTypeCV,ReportingUnitUpdateDate,StateCV
NMag_RU1,4326,"POLYGON ((-107.196763 35.219458, -106.658138 35.217831, -106.642494 35.207297, -106.643366 35.197762, -106.638149 35.203877, -106.604484 35.21786, -106.244216 35.215657, -106.243762 34.953355, -106.149828 34.953462, -106.149737 34.870142, -106.411781 34.870252, -106.411558 34.889733, -106.429486 34.9034, -106.685801 34.906358, -106.720666 34.870053, -107.024481 34.869953, -107.196763 35.219458))",Bernalillo,35001,,County,,NM
NMag_RU2,4326,"POLYGON ((-109.04747 33.250063, -109.046156 34.579291, -107.724794 34.578132, -107.72542 34.259823, -107.716301 34.259856, -107.715771 33.825637, -107.711401 33.825636, -107.712754 33.476832, -107.938959 33.474382, -108.000602 33.478014, -108.000598 33.201253, -108.449988 33.200997, -108.543178 33.207955, -108.646597 33.209342, -109.047236880706 33.2088950306819, -109.04747 33.250063))",Catron,35003,,County,,NM
NMag_RU3,4326,"POLYGON ((-105.35344 32.604736, -105.352513 32.962007, -105.316047 32.9621, -105.316968 33.132303, -105.108621 33.131742, -105.006481 33.134401, -105.006511 33.138879, -104.905424 33.138904, -104.903838 33.305904, -104.88513 33.305827, -104.885088 33.393271, -104.892433 33.398199, -104.893377 34.088407, -104.786429 34.087664, -104.786104 34.000137, -104.317404 33.995877, -104.156269 33.995413, -104.1556 34.083205, -103.841691 34.081909, -103.841933 33.8192, -103.716885 33.819558, -103.718333 33.65621, -103.509759 33.657262, -103.510129 33.570117, -103.720809 33.569537, -103.721404 33.395673, -103.766361 33.395297, -103.766417 32.965264, -104.841576 32.963213, -104.842171 32.52054, -105.35401 32.518776, -105.35344 32.604736))",Chaves,35005,,County,,NM
NMag_RU4,4326,"POLYGON ((-109.046112628282 34.69808303674, -109.045851080673 34.95981851532, -108.469402 34.959081, -108.468715 35.306658, -107.734224 35.304987, -107.734241 35.348145, -107.628313 35.34831399999999, -107.628788 35.304333, -107.23889 35.305507, -107.066562 34.95719, -107.202882 34.957572, -107.204381 34.608805, -107.201743 34.578757, -109.046156 34.579291, -109.046112628282 34.69808303674))",Cibola,35006,,County,,NM
NMag_RU5,4326,"POLYGON ((-105.3777 36.552295, -105.375299 36.556218, -105.369773 36.554666, -105.349337 36.561762, -105.357922 36.589749, -105.374677 36.609043, -105.365479 36.627669, -105.351032 36.633393, -105.364105 36.654077, -105.360344 36.662979, -105.370337 36.67155899999999, -105.370638 36.681032, -105.365156 36.683471, -105.364869 36.688789, -105.335298 36.702394, -105.322009 36.698437, -105.311842 36.724471, -105.290843 36.728464, -105.280771 36.718335, -105.27692 36.721338, -105.267516 36.716379, -105.262832 36.719589, -105.250287 36.717368, -105.230632 36.72378399999999, -105.224327 36.73408, -105.226647 36.738338, -105.222312 36.75458, -105.235298 36.790656, -105.226368 36.803416, -105.233683 36.80773, -105.224074 36.82556599999999, -105.223413 36.833759, -105.229372 36.84771, -105.221985 36.872871, -105.200117 36.915628, -105.210758 36.917289, -105.213088 36.932355, -105.221016 36.934271, -105.228437 36.954559, -105.236154 36.962341, -105.236167 36.981949, -105.22347 36.986709, -105.220506506713 36.99516927633439, -105.029228 36.992729, -104.007851691976 36.99623902179619, -104.008823 36.218115, -104.865402 36.217869, -104.865244 36.261419, -105.341264 36.261863, -105.32743 36.277189, -105.336038 36.303361, -105.328586 36.338965, -105.332386 36.345936, -105.329639 36.355932, -105.332384 36.367529, -105.337392 36.368932, -105.32734 36.38032, -105.325115 36.388626, -105.330323 36.403746, -105.327855 36.408306, -105.340454 36.416078, -105.332704 36.428787, -105.339861 36.434971, -105.336489 36.442445, -105.343201 36.446471, -105.353577 36.443042, -105.357304 36.450764, -105.349396 36.455714, -105.339578 36.470464, -105.336373 36.4835, -105.32218 36.486691, -105.318718 36.491693, -105.337165 36.505244, -105.338074 36.509979, -105.343874 36.511151, -105.34782 36.532052, -105.3777 36.552295))",Colfax,35007,,County,,NM
NMag_RU6,4326,"POLYGON ((-103.739759 34.39014, -103.738162 34.605141, -103.706088 34.60501, -103.705788 34.692446, -103.496023 34.69139699999999, -103.495646 34.778575, -103.390274 34.778122, -103.389798 34.865429, -103.284317 34.86499, -103.284149 34.954172, -103.042552402864 34.9541420854709, -103.043936266136 34.302648, -103.740066 34.303056, -103.739759 34.39014))",Curry,35009,,County,,NM
NMag_RU7,4326,"POLYGON ((-104.892409 34.259919, -104.892023 34.604426, -104.444762 34.604952, -104.444935 34.691655, -104.339778 34.692199, -104.339817 34.779062, -104.129143 34.779337, -104.12888 34.605201, -103.948778 34.605058, -103.946019 34.082463, -104.1556 34.083205, -104.156269 33.995413, -104.786104 34.000137, -104.786429 34.087664, -104.893377 34.088407, -104.892409 34.259919))",De Baca,35011,,County,,NM
NMag_RU8,4326,"POLYGON ((-107.299631 32.60537, -107.299476 32.7801, -106.887733 32.779273, -106.887891 32.822781, -106.340515 33.052777, -106.340709 32.958382, -106.376585 32.95805, -106.377179820505 32.0011777046509, -106.618486 32.000495, -106.619448 31.994733, -106.631182 31.989809, -106.639529 31.980348, -106.630114 31.971258, -106.619569 31.971578, -106.625123 31.954531, -106.614702 31.956, -106.616136 31.948439, -106.623659 31.94551, -106.622529 31.934863, -106.629747 31.92657, -106.611846 31.920003, -106.633668 31.90979, -106.645479 31.89867, -106.645296 31.894859, -106.629197 31.883717, -106.635926 31.866235, -106.614637 31.84649, -106.602045 31.844405, -106.605267 31.827912, -106.602727 31.825024, -106.589045 31.822706, -106.577244 31.810406, -106.566844 31.813306, -106.547144 31.807305, -106.527943 31.790507, -106.528242 31.783148, -107.296793744203 31.783761974571, -107.299631 32.60537))",Dona Ana,35013,,County,,NM
NMag_RU9,4326,"POLYGON ((-104.851524 32.520541, -104.842171 32.52054, -104.841576 32.963213, -103.814507 32.965114, -103.814216 32.522368, -103.722938 32.522344, -103.72288201487 32.0002083713881, -104.84774 32.000482393993, -104.851524 32.520541))",Eddy,35015,,County,,NM
NMag_RU10,4326,"POLYGON ((-109.047453 33.069427, -109.047236880706 33.2088950306819, -108.646597 33.209342, -108.543178 33.207955, -108.449988 33.200997, -107.858644 33.200864, -107.861267 33.187997, -107.855359 33.191057, -107.839538 33.182474, -107.84268 33.172444, -107.849876 33.173401, -107.857621 33.165036, -107.853917 33.157421, -107.856243 33.149862, -107.852958 33.1347, -107.845588 33.130946, -107.850733 33.120144, -107.842127 33.095818, -107.845397 33.084066, -107.836509 33.080267, -107.833403 33.074039, -107.844774 33.05859, -107.851489 33.056193, -107.850469 33.044381, -107.856815 33.036636, -107.848181 33.026351, -107.846405 33.012386, -107.848858 33.006332, -107.854566 33.006894, -107.856672 33.002539, -107.84074 32.987578, -107.83841 32.973878, -107.830765 32.973208, -107.829772 32.963918, -107.815979 32.957935, -107.803864 32.959136, -107.791803 32.948071, -107.780548 32.952776, -107.774064 32.950567, -107.770366 32.940942, -107.775759 32.937539, -107.775711 32.930822, -107.765114 32.915211, -107.778898 32.896876, -107.773689 32.855674, -107.758988 32.846674, -107.744987 32.825075, -107.749787 32.806476, -107.747887 32.800075, -107.736887 32.784376, -107.721787 32.778776, -107.716186 32.762676, -107.719586 32.760576, -107.717686 32.755077, -107.722858 32.736119, -107.715276 32.72157, -107.720438 32.714227, -107.719567 32.697474, -107.727446 32.692113, -107.724093 32.667485, -107.733741 32.642513, -107.732056 32.634838, -107.736949 32.629494, -107.716925 32.622555, -107.608485 32.605449, -107.923997 32.604379, -107.923766 32.517416, -108.229343 32.516837, -108.229951 32.07987, -108.216964 32.079863, -108.217143 31.864139, -108.524538 31.863614, -108.52463 32.079828, -108.537676 32.079832, -108.537011 32.516618, -108.64677 32.516521, -108.646523 32.60373, -108.852919 32.603374, -108.854581 32.777276, -109.047117279572 32.777794004252, -109.047453 33.069427))",Grant,35017,,County,,NM
