Amount,USE TYPE,Year,STATE,COUNTY
2500.0,Irrigated Agriculture ,1971,Arizona,san juan-colorado river
2900.0,Irrigated Agriculture ,1972,Arizona,san juan-colorado river
4000.0,Irrigated Agriculture ,1973,Arizona,san juan-colorado river
4250.0,Irrigated Agriculture ,1974,Arizona,san juan-colorado river
3540.0,Irrigated Agriculture ,1975,Arizona,san juan-colorado river
2690.0,Irrigated Agriculture ,1976,Arizona,san juan-colorado river
3810.0,Irrigated Agriculture ,1977,Arizona,san juan-colorado river
4300.0,Irrigated Agriculture ,1978,Arizona,san juan-colorado river
5320.0,Irrigated Agriculture ,1979,Arizona,san juan-colorado river
6290.0,Irrigated Agriculture ,1980,Arizona,san juan-colorado river
4575.0,Irrigated Agriculture ,1981,Arizona,san juan-colorado river
5664.0,Irrigated Agriculture ,1982,Arizona,san juan-colorado river
6523.0,Irrigated Agriculture ,1983,Arizona,san juan-colorado river
5800.0,Irrigated Agriculture ,1984,Arizona,san juan-colorado river
5800.0,Irrigated Agriculture ,1985,Arizona,san juan-colorado river
3838.9,Irrigated Agriculture ,1986,Arizona,san juan-colorado river
3377.1,Irrigated Agriculture ,1987,Arizona,san juan-colorado river
3275.1,Irrigated Agriculture ,1988,Arizona,san juan-colorado river
3371.76,Irrigated Agriculture ,1989,Arizona,san juan-colorado river
3620.0,Irrigated Agriculture ,1990,Arizona,san juan-colorado river
4500.0,Irrigated Agriculture ,1991,Arizona,san juan-colorado river
3790.0,Irrigated Agriculture ,1992,Arizona,san juan-colorado river
4520.0,Irrigated Agriculture ,1993,Arizona,san juan-colorado river
4900.0,Irrigated Agriculture ,1994,Arizona,san juan-colorado river
4300.0,Irrigated Agriculture ,1995,Arizona,san juan-colorado river
425.9,Irrigated Agriculture ,1996,Arizona,san juan-colorado river
398.8,Irrigated Agriculture ,1997,Arizona,san juan-colorado river
463.3,Irrigated Agriculture ,1998,Arizona,san juan-colorado river
485.8,Irrigated Agriculture ,1999,Arizona,san juan-colorado river
649.4,Irrigated Agriculture ,2000,Arizona,san juan-colorado river
515.0,Irrigated Agriculture ,2001,Arizona,san juan-colorado river
436.3,Irrigated Agriculture ,2002,Arizona,san juan-colorado river
487.9,Irrigated Agriculture ,2003,Arizona,san juan-colorado river
580.4,Irrigated Agriculture ,2004,Arizona,san juan-colorado river
609.4,Irrigated Agriculture ,2005,Arizona,san juan-colorado river
572.3,Irrigated Agriculture ,2006,Arizona,san juan-colorado river
958.2128,Irrigated Agriculture ,2007,Arizona,san juan-colorado river
1081.5,Irrigated Agriculture ,2008,Arizona,san juan-colorado river
729.5776,Irrigated Agriculture ,2009,Arizona,san juan-colorado river
1209.563,Irrigated Agriculture ,2010,Arizona,san juan-colorado river
1014.4311,Irrigated Agriculture ,2011,Arizona,san juan-colorado river
612.8336,Irrigated Agriculture ,2012,Arizona,san juan-colorado river
1055.6067,Irrigated Agriculture ,2013,Arizona,san juan-colorado river
968.0913,Irrigated Agriculture ,2014,Arizona,san juan-colorado river
1178.6036,Irrigated Agriculture ,2015,Arizona,san juan-colorado river
1114.7121,Irrigated Agriculture ,2016,Arizona,san juan-colorado river
1106.7703,Irrigated Agriculture ,2017,Arizona,san juan-colorado river
1019.7252,Irrigated Agriculture ,2018,Arizona,san juan-colorado river
0.0,Irrigated Agriculture ,2019,Arizona,san juan-colorado river
0.0,Irrigated Agriculture ,2020,Arizona,san juan-colorado river
147229.0,Irrigated Agriculture ,1971,Colorado,green river
128045.0,Irrigated Agriculture ,1972,Colorado,green river
120533.0,Irrigated Agriculture ,1973,Colorado,green river
140336.0,Irrigated Agriculture ,1974,Colorado,green river
124835.0,Irrigated Agriculture ,1975,Colorado,green river
117430.0,Irrigated Agriculture ,1976,Colorado,green river
101285.0,Irrigated Agriculture ,1977,Colorado,green river
135420.0,Irrigated Agriculture ,1978,Colorado,green river
134259.0,Irrigated Agriculture ,1979,Colorado,green river
129310.0,Irrigated Agriculture ,1980,Colorado,green river
156092.888,Irrigated Agriculture ,1981,Colorado,green river
142308.266,Irrigated Agriculture ,1982,Colorado,green river
139679.482,Irrigated Agriculture ,1983,Colorado,green river
136239.364,Irrigated Agriculture ,1984,Colorado,green river
131406.655,Irrigated Agriculture ,1985,Colorado,green river
120153.9,Irrigated Agriculture ,1986,Colorado,green river
137987.2,Irrigated Agriculture ,1987,Colorado,green river
185849.9,Irrigated Agriculture ,1988,Colorado,green river
167111.6,Irrigated Agriculture ,1989,Colorado,green river
169852.1,Irrigated Agriculture ,1990,Colorado,green river
168084.7973,Irrigated Agriculture ,1991,Colorado,green river
190939.854,Irrigated Agriculture ,1992,Colorado,green river
137093.9329,Irrigated Agriculture ,1993,Colorado,green river
151759.6553,Irrigated Agriculture ,1994,Colorado,green river
107409.5306,Irrigated Agriculture ,1995,Colorado,green river
191852.2584,Irrigated Agriculture ,1996,Colorado,green river
131402.0834,Irrigated Agriculture ,1997,Colorado,green river
162343.0776,Irrigated Agriculture ,1998,Colorado,green river
150787.571,Irrigated Agriculture ,1999,Colorado,green river
190485.4724,Irrigated Agriculture ,2000,Colorado,green river
177121.0,Irrigated Agriculture ,2001,Colorado,green river
215140.0,Irrigated Agriculture ,2002,Colorado,green river
180779.1,Irrigated Agriculture ,2003,Colorado,green river
131425.3,Irrigated Agriculture ,2004,Colorado,green river
118595.7,Irrigated Agriculture ,2005,Colorado,green river
148442.5,Irrigated Agriculture ,2006,Colorado,green river
155904.6,Irrigated Agriculture ,2007,Colorado,green river
151792.8,Irrigated Agriculture ,2008,Colorado,green river
204694.9,Irrigated Agriculture ,2009,Colorado,green river
216359.6,Irrigated Agriculture ,2010,Colorado,green river
198029.0,Irrigated Agriculture ,2011,Colorado,green river
276447.4,Irrigated Agriculture ,2012,Colorado,green river
181391.0,Irrigated Agriculture ,2013,Colorado,green river
154112.0,Irrigated Agriculture ,2014,Colorado,green river
169262.5,Irrigated Agriculture ,2015,Colorado,green river
172330.3,Irrigated Agriculture ,2016,Colorado,green river
164843.4,Irrigated Agriculture ,2017,Colorado,green river
201212.5,Irrigated Agriculture ,2018,Colorado,green river
0.0,Irrigated Agriculture ,2019,Colorado,green river
0.0,Irrigated Agriculture ,2020,Colorado,green river
985970.5317,Irrigated Agriculture ,1971,Colorado,upper main stem
974215.0,Irrigated Agriculture ,1972,Colorado,upper main stem
842480.0,Irrigated Agriculture ,1973,Colorado,upper main stem
1013597.0,Irrigated Agriculture ,1974,Colorado,upper main stem
921269.0,Irrigated Agriculture ,1975,Colorado,upper main stem
904678.0,Irrigated Agriculture ,1976,Colorado,upper main stem
822262.0,Irrigated Agriculture ,1977,Colorado,upper main stem
986244.0,Irrigated Agriculture ,1978,Colorado,upper main stem
984831.0,Irrigated Agriculture ,1979,Colorado,upper main stem
1006678.0,Irrigated Agriculture ,1980,Colorado,upper main stem
1059416.541,Irrigated Agriculture ,1981,Colorado,upper main stem
1016864.749,Irrigated Agriculture ,1982,Colorado,upper main stem
1009453.272,Irrigated Agriculture ,1983,Colorado,upper main stem
922455.222,Irrigated Agriculture ,1984,Colorado,upper main stem
1011258.749,Irrigated Agriculture ,1985,Colorado,upper main stem
836124.4,Irrigated Agriculture ,1986,Colorado,upper main stem
964544.0,Irrigated Agriculture ,1987,Colorado,upper main stem
1089711.2,Irrigated Agriculture ,1988,Colorado,upper main stem
1125820.5,Irrigated Agriculture ,1989,Colorado,upper main stem
1033206.6,Irrigated Agriculture ,1990,Colorado,upper main stem
1079454.501,Irrigated Agriculture ,1991,Colorado,upper main stem
1103990.3378,Irrigated Agriculture ,1992,Colorado,upper main stem
912638.626,Irrigated Agriculture ,1993,Colorado,upper main stem
1111273.3301,Irrigated Agriculture ,1994,Colorado,upper main stem
762836.0924,Irrigated Agriculture ,1995,Colorado,upper main stem
1013847.4885,Irrigated Agriculture ,1996,Colorado,upper main stem
835403.0995,Irrigated Agriculture ,1997,Colorado,upper main stem
964411.368,Irrigated Agriculture ,1998,Colorado,upper main stem
850087.7871,Irrigated Agriculture ,1999,Colorado,upper main stem
1080423.0513,Irrigated Agriculture ,2000,Colorado,upper main stem
1077097.5,Irrigated Agriculture ,2001,Colorado,upper main stem
1006916.2,Irrigated Agriculture ,2002,Colorado,upper main stem
947432.0,Irrigated Agriculture ,2003,Colorado,upper main stem
874501.4,Irrigated Agriculture ,2004,Colorado,upper main stem
807957.1,Irrigated Agriculture ,2005,Colorado,upper main stem
795027.2,Irrigated Agriculture ,2006,Colorado,upper main stem
836905.4,Irrigated Agriculture ,2007,Colorado,upper main stem
906965.4,Irrigated Agriculture ,2008,Colorado,upper main stem
885541.0,Irrigated Agriculture ,2009,Colorado,upper main stem
883359.4,Irrigated Agriculture ,2010,Colorado,upper main stem
889468.2,Irrigated Agriculture ,2011,Colorado,upper main stem
1116339.8,Irrigated Agriculture ,2012,Colorado,upper main stem
802324.7,Irrigated Agriculture ,2013,Colorado,upper main stem
715887.5,Irrigated Agriculture ,2014,Colorado,upper main stem
