USE TYPE,STATE,COUNTY,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Irrigated Agriculture ,Arizona,san juan-colorado river,2500.0000,2900.0000,4000.0000,4250.0000,3540.0000,2690.0000,3810.0000,4300.0000,5320.0000,6290.0000,4575.0000,5664.0000,6523.0000,5800.0000,5800.0000,3838.9000,3377.1000,3275.1000,3371.7600,3620.0000,4500.0000,3790.0000,4520.0000,4900.0000,4300.0000,425.9000,398.8000,463.3000,485.8000,649.4000,515.0000,436.3000,487.9000,580.4000,609.4000,572.3000,958.2128,1081.5000,729.5776,1209.5630,1014.4311,612.8336,1055.6067,968.0913,1178.6036,1114.7121,1106.7703,1019.7252,0.0000,0.0000
Irrigated Agriculture ,Colorado,green river,147229.0000,128045.0000,120533.0000,140336.0000,124835.0000,117430.0000,101285.0000,135420.0000,134259.0000,129310.0000,156092.8880,142308.2660,139679.4820,136239.3640,131406.6550,120153.9000,137987.2000,185849.9000,167111.6000,169852.1000,168084.7973,190939.8540,137093.9329,151759.6553,107409.5306,191852.2584,131402.0834,162343.0776,150787.5710,190485.4724,177121.0000,215140.0000,180779.1000,131425.3000,118595.7000,148442.5000,155904.6000,151792.8000,204694.9000,216359.6000,198029.0000,276447.4000,181391.0000,154112.0000,169262.5000,172330.3000,164843.4000,201212.5000,0.0000,0.0000
Irrigated Agriculture ,Colorado,upper main stem,985970.5317,974215.0000,842480.0000,1013597.0000,921269.0000,904678.0000,822262.0000,986244.0000,984831.0000,1006678.0000,1059416.5410,1016864.7490,1009453.2720,922455.2220,1011258.7490,836124.4000,964544.0000,1089711.2000,1125820.5000,1033206.6000,1079454.5010,1103990.3378,912638.6260,1111273.3301,762836.0924,1013847.4885,835403.0995,964411.3680,850087.7871,1080423.0513,1077097.5000,1006916.2000,947432.0000,874501.4000,807957.1000,795027.2000,836905.4000,906965.4000,885541.0000,883359.4000,889468.2000,1116339.8000,802324.7000,715887.5000,665396.3000,1014549.4000,1036783.4000,1148878.3000,0.0000,0.0000
Irrigated Agriculture ,Colorado,san juan-colorado river,191556.0000,210840.0000,194865.0000,206454.0000,210639.0000,167710.0000,129778.0000,153212.0000,186034.0000,173000.0000,187290.2520,204140.2350,209338.9660,224098.4200,202003.0880,196248.8000,285136.6000,317972.6000,393340.5000,309889.7000,269596.5883,273118.2501,273617.4569,288097.7721,244812.4421,321564.8781,277115.2426,322061.2438,263398.4265,359454.1187,353111.6000,317226.8000,322197.0000,262647.4000,292934.3000,274291.3000,340303.7000,385107.7000,371977.6000,363660.5000,367433.2000,506886.1000,344319.0000,433175.4000,345931.4000,316728.8000,335179.8000,346116.7000,0.0000,0.0000
Irrigated Agriculture ,New Mexico,san juan-colorado river,86627.0000,98019.0000,94264.0000,102050.0000,94115.0000,146628.0000,138355.0000,163526.0000,186494.0000,210479.0000,152189.2020,196250.0990,200958.4070,178053.2060,206323.7350,270396.3941,213677.3382,204935.0211,241856.2824,229974.4525,217695.4231,179038.6732,219338.5441,239125.2562,221441.5359,208194.7595,183488.2638,194095.9553,155602.1441,181088.7337,195513.9908,238510.7048,231165.6042,229132.6093,210117.4803,211269.0000,224143.0000,221658.0000,213484.0000,208142.0000,260039.6180,279357.4482,238484.0198,250871.2775,212904.9169,201299.0000,235103.0000,235103.0000,0.0000,0.0000
Irrigated Agriculture ,Utah,green river,535487.0000,541662.0000,534935.0000,550710.0000,443487.0000,441003.0000,242681.0000,460846.0000,472082.0000,453413.0000,409150.6780,403547.2700,407310.2880,438749.1880,510744.6840,473064.3806,461311.5274,440391.5642,421774.9296,463353.1748,509182.5000,520363.5000,481311.2000,633905.7000,487527.5000,443729.3842,442659.4362,516025.1658,523540.9112,429041.0858,535687.3000,403786.5000,478127.0000,455040.2000,490291.6000,591393.5000,537817.1000,454640.8000,443932.4000,492766.0000,472458.9000,549168.0000,570438.0000,442186.6000,417978.6000,564548.8000,597857.1000,686366.1000,0.0000,0.0000
Irrigated Agriculture ,Utah,upper main stem,10274.0000,9377.0000,9473.0000,10403.0000,9247.0000,10982.0000,3983.0000,13193.0000,14501.0000,13968.0000,9072.0300,7721.1600,9102.0000,10061.0400,9640.3500,9563.8000,10233.8000,9711.5000,9070.7000,10636.1000,13830.4000,13517.9000,12910.1000,13461.2000,9570.0000,12932.0130,20173.0518,19279.4742,17887.0206,14051.3844,21647.8000,9884.9000,12475.9000,12206.6000,10212.8000,20455.9000,14310.8000,17576.9000,15058.8000,25699.8000,18862.6000,19070.1000,21372.2000,21032.0000,9082.8000,16540.4000,16501.8000,11380.9000,0.0000,0.0000
Irrigated Agriculture ,Utah,san juan-colorado river,42802.0000,37668.0000,51907.0000,43378.0000,40104.0000,40765.0000,16822.0000,46661.0000,59099.0000,56369.0000,42918.8070,46758.9030,58777.5090,60293.8770,63449.9610,60333.1000,54198.8000,53529.6000,53809.7000,48936.4000,68947.8000,68240.5000,68600.7000,76868.0000,85409.8000,64419.6568,62183.5074,70312.8426,59016.1301,69526.6057,72638.7000,51936.6000,60089.9000,50149.3000,71685.4000,127823.5000,133393.9000,110538.5000,102639.7000,92563.4000,90610.8000,93684.0000,93662.8000,74185.1000,69307.8000,81590.6000,84966.7000,79187.7000,0.0000,0.0000
Irrigated Agriculture ,Wyoming,green river,309916.0000,291759.0000,280820.0000,344556.0000,259369.0000,245354.0000,147625.0000,270985.0000,267559.0000,260876.0000,237145.5340,224291.6010,253177.5520,225224.1390,245859.1120,380692.6000,378364.6000,463711.1000,369055.4000,401100.8000,325417.8000,431555.3000,295906.6000,489886.9000,342933.4000,387317.8869,336893.2275,279091.1254,309349.6840,319795.0143,342732.4000,350061.7000,317593.9000,285731.4000,314597.5000,234140.3000,333281.8000,293813.5000,301109.5000,292990.0000,305629.8000,277493.8000,269780.9000,263113.7000,258345.2000,322523.5000,365162.6000,345127.1000,0.0000,0.0000
Livestock ,Arizona,san juan-colorado river,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2400.0000,2400.0000,2400.0000,2400.0000,2400.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1470.0000,2590.0000,243.2798,243.2798,243.2798,247.5783,250.0052,218.1971,218.1971,218.1971,218.1971,218.1971,218.1971,245.3929,278.3000,461.3373,533.3188,638.4984,397.1769,425.5103,457.1234,489.4759,521.8686,554.2614,586.6542,0.0000,0.0000
Livestock ,Colorado,green river,2776.9559,2321.7172,2230.6695,2549.3366,2367.2411,1800.0000,1700.0000,1500.0000,1700.0000,1600.0000,1830.0000,1730.0000,1710.0000,1740.0000,1650.0000,1606.6000,1600.8000,1507.6000,1517.2000,1486.6000,1454.9000,1471.4000,1521.6000,1571.7000,1621.6000,1429.1960,1482.4948,1452.2825,1422.1485,1392.0146,1556.1987,1135.3956,1293.6928,1156.2424,1232.6513,991.0494,931.2421,930.9157,886.3295,891.9306,903.1328,931.1383,1132.7779,1082.3680,1093.5702,1132.7779,1205.5922,1087.9691,0.0000,0.0000
Livestock ,Colorado,upper main stem,6467.0804,6991.4383,7282.7482,7515.7961,6234.0325,5300.0000,4900.0000,4400.0000,4800.0000,4900.0000,4060.0000,3840.0000,3800.0000,3870.0000,3670.0000,4292.8550,4030.8400,4017.2150,4047.2550,3934.1550,3915.5200,3917.8650,4102.6600,4287.4900,4472.6150,4469.8367,4670.9906,4389.1533,4107.2331,3825.3129,3381.1113,2704.2112,2605.2591,2212.6214,2410.1845,2560.6112,2387.5691,2429.6377,2292.5779,2216.3749,2324.7562,2402.2195,2594.9814,2496.1219,2518.5263,2631.9486,2768.6435,3052.7313,0.0000,0.0000
Livestock ,Colorado,san juan-colorado river,1406.5142,1486.1282,981.9062,1300.3622,1008.4442,1300.0000,1200.0000,1100.0000,1200.0000,1100.0000,2230.0000,2110.0000,2090.0000,2130.0000,2020.0000,1055.3450,977.7600,1011.1850,1046.0450,1016.0450,986.1800,971.1350,998.6400,1025.9100,1053.3850,1059.7731,1088.0348,1006.4957,924.8596,843.2236,942.3404,712.3054,691.6128,600.7481,606.6876,653.3063,730.7577,755.5365,709.0668,714.6679,721.7813,741.9453,828.5383,799.4126,811.7350,843.1012,879.3403,843.3812,0.0000,0.0000
