DataPublicationDate,OrganizationUUID,RegulatoryOverlayUUID,ReportingUnitUUID
2021-08-12,NMOSE,NMre_RO1,NMre_RU1
2021-08-12,NMOSE,NMre_RO2,NMre_RU2
2021-08-12,NMOSE,NMre_RO3,NMre_RU3
2021-08-12,NMOSE,NMre_RO4,NMre_RU4
2021-08-12,NMOSE,NMre_RO5,NMre_RU5
2021-08-12,NMOSE,NMre_RO6,NMre_RU6
2021-08-12,NMOSE,NMre_RO7,NMre_RU7
2021-08-12,NMOSE,NMre_RO8,NMre_RU8
2021-08-12,NMOSE,NMre_RO9,NMre_RU9
2021-08-12,NMOSE,NMre_RO10,NMre_RU10
2021-08-12,NMOSE,NMre_RO11,NMre_RU11
2021-08-12,NMOSE,NMre_RO12,NMre_RU12
2021-08-12,NMOSE,NMre_RO13,NMre_RU13
2021-08-12,NMOSE,NMre_RO14,NMre_RU14
2021-08-12,NMOSE,NMre_RO15,NMre_RU15
2021-08-12,NMOSE,NMre_RO16,NMre_RU16
2021-08-12,NMOSE,NMre_RO17,NMre_RU17
2021-08-12,NMOSE,NMre_RO18,NMre_RU18
2021-08-12,NMOSE,NMre_RO19,NMre_RU19
2021-08-12,NMOSE,NMre_RO20,NMre_RU20
2021-08-12,NMOSE,NMre_RO21,NMre_RU208
2021-08-12,NMOSE,NMre_RO22,NMre_RU22
2021-08-12,NMOSE,NMre_RO23,NMre_RU23
2021-08-12,NMOSE,NMre_RO24,NMre_RU24
2021-08-12,NMOSE,NMre_RO25,NMre_RU25
2021-08-12,NMOSE,NMre_RO27,NMre_RU27
2021-08-12,NMOSE,NMre_RO28,NMre_RU29
2021-08-12,NMOSE,NMre_RO29,NMre_RU30
2021-08-12,NMOSE,NMre_RO30,NMre_RU31
2021-08-12,NMOSE,NMre_RO31,NMre_RU32
2021-08-12,NMOSE,NMre_RO32,NMre_RU33
2021-08-12,NMOSE,NMre_RO33,NMre_RU34
2021-08-12,NMOSE,NMre_RO34,NMre_RU35
2021-08-12,NMOSE,NMre_RO35,NMre_RU36
2021-08-12,NMOSE,NMre_RO36,NMre_RU37
2021-08-12,NMOSE,NMre_RO37,NMre_RU38
2021-08-12,NMOSE,NMre_RO38,NMre_RU39
2021-08-12,NMOSE,NMre_RO39,NMre_RU40
2021-08-12,NMOSE,NMre_RO40,NMre_RU41
2021-08-12,NMOSE,NMre_RO41,NMre_RU57
2021-08-12,NMOSE,NMre_RO42,NMre_RU44
2021-08-12,NMOSE,NMre_RO43,NMre_RU45
2021-08-12,NMOSE,NMre_RO44,NMre_RU46
2021-08-12,NMOSE,NMre_RO45,NMre_RU47
2021-08-12,NMOSE,NMre_RO46,NMre_RU48
2021-08-12,NMOSE,NMre_RO47,NMre_RU49
2021-08-12,NMOSE,NMre_RO48,NMre_RU50
2021-08-12,NMOSE,NMre_RO49,NMre_RU51
2021-08-12,NMOSE,NMre_RO50,NMre_RU52
2021-08-12,NMOSE,NMre_RO51,NMre_RU54
2021-08-12,NMOSE,NMre_RO53,NMre_RU56
2021-08-12,NMOSE,NMre_RO54,NMre_RU58
2021-08-12,NMOSE,NMre_RO55,NMre_RU59
2021-08-12,NMOSE,NMre_RO56,NMre_RU60
2021-08-12,NMOSE,NMre_RO57,NMre_RU61
2021-08-12,NMOSE,NMre_RO58,NMre_RU62
2021-08-12,NMOSE,NMre_RO60,NMre_RU64
2021-08-12,NMOSE,NMre_RO61,NMre_RU65
2021-08-12,NMOSE,NMre_RO62,NMre_RU66
2021-08-12,NMOSE,NMre_RO63,NMre_RU67
2021-08-12,NMOSE,NMre_RO64,NMre_RU68
2021-08-12,NMOSE,NMre_RO65,NMre_RU69
2021-08-12,NMOSE,NMre_RO66,NMre_RU70
2021-08-12,NMOSE,NMre_RO67,NMre_RU71
2021-08-12,NMOSE,NMre_RO68,NMre_RU72
2021-08-12,NMOSE,NMre_RO69,NMre_RU75
2021-08-12,NMOSE,NMre_RO70,NMre_RU74
2021-08-12,NMOSE,NMre_RO71,NMre_RU76
2021-08-12,NMOSE,NMre_RO72,NMre_RU79
2021-08-12,NMOSE,NMre_RO73,NMre_RU80
2021-08-12,NMOSE,NMre_RO74,NMre_RU113
2021-08-12,NMOSE,NMre_RO75,NMre_RU82
2021-08-12,NMOSE,NMre_RO76,NMre_RU83
2021-08-12,NMOSE,NMre_RO77,NMre_RU95
2021-08-12,NMOSE,NMre_RO78,NMre_RU85
2021-08-12,NMOSE,NMre_RO79,NMre_RU92
2021-08-12,NMOSE,NMre_RO80,NMre_RU91
2021-08-12,NMOSE,NMre_RO81,NMre_RU93
2021-08-12,NMOSE,NMre_RO82,NMre_RU94
2021-08-12,NMOSE,NMre_RO83,NMre_RU96
2021-08-12,NMOSE,NMre_RO84,NMre_RU109
2021-08-12,NMOSE,NMre_RO85,NMre_RU114
2021-08-12,NMOSE,NMre_RO86,NMre_RU107
2021-08-12,NMOSE,NMre_RO87,NMre_RU108
2021-08-12,NMOSE,NMre_RO88,NMre_RU110
2021-08-12,NMOSE,NMre_RO89,NMre_RU111
2021-08-12,NMOSE,NMre_RO90,NMre_RU112
2021-08-12,NMOSE,NMre_RO91,NMre_RU115
2021-08-12,NMOSE,NMre_RO92,NMre_RU117
2021-08-12,NMOSE,NMre_RO93,NMre_RU118
2021-08-12,NMOSE,NMre_RO94,NMre_RU120
2021-08-12,NMOSE,NMre_RO95,NMre_RU121
2021-08-12,NMOSE,NMre_RO96,NMre_RU122
2021-08-12,NMOSE,NMre_RO97,NMre_RU124
2021-08-12,NMOSE,NMre_RO98,NMre_RU125
2021-08-12,NMOSE,NMre_RO99,NMre_RU126
2021-08-12,NMOSE,NMre_RO100,NMre_RU128
2021-08-12,NMOSE,NMre_RO101,NMre_RU130
2021-08-12,NMOSE,NMre_RO102,NMre_RU150
2021-08-12,NMOSE,NMre_RO103,NMre_RU137
2021-08-12,NMOSE,NMre_RO104,NMre_RU140
2021-08-12,NMOSE,NMre_RO105,NMre_RU143
2021-08-12,NMOSE,NMre_RO106,NMre_RU149
2021-08-12,NMOSE,NMre_RO107,NMre_RU145
2021-08-12,NMOSE,NMre_RO108,NMre_RU148
2021-08-12,NMOSE,NMre_RO109,NMre_RU147
2021-08-12,NMOSE,NMre_RO110,NMre_RU161
2021-08-12,NMOSE,NMre_RO111,NMre_RU164
2021-08-12,NMOSE,NMre_RO112,NMre_RU163
2021-08-12,NMOSE,NMre_RO113,NMre_RU166
2021-08-12,NMOSE,NMre_RO114,NMre_RU175
2021-08-12,NMOSE,NMre_RO115,NMre_RU176
2021-08-12,NMOSE,NMre_RO116,NMre_RU177
2021-08-12,NMOSE,NMre_RO117,NMre_RU196
2021-08-12,NMOSE,NMre_RO118,NMre_RU180
2021-08-12,NMOSE,NMre_RO119,NMre_RU181
2021-08-12,NMOSE,NMre_RO120,NMre_RU182
2021-08-12,NMOSE,NMre_RO121,NMre_RU183
