RegulatoryOverlayUUID,OversightAgency,RegulatoryDescription,RegulatoryName,RegulatoryOverlayNativeID,RegulatoryStatusCV,RegulatoryStatute,RegulatoryStatuteLink,StatutoryEffectiveDate,StatutoryEndDate,RegulatoryOverlayTypeCV,WaterSourceTypeCV
NMre_RO1,"CO,NM",The compact provides for the delivery of apportioned water to users in New Mexico and to Colorado at interstate points of delivery on the New Mexico-Colorado state line. It provides for an administrative commission composed of the official in each state charged with administering public water supplies.,Costilla Creek Compact,WaDENM_RE1,Active,,http://www.ose.state.nm.us/Compacts/CostillaCreek/isc_Costilla_Creek.php,01/01/1946,,Interstate River Compact,Surface Water
NMre_RO2,"CO,NM",It establishes equal priority for the water supply to be diverted by the project for uses in New Mexico with the priority for the project granted by the Colorado state court.,Animas-La Plata Project Compact,WaDENM_RE2,Active,,http://www.ose.state.nm.us/Compacts/AnimasLaPlata/isc_animas_laPlata_compact.php,01/01/1968,,Interstate River Compact,Surface Water
NMre_RO3,"CO, NM","The compact also provides cooperative collection, exchange, and publication of streamflow data between Colorado and New Mexico. ",La Plata River Compact,WaDENM_RE3,Active,,http://www.ose.state.nm.us/Compacts/LaPlata/isc_laPlata_river_compact.php,01/01/1925,,Interstate River Compact,Surface Water
NMre_RO4,"CO, NM, UT, WY","The compact creates the Upper Colorado River Commission(UCRC) to administer is provisions with members representing the United States, Colorado, New Mexico, Utah, and Wyoming. Arizona is not included.",Upper Colorado River Basin Compact,WaDENM_RE4,Active,,http://www.ose.state.nm.us/Compacts/UpperColoradoRiver/isc_upper_colorado_compact.php,01/01/1948,,Interstate River Compact,Surface Water
NMre_RO5,"NM, TX",The compact creates the Pecos River Commission to administer is provisions with members representing the New Mexico and Texas.,Pecos River Compact,WaDENM_RE5,Active,,http://www.ose.state.nm.us/Compacts/Pecos/isc_pecosCompact.php,01/01/1948,,Interstate River Compact,Surface Water
NMre_RO6,"OK, NM, TX","The Canadian River Compact among New Mexico, Oklahoma, and Texas apportions water among the states on the Canadian River and provides for a commission to administer its provisions with one commissioner for each state and one for the United States.",Canadian River Compact,WaDENM_RE6,Active,,http://www.ose.state.nm.us/Compacts/Canadian/isc_Canadian.php,01/01/1950,,Interstate River Compact,Surface Water
NMre_RO7,"CO, NM, TX","Colorado, New Mexico, and Texas signed the Rio Grande Compact apportioning the waters of the Rio Grande above Fort Quitman, Texas, among the three states. ",Rio Grande Compact,WaDENM_RE7,Active,,http://www.ose.state.nm.us/Compacts/RioGrande/isc_RioGrande.php,01/01/1939,,Interstate River Compact,Surface Water
NMre_RO8,"CO, NM, UT, WY, NV, CA","The compact provides for the delivery of apportioned water to users in the Colorado River Basin for Colorado, New Mexico, Wyoming, Nevada and California.",Colorado River Basin Compact,WaDENM_RE8,Active,,http://www.ose.state.nm.us/Compacts/ColoradoRiver/PDF/Colorado_River_Compact.pdf,01/01/1922,,Interstate River Compact,Surface Water
NMre_RO9,Cimarron OSE,"District operated by a Water Master appointed by the Office of the State Engineer, who is charged with administering the state's water resources. The State Engineer has authority over the supervision, measurement, appropriation, and distribution of all surface and groundwater in New Mexico, including streams and rivers that cross state boundaries",Cimarron District,WaDENM_RE9,Active,,https://www.ose.state.nm.us/DO/district_7.php,08/12/2021,,Water Rights District,Surface and Groundwater
NMre_RO10,Santa Fe OSE,"District operated by a Water Master appointed by the Office of the State Engineer, who is charged with administering the state's water resources. The State Engineer has authority over the supervision, measurement, appropriation, and distribution of all surface and groundwater in New Mexico, including streams and rivers that cross state boundaries",Santa Fe District,WaDENM_RE10,Active,,https://www.ose.state.nm.us/DO/district_6.php,08/12/2021,,Water Rights District,Surface and Groundwater
