WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
UT_1,,,Fresh,Underground Water Well,,Groundwater/all
UT_2,,,Fresh,Underground Water Well,,Point of Rediversion
UT_3,,,Fresh,Underground Water Wells (11),,Groundwater/all
UT_4,,,Fresh,Utah Lake and Jordan River,,Surface Water
UT_5,,,Fresh,Underground Water Wells (3),,Groundwater/all
UT_6,,,Fresh,Unnamed Springs (4),,groundwater/spring
UT_7,,,Fresh,Springs (12),,groundwater/spring
UT_8,,,Fresh,Ontario Drain Tunnel,,Groundwater/all
UT_9,,,Fresh,Undesignated spring area,,Surface Water
UT_10,,,Fresh,Dry Fork Ashley Creek,,Surface Water
UT_11,,,Fresh,unnamed spring,,groundwater/spring
UT_12,,,Fresh,Colorado River,,Surface Water
UT_13,,,Fresh,Colorado River & Courthouse Wash Sump,,Surface Water
UT_14,,,Fresh,Seven Mile Creek,,Surface Water
UT_15,,,Fresh,Middle Canyon Reservoir,,Surface Water
UT_16,,,Fresh,Unnamed Drainage,,Surface Water
UT_17,,,Fresh,Corral Canyon,,Surface Water
UT_18,,,Fresh,Dewey Spring,,Surface Water
UT_19,,,Fresh,Cisco Wash,,Surface Water
UT_20,,,Fresh,Unnamed Wash,,Surface Water
UT_21,,,Fresh,Unnamed Stream,,Surface Water
UT_22,,,Fresh,(2) Underground Water Wells,,Groundwater/all
UT_23,,,Fresh,Colorado River & Sump,,Surface Water
UT_24,,,Fresh,Underground Water Well (Crips Hole),,Groundwater/all
UT_25,,,Fresh,Westwater Creek,,Surface Water
UT_26,,,Fresh,Colorado River,,Point of Return
UT_27,,,Fresh,Unnamed Spring,,Surface Water
UT_28,,,Fresh,Unnamed Spring,,Point of Return
UT_29,,,Fresh,Underground Well,,Groundwater/all
UT_30,,,Fresh,Underground Water Well - Existing,,Groundwater/all
UT_31,,,Fresh,Underground Water Wells (4),,Groundwater/all
UT_32,,,Fresh,"Green, Colorado and White Rivers",,Surface Water
UT_33,,,Fresh,Surface Runoff,,Surface Water
UT_34,,,Fresh,Underground Water Well (Existing),,Groundwater/all
UT_35,,,Fresh,Underground Water Well (Existing),,Point of Rediversion
UT_36,,,Fresh,Precipitation,,Surface Water
UT_37,,,Fresh,Colorado River & Underground Water Wells (2),,Groundwater/all
UT_38,,,Fresh,Colorado River & Underground Water Wells (2),,Surface Water
UT_39,,,Fresh,Underground Water Well (existing),,Groundwater/all
UT_40,,,Fresh,Existing Underground Water Well,,Groundwater/all
UT_41,,,Fresh,Produced Water,,Groundwater/all
UT_42,,,Fresh,700 Gallon Guzzler,,Surface Water
UT_43,,,Fresh,Agate Wash,,Surface Water
UT_44,,,Fresh,Underground Well,,Abandoned
UT_45,,,Fresh,Undergrorund Water Well,,Groundwater/all
UT_46,,,Fresh,3 Underground Wells,,Groundwater/all
