WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
NMwr_WS1,,,Fresh,Unspecified,WaDENM_WS1,Groundwater
NMwr_WS2,,,Fresh,Unspecified,WaDENM_WS2,Unspecified
NMwr_WS3,,,Fresh,MADERA CANON,WaDENM_WS3,Surface Water
NMwr_WS4,,,Fresh,SALADO CREEK,WaDENM_WS4,Surface Water
NMwr_WS5,,,Fresh,RIO RUIDOSO,WaDENM_WS5,Surface Water
NMwr_WS6,,,Fresh,CANJILON CREEK,WaDENM_WS6,Surface Water
NMwr_WS7,,,Fresh,OSO CREEK,WaDENM_WS7,Surface Water
NMwr_WS8,,,Fresh,RIO CHAMA,WaDENM_WS8,Surface Water
NMwr_WS9,,,Fresh,RIO PENASCO,WaDENM_WS9,Surface Water
NMwr_WS10,,,Fresh,SAN FRANCISCO RIVER,WaDENM_WS10,Surface Water
NMwr_WS11,,,Fresh,RITO DEL TANQUE,WaDENM_WS11,Surface Water
NMwr_WS12,,,Fresh,RIO MEDIO,WaDENM_WS12,Surface Water
NMwr_WS13,,,Fresh,AGUA CHIQUITA CREEK,WaDENM_WS13,Surface Water
NMwr_WS14,,,Fresh,RIO BRAZOS,WaDENM_WS14,Surface Water
NMwr_WS15,,,Fresh,ABO ARROYO,WaDENM_WS15,Surface and Groundwater
NMwr_WS16,,,Fresh,GILA RIVER AREA 2,WaDENM_WS16,Surface Water
NMwr_WS17,,,Fresh,GALLINAS RIVER /N,WaDENM_WS17,Surface Water
NMwr_WS18,,,Fresh,RIO CEBOLLA,WaDENM_WS18,Surface Water
NMwr_WS19,,,Fresh,BISHOPS CAP ARROYO,WaDENM_WS19,Surface Water
NMwr_WS20,,,Fresh,PECOS RIVER AREA 1,WaDENM_WS20,Surface Water
NMwr_WS21,,,Fresh,CAPULIN CREEK /N,WaDENM_WS21,Surface Water
NMwr_WS22,,,Fresh,WESTWATER ARROYO,WaDENM_WS22,Surface Water
NMwr_WS23,,,Fresh,JEMEZ RIVER,WaDENM_WS23,Surface Water
NMwr_WS24,,,Fresh,MILLS CANYON,WaDENM_WS24,Surface Water
NMwr_WS25,,,Fresh,PINE CANYON,WaDENM_WS25,Surface Water
NMwr_WS26,,,Fresh,RED RIVER,WaDENM_WS26,Surface Water
NMwr_WS27,,,Fresh,AGUA CHIQUITA CREEK,WaDENM_WS27,Surface and Groundwater
NMwr_WS28,,,Fresh,TANBARK CANYON,WaDENM_WS28,Surface Water
NMwr_WS29,,,Fresh,RIO BONITO,WaDENM_WS29,Surface Water
NMwr_WS30,,,Fresh,GONZALES CANYON,WaDENM_WS30,Surface Water
NMwr_WS31,,,Fresh,MAGADO CREEK,WaDENM_WS31,Surface Water
NMwr_WS32,,,Fresh,LINCOLN CANYON,WaDENM_WS32,Surface Water
NMwr_WS33,,,Fresh,MITT AND BAR CANYON,WaDENM_WS33,Surface Water
NMwr_WS34,,,Fresh,RIO HONDO,WaDENM_WS34,Surface Water
NMwr_WS35,,,Fresh,SANTA RITA CANYON,WaDENM_WS35,Surface Water
NMwr_WS36,,,Fresh,ANAN CANYON,WaDENM_WS36,Surface Water
NMwr_WS37,,,Fresh,SAN SIMON CIENEGA,WaDENM_WS37,Surface Water
NMwr_WS38,,,Fresh,CARRIZO CREEK /N,WaDENM_WS38,Surface Water
NMwr_WS39,,,Fresh,SACRAMENTO RIVER,WaDENM_WS39,Surface Water
NMwr_WS40,,,Fresh,PINABETE CREEK,WaDENM_WS40,Surface Water
NMwr_WS41,,,Fresh,PALOMAS CREEK,WaDENM_WS41,Surface Water
NMwr_WS42,,,Fresh,NOGAL CANYON /N,WaDENM_WS42,Surface Water
NMwr_WS43,,,Fresh,HINCHLEY CANYON,WaDENM_WS43,Surface Water
NMwr_WS44,,,Fresh,DURAN CANYON,WaDENM_WS44,Surface Water
NMwr_WS45,,,Fresh,BENSON CANYON,WaDENM_WS45,Surface Water
NMwr_WS46,,,Fresh,SANTA CRUZ RIVER,WaDENM_WS46,Surface Water
NMwr_WS47,,,Fresh,BEAR CANYON /N,WaDENM_WS47,Surface Water
NMwr_WS48,,,Fresh,OJO DE GALLO SPRING,WaDENM_WS48,Surface Water
NMwr_WS49,,,Fresh,MITTEN BAR CANYON /N,WaDENM_WS49,Surface Water
NMwr_WS50,,,Fresh,RITO DE LOS PINOS,WaDENM_WS50,Surface Water
NMwr_WS51,,,Fresh,ABO ARROYO,WaDENM_WS51,Surface Water
NMwr_WS52,,,Fresh,LITTLE CREEK,WaDENM_WS52,Surface Water
NMwr_WS53,,,Fresh,DRY CIMARRON RIVER,WaDENM_WS53,Surface Water
NMwr_WS54,,,Fresh,MORA RIVER,WaDENM_WS54,Surface Water
NMwr_WS55,,,Fresh,POLEO CREEK,WaDENM_WS55,Surface Water
NMwr_WS56,,,Fresh,AGUA SARCA,WaDENM_WS56,Surface Water
NMwr_WS57,,,Fresh,RITO DEL OJO,WaDENM_WS57,Surface Water
NMwr_WS58,,,Fresh,LA JARA CANYON,WaDENM_WS58,Surface Water
NMwr_WS59,,,Fresh,CEREZA CANYON,WaDENM_WS59,Surface Water
NMwr_WS60,,,Fresh,TAPICITA CREEK,WaDENM_WS60,Surface Water
NMwr_WS61,,,Fresh,GOBERNADOR CANYON,WaDENM_WS61,Surface Water
NMwr_WS62,,,Fresh,SAN MATEO CREEK,WaDENM_WS62,Surface Water
NMwr_WS63,,,Fresh,LA PLATA RIVER,WaDENM_WS63,Surface Water
NMwr_WS64,,,Fresh,BRAZOS RIVER,WaDENM_WS64,Surface Water
NMwr_WS65,,,Fresh,CANONES CREEK /N,WaDENM_WS65,Surface Water
NMwr_WS66,,,Fresh,RIO QUEMADO,WaDENM_WS66,Surface Water
NMwr_WS67,,,Fresh,AGUA CALIENTE,WaDENM_WS67,Surface and Groundwater
NMwr_WS68,,,Fresh,SAN JUAN AREA 2,WaDENM_WS68,Surface Water
NMwr_WS69,,,Fresh,RIO RUIDOSO,WaDENM_WS69,Surface and Groundwater
NMwr_WS70,,,Fresh,PECOS RIVER AREA 4,WaDENM_WS70,Surface and Groundwater
NMwr_WS71,,,Fresh,PECOS RIVER AREA 4,WaDENM_WS71,Surface Water
NMwr_WS72,,,Fresh,OJO CALIENTE,WaDENM_WS72,Surface Water
NMwr_WS73,,,Fresh,RIO TUSAS,WaDENM_WS73,Surface Water
NMwr_WS74,,,Fresh,CABRESTO CREEK,WaDENM_WS74,Surface Water
NMwr_WS75,,,Fresh,RIO NUTRIAS,WaDENM_WS75,Surface Water
NMwr_WS76,,,Fresh,RIO GRANDE AREA 2,WaDENM_WS76,Surface Water
NMwr_WS77,,,Fresh,RIO GRANDE AREA 3,WaDENM_WS77,Surface Water
NMwr_WS78,,,Fresh,LA JARA CREEK,WaDENM_WS78,Surface Water
