WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
NMwr_WS1,,,Fresh,Unknown,0,Groundwater
NMwr_WS2,,,Fresh,Unknown,0,Unknown
NMwr_WS3,,,Fresh,ABO ARROYO,5,"Groundwater,Surface Water"
NMwr_WS4,,,Fresh,AGUA CHIQUITA CREEK,8,"Groundwater,Surface Water"
NMwr_WS5,,,Fresh,LITTLE CREEK,895,Surface Water
NMwr_WS6,,,Fresh,SAN MATEO CREEK,1395,Surface Water
NMwr_WS7,,,Fresh,RIO BONITO,1227,Surface Water
NMwr_WS8,,,Fresh,AGUA CALIENTE,7,"Groundwater,Surface Water"
NMwr_WS9,,,Fresh,RIO RUIDOSO,1279,"Groundwater,Surface Water"
NMwr_WS10,,,Fresh,PECOS RIVER AREA 4,1124,"Groundwater,Surface Water"
NMwr_WS11,,,Fresh,BLACK RIVER,216,Surface Water
NMwr_WS12,,,Fresh,RIO BRAZOS,1228,Surface Water
NMwr_WS13,,,Fresh,CANONES CREEK /N,360,Surface Water
NMwr_WS14,,,Fresh,RIO CHAMA,1232,Surface Water
NMwr_WS15,,,Fresh,CHAVEZ CREEK,410,Surface Water
NMwr_WS16,,,Fresh,CANONES CREEK /N,361,Surface Water
NMwr_WS17,,,Fresh,PATOS CREEK,1119,Surface Water
NMwr_WS18,,,Fresh,JONES CANYON /NM,798,Surface Water
NMwr_WS19,,,Fresh,JIM GOODLOE CANYON /NM,792,Surface Water
NMwr_WS20,,,Fresh,INDIAN RIDGE CANYON /NM,778,Surface Water
NMwr_WS21,,,Fresh,RITO DEL TANQUE,1312,Surface Water
NMwr_WS22,,,Fresh,GALISTEO CREEK,653,Surface Water
NMwr_WS23,,,Fresh,EMBUDO CREEK,609,Surface Water
NMwr_WS24,,,Fresh,RIO PUERCO,1276,Surface Water
NMwr_WS25,,,Fresh,JEMEZ RIVER,790,Surface Water
NMwr_WS26,,,Fresh,HARRIS CREEK,728,Surface Water
NMwr_WS27,,,Fresh,FRESNAL CANYON,645,Surface Water
NMwr_WS28,,,Fresh,TULAROSA BASIN,1598,Surface Water
NMwr_WS29,,,Fresh,PALOMAS CREEK,1116,Surface Water
NMwr_WS30,,,Fresh,LA LUZ CREEK,841,Surface Water
NMwr_WS31,,,Fresh,RIO TULAROSA,1288,Surface Water
NMwr_WS32,,,Fresh,HAYNES CANYON,735,Surface Water
NMwr_WS33,,,Fresh,WILSON CANYON,1702,Surface Water
NMwr_WS34,,,Fresh,RIO HONDO,1260,Surface Water
NMwr_WS35,,,Fresh,RIO PENASCO,1272,"Groundwater,Surface Water"
NMwr_WS36,,,Fresh,OJO DE GALLO SPRING,1086,Surface Water
NMwr_WS37,,,Fresh,CORRALITOS CREEK,478,Surface Water
NMwr_WS38,,,Fresh,SANTA CLARA CREEK,1411,Surface Water
NMwr_WS39,,,Fresh,BARRANCONES CREEK,162,Surface Water
NMwr_WS40,,,Fresh,CANJILON CREEK,310,"Groundwater,Surface Water"
NMwr_WS41,,,Fresh,CANJILON CREEK,310,Surface Water
NMwr_WS42,,,Fresh,RIO DEL OSO,1243,Surface Water
NMwr_WS43,,,Fresh,RIO NUTRIAS,1269,Surface Water
NMwr_WS44,,,Fresh,SPRING ARROYO /NM,1509,Surface Water
NMwr_WS45,,,Fresh,RITO DE TIERRA AMARILLA,1307,Surface Water
