Permit_Index	POD_Index	POD	Beneficial_Use	County			Aquifer	SubAquifer	Req_AcFt	Req_Acre	Req_Rate	Req_Storage	App_AcFt	App_Acre	App_Rate	App_Storage	POD_Status	Source	Irrigation_Type	Source_Name	MainStem_Name	Impound_Location	Impound_Name	Return_Dest	Discharge_Locat	Prop_Owner	Dest_Prop_Owner	Period_Start	Period_End	Return_Quantity	Held_AcFt	Held_Acre	Held_Rate	Held_Storage	Longitude	Latitude	HU_Basin	HU_Sub_Basin	HU_Watershed	HU_Sub_Watershed	Civil_Township	X_Coord	Y_Coord	NonConsumptive_ReqAcFt	NonConsumptive_AppAcFt	NonConsumptive_HeldAcFt
1	1	13007302B	11/11/1111	McIntosh					204	135.2	1000	0	0	0	0	0	Denied	Ground Water	Sprinkler											0	0	0	0	0	-99.78988	46.1113	Lake Oahe	Beaver	South Branch Beaver Creek	Saint Andrews Cemetery-South Branch Beaver Creek	Unorganized Territory	2148618	162965	0	0	0
2	2	15310236CC	00/00/00	McKenzie			   	   	80	80	448.8	0	0	0	0	0	Cancelled	Surface Water	Combination											0	0	0	0	0	-103.75216	48.02622	Lake Sakakawea	Lake Sakakawea	Town of Trenton	Eightmile Creek-Missouri River	Tri	1172774	877063	0	0	0
3	3	15310236BA	00/00/00	McKenzie			   	   	160	160	448.8	0	0	0	0	0	Cancelled	Surface Water	Combination											0	0	0	0	0	-103.74691	48.03707	Lake Sakakawea	Lake Sakakawea	Town of Trenton	Eightmile Creek-Missouri River	Tri	1174223	880964	0	0	0
4	4	14910026AB	07/01/37	McKenzie			   	   	291	291	1615.6	0	291	291	1615.6	0	Active	Surface Water	Flooding											0	0	0	0	0	-103.44126	47.70176	Little Missouri	Lower Little Missouri	Cherry Creek	Headwaters Cherry Creek	Unorganized Territory	1244378	755775	0	0	0
5	5	15009823DC	07/01/84	McKenzie			   	   	240	240	1350	0	132	132	1350	0	Cancelled	Surface Water	Flooding											0	0	0	0	0	-103.1842015851	47.79170773424	Little Missouri	Lower Little Missouri	Cherry Creek	Sevenmile Creek-Cherry Creek	Unorganized Territory	1308758	786306	0	0	0
6	6	15310234DD	00/00/00	McKenzie			   	   	170.2	87	448.8	0	0	0	0	0	Cancelled	Surface Water	Combination											0	0	0	0	0	-103.77947	48.02622	Lake Sakakawea	Lake Sakakawea	Town of Trenton	Eightmile Creek-Missouri River	Tri	1166096	877341	0	0	0
7	7	15507714DA	12/31/40	McHenry			   	   	3333.3	2666.6	1840	0	3333.3	2666.6	1840	0	Active	Surface Water	Flooding	Mouse River								-	-	0	0	0	0	0	-100.52088	48.24486	Souris	Lower Souris	Copperdahl Hill-Souris River	Eaton Dam-Souris River	Unorganized Territory	1963416	940366	0	0	0
8	8	15110331AA	09/21/37	McKenzie			   	   	80	40	448.8	0	51.4	25.7	600	0	Active	Surface Water	Sprinkler	Charbonneau Creek										0	0	0	0	0	-103.90744	47.86091	Lower Yellowstone	Lower Yellowstone	Charbonneau Creek	Lower Charbonneau Creek	Sioux	1132190	818418	0	0	0
9	9	15509628C	06/18/1901	Williams			   	   	128	64	450	0	42.8	21.4	0	0	Active	Surface Water	Waterspreading	Beaver Creek								January 1	December 31	0	0	0	0	0	-103.03848	48.21541	Lake Sakakawea	Lake Sakakawea	Beaver Creek-Lake Sakakawea	Lower Beaver Creek	Farmvale	1349558	939621	0	0	0
10	10	15510030BB	04/16/32	Williams			   	   	75	25	224.4	0	0	0	0	0	Cancelled	Surface Water	Sprinkler											0	0	0	0	0	-103.60127	48.22483	Lake Sakakawea	Little Muddy	Lower Little Muddy River	Chinaman Coulee-Little Muddy River	Unorganized Territory	1212536	947983	0	0	0
