WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
NDwr_WS1,,,Fresh,Unknown,Unspecified,Ground Water
NDwr_WS2,,,Fresh,Unknown,Unspecified,Surface Water
NDwr_WS3,,,Fresh,Charbonneau Creek,Unspecified,Surface Water
NDwr_WS4,,,Fresh,Beaver Creek,Unspecified,Surface Water
NDwr_WS5,,,Fresh,Nelson Creek,Unspecified,Surface Water
NDwr_WS6,,,Fresh,Little Creek,Unspecified,Surface Water
NDwr_WS7,,,Fresh,Little Muddy River,Unspecified,Surface Water
NDwr_WS8,,,Fresh,Un-Named Coulee & Dry Fork Coulee,Unspecified,Surface Water
NDwr_WS9,,,Fresh,"Intermittent Draws, Trib. To Little Miss",Unspecified,Surface Water
NDwr_WS10,,,Fresh,Heart River,Unspecified,Surface Water
NDwr_WS11,,,Fresh,Little Missouri River,Unspecified,Surface Water
NDwr_WS12,,,Fresh,Buford Coulee,Unspecified,Surface Water
NDwr_WS13,,,Fresh,Burnt Creek,Unspecified,Surface Water
NDwr_WS14,,,Fresh,Missouri River,Unspecified,Surface Water
NDwr_WS15,,,Fresh,Tobacco Garden Creek,Unspecified,Surface Water
NDwr_WS16,,,Fresh,Sheyenne River,Unspecified,Surface Water
NDwr_WS17,,,Fresh,Cannonball River,Unspecified,Surface Water
NDwr_WS18,,,Fresh,Knife River,Unspecified,Surface Water
NDwr_WS19,,,Fresh,Duck Creek,Unspecified,Surface Water
NDwr_WS20,,,Fresh,Lake Sakakawea,Unspecified,Surface Water
NDwr_WS21,,,Fresh,Mouse River,Unspecified,Surface Water
NDwr_WS22,,,Fresh,Painted Woods Creek,Unspecified,Surface Water
NDwr_WS23,,,Fresh,Red River,Unspecified,Surface Water
NDwr_WS24,,,Fresh,Gibb Springs,Unspecified,Surface Water
NDwr_WS25,,,Fresh,Sweetwater Lake,Unspecified,Surface Water
NDwr_WS26,,,Fresh,Mulberry Creek,Unspecified,Surface Water
NDwr_WS27,,,Fresh,"Big Mary'S Coulee, Trib To Mouse River",Unspecified,Surface Water
