index,SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
0,NDwr_S1,,NDwr_WS1,,Unspecified,McIntosh,4326,,,,,46.1113,-99.78988,,,POD,Unspecified,13007302B,,Ground Water,ND,
1,NDwr_S2,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,48.02622,-103.75216,,,POD,Unspecified,15310236CC,,Surface Water,ND,
2,NDwr_S3,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,48.03707,-103.74691,,,POD,Unspecified,15310236BA,,Surface Water,ND,
3,NDwr_S4,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.70176,-103.44126,,,POD,Unspecified,14910026AB,,Surface Water,ND,
4,NDwr_S5,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,47.791708,-103.184202,,,POD,Unspecified,15009823DC,,Surface Water,ND,
5,NDwr_S6,,NDwr_WS2,,Unspecified,McKenzie,4326,,,,,48.02622,-103.77947,,,POD,Unspecified,15310234DD,,Surface Water,ND,
6,NDwr_S7,,NDwr_WS2,,Unspecified,McHenry,4326,,,,,48.24486,-100.52088,,,POD,Unspecified,15507714DA,,Surface Water,ND,
7,NDwr_S8,,NDwr_WS3,,Unspecified,McKenzie,4326,,,,,47.86091,-103.90744,,,POD,Unspecified,15110331AA,,Surface Water,ND,
8,NDwr_S9,,NDwr_WS4,,Unspecified,Williams,4326,,,,,48.21541,-103.03848,,,POD,Unspecified,15509628C,,Surface Water,ND,
9,NDwr_S10,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.22483,-103.60127,,,POD,Unspecified,15510030BB,,Surface Water,ND,
10,NDwr_S11,,NDwr_WS2,,Unspecified,Mercer,4326,,,,,47.28288,-101.86756,,,POD,Unspecified,14408820BB,,Surface Water,ND,
11,NDwr_S12,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.18666,-103.11411,,,POD,Unspecified,15409702D,,Surface Water,ND,
12,NDwr_S13,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.17942,-103.12489,,,POD,Unspecified,15409711B,,Surface Water,ND,
13,NDwr_S14,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.2029,-103.09522,,,POD,Unspecified,15509736DB,,Surface Water,ND,
14,NDwr_S15,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.18848,-103.10066,,,POD,Unspecified,15409701CA,,Surface Water,ND,
15,NDwr_S16,,NDwr_WS2,,Unspecified,Williams,4326,,,,,48.19568,-103.09529,,,POD,Unspecified,15409701AB,,Surface Water,ND,
16,NDwr_S17,,NDwr_WS5,,Unspecified,Williams,4326,,,,,48.1849,-103.08989,,,POD,Unspecified,15409701DD,,Surface Water,ND,
