MethodUUID,OrganizationUUID,SiteUUID,VariableSpecificUUID,AllocationApplicationDate,AllocationAssociatedConsumptiveUseSiteIDs,AllocationAssociatedWithdrawalSiteIDs,AllocationBasisCV,AllocationChangeApplicationIndicator,AllocationCommunityWaterSupplySystem,AllocationCropDutyAmount,AllocationExpirationDate,AllocationFlow_CFS,AllocationLegalStatusCV,AllocationNativeID,AllocationOwner,AllocationPriorityDate,AllocationSDWISIdentifierCV,AllocationTimeframeEnd,AllocationTimeframeStart,AllocationTypeCV,AllocationVolume_AF,BeneficialUseCategory,CommunityWaterSupplySystem,CropTypeCV,CustomerTypeCV,DataPublicationDate,DataPublicationDOI,ExemptOfVolumeFlowPriority,GeneratedPowerCapacityMW,IrrigatedAcreage,IrrigationMethodCV,LegacyAllocationIDs,OwnerClassificationCV,PopulationServed,PowerType,PrimaryUseCategory,WaterAllocationNativeURL,ReasonRemoved,index
NDSWC_Water Rights,NDSWC,,NDSWC_Allocation,6/26/1978,,,,,,,,800.0,Perfected,3094,WASHBURN CITY OF,4/25/1978,,,,,,Municipal,,,,04/08/2020,,0,,,,,In Review,,,Unspecified,,Bad SiteUUID,2423.0
NDSWC_Water Rights,NDSWC,,NDSWC_Allocation,3/6/1981,,,,,,,10/7/1985,400.0,Cancelled,3173,WRIGHT ROGER,4/11/1979,,,,,,Irrigation,,,,04/08/2020,,0,,,,,In Review,,,Unspecified,,Bad SiteUUID,2515.0
NDSWC_Water Rights,NDSWC,,NDSWC_Allocation,11/4/1988,,,,,,,6/15/2007,500.0,Cancelled,4001,J.O. THORSON FARMS INC.,8/22/1988,,,,,,Irrigation,,,,04/08/2020,,0,,,,,In Review,,,Unspecified,,Bad SiteUUID,3437.0
NDSWC_Water Rights,NDSWC,,NDSWC_Allocation,,,,,,,,9/30/1993,300.0,Void,4099,RIVERVIEW PLACE,3/7/1990,,,,,,Irrigation,,,,04/08/2020,,0,,,,,In Review,,,Unspecified,,Bad SiteUUID,3547.0
NDSWC_Water Rights,NDSWC,,NDSWC_Allocation,4/11/1955,,,,,,,4/16/2002,200.0,Cancelled,454,GRAND FORKS CITY OF,7/31/1952,,,,,,Irrigation,,,,04/08/2020,,0,,,,,In Review,,,Unspecified,,Bad SiteUUID,4035.0
NDSWC_Water Rights,NDSWC,,NDSWC_Allocation,4/11/1994,,,,,,,9/15/2010,460.0,Cancelled,4738A,HEILMAN DONALD,6/8/1993,,,,,,Irrigation,,,,04/08/2020,,0,,,,,In Review,,,Unspecified,,Bad SiteUUID,4255.0
NDSWC_Water Rights,NDSWC,,NDSWC_Allocation,,,,,,,,5/5/1995,4250.0,Denied,4863,PROGOLD LLC,2/3/1995,,,,,,Industrial,,,,04/08/2020,,0,,,,,In Review,,,Unspecified,,Bad SiteUUID,4397.0
NDSWC_Water Rights,NDSWC,,NDSWC_Allocation,1/20/2015,,,,,,,,154.9,Conditionally Approved,5987,FARGO CITY OF,3/9/2010,,31-Dec,1-Jan,,,Municipal,,,,04/08/2020,,0,,,,,In Review,,,Unspecified,,Bad SiteUUID,5616.0
NDSWC_Water Rights,NDSWC,,NDSWC_Allocation,11/21/2017,,,,,,,,0.0,Conditionally Approved,6778,OXBOW JOB DEVELOPMENT AUTHORITY,6/10/2015,,,,,,Recreation,,,,04/08/2020,,0,,,,,In Review,,,Unspecified,,Bad SiteUUID,6470.0
NDSWC_Water Rights,NDSWC,NDwr_S10610,NDSWC_Allocation,3/19/2018,,,,,,,,,"Void,Conditionally Approved",6871,BURLINGTON RESOURCES OIL & GAS COMPANY LP,7/18/2016,,31-Dec,1-Jan,,0,Industrial,,,,04/08/2020,,0,,,,,In Review,,,Unspecified,,Bad AllocationLegalStatusCV,6571.0
