X,Y,OBJECTID,PERMIT_NUMBER,LATITUDE,LONGITUDE,WATER_CODE,LEGAL_QUARTER3,LEGAL_QUARTER2,LEGAL_QUARTER1,LEGAL_SECTION,LEGAL_TOWNSHIP,LEGAL_RANGE,LEGAL_TYPE,NWELLS,COUNTY,LL_METHOD,TOTAL_ACRE_FEET,PURPOSE_CODE,SIC_CODE,ENTITY_NAME,DATE_ISSUED,EXP_DATE,BRANCH_OFFICE_CODE,DIV_METHOD,DIV_RATE,DIV_FROM,DIV_TYPE,IRR_ACRES,LEASE,WR_NUMBER,STREAM_SYSTEM,AQUIFER_CODE,BASIN_CODE,STATUS_CODE
-97.721924959614668,35.702872727469085,28,2019S0824,35.7028665,-97.721917,Surface Water,NW,NE,SW,10,14N,05WI,L,0,Canadian,,50,"Oil, Gas & Mining",Drilling oil and gas wells,H2Services,2019-09-04T00:00:00.000Z,2019-12-03T00:00:00.000Z,O,Pump,1000,Lake,Lake,,McGinnis 2-15MH,,2092,,,
-97.713451396655884,34.903268837134945,29,2019S0848,34.90326275,-97.7134435,Surface Water,SW,NW,SE,15,05N,05WI,L,1,Grady,,194,"Oil, Gas & Mining",Drilling oil and gas wells,Cobalt Water Solutions,2019-09-12T00:00:00.000Z,2019-12-11T00:00:00.000Z,O,Pump,2000,Washita River,Stream,,"Casillas, Jameson and Kilkenny",,1082,,,A
-98.163218152132373,35.891667183301522,30,2019S0975,35.89166095,-98.16321007,Surface Water,,,NE,04,16N,09WI,L,1,Kingfisher,,52,"Oil, Gas & Mining",Drilling oil and gas wells,NewField Exploration,2019-10-28T00:00:00.000Z,2020-01-26T00:00:00.000Z,O,Pump,120,Gene Hill Pond,Stream,,"Biehler  1709 5H-29X, Biehler  1709 6H-29X, Biehler  1709 7H-29X FRAC - Gene Hill to Doc Stock Staging Pond",,2092,,,A
-99.01557900371013,36.819539490642796,31,2019S0962,36.81953314,-99.01557063,Surface Water,,SW,SW,15,27N,17WI,L,1,Woods,,8,"Oil, Gas & Mining",Drilling oil and gas wells,Select Energy Services,2019-10-31T00:00:00.000Z,2020-01-29T00:00:00.000Z,W,Pump,2100,Mackey Pond,Pond,,Mach-Mack 15-27-17 2H,,2093,,,A
-98.251534358773029,35.833888523510744,32,2019S0900,35.8338823,-98.25152626,Surface Water,SW,,,27,16N,10WI,L,1,Blaine,,32,"Oil, Gas & Mining",Drilling oil and gas wells,Devon Energy Production Company,2019-09-26T00:00:00.000Z,2019-12-25T00:00:00.000Z,W,Pump,1200,Private,Pond,,"Fleenor 5_8_17-15n-10W 3HXX,4HXX,5HXX",,2092,,,A
-97.239018203532041,33.962200073078058,33,2019S0878,33.96219414,-97.23901049,Surface Water,,SE,SE,07,07S,01EI,L,1,Love,,3,"Oil, Gas & Mining",Drilling oil and gas wells,"XTO Energy, Inc.",2019-09-24T00:00:00.000Z,2019-12-23T00:00:00.000Z,L,Pump,120,Unknown,Pond,,"McCarty 4, 5-8H17X20X29",,1090,,,A
-98.664822112278557,36.203695798046596,34,2019S0881,36.20368954,-98.66481387,Surface Water,SE,SE,SW,14,20N,14WI,L,1,Major,,3,"Oil, Gas & Mining",Drilling oil and gas wells,Brickman Fastline Inc.,2019-09-18T00:00:00.000Z,2019-12-17T00:00:00.000Z,W,Pump,100,Wilcox Pond,Pond,,Bowers,,2053,,,A
-98.661386885116116,36.411728919446709,35,2019S0753,36.41172262,-98.66137863,Surface Water,NW,NE,SE,02,22N,14WI,L,1,Woods,,40,"Oil, Gas & Mining",Crude petroleum and natural gas production,D&B Oilfield Services Inc,2019-08-09T00:00:00.000Z,2019-11-07T00:00:00.000Z,W,Pump,500,Cimarron River,Stream,,Fairway Rita Jo 1-2H,,2092,,,A
-98.075017435995974,35.863146671272517,36,2019G0188,35.86314044,-98.07500938,Groundwater,,,NW,17,16N,08WI,L,1,Kingfisher,,32,"Oil, Gas & Mining",Bituminous coal and lignite extraction,"Devon Energy Production Company, LP",2019-10-28T00:00:00.000Z,2020-01-26T00:00:00.000Z,O,Pump,120,,,,Northstar 7_6-16N-8W 3HX,,,114LOYL,,A
-99.788669236499686,36.034274675295144,37,2019G0190,36.0342685,-99.78866073,Groundwater,NE,NW,SW,17,18N,24WI,L,1,Ellis,,18,"Oil, Gas & Mining",Drilling oil and gas wells,Canadian Water Well Rental,2019-10-29T00:00:00.000Z,2020-01-27T00:00:00.000Z,W,Pump,500,,,,Warchime,,,121OGLL,,
