DataPublicationDate,OrganizationUUID,RegulatoryOverlayUUID,ReportingUnitUUID
2020-09-20,OWRB,OKre_RO1,OKre_RU1
2020-09-20,OWRB,OKre_RO1,OKre_RU2
2020-09-20,OWRB,OKre_RO1,OKre_RU3
2020-09-20,OWRB,OKre_RO1,OKre_RU4
2020-09-20,OWRB,OKre_RO1,OKre_RU5
2020-09-20,OWRB,OKre_RO1,OKre_RU6
2020-09-20,OWRB,OKre_RO1,OKre_RU7
2020-09-20,OWRB,OKre_RO1,OKre_RU8
2020-09-20,OWRB,OKre_RO1,OKre_RU9
2020-09-20,OWRB,OKre_RO1,OKre_RU10
2020-09-20,OWRB,OKre_RO1,OKre_RU11
2020-09-20,OWRB,OKre_RO1,OKre_RU12
2020-09-20,OWRB,OKre_RO1,OKre_RU13
2020-09-20,OWRB,OKre_RO1,OKre_RU14
2020-09-20,OWRB,OKre_RO1,OKre_RU15
2020-09-20,OWRB,OKre_RO1,OKre_RU16
2020-09-20,OWRB,OKre_RO1,OKre_RU17
2020-09-20,OWRB,OKre_RO1,OKre_RU18
2020-09-20,OWRB,OKre_RO1,OKre_RU19
2020-09-20,OWRB,OKre_RO1,OKre_RU20
2020-09-20,OWRB,OKre_RO1,OKre_RU21
2020-09-20,OWRB,OKre_RO1,OKre_RU22
2020-09-20,OWRB,OKre_RO1,OKre_RU23
2020-09-20,OWRB,OKre_RO1,OKre_RU24
2020-09-20,OWRB,OKre_RO1,OKre_RU25
2020-09-20,OWRB,OKre_RO1,OKre_RU26
2020-09-20,OWRB,OKre_RO1,OKre_RU27
2020-09-20,OWRB,OKre_RO1,OKre_RU28
2020-09-20,OWRB,OKre_RO1,OKre_RU29
2020-09-20,OWRB,OKre_RO2,OKre_RU30
2020-09-20,OWRB,OKre_RO2,OKre_RU31
2020-09-20,OWRB,OKre_RO2,OKre_RU32
2020-09-20,OWRB,OKre_RO2,OKre_RU33
2020-09-20,OWRB,OKre_RO2,OKre_RU34
2020-09-20,OWRB,OKre_RO2,OKre_RU35
2020-09-20,OWRB,OKre_RO2,OKre_RU36
