SiteUUID,PODorPOUSite,Longitude,Latitude
OKwr_S1,POD,-101.8963396,36.57472754
OKwr_S10,POD,-99.04591975,34.58649162
OKwr_S100,POD,-102.08507078,36.54387355
OKwr_S1000,POD,-99.8208335,34.5895925
OKwr_S10000,POD,-99.87825887,35.63107052
OKwr_S10001,POD,-98.67876682,35.576939
OKwr_S10002,POD,-98.06907975,35.63568161
OKwr_S10003,POD,-98.0713067,35.63751526
OKwr_S10004,POD,-98.6091095,35.6141395
OKwr_S10005,POD,-98.0455131,35.5783512
OKwr_S10006,POD,-99.02994675,35.55794195
OKwr_S10007,POD,-99.02326325,35.56155132
OKwr_S10008,POD,-99.02548362,35.564239
OKwr_S10009,POD,-97.55071965,35.71734015
OKwr_S1001,POD,-99.14558992,34.54729905
OKwr_S1001,POD,-99.14558992,34.54729905
OKwr_S1001,POD,-99.14558992,34.54729905
OKwr_S10010,POD,-97.55071825,35.71193335
OKwr_S10011,POD,-97.56407183,35.71213809
OKwr_S10012,POD,-97.55739644,35.71203523
OKwr_S10013,POD,-97.557397,35.71735123
OKwr_S10014,POD,-98.65648461,35.56243525
OKwr_S10015,POD,-98.95008828,35.55604853
OKwr_S10016,POD,-98.9523097,35.55788244
OKwr_S10017,POD,-98.88344325,35.61593937
OKwr_S10018,POD,-98.8856625,35.6195535
OKwr_S10019,POD,-98.88789322,35.61233776
OKwr_S1002,POD,-100.67421995,36.50319092
OKwr_S10020,POD,-99.66458208,35.62078708
OKwr_S10021,POD,-97.9581035,35.56128062
OKwr_S10021,POD,-97.9581035,35.56128062
OKwr_S10022,POD,-97.95360363,35.55766754
OKwr_S10023,POD,-97.95360345,35.55405413
OKwr_S10024,POD,-97.9536035,35.5558615
OKwr_S10025,POD,-97.95357817,35.56491269
OKwr_S10026,POD,-97.953604,35.5612805
OKwr_S10026,POD,-97.953604,35.5612805
OKwr_S10027,POD,-97.95360388,35.55947354
OKwr_S10027,POD,-97.95360388,35.55947354
OKwr_S10028,POD,-97.95808446,35.56490916
OKwr_S10028,POD,-97.95808446,35.56490916
OKwr_S10029,POD,-97.9581005,35.56308761
OKwr_S1003,POD,-99.1795225,34.4565465
OKwr_S10030,POD,-97.9558255,35.5612805
OKwr_S10030,POD,-97.9558255,35.5612805
OKwr_S10031,POD,-97.96037837,35.56308904
OKwr_S10032,POD,-99.58621952,35.56549626
OKwr_S10033,POD,-98.0800456,35.58297562
