WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
OK_1,,,Fresh,Unspecified,Unspecified,Groundwater
OK_2,,,Fresh,Unspecified,2054.0,Groundwater
OK_3,,,Fresh,Unspecified,1131.0,Groundwater
OK_4,,,Fresh,Unspecified,1081.0,Groundwater
OK_5,,,Fresh,Unspecified,2094.0,Groundwater
OK_6,,,Fresh,Unspecified,2053.0,Groundwater
OK_7,,,Fresh,Unspecified,1060.0,Groundwater
OK_8,,,Fresh,Unspecified,1151.0,Groundwater
OK_9,,,Fresh,Unspecified,1120.0,Groundwater
OK_10,,,Fresh,Unspecified,1132.0,Groundwater
OK_11,,,Fresh,Unspecified,1040.0,Groundwater
OK_12,,,Fresh,Unspecified,1170.0,Groundwater
OK_13,,,Fresh,Unspecified,1140.0,Groundwater
OK_14,,,Fresh,Unspecified,1160.0,Groundwater
OK_15,,,Fresh,Unspecified,1020.0,Groundwater
OK_16,,,Fresh,Unspecified,1010.0,Groundwater
OK_17,,,Fresh,Unspecified,2061.0,Groundwater
OK_18,,,Fresh,Unspecified,1082.0,Groundwater
OK_19,,,Fresh,Unspecified,2062.0,Groundwater
OK_20,,,Fresh,Unspecified,1090.0,Groundwater
OK_21,,,Fresh,Unspecified,1100.0,Groundwater
OK_22,,,Fresh,Unspecified,1110.0,Groundwater
OK_23,,,Fresh,Unspecified,1030.0,Groundwater
OK_24,,,Fresh,Unspecified,1180.0,Groundwater
OK_25,,,Fresh,Unspecified,1152.0,Groundwater
OK_26,,,Fresh,Unspecified,1050.0,Groundwater
OK_27,,,Fresh,Unspecified,2080.0,Groundwater
OK_28,,,Fresh,Unspecified,2093.0,Groundwater
OK_29,,,Fresh,Unspecified,1083.0,Groundwater
OK_30,,,Fresh,Unspecified,2051.0,Groundwater
OK_31,,,Fresh,Unspecified,1084.0,Groundwater
OK_32,,,Fresh,Unspecified,1070.0,Groundwater
OK_33,,,Fresh,Unspecified,2010.0,Groundwater
OK_34,,,Fresh,Unspecified,2030.0,Groundwater
OK_35,,,Fresh,Unspecified,2020.0,Groundwater
OK_36,,,Fresh,Unspecified,2063.0,Groundwater
OK_37,,,Fresh,Unspecified,2070.0,Groundwater
OK_38,,,Fresh,Unspecified,2052.0,Groundwater
OK_39,,,Fresh,Unspecified,2092.0,Groundwater
OK_40,,,Fresh,Unspecified,2040.0,Groundwater
OK_41,,,Fresh,Unspecified,2060.0,Groundwater
OK_42,,,Fresh,Unspecified,2170.0,Groundwater
OK_43,,,Fresh,Unspecified,2091.0,Groundwater
OK_44,,,Fresh,Unspecified,2160.0,Groundwater
OK_45,,,Fresh,Unspecified,2141.0,Groundwater
OK_46,,,Fresh,Unspecified,2120.0,Groundwater
OK_47,,,Fresh,Unspecified,2100.0,Groundwater
OK_48,,,Fresh,Unspecified,2169.0,Groundwater
OK_49,,,Fresh,Unspecified,2110.0,Groundwater
OK_50,,,Fresh,Unspecified,2140.0,Groundwater
OK_51,,,Fresh,Unspecified,1030.0,Surface Water
OK_52,,,Fresh,Unspecified,2010.0,Surface Water
OK_53,,,Fresh,Unspecified,1060.0,Surface Water
OK_54,,,Fresh,Unspecified,1083.0,Surface Water
OK_55,,,Fresh,Unspecified,1041.0,Surface Water
OK_56,,,Fresh,Unspecified,2063.0,Surface Water
OK_57,,,Fresh,Unspecified,2130.0,Surface Water
OK_58,,,Fresh,Unspecified,2040.0,Surface Water
OK_59,,,Fresh,Unspecified,1042.0,Surface Water
OK_60,,,Fresh,Unspecified,1050.0,Surface Water
OK_61,,,Fresh,Unspecified,2062.0,Surface Water
OK_62,,,Fresh,Unspecified,2152.0,Surface Water
OK_63,,,Fresh,Unspecified,2110.0,Surface Water
OK_64,,,Fresh,Unspecified,2030.0,Surface Water
OK_65,,,Fresh,Unspecified,1090.0,Surface Water
OK_66,,,Fresh,Unspecified,1082.0,Surface Water
OK_67,,,Fresh,Unspecified,1070.0,Surface Water
OK_68,,,Fresh,Unspecified,2020.0,Surface Water
OK_69,,,Fresh,Unspecified,2061.0,Surface Water
OK_70,,,Fresh,Unspecified,2051.0,Surface Water
OK_71,,,Fresh,Unspecified,2140.0,Surface Water
OK_72,,,Fresh,Unspecified,2151.0,Surface Water
OK_73,,,Fresh,Unspecified,1120.0,Surface Water
OK_74,,,Fresh,Unspecified,1081.0,Surface Water
OK_75,,,Fresh,Unspecified,1132.0,Surface Water
OK_76,,,Fresh,Unspecified,2170.0,Surface Water
OK_77,,,Fresh,Unspecified,1170.0,Surface Water
OK_78,,,Fresh,Unspecified,1151.0,Surface Water
OK_79,,,Fresh,Unspecified,1010.0,Surface Water
OK_80,,,Fresh,Unspecified,2070.0,Surface Water
OK_81,,,Fresh,Unspecified,2092.0,Surface Water
OK_82,,,Fresh,Unspecified,2093.0,Surface Water
OK_83,,,Fresh,Unspecified,1100.0,Surface Water
OK_84,,,Fresh,Unspecified,1160.0,Surface Water
OK_85,,,Fresh,Unspecified,2120.0,Surface Water
OK_86,,,Fresh,Unspecified,2052.0,Surface Water
OK_87,,,Fresh,Unspecified,2053.0,Surface Water
OK_88,,,Fresh,Unspecified,1152.0,Surface Water
OK_89,,,Fresh,Unspecified,1084.0,Surface Water
OK_90,,,Fresh,Unspecified,2054.0,Surface Water
OK_91,,,Fresh,Unspecified,2080.0,Surface Water
OK_92,,,Fresh,Unspecified,1131.0,Surface Water
OK_93,,,Fresh,Unspecified,2160.0,Surface Water
OK_94,,,Fresh,Unspecified,2101.0,Surface Water
OK_95,,,Fresh,Unspecified,2091.0,Surface Water
OK_96,,,Fresh,Unspecified,1020.0,Surface Water
OK_97,,,Fresh,Unspecified,1180.0,Surface Water
OK_98,,,Fresh,Unspecified,1110.0,Surface Water
OK_99,,,Fresh,Unspecified,2094.0,Surface Water
OK_100,,,Fresh,Unspecified,2102.0,Surface Water
OK_101,,,Fresh,Unspecified,1040.0,Surface Water
OK_102,,,Fresh,Unspecified,1140.0,Surface Water
OK_103,,,Fresh,Unspecified,Unspecified,Surface Water
