PODSiteUUID,POUSiteUUID,StartDate,EndDate
OKwr_S12828,OKwr_S25766,01/01/2021,12/31/2021
OKwr_S11321,OKwr_S23547,01/01/2021,12/31/2021
OKwr_S11321,OKwr_S23540,01/01/2021,12/31/2021
OKwr_S12695,OKwr_S23689,01/01/2021,12/31/2021
OKwr_S12695,OKwr_S23541,01/01/2021,12/31/2021
OKwr_S12076,OKwr_S22823,01/01/2021,12/31/2021
OKwr_S12076,OKwr_S22822,01/01/2021,12/31/2021
OKwr_S12076,OKwr_S22821,01/01/2021,12/31/2021
OKwr_S12076,OKwr_S22824,01/01/2021,12/31/2021
OKwr_S12076,OKwr_S22825,01/01/2021,12/31/2021
OKwr_S12077,OKwr_S22823,01/01/2021,12/31/2021
OKwr_S12077,OKwr_S22822,01/01/2021,12/31/2021
OKwr_S12077,OKwr_S22821,01/01/2021,12/31/2021
OKwr_S12077,OKwr_S22824,01/01/2021,12/31/2021
OKwr_S12077,OKwr_S22825,01/01/2021,12/31/2021
OKwr_S10804,OKwr_S25640,01/01/2021,12/31/2021
OKwr_S10804,OKwr_S25637,01/01/2021,12/31/2021
OKwr_S10804,OKwr_S25639,01/01/2021,12/31/2021
OKwr_S10804,OKwr_S25636,01/01/2021,12/31/2021
OKwr_S10804,OKwr_S25638,01/01/2021,12/31/2021
OKwr_S10804,OKwr_S25635,01/01/2021,12/31/2021
OKwr_S10806,OKwr_S25640,01/01/2021,12/31/2021
OKwr_S10806,OKwr_S25637,01/01/2021,12/31/2021
OKwr_S10806,OKwr_S25639,01/01/2021,12/31/2021
OKwr_S10806,OKwr_S25636,01/01/2021,12/31/2021
OKwr_S10806,OKwr_S25638,01/01/2021,12/31/2021
OKwr_S10806,OKwr_S25635,01/01/2021,12/31/2021
OKwr_S13426,OKwr_S22793,01/01/2021,12/31/2021
OKwr_S13426,OKwr_S22794,01/01/2021,12/31/2021
OKwr_S13426,OKwr_S22795,01/01/2021,12/31/2021
OKwr_S13427,OKwr_S22793,01/01/2021,12/31/2021
OKwr_S13427,OKwr_S22794,01/01/2021,12/31/2021
OKwr_S13427,OKwr_S22795,01/01/2021,12/31/2021
OKwr_S13428,OKwr_S22793,01/01/2021,12/31/2021
OKwr_S13428,OKwr_S22794,01/01/2021,12/31/2021
OKwr_S13428,OKwr_S22795,01/01/2021,12/31/2021
OKwr_S11414,OKwr_S23552,01/01/2021,12/31/2021
OKwr_S11414,OKwr_S23549,01/01/2021,12/31/2021
OKwr_S11414,OKwr_S23548,01/01/2021,12/31/2021
OKwr_S11414,OKwr_S23566,01/01/2021,12/31/2021
OKwr_S11414,OKwr_S23699,01/01/2021,12/31/2021
OKwr_S11414,OKwr_S23551,01/01/2021,12/31/2021
OKwr_S11414,OKwr_S23565,01/01/2021,12/31/2021
OKwr_S11414,OKwr_S23698,01/01/2021,12/31/2021
OKwr_S11414,OKwr_S23544,01/01/2021,12/31/2021
OKwr_S11414,OKwr_S23550,01/01/2021,12/31/2021
OKwr_S11528,OKwr_S25256,01/01/2021,12/31/2021
OKwr_S12862,OKwr_S26569,01/01/2021,12/31/2021
OKwr_S11155,OKwr_S23032,01/01/2021,12/31/2021
OKwr_S11235,OKwr_S24955,01/01/2021,12/31/2021
OKwr_S12310,OKwr_S25767,01/01/2021,12/31/2021
OKwr_S11196,OKwr_S24952,01/01/2021,12/31/2021
OKwr_S12965,OKwr_S24951,01/01/2021,12/31/2021
OKwr_S11424,OKwr_S23518,01/01/2021,12/31/2021
OKwr_S11424,OKwr_S23520,01/01/2021,12/31/2021
OKwr_S11424,OKwr_S23519,01/01/2021,12/31/2021
OKwr_S11423,OKwr_S23518,01/01/2021,12/31/2021
OKwr_S11423,OKwr_S23520,01/01/2021,12/31/2021
OKwr_S11423,OKwr_S23519,01/01/2021,12/31/2021
OKwr_S12840,OKwr_S23696,01/01/2021,12/31/2021
OKwr_S12840,OKwr_S23546,01/01/2021,12/31/2021
OKwr_S12840,OKwr_S23697,01/01/2021,12/31/2021
OKwr_S12840,OKwr_S23545,01/01/2021,12/31/2021
OKwr_S11077,OKwr_S23627,01/01/2021,12/31/2021
OKwr_S11078,OKwr_S23627,01/01/2021,12/31/2021
OKwr_S11900,OKwr_S23837,01/01/2021,12/31/2021
OKwr_S11167,OKwr_S25712,01/01/2021,12/31/2021
OKwr_S11167,OKwr_S25710,01/01/2021,12/31/2021
OKwr_S11167,OKwr_S25711,01/01/2021,12/31/2021
OKwr_S12693,OKwr_S22813,01/01/2021,12/31/2021
OKwr_S11066,OKwr_S23943,01/01/2021,12/31/2021
OKwr_S11066,OKwr_S23944,01/01/2021,12/31/2021
