index,SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
0,OKwr_S1,,Unspecified,Texas,EPSG:4326,,,,,36.57472754,-101.8963396,,,POD,Unspecified,561,,Groundwater,OK,
1,OKwr_S2,,Unspecified,Texas,EPSG:4326,,,,,36.51633845,-101.5751115,,,POD,Unspecified,752,,Groundwater,OK,
2,OKwr_S3,,Unspecified,Tillman,EPSG:4326,,,,,34.58284923,-99.05250259,,,POD,Unspecified,944,,Groundwater,OK,
3,OKwr_S4,,Unspecified,Tillman,EPSG:4326,,,,,34.5901155,-99.0503085,,,POD,Unspecified,954,,Groundwater,OK,
4,OKwr_S5,,Unspecified,Tillman,EPSG:4326,,,,,34.5864885,-99.0503085,,,POD,Unspecified,945,,Groundwater,OK,
5,OKwr_S6,,Unspecified,Tillman,EPSG:4326,,,,,34.581030299999995,-99.05249595,,,POD,Unspecified,953,,Groundwater,OK,
6,OKwr_S7,,Unspecified,Tillman,EPSG:4326,,,,,34.5810465,-99.04808882,,,POD,Unspecified,946,,Groundwater,OK,
7,OKwr_S8,,Unspecified,Tillman,EPSG:4326,,,,,34.58105287,-99.04588817,,,POD,Unspecified,952,,Groundwater,OK,
8,OKwr_S9,,Unspecified,Tillman,EPSG:4326,,,,,34.58286575,-99.04591789,,,POD,Unspecified,947,,Groundwater,OK,
9,OKwr_S10,,Unspecified,Tillman,EPSG:4326,,,,,34.58649162,-99.04591975,,,POD,Unspecified,951,,Groundwater,OK,
10,OKwr_S11,,Unspecified,Tillman,EPSG:4326,,,,,34.5901155,-99.0459185,,,POD,Unspecified,948,,Groundwater,OK,
11,OKwr_S12,,Unspecified,Tillman,EPSG:4326,,,,,34.591922499999995,-99.0459185,,,POD,Unspecified,950,,Groundwater,OK,
12,OKwr_S13,,Unspecified,Tillman,EPSG:4326,,,,,34.5846685,-99.0503085,,,POD,Unspecified,949,,Groundwater,OK,
13,OKwr_S14,,Unspecified,Texas,EPSG:4326,,,,,36.58009475,-101.8895851,,,POD,Unspecified,564,,Groundwater,OK,
14,OKwr_S15,,Unspecified,Texas,EPSG:4326,,,,,36.58730816,-101.90533994,,,POD,Unspecified,558,,Groundwater,OK,
15,OKwr_S16,,Unspecified,Texas,EPSG:4326,,,,,36.5819027,-101.89633925,,,POD,Unspecified,563,,Groundwater,OK,
16,OKwr_S17,,Unspecified,Texas,EPSG:4326,,,,,36.57469301,-101.89183987,,,POD,Unspecified,562,,Groundwater,OK,
17,OKwr_S18,,Unspecified,Texas,EPSG:4326,,,,,36.50745688,-101.98847395,,,POD,Unspecified,544,,Groundwater,OK,
18,OKwr_S19,,Unspecified,Texas,EPSG:4326,,,,,36.50203674,-101.99532726,,,POD,Unspecified,542,,Groundwater,OK,
19,OKwr_S20,,Unspecified,Texas,EPSG:4326,,,,,36.5056505,-101.990722,,,POD,Unspecified,543,,Groundwater,OK,
20,OKwr_S21,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.5061035,-102.4894335,,,POD,Unspecified,266,,Groundwater,OK,
21,OKwr_S22,,Unspecified,Texas,EPSG:4326,,,,,36.5799985,-101.7031505,,,POD,Unspecified,685,,Groundwater,OK,
22,OKwr_S23,,Unspecified,Texas,EPSG:4326,,,,,36.58361454,-101.69641113,,,POD,Unspecified,686,,Groundwater,OK,
23,OKwr_S24,,Unspecified,Comanche,EPSG:4326,,,,11130202.0,34.51813905,-98.3708062,,,POD,Unspecified,624,,Groundwater,OK,
24,OKwr_S25,,Unspecified,Texas,EPSG:4326,,,,,36.5449475,-101.08551325,,,POD,Unspecified,924,,Groundwater,OK,
25,OKwr_S26,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.51480058,-102.06705057,,,POD,Unspecified,484,,Groundwater,OK,
26,OKwr_S27,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.5129573,-102.06705475,,,POD,Unspecified,485,,Groundwater,OK,
27,OKwr_S28,,Unspecified,Garvin,EPSG:4326,,,,11130303.0,34.56404422,-97.41730169,,,POD,Unspecified,119,,Groundwater,OK,
28,OKwr_S29,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.52244004,-102.48015359,,,POD,Unspecified,257,,Groundwater,OK,
29,OKwr_S30,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.52422473,-102.47121099,,,POD,Unspecified,258,,Groundwater,OK,
30,OKwr_S31,,Unspecified,Texas,EPSG:4326,,,,11100103.0,36.51475921,-101.69854757,,,POD,Unspecified,720,,Groundwater,OK,
31,OKwr_S32,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.529599,-102.60170161,,,POD,Unspecified,218,,Groundwater,OK,
32,OKwr_S33,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.52411134,-102.5927006,,,POD,Unspecified,219,,Groundwater,OK,
33,OKwr_S34,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.56744904,-102.10294251,,,POD,Unspecified,440,,Groundwater,OK,
34,OKwr_S35,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.53516229,-102.9292125,,,POD,Unspecified,11,,Groundwater,OK,
35,OKwr_S36,,Unspecified,Texas,EPSG:4326,,,,11100303.0,36.52158557,-101.49188361,,,POD,Unspecified,781,,Groundwater,OK,
36,OKwr_S37,,Unspecified,Texas,EPSG:4326,,,,11100303.0,36.51796938,-101.48738826,,,POD,Unspecified,782,,Groundwater,OK,
37,OKwr_S38,,Unspecified,Texas,EPSG:4326,,,,11100303.0,36.5106765,-101.485194,,,POD,Unspecified,785,,Groundwater,OK,
38,OKwr_S39,,Unspecified,Texas,EPSG:4326,,,,11100303.0,36.50886954,-101.48744238,,,POD,Unspecified,786,,Groundwater,OK,
