,WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
0,OKwr_WS1,,,Fresh,Unspecified,Unspecified,Groundwater
1,OKwr_WS2,,,Fresh,Unspecified,2054.0,Groundwater
2,OKwr_WS3,,,Fresh,Unspecified,1131.0,Groundwater
3,OKwr_WS4,,,Fresh,Unspecified,1081.0,Groundwater
4,OKwr_WS5,,,Fresh,Unspecified,2094.0,Groundwater
5,OKwr_WS6,,,Fresh,Unspecified,2053.0,Groundwater
6,OKwr_WS7,,,Fresh,Unspecified,1060.0,Groundwater
7,OKwr_WS8,,,Fresh,Unspecified,1151.0,Groundwater
8,OKwr_WS9,,,Fresh,Unspecified,1120.0,Groundwater
9,OKwr_WS10,,,Fresh,Unspecified,1132.0,Groundwater
10,OKwr_WS11,,,Fresh,Unspecified,1040.0,Groundwater
11,OKwr_WS12,,,Fresh,Unspecified,1170.0,Groundwater
12,OKwr_WS13,,,Fresh,Unspecified,1140.0,Groundwater
13,OKwr_WS14,,,Fresh,Unspecified,1160.0,Groundwater
14,OKwr_WS15,,,Fresh,Unspecified,1020.0,Groundwater
15,OKwr_WS16,,,Fresh,Unspecified,1010.0,Groundwater
16,OKwr_WS17,,,Fresh,Unspecified,2061.0,Groundwater
17,OKwr_WS18,,,Fresh,Unspecified,1082.0,Groundwater
18,OKwr_WS19,,,Fresh,Unspecified,2062.0,Groundwater
19,OKwr_WS20,,,Fresh,Unspecified,1090.0,Groundwater
20,OKwr_WS21,,,Fresh,Unspecified,1100.0,Groundwater
21,OKwr_WS22,,,Fresh,Unspecified,1110.0,Groundwater
22,OKwr_WS23,,,Fresh,Unspecified,1030.0,Groundwater
23,OKwr_WS24,,,Fresh,Unspecified,1180.0,Groundwater
24,OKwr_WS25,,,Fresh,Unspecified,1152.0,Groundwater
25,OKwr_WS26,,,Fresh,Unspecified,1050.0,Groundwater
26,OKwr_WS27,,,Fresh,Unspecified,2080.0,Groundwater
27,OKwr_WS28,,,Fresh,Unspecified,2093.0,Groundwater
28,OKwr_WS29,,,Fresh,Unspecified,1083.0,Groundwater
29,OKwr_WS30,,,Fresh,Unspecified,2051.0,Groundwater
30,OKwr_WS31,,,Fresh,Unspecified,1084.0,Groundwater
31,OKwr_WS32,,,Fresh,Unspecified,1070.0,Groundwater
32,OKwr_WS33,,,Fresh,Unspecified,2010.0,Groundwater
33,OKwr_WS34,,,Fresh,Unspecified,2030.0,Groundwater
34,OKwr_WS35,,,Fresh,Unspecified,2020.0,Groundwater
35,OKwr_WS36,,,Fresh,Unspecified,2063.0,Groundwater
36,OKwr_WS37,,,Fresh,Unspecified,2070.0,Groundwater
37,OKwr_WS38,,,Fresh,Unspecified,2052.0,Groundwater
38,OKwr_WS39,,,Fresh,Unspecified,2092.0,Groundwater
39,OKwr_WS40,,,Fresh,Unspecified,2040.0,Groundwater
40,OKwr_WS41,,,Fresh,Unspecified,2060.0,Groundwater
41,OKwr_WS42,,,Fresh,Unspecified,2170.0,Groundwater
42,OKwr_WS43,,,Fresh,Unspecified,2091.0,Groundwater
43,OKwr_WS44,,,Fresh,Unspecified,2160.0,Groundwater
44,OKwr_WS45,,,Fresh,Unspecified,2141.0,Groundwater
45,OKwr_WS46,,,Fresh,Unspecified,2120.0,Groundwater
46,OKwr_WS47,,,Fresh,Unspecified,2100.0,Groundwater
47,OKwr_WS48,,,Fresh,Unspecified,2169.0,Groundwater
48,OKwr_WS49,,,Fresh,Unspecified,2110.0,Groundwater
49,OKwr_WS50,,,Fresh,Unspecified,2140.0,Groundwater
50,OKwr_WS51,,,Fresh,Unspecified,1030.0,Surface Water
51,OKwr_WS52,,,Fresh,Unspecified,2010.0,Surface Water
52,OKwr_WS53,,,Fresh,Unspecified,1060.0,Surface Water
53,OKwr_WS54,,,Fresh,Unspecified,1083.0,Surface Water
54,OKwr_WS55,,,Fresh,Unspecified,1041.0,Surface Water
55,OKwr_WS56,,,Fresh,Unspecified,2063.0,Surface Water
56,OKwr_WS57,,,Fresh,Unspecified,2130.0,Surface Water
57,OKwr_WS58,,,Fresh,Unspecified,2040.0,Surface Water
58,OKwr_WS59,,,Fresh,Unspecified,1042.0,Surface Water
59,OKwr_WS60,,,Fresh,Unspecified,1050.0,Surface Water
60,OKwr_WS61,,,Fresh,Unspecified,2062.0,Surface Water
61,OKwr_WS62,,,Fresh,Unspecified,2152.0,Surface Water
62,OKwr_WS63,,,Fresh,Unspecified,2110.0,Surface Water
63,OKwr_WS64,,,Fresh,Unspecified,2030.0,Surface Water
64,OKwr_WS65,,,Fresh,Unspecified,1090.0,Surface Water
65,OKwr_WS66,,,Fresh,Unspecified,1082.0,Surface Water
66,OKwr_WS67,,,Fresh,Unspecified,1070.0,Surface Water
67,OKwr_WS68,,,Fresh,Unspecified,2020.0,Surface Water
68,OKwr_WS69,,,Fresh,Unspecified,2061.0,Surface Water
69,OKwr_WS70,,,Fresh,Unspecified,2051.0,Surface Water
70,OKwr_WS71,,,Fresh,Unspecified,2140.0,Surface Water
71,OKwr_WS72,,,Fresh,Unspecified,2151.0,Surface Water
72,OKwr_WS73,,,Fresh,Unspecified,1120.0,Surface Water
73,OKwr_WS74,,,Fresh,Unspecified,1081.0,Surface Water
74,OKwr_WS75,,,Fresh,Unspecified,1132.0,Surface Water
75,OKwr_WS76,,,Fresh,Unspecified,2170.0,Surface Water
76,OKwr_WS77,,,Fresh,Unspecified,1170.0,Surface Water
77,OKwr_WS78,,,Fresh,Unspecified,1151.0,Surface Water
78,OKwr_WS79,,,Fresh,Unspecified,1010.0,Surface Water
79,OKwr_WS80,,,Fresh,Unspecified,2070.0,Surface Water
80,OKwr_WS81,,,Fresh,Unspecified,2092.0,Surface Water
81,OKwr_WS82,,,Fresh,Unspecified,2093.0,Surface Water
82,OKwr_WS83,,,Fresh,Unspecified,1100.0,Surface Water
83,OKwr_WS84,,,Fresh,Unspecified,1160.0,Surface Water
84,OKwr_WS85,,,Fresh,Unspecified,2120.0,Surface Water
85,OKwr_WS86,,,Fresh,Unspecified,2052.0,Surface Water
86,OKwr_WS87,,,Fresh,Unspecified,2053.0,Surface Water
87,OKwr_WS88,,,Fresh,Unspecified,1152.0,Surface Water
88,OKwr_WS89,,,Fresh,Unspecified,1084.0,Surface Water
89,OKwr_WS90,,,Fresh,Unspecified,2054.0,Surface Water
90,OKwr_WS91,,,Fresh,Unspecified,2080.0,Surface Water
91,OKwr_WS92,,,Fresh,Unspecified,1131.0,Surface Water
92,OKwr_WS93,,,Fresh,Unspecified,2160.0,Surface Water
93,OKwr_WS94,,,Fresh,Unspecified,2101.0,Surface Water
94,OKwr_WS95,,,Fresh,Unspecified,2091.0,Surface Water
95,OKwr_WS96,,,Fresh,Unspecified,1020.0,Surface Water
96,OKwr_WS97,,,Fresh,Unspecified,1180.0,Surface Water
97,OKwr_WS98,,,Fresh,Unspecified,1110.0,Surface Water
98,OKwr_WS99,,,Fresh,Unspecified,2094.0,Surface Water
99,OKwr_WS100,,,Fresh,Unspecified,2102.0,Surface Water
100,OKwr_WS101,,,Fresh,Unspecified,1040.0,Surface Water
101,OKwr_WS102,,,Fresh,Unspecified,1140.0,Surface Water
102,OKwr_WS103,,,Fresh,Unspecified,Unspecified,Surface Water
