index,SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
0,OK_1,,Unspecified,Texas,EPSG:4326,,,,,36.57472754,-101.8963396,,,Unspecified,561,,Groundwater,OK,
1,OK_2,,Unspecified,Texas,EPSG:4326,,,,,36.51633845,-101.5751115,,,Unspecified,752,,Groundwater,OK,
2,OK_3,,Unspecified,Tillman,EPSG:4326,,,,,34.58284923,-99.05250259,,,Unspecified,944,,Groundwater,OK,
3,OK_4,,Unspecified,Tillman,EPSG:4326,,,,,34.5901155,-99.0503085,,,Unspecified,954,,Groundwater,OK,
4,OK_5,,Unspecified,Tillman,EPSG:4326,,,,,34.5864885,-99.0503085,,,Unspecified,945,,Groundwater,OK,
5,OK_6,,Unspecified,Tillman,EPSG:4326,,,,,34.581030299999995,-99.05249595,,,Unspecified,953,,Groundwater,OK,
6,OK_7,,Unspecified,Tillman,EPSG:4326,,,,,34.5810465,-99.04808882,,,Unspecified,946,,Groundwater,OK,
7,OK_8,,Unspecified,Tillman,EPSG:4326,,,,,34.58105287,-99.04588817,,,Unspecified,952,,Groundwater,OK,
8,OK_9,,Unspecified,Tillman,EPSG:4326,,,,,34.58286575,-99.04591789,,,Unspecified,947,,Groundwater,OK,
9,OK_10,,Unspecified,Tillman,EPSG:4326,,,,,34.58649162,-99.04591975,,,Unspecified,951,,Groundwater,OK,
10,OK_11,,Unspecified,Tillman,EPSG:4326,,,,,34.5901155,-99.0459185,,,Unspecified,948,,Groundwater,OK,
11,OK_12,,Unspecified,Tillman,EPSG:4326,,,,,34.591922499999995,-99.0459185,,,Unspecified,950,,Groundwater,OK,
12,OK_13,,Unspecified,Tillman,EPSG:4326,,,,,34.5846685,-99.0503085,,,Unspecified,949,,Groundwater,OK,
13,OK_14,,Unspecified,Texas,EPSG:4326,,,,,36.58009475,-101.8895851,,,Unspecified,564,,Groundwater,OK,
14,OK_15,,Unspecified,Texas,EPSG:4326,,,,,36.58730816,-101.90533994,,,Unspecified,558,,Groundwater,OK,
15,OK_16,,Unspecified,Texas,EPSG:4326,,,,,36.5819027,-101.89633925,,,Unspecified,563,,Groundwater,OK,
16,OK_17,,Unspecified,Texas,EPSG:4326,,,,,36.57469301,-101.89183987,,,Unspecified,562,,Groundwater,OK,
17,OK_18,,Unspecified,Texas,EPSG:4326,,,,,36.50745688,-101.98847395,,,Unspecified,544,,Groundwater,OK,
18,OK_19,,Unspecified,Texas,EPSG:4326,,,,,36.50203674,-101.99532726,,,Unspecified,542,,Groundwater,OK,
19,OK_20,,Unspecified,Texas,EPSG:4326,,,,,36.5056505,-101.990722,,,Unspecified,543,,Groundwater,OK,
20,OK_21,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.5061035,-102.4894335,,,Unspecified,266,,Groundwater,OK,
21,OK_22,,Unspecified,Texas,EPSG:4326,,,,,36.5799985,-101.7031505,,,Unspecified,685,,Groundwater,OK,
22,OK_23,,Unspecified,Texas,EPSG:4326,,,,,36.58361454,-101.69641113,,,Unspecified,686,,Groundwater,OK,
23,OK_24,,Unspecified,Comanche,EPSG:4326,,,,11130202.0,34.51813905,-98.3708062,,,Unspecified,624,,Groundwater,OK,
24,OK_25,,Unspecified,Texas,EPSG:4326,,,,,36.5449475,-101.08551325,,,Unspecified,924,,Groundwater,OK,
25,OK_26,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.51480058,-102.06705057,,,Unspecified,484,,Groundwater,OK,
26,OK_27,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.5129573,-102.06705475,,,Unspecified,485,,Groundwater,OK,
27,OK_28,,Unspecified,Garvin,EPSG:4326,,,,11130303.0,34.56404422,-97.41730169,,,Unspecified,119,,Groundwater,OK,
28,OK_29,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.52244004,-102.48015359,,,Unspecified,257,,Groundwater,OK,
29,OK_30,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.52422473,-102.47121099,,,Unspecified,258,,Groundwater,OK,
30,OK_31,,Unspecified,Texas,EPSG:4326,,,,11100103.0,36.51475921,-101.69854757,,,Unspecified,720,,Groundwater,OK,
31,OK_32,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.529599,-102.60170161,,,Unspecified,218,,Groundwater,OK,
32,OK_33,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.52411134,-102.5927006,,,Unspecified,219,,Groundwater,OK,
33,OK_34,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.56744904,-102.10294251,,,Unspecified,440,,Groundwater,OK,
34,OK_35,,Unspecified,Cimarron,EPSG:4326,,,,11100103.0,36.53516229,-102.9292125,,,Unspecified,11,,Groundwater,OK,
35,OK_36,,Unspecified,Texas,EPSG:4326,,,,11100303.0,36.52158557,-101.49188361,,,Unspecified,781,,Groundwater,OK,
36,OK_37,,Unspecified,Texas,EPSG:4326,,,,11100303.0,36.51796938,-101.48738826,,,Unspecified,782,,Groundwater,OK,
37,OK_38,,Unspecified,Texas,EPSG:4326,,,,11100303.0,36.5106765,-101.485194,,,Unspecified,785,,Groundwater,OK,
38,OK_39,,Unspecified,Texas,EPSG:4326,,,,11100303.0,36.50886954,-101.48744238,,,Unspecified,786,,Groundwater,OK,
39,OK_40,,Unspecified,Cimarron,EPSG:4326,,,,,36.529426,-102.12777949,,,Unspecified,480,,Groundwater,OK,
40,OK_41,,Unspecified,Cimarron,EPSG:4326,,,,,36.55837675,-102.12543366,,,Unspecified,453,,Groundwater,OK,
41,OK_42,,Unspecified,Cimarron,EPSG:4326,,,,,36.51857107,-102.12103596,,,Unspecified,479,,Groundwater,OK,
42,OK_43,,Unspecified,Texas,EPSG:4326,,,,11100104.0,36.505456,-101.31442275,,,Unspecified,848,,Groundwater,OK,
43,OK_44,,Unspecified,Texas,EPSG:4326,,,,11100104.0,36.501843,-101.31215652,,,Unspecified,854,,Groundwater,OK,
44,OK_45,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.57746246,-102.19821153,,,Unspecified,386,,Groundwater,OK,
45,OK_46,,Unspecified,Cimarron,EPSG:4326,,,,11100101.0,36.57837728,-102.21059375,,,Unspecified,387,,Groundwater,OK,
46,OK_47,,Unspecified,Texas,EPSG:4326,,,,11100101.0,36.50404113,-101.86730022,,,Unspecified,588,,Groundwater,OK,
