WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
OKwr_WS1,,,Fresh,Unspecified,Unspecified,Groundwater
OKwr_WS2,,,Fresh,Unspecified,2054.0,Groundwater
OKwr_WS3,,,Fresh,Unspecified,1131.0,Groundwater
OKwr_WS4,,,Fresh,Unspecified,1081.0,Groundwater
OKwr_WS5,,,Fresh,Unspecified,2094.0,Groundwater
OKwr_WS6,,,Fresh,Unspecified,2053.0,Groundwater
OKwr_WS7,,,Fresh,Unspecified,1060.0,Groundwater
OKwr_WS8,,,Fresh,Unspecified,1151.0,Groundwater
OKwr_WS9,,,Fresh,Unspecified,1120.0,Groundwater
OKwr_WS10,,,Fresh,Unspecified,1132.0,Groundwater
OKwr_WS11,,,Fresh,Unspecified,1040.0,Groundwater
OKwr_WS12,,,Fresh,Unspecified,1170.0,Groundwater
OKwr_WS13,,,Fresh,Unspecified,1140.0,Groundwater
OKwr_WS14,,,Fresh,Unspecified,1160.0,Groundwater
OKwr_WS15,,,Fresh,Unspecified,1020.0,Groundwater
OKwr_WS16,,,Fresh,Unspecified,1010.0,Groundwater
OKwr_WS17,,,Fresh,Unspecified,2061.0,Groundwater
OKwr_WS18,,,Fresh,Unspecified,1082.0,Groundwater
OKwr_WS19,,,Fresh,Unspecified,2062.0,Groundwater
OKwr_WS20,,,Fresh,Unspecified,1090.0,Groundwater
OKwr_WS21,,,Fresh,Unspecified,1100.0,Groundwater
OKwr_WS22,,,Fresh,Unspecified,1110.0,Groundwater
OKwr_WS23,,,Fresh,Unspecified,1030.0,Groundwater
OKwr_WS24,,,Fresh,Unspecified,1180.0,Groundwater
OKwr_WS25,,,Fresh,Unspecified,1152.0,Groundwater
OKwr_WS26,,,Fresh,Unspecified,1050.0,Groundwater
OKwr_WS27,,,Fresh,Unspecified,2080.0,Groundwater
OKwr_WS28,,,Fresh,Unspecified,2093.0,Groundwater
OKwr_WS29,,,Fresh,Unspecified,1083.0,Groundwater
OKwr_WS30,,,Fresh,Unspecified,2051.0,Groundwater
OKwr_WS31,,,Fresh,Unspecified,1084.0,Groundwater
OKwr_WS32,,,Fresh,Unspecified,1070.0,Groundwater
OKwr_WS33,,,Fresh,Unspecified,2010.0,Groundwater
OKwr_WS34,,,Fresh,Unspecified,2030.0,Groundwater
OKwr_WS35,,,Fresh,Unspecified,2020.0,Groundwater
OKwr_WS36,,,Fresh,Unspecified,2063.0,Groundwater
OKwr_WS37,,,Fresh,Unspecified,2070.0,Groundwater
OKwr_WS38,,,Fresh,Unspecified,2052.0,Groundwater
OKwr_WS39,,,Fresh,Unspecified,2092.0,Groundwater
OKwr_WS40,,,Fresh,Unspecified,2040.0,Groundwater
OKwr_WS41,,,Fresh,Unspecified,2060.0,Groundwater
OKwr_WS42,,,Fresh,Unspecified,2170.0,Groundwater
OKwr_WS43,,,Fresh,Unspecified,2091.0,Groundwater
OKwr_WS44,,,Fresh,Unspecified,2160.0,Groundwater
OKwr_WS45,,,Fresh,Unspecified,2141.0,Groundwater
OKwr_WS46,,,Fresh,Unspecified,2120.0,Groundwater
OKwr_WS47,,,Fresh,Unspecified,2100.0,Groundwater
OKwr_WS48,,,Fresh,Unspecified,2169.0,Groundwater
OKwr_WS49,,,Fresh,Unspecified,2110.0,Groundwater
OKwr_WS50,,,Fresh,Unspecified,2140.0,Groundwater
OKwr_WS51,,,Fresh,Unspecified,1030.0,Surface Water
OKwr_WS52,,,Fresh,Unspecified,2010.0,Surface Water
OKwr_WS53,,,Fresh,Unspecified,1060.0,Surface Water
OKwr_WS54,,,Fresh,Unspecified,1083.0,Surface Water
OKwr_WS55,,,Fresh,Unspecified,1041.0,Surface Water
OKwr_WS56,,,Fresh,Unspecified,2063.0,Surface Water
OKwr_WS57,,,Fresh,Unspecified,2130.0,Surface Water
OKwr_WS58,,,Fresh,Unspecified,2040.0,Surface Water
OKwr_WS59,,,Fresh,Unspecified,1042.0,Surface Water
OKwr_WS60,,,Fresh,Unspecified,1050.0,Surface Water
OKwr_WS61,,,Fresh,Unspecified,2062.0,Surface Water
OKwr_WS62,,,Fresh,Unspecified,2152.0,Surface Water
OKwr_WS63,,,Fresh,Unspecified,2110.0,Surface Water
OKwr_WS64,,,Fresh,Unspecified,2030.0,Surface Water
OKwr_WS65,,,Fresh,Unspecified,1090.0,Surface Water
OKwr_WS66,,,Fresh,Unspecified,1082.0,Surface Water
OKwr_WS67,,,Fresh,Unspecified,1070.0,Surface Water
OKwr_WS68,,,Fresh,Unspecified,2020.0,Surface Water
OKwr_WS69,,,Fresh,Unspecified,2061.0,Surface Water
OKwr_WS70,,,Fresh,Unspecified,2051.0,Surface Water
OKwr_WS71,,,Fresh,Unspecified,2140.0,Surface Water
OKwr_WS72,,,Fresh,Unspecified,2151.0,Surface Water
OKwr_WS73,,,Fresh,Unspecified,1120.0,Surface Water
OKwr_WS74,,,Fresh,Unspecified,1081.0,Surface Water
OKwr_WS75,,,Fresh,Unspecified,1132.0,Surface Water
OKwr_WS76,,,Fresh,Unspecified,2170.0,Surface Water
OKwr_WS77,,,Fresh,Unspecified,1170.0,Surface Water
OKwr_WS78,,,Fresh,Unspecified,1151.0,Surface Water
OKwr_WS79,,,Fresh,Unspecified,1010.0,Surface Water
OKwr_WS80,,,Fresh,Unspecified,2070.0,Surface Water
OKwr_WS81,,,Fresh,Unspecified,2092.0,Surface Water
OKwr_WS82,,,Fresh,Unspecified,2093.0,Surface Water
OKwr_WS83,,,Fresh,Unspecified,1100.0,Surface Water
OKwr_WS84,,,Fresh,Unspecified,1160.0,Surface Water
OKwr_WS85,,,Fresh,Unspecified,2120.0,Surface Water
OKwr_WS86,,,Fresh,Unspecified,2052.0,Surface Water
OKwr_WS87,,,Fresh,Unspecified,2053.0,Surface Water
OKwr_WS88,,,Fresh,Unspecified,1152.0,Surface Water
OKwr_WS89,,,Fresh,Unspecified,1084.0,Surface Water
OKwr_WS90,,,Fresh,Unspecified,2054.0,Surface Water
OKwr_WS91,,,Fresh,Unspecified,2080.0,Surface Water
OKwr_WS92,,,Fresh,Unspecified,1131.0,Surface Water
OKwr_WS93,,,Fresh,Unspecified,2160.0,Surface Water
OKwr_WS94,,,Fresh,Unspecified,2101.0,Surface Water
OKwr_WS95,,,Fresh,Unspecified,2091.0,Surface Water
OKwr_WS96,,,Fresh,Unspecified,1020.0,Surface Water
OKwr_WS97,,,Fresh,Unspecified,1180.0,Surface Water
OKwr_WS98,,,Fresh,Unspecified,1110.0,Surface Water
OKwr_WS99,,,Fresh,Unspecified,2094.0,Surface Water
OKwr_WS100,,,Fresh,Unspecified,2102.0,Surface Water
OKwr_WS101,,,Fresh,Unspecified,1040.0,Surface Water
OKwr_WS102,,,Fresh,Unspecified,1140.0,Surface Water
OKwr_WS103,,,Fresh,Unspecified,Unspecified,Surface Water
OKwr_WS104,,,Fresh,Unspecified,1081,Surface Water
OKwr_WS105,,,Fresh,Unspecified,1042,Surface Water
OKwr_WS106,,,Fresh,Unspecified,1060,Surface Water
OKwr_WS107,,,Fresh,Unspecified,1120,Surface Water
OKwr_WS108,,,Fresh,Unspecified,1041,Surface Water
OKwr_WS109,,,Fresh,Unspecified,1131,Surface Water
OKwr_WS110,,,Fresh,Unspecified,1132,Surface Water
OKwr_WS111,,,Fresh,Unspecified,2054,Surface Water
OKwr_WS112,,,Fresh,Unspecified,1030,Surface Water
OKwr_WS113,,,Fresh,Unspecified,1151,Surface Water
OKwr_WS114,,,Fresh,Unspecified,1160,Surface Water
OKwr_WS115,,,Fresh,Unspecified,1170,Surface Water
OKwr_WS116,,,Fresh,Unspecified,1090,Surface Water
OKwr_WS117,,,Fresh,Unspecified,1040,Surface Water
OKwr_WS118,,,Fresh,Unspecified,2061,Surface Water
OKwr_WS119,,,Fresh,Unspecified,2030,Surface Water
OKwr_WS120,,,Fresh,Unspecified,2053,Surface Water
OKwr_WS121,,,Fresh,Unspecified,2010,Surface Water
OKwr_WS122,,,Fresh,Unspecified,1020,Surface Water
OKwr_WS123,,,Fresh,Unspecified,1082,Surface Water
OKwr_WS124,,,Fresh,Unspecified,2094,Surface Water
OKwr_WS125,,,Fresh,Unspecified,1140,Surface Water
OKwr_WS126,,,Fresh,Unspecified,1083,Surface Water
OKwr_WS127,,,Fresh,Unspecified,1180,Surface Water
OKwr_WS128,,,Fresh,Unspecified,1152,Surface Water
OKwr_WS129,,,Fresh,Unspecified,2093,Surface Water
OKwr_WS130,,,Fresh,Unspecified,2080,Surface Water
OKwr_WS131,,,Fresh,Unspecified,2062,Surface Water
OKwr_WS132,,,Fresh,Unspecified,1100,Surface Water
OKwr_WS133,,,Fresh,Unspecified,1110,Surface Water
OKwr_WS134,,,Fresh,Unspecified,1070,Surface Water
OKwr_WS135,,,Fresh,Unspecified,1050,Surface Water
OKwr_WS136,,,Fresh,Unspecified,2051,Surface Water
OKwr_WS137,,,Fresh,Unspecified,1010,Surface Water
OKwr_WS138,,,Fresh,Unspecified,2020,Surface Water
OKwr_WS139,,,Fresh,Unspecified,2070,Surface Water
OKwr_WS140,,,Fresh,Unspecified,2052,Surface Water
OKwr_WS141,,,Fresh,Unspecified,2063,Surface Water
OKwr_WS142,,,Fresh,Unspecified,1084,Surface Water
OKwr_WS143,,,Fresh,Unspecified,2170,Surface Water
OKwr_WS144,,,Fresh,Unspecified,2092,Surface Water
OKwr_WS145,,,Fresh,Unspecified,2040,Surface Water
OKwr_WS146,,,Fresh,Unspecified,2160,Surface Water
OKwr_WS147,,,Fresh,Unspecified,2151,Surface Water
OKwr_WS148,,,Fresh,Unspecified,2091,Surface Water
OKwr_WS149,,,Fresh,Unspecified,2110,Surface Water
OKwr_WS150,,,Fresh,Unspecified,2120,Surface Water
OKwr_WS151,,,Fresh,Unspecified,2152,Surface Water
OKwr_WS152,,,Fresh,Unspecified,2130,Surface Water
OKwr_WS153,,,Fresh,Unspecified,2140,Surface Water
OKwr_WS154,,,Fresh,Unspecified,2102,Surface Water
OKwr_WS155,,,Fresh,Unspecified,2101,Surface Water
OKwr_WS156,,,Fresh,Unspecified,,Surface Water
