OID_,OBJECTID,RECORD_ID,PERMIT_NUMBER,RECORD_TYPE,WATER,STATUS,ENTITY_NAME,QUARTER3,QUARTER2,QUARTER1,SECTION,TOWNSHIP,RANGE,COUNTY,PERMIT_TYPE,TOTAL_PERMITTED_ACRE_FEET,PRIMARY_PURPOSE,DATE_FILED,DATE_ISSUED,HYDRO_UNIT,STREAM_SYSTEM,LATITUDE,LONGITUDE
359,69,15030,19760098,Permit,Surface Water,Active,"Cline, Judy", ,W2,E2,32,01N,01EI,Garvin,Regular,30,"Recreation, Fish, Wildlife",8/11/1976 0:00,12/14/1976 0:00,11130303,1081,34.51414796,-97.21902427
358,70,15501,19760098,Permit,Surface Water,Active,"Cline, Judy", ,E2,E2,32,01N,01EI,Garvin,Regular,30,"Recreation, Fish, Wildlife",8/11/1976 0:00,12/14/1976 0:00,11130303,1081,34.5141373,-97.21464043
279,80,52093,19580175,Permit,Surface Water,Active,"Arbuckle Enterprises, LLC", ,SE,NE,23,01N,01WI,Garvin,Vested,200,Irrigation,4/16/1958 0:00,8/12/1969 0:00,11130303,1081,34.54489841,-97.26688324
280,81,52094,19580175,Permit,Surface Water,Active,"Arbuckle Enterprises, LLC", , ,SE,23,01N,01WI,Garvin,Vested,200,Irrigation,4/16/1958 0:00,8/12/1969 0:00,11130303,1081,34.539486,-97.26909233
277,82,52091,19580175,Permit,Surface Water,Active,"Arbuckle Enterprises, LLC", ,SW,NW,24,01N,01WI,Garvin,Vested,200,Irrigation,4/16/1958 0:00,8/12/1969 0:00,11130303,1081,34.54483957,-97.26261889
278,83,52092,19580175,Permit,Surface Water,Active,"Arbuckle Enterprises, LLC", , ,SW,24,01N,01WI,Garvin,Vested,200,Irrigation,4/16/1958 0:00,8/12/1969 0:00,11130303,1081,34.53943962,-97.26042807
276,84,52090,19580175,Permit,Surface Water,Active,"Arbuckle Enterprises, LLC", , ,NE,26,01N,01WI,Garvin,Vested,200,Irrigation,4/16/1958 0:00,8/12/1969 0:00,11130303,1081,34.5322558,-97.26914018
282,94,31895,19551573,Permit,Surface Water,Active,"Arbuckle Enterprises, LLC", ,NE,NW,36,01N,01WI,Garvin,Vested,22,Irrigation,12/22/1955 0:00,8/12/1969 0:00,11130303,1081,34.51960707,-97.25835679
202,239,2425,19610061,Permit,Surface Water,Active,"Milton, Willis H", ,SE,NE,23,01N,03EI,Murray,Vested,63,"Recreation, Fish, Wildlife",3/28/1961 0:00,8/12/1969 0:00,11130303,1081,34.54436673,-96.95203565
45,317,2377,19610088,Permit,Surface Water,Active,Ringer Ranch LLC, , , ,32,01N,04WI,Stephens,Vested,72,"Recreation, Fish, Wildlife",5/15/1961 0:00,8/12/1969 0:00,11130303,1081,34.5143989,-97.64224228
297,420,41274,19610038,Permit,Surface Water,Active,"Strain, Lyndel", , , ,18,01N,05WI,Stephens,Vested,71,"Recreation, Fish, Wildlife",3/4/1961 0:00,8/12/1969 0:00,11130303,1081,34.55796539,-97.76503593
341,421,33774,19580111,Permit,Surface Water,Active,492 Davenport Ranch LLC, , , ,21,01N,05WI,Stephens,Vested,117,"Recreation, Fish, Wildlife",3/13/1958 0:00,8/12/1969 0:00,11130303,1081,34.54345257,-97.73007607
342,422,33775,19580111,Permit,Surface Water,Active,492 Davenport Ranch LLC, , , ,28,01N,05WI,Stephens,Vested,117,"Recreation, Fish, Wildlife",3/13/1958 0:00,8/12/1969 0:00,11130303,1081,34.52896886,-97.73008817
343,423,33776,19580111,Permit,Surface Water,Active,492 Davenport Ranch LLC, , , ,29,01N,05WI,Stephens,Vested,117,"Recreation, Fish, Wildlife",3/13/1958 0:00,8/12/1969 0:00,11130303,1081,34.52897258,-97.74756947
221,426,14576,19490075,Permit,Surface Water,Active,"Ely, Lloyd E", , , ,34,01N,05WI,Stephens,Vested,8,"Recreation, Fish, Wildlife",5/10/1949 0:00,8/12/1969 0:00,11130303,1081,34.51443419,-97.71251871
220,430,14794,19490075,Permit,Surface Water,Active,"Ely, Lloyd E", , , ,35,01N,05WI,Stephens,Vested,8,"Recreation, Fish, Wildlife",5/10/1949 0:00,8/12/1969 0:00,11130303,1081,34.51442947,-97.69492974
10,431,19930,20020004,Permit,Surface Water,Active,"Reinauer, Robert M and Susan E", , , ,1,01N,06EI,Pontotoc,Regular,1000,Irrigation,2/4/2002 0:00,10/8/2002 0:00,11140104,1042,34.5855803,-96.62606323
480,437,52731,20020036,Permit,Surface Water,Active,"Dowley, James C & Karen S", ,S2,SE,5,01N,06EI,Pontotoc,Regular,113,Irrigation,6/24/2002 0:00,12/10/2002 0:00,11140102,1060,34.58026314,-96.69160274
109,479,18621,19480052,Permit,Surface Water,Active,"Duncan, City of", , , ,4,01N,06WI,Stephens,Vested,400,"Recreation, Fish, Wildlife",6/17/1948 0:00,8/12/1969 0:00,11130303,1081,34.5871362,-97.83541835
