in_SiteNativeID,geometry
POUWaDEOK_S1,"POLYGON ((-95.34224927008152 34.61576014714915, -95.34444476967943 34.61576014737854, -95.34444527028418 34.61937414742065, -95.34224927006612 34.61937414764179, -95.34005376936939 34.61940714832317, -95.34005376870357 34.61579314737995, -95.34224927008152 34.61576014714915))"
POUWaDEOK_S2,"POLYGON ((-95.33571926787178 34.61944014821605, -95.33572326846152 34.62306914885082, -95.33133126645863 34.62305714937535, -95.33132726661552 34.61582614734461, -95.33571876740437 34.61582614788548, -95.33571926787178 34.61944014821605))"
POUWaDEOK_S3,"POLYGON ((-95.33571926787178 34.61944014821605, -95.33791526881225 34.61944014821828, -95.33791926834033 34.62307514881635, -95.33572326846152 34.62306914885082, -95.33571926787178 34.61944014821605))"
POUWaDEOK_S4,"POLYGON ((-95.83183637926355 34.37078207943375, -95.83180237980694 34.37443007948278, -95.82736387880779 34.37443108012651, -95.8273323788089 34.37258307917458, -95.82733237872421 34.37077607930176, -95.83183637926355 34.37078207943375))"
POUWaDEOK_S5,"POLYGON ((-95.84945338391167 34.35988507614783, -95.84942638291761 34.36351407641863, -95.84934538485402 34.37434607836064, -95.83180237980694 34.37443007948278, -95.83183637926355 34.37078207943375, -95.8319403790953 34.35994507632435, -95.84945338391167 34.35988507614783))"
POUWaDEOK_S6,"POLYGON ((-95.85383138535549 34.36349907635152, -95.84942638291761 34.36351407641863, -95.84945338391167 34.35988507614783, -95.85380438496341 34.35985857528028, -95.85383138413279 34.36167907591489, -95.85383138535549 34.36349907635152))"
POUWaDEOK_S7,"POLYGON ((-95.84934538485402 34.37434607836064, -95.84910038557791 34.38882108141392, -95.83189538139798 34.38887008169764, -95.83184938018898 34.3816610813243, -95.83180237980694 34.37443007948278, -95.84934538485402 34.37434607836064))"
POUWaDEOK_S8,"POLYGON ((-95.83180237980694 34.37443007948278, -95.83184938018898 34.3816610813243, -95.82958537943878 34.38166408121259, -95.81645637624946 34.38166408158258, -95.81426937529983 34.38165358155262, -95.8142583750526 34.37443507996957, -95.82736387880779 34.37443108012651, -95.83180237980694 34.37443007948278))"
POUWaDEOK_S9,"POLYGON ((-95.85383138535549 34.36349907635152, -95.85383138477053 34.36530607650337, -95.85377838573196 34.36892107738674, -95.85377838532946 34.37253507768925, -95.85375138570272 34.37429057817727, -95.84934538485402 34.37434607836064, -95.84942638291761 34.36351407641863, -95.84945338391167 34.35988507614783, -95.85380438496341 34.35985857528028, -95.85383138413279 34.36167907591489, -95.85383138535549 34.36349907635152))"
POUWaDEOK_S10,"POLYGON ((-96.61728759518336 34.57829707934029, -96.6348266001194 34.57830907881544, -96.63480460129614 34.59292808123715, -96.61728459636933 34.59279208228149, -96.61728597030206 34.58554608128033, -96.61728682262198 34.5819174245545, -96.61728759518336 34.57829707934029))"
POUWaDEOK_S11,"POLYGON ((-96.60867559392983 34.58194826828623, -96.61087059444091 34.58193908083358, -96.61526059491716 34.58193908018379, -96.61728682262198 34.5819174245545, -96.61728597030206 34.58554608128033, -96.61526059541957 34.58558108106558, -96.60867559439573 34.58558108157139, -96.60867559392983 34.58194826828623))"
POUWaDEOK_S12,"POLYGON ((-96.61728759518336 34.57829707934029, -96.61728682262198 34.5819174245545, -96.61526059491716 34.58193908018379, -96.61087059444091 34.58193908083358, -96.60867559392983 34.58194826828623, -96.60867559312395 34.58013492452242, -96.60860330044352 34.5783250656573, -96.61728759518336 34.57829707934029))"
POUWaDEOK_S13,"POLYGON ((-98.10695826557503 34.67392808215548, -98.10694102831847 34.67754713470217, -98.10692397972502 34.68121702596044, -98.09797997735964 34.68121202693776, -98.09799097804603 34.6775790254822, -98.09799097678645 34.67396502566302, -98.10458297875398 34.6739650248478, -98.10695826557503 34.67392808215548))"
POUWaDEOK_S14,"POLYGON ((-98.10692397972502 34.68121702596044, -98.10694102831847 34.67754713470217, -98.10695826557503 34.67392808215548, -98.10916847907464 34.67390602515988, -98.11578198123823 34.67390602453248, -98.11578198201211 34.67752002528636, -98.11578198199612 34.67932702568678, -98.11575976522457 34.68117537502936, -98.11352935713947 34.68119440139591, -98.11267598171304 34.68124202553338, -98.10692397972502 34.68121702596044))"
POUWaDEOK_S15,"POLYGON ((-98.11578198123823 34.67390602453248, -98.12017698321317 34.67390602427822, -98.12017698277218 34.67752002520238, -98.11578198201211 34.67752002528636, -98.11578198123823 34.67390602453248))"
POUWaDEOK_S16,"POLYGON ((-97.21300973134208 34.35439101044464, -97.21519073182213 34.3543980104354, -97.22173273383356 34.35439801050778, -97.22173273397976 34.35801201086377, -97.22173273468518 34.35981901063895, -97.22176573386227 34.36156351176827, -97.21304173239177 34.36145201212819, -97.21300973134208 34.35439101044464))"
POUWaDEOK_S17,"POLYGON ((-97.22173273383356 34.35439801050778, -97.22829973577171 34.3543980097278, -97.23039473596592 34.35441250996728, -97.23045773642257 34.35802651050747, -97.22829973614344 34.35801201061725, -97.22173273397976 34.35801201086377, -97.22173273383356 34.35439801050778))"
POUWaDEOK_S18,"POLYGON ((-97.23026973543044 34.34719800814791, -97.23039473596592 34.35441250996728, -97.22829973577171 34.3543980097278, -97.22829773447576 34.3471950087694, -97.23026973543044 34.34719800814791))"
POUWaDEOK_S19,"POLYGON ((-97.23026973543044 34.34719800814791, -97.23908373776409 34.34720600959471, -97.2390257375484 34.34901100820498, -97.23902573823632 34.36166512654061, -97.23052073690322 34.36167501056151, -97.23045773642257 34.35802651050747, -97.23039473596592 34.35441250996728, -97.23026973543044 34.34719800814791))"
POUWaDEOK_S20,"POLYGON ((-97.23032823467248 34.33983800739897, -97.23473523615995 34.33985200709106, -97.23914173678683 34.33985200656448, -97.24351873839413 34.33985200681582, -97.24746473850742 34.33984625614961, -97.24746573980939 34.34721300753989, -97.23908373776409 34.34720600959471, -97.23026973543044 34.34719800814791, -97.23029823505109 34.34345200829701, -97.23032823467248 34.33983800739897))"
POUWaDEOK_S21,"POLYGON ((-97.21300973134208 34.35439101044464, -97.21304173239177 34.36145201212819, -97.20857973140188 34.36150751173518, -97.2085617304472 34.35980501129751, -97.20856173063903 34.35438401083401, -97.21300973134208 34.35439101044464))"
POUWaDEOK_S22,"POLYGON ((-97.22610673357268 34.33982400747745, -97.23032823467248 34.33983800739897, -97.23029823505109 34.34345200829701, -97.22610673378865 34.34343800766366, -97.22610673357268 34.33982400747745))"
POUWaDEOK_S23,"POLYGON ((-99.94703298881893 34.58186969419087, -99.94703073599604 34.57993700436167, -99.95151153247106 34.57995209811486, -99.95800427915474 34.57995745599745, -99.96035189317323 34.57993879537224, -99.96463903267724 34.57994331611323, -99.96463659539798 34.581920603166, -99.96467524588689 34.58355689901139, -99.96469048919346 34.58536391787315, -99.96467424082067 34.59091463116501, -99.96468207902313 34.59259291848354, -99.96466502870253 34.59451181774895, -99.94702446184529 34.59446098616677, -99.94703298881893 34.58186969419087))"
