WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
OR_1,,,Fresh,FORMOSA 1 ADIT,Unspecified,groundwater
OR_2,,,Fresh,SILVER BUTTE 1 ADIT,Unspecified,groundwater
OR_3,,,Fresh,A WELL,Unspecified,groundwater
OR_4,,,Fresh,WELL 1,Unspecified,groundwater
OR_5,,,Fresh,WELL 2,Unspecified,groundwater
OR_6,,,Fresh,WELL 3,Unspecified,groundwater
OR_7,,,Fresh,WELL 4,Unspecified,groundwater
OR_8,,,Fresh,EAST FORK GRANDE RONDE RIVER,Unspecified,surface water
OR_9,,,Fresh,LITTLE MEADOW CREEK,Unspecified,surface water
OR_10,,,Fresh,NORTH FORK BRIDGE CREEK,Unspecified,surface water
OR_11,,,Fresh,CAMPBELL GULCH,Unspecified,surface water
OR_12,,,Fresh,VINCENT CREEK,Unspecified,surface water
OR_13,,,Fresh,SUCKER CREEK,Unspecified,surface water
OR_14,,,Fresh,UNNAMED STREAM 1,Unspecified,surface water
OR_15,,,Fresh,UNNAMED STREAM 2,Unspecified,surface water
OR_16,,,Fresh,UNNAMED STREAM 3,Unspecified,surface water
OR_17,,,Fresh,SPRING 1,Unspecified,surface water
OR_18,,,Fresh,SPRING FED POND,Unspecified,surface water
OR_19,,,Fresh,UNNAMED STREAM,Unspecified,surface water
OR_20,,,Fresh,TOWN GULCH,Unspecified,surface water
OR_21,,,Fresh,CHANNEL CREEK,Unspecified,surface water
OR_22,,,Fresh,BLUE CANYON,Unspecified,surface water
OR_23,,,Fresh,STEVES FORK,Unspecified,surface water
OR_24,,,Fresh,TEXAS GULCH,Unspecified,surface water
OR_25,,,Fresh,RUSSELL CREEK,Unspecified,surface water
OR_26,,,Fresh,SNAILBACK CREEK,Unspecified,surface water
OR_27,,,Fresh,GRAVE CREEK,Unspecified,surface water
OR_28,,,Fresh,A RESERVOIR,Unspecified,surface water
OR_29,,,Fresh,UNNAMED SLOUGH,Unspecified,surface water
OR_30,,,Fresh,FOREST CREEK,Unspecified,surface water
OR_31,,,Fresh,ALTHOUSE CREEK,Unspecified,surface water
OR_32,,,Fresh,JOHNSON GULCH,Unspecified,surface water
OR_33,,,Fresh,GRANITE CREEK,Unspecified,surface water
OR_34,,,Fresh,STAR GULCH,Unspecified,surface water
OR_35,,,Fresh,TAYLOR CREEK,Unspecified,surface water
OR_36,,,Fresh,HENCE CREEK,Unspecified,surface water
OR_37,,,Fresh,BIRCH CREEK,Unspecified,surface water
OR_38,,,Fresh,SPRS,Unspecified,surface water
OR_39,,,Fresh,RICH CREEK,Unspecified,surface water
OR_40,,,Fresh,QUARTZ GULCH,Unspecified,surface water
OR_41,,,Fresh,RAT CREEK,Unspecified,surface water
OR_42,,,Fresh,MOUSE CREEK,Unspecified,surface water
OR_43,,,Fresh,CUT CREEK,Unspecified,surface water
OR_44,,,Fresh,CENTENNIAL GULCH,Unspecified,surface water
OR_45,,,Fresh,STARVEOUT CREEK,Unspecified,surface water
OR_46,,,Fresh,ROCK CREEK,Unspecified,surface water
OR_47,,,Fresh,LIGHTNING CREEK,Unspecified,surface water
OR_48,,,Fresh,2 UNN STRS,Unspecified,surface water
OR_49,,,Fresh,GIMLET CREEK,Unspecified,surface water
OR_50,,,Fresh,ROGUE RIVER,Unspecified,surface water
OR_51,,,Fresh,WEST FORK ALTHOUSE CREEK,Unspecified,surface water
OR_52,,,Fresh,INDIAN CREEK,Unspecified,surface water
OR_53,,,Fresh,BROWNTOWN GULCH,Unspecified,surface water
OR_54,,,Fresh,HYDRAULIC GULCH,Unspecified,surface water
OR_55,,,Fresh,DEMOCRAT GULCH,Unspecified,surface water
OR_56,,,Fresh,RUN GULCH,Unspecified,surface water
OR_57,,,Fresh,FLOOD WATERS,Unspecified,surface water
OR_58,,,Fresh,OBRIEN CREEK,Unspecified,surface water
OR_59,,,Fresh,STURGIS FORK CARBERRY,Unspecified,surface water
OR_60,,,Fresh,LITTLE SAVAGE CREEK,Unspecified,surface water
OR_61,,,Fresh,LITTLE WINDY CREEK,Unspecified,surface water
OR_62,,,Fresh,JENNY CREEK,Unspecified,surface water
OR_63,,,Fresh,MUIR CREEK,Unspecified,surface water
OR_64,,,Fresh,WILDCAT CREEK,Unspecified,surface water
OR_65,,,Fresh,APPLEGATE RIVER,Unspecified,surface water
OR_66,,,Fresh,WHISKEY CREEK,Unspecified,surface water
OR_67,,,Fresh,IRONDYKE CREEK,Unspecified,surface water
OR_68,,,Fresh,HOMESTEAD CREEK,Unspecified,surface water
OR_69,,,Fresh,SAILOR GULCH,Unspecified,surface water
OR_70,,,Fresh,WOLF CREEK,Unspecified,surface water
OR_71,,,Fresh,LEHMAN RESERVOIR,Unspecified,surface water
OR_72,,,Fresh,WOLF CREEK,Unspecified,storage
OR_73,,,Fresh,CAMP CREEK,Unspecified,surface water
OR_74,,,Fresh,PINE CREEK,Unspecified,surface water
OR_75,,,Fresh,SPRING GULCH,Unspecified,surface water
OR_76,,,Fresh,BOULDER CREEK,Unspecified,surface water
OR_77,,,Fresh,OLIVE CREEK,Unspecified,surface water
OR_78,,,Fresh,COVE CREEK,Unspecified,surface water
