SiteUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
ORwr_S1,,Unspecified,,EPSG:4326,,,,,42.783634349439986,-124.50956946002901,,,POD,51887_1,47388,,reservoir,OR,
ORwr_S2,,Unspecified,,EPSG:4326,,,,,42.71741517426632,-123.2740929481555,,,POD,55967_1,52723,,stream,OR,
ORwr_S3,,Unspecified,,EPSG:4326,,,,,42.491577184782955,-123.11013773350129,,,POD,64395_1,64098,,stream,OR,
ORwr_S4,,Unspecified,,EPSG:4326,,,,,42.30575075693168,-123.01737211348137,,,POD,64625_1,64377,,stream,OR,
ORwr_S5,,Unspecified,,EPSG:4326,,,,,42.65762129450276,-123.50647051066575,,,POD,65709_1,65600,,stream,OR,
ORwr_S6,,Unspecified,,EPSG:4326,,,,,44.428239173755564,-117.598428404973,,,POD,121544_1,134417,,stream,OR,
ORwr_S7,,Unspecified,,EPSG:4326,,,,,44.4282792552294,-117.59333814677123,,,POD,121544_2,134418,,stream,OR,
ORwr_S8,,Unspecified,,EPSG:4326,,,,,44.42098166609035,-117.58794504455777,,,POD,121544_3,134419,,stream,OR,
ORwr_S9,,Unspecified,,EPSG:4326,,,,,44.42098166609035,-117.58794504455777,,,POD,121544_4,134420,,stream,OR,
ORwr_S10,,Unspecified,,EPSG:4326,,,,,43.0355321994385,-123.56535134208247,,,POD,121570_1,134477,,stream,OR,
ORwr_S11,,Unspecified,,EPSG:4326,,,,,43.01670717231724,-123.5232939701041,,,POD,124074_1,141832,,stream,OR,
ORwr_S12,,Unspecified,,EPSG:4326,,,,,43.08115288944222,-124.42371884105872,,,POD,30923_1,30979,,stream,OR,
ORwr_S13,,Unspecified,,EPSG:4326,,,,,43.08365205278048,-124.42495344525456,,,POD,30923_2,30980,,stream,OR,
ORwr_S14,,Unspecified,,EPSG:4326,,,,,43.06911313265644,-124.38048208579283,,,POD,31032_1,31035,,stream,OR,
ORwr_S15,,Unspecified,,EPSG:4326,,,,,43.08369106802026,-124.39334459740495,,,POD,31048_1,31048,,stream,OR,
ORwr_S16,,Unspecified,,EPSG:4326,,,,,43.08139928864625,-124.38971543811259,,,POD,31048_2,31049,,stream,OR,
ORwr_S17,,Unspecified,,EPSG:4326,,,,,42.26021856070947,-122.8529180634443,,,POD,31488_1,31159,,stream,OR,
ORwr_S18,,Unspecified,,EPSG:4326,,,,,43.18825925503606,-124.38714535790618,,,POD,31607_1,31258,,stream,OR,
ORwr_S19,,Unspecified,,EPSG:4326,,,,,43.083474876556075,-124.3968474102764,,,POD,31657_1,31299,,stream,OR,
ORwr_S20,,Unspecified,,EPSG:4326,,,,,43.08151493428528,-124.394813538762,,,POD,31657_2,31300,,stream,OR,
ORwr_S21,,Unspecified,,EPSG:4326,,,,,42.288927256715596,-122.89299633259219,,,POD,31717_1,31373,,stream,OR,
ORwr_S22,,Unspecified,,EPSG:4326,,,,,42.29648558926547,-122.89259034306392,,,POD,31717_2,31374,,stream,OR,
ORwr_S23,,Unspecified,,EPSG:4326,,,,,42.98738744195318,-124.44454266276341,,,POD,31737_1,31390,,stream,OR,
ORwr_S24,,Unspecified,,EPSG:4326,,,,,43.0700643134593,-124.40160897956,,,POD,31743_1,31397,,stream,OR,
ORwr_S25,,Unspecified,,EPSG:4326,,,,,43.0700643134593,-124.40160897956,,,POD,31743_2,31398,,stream,OR,
ORwr_S26,,Unspecified,,EPSG:4326,,,,,43.0700643134593,-124.40160897956,,,POD,31745_1,31402,,stream,OR,
ORwr_S27,,Unspecified,,EPSG:4326,,,,,43.0666557087732,-124.40457026149058,,,POD,31745_2,31403,,stream,OR,
ORwr_S28,,Unspecified,,EPSG:4326,,,,,43.13274938743556,-124.38387574238268,,,POD,31781_1,31446,,stream,OR,
ORwr_S29,,Unspecified,,EPSG:4326,,,,,43.136421627027026,-124.37532971624412,,,POD,31781_2,31447,,stream,OR,
ORwr_S30,,Unspecified,,EPSG:4326,,,,,42.98868578746626,-124.4430435227382,,,POD,31793_1,31461,,stream,OR,
ORwr_S31,,Unspecified,,EPSG:4326,,,,,42.988801895327704,-124.44250600515436,,,POD,31793_2,31462,,stream,OR,
ORwr_S32,,Unspecified,,EPSG:4326,,,,,42.9862479444031,-124.43929151504561,,,POD,31793_3,31463,,stream,OR,
ORwr_S33,,Unspecified,,EPSG:4326,,,,,42.85237563849504,-124.52927081974892,,,POD,31808_1,31479,,stream,OR,
ORwr_S34,,Unspecified,,EPSG:4326,,,,,42.84974874698647,-124.52422060392146,,,POD,31808_2,31480,,stream,OR,
ORwr_S35,,Unspecified,,EPSG:4326,,,,,43.0700643134593,-124.40160897956,,,POD,31818_1,31487,,stream,OR,
ORwr_S36,,Unspecified,,EPSG:4326,,,,,43.06667366619815,-124.3996537698539,,,POD,31818_2,31488,,stream,OR,
ORwr_S37,,Unspecified,,EPSG:4326,,,,,43.0666557087732,-124.40457026149058,,,POD,31818_3,31489,,stream,OR,
ORwr_S38,,Unspecified,,EPSG:4326,,,,,43.08373149169773,-124.39293981253424,,,POD,31937_1,31655,,stream,OR,
ORwr_S39,,Unspecified,,EPSG:4326,,,,,43.13274938743556,-124.38387574238268,,,POD,31938_1,31656,,stream,OR,
ORwr_S40,,Unspecified,,EPSG:4326,,,,,43.15274427633176,-124.14942395336178,,,POD,32017_1,31776,,stream,OR,
ORwr_S41,,Unspecified,,EPSG:4326,,,,,43.106028383899236,-124.39287408580334,,,POD,32104_1,31921,,stream,OR,
ORwr_S42,,Unspecified,,EPSG:4326,,,,,43.00707353540473,-124.4148573607345,,,POD,32205_1,32073,,stream,OR,
ORwr_S43,,Unspecified,,EPSG:4326,,,,,43.008784608438226,-124.41369282556123,,,POD,32205_2,32074,,stream,OR,
ORwr_S44,,Unspecified,,EPSG:4326,,,,,43.009233512014454,-124.40643337757511,,,POD,32205_3,32075,,stream,OR,
ORwr_S45,,Unspecified,,EPSG:4326,,,,,43.079194670725805,-124.37335985369866,,,POD,32215_1,32094,,stream,OR,
ORwr_S46,,Unspecified,,EPSG:4326,,,,,43.078768095520736,-124.37631501667255,,,POD,32215_2,32095,,stream,OR,
ORwr_S47,,Unspecified,,EPSG:4326,,,,,42.80200250337776,-124.48147330987162,,,POD,32319_1,32289,,stream,OR,
ORwr_S48,,Unspecified,,EPSG:4326,,,,,42.80099625539428,-124.48366488406148,,,POD,32319_2,32290,,stream,OR,
ORwr_S49,,Unspecified,,EPSG:4326,,,,,42.80317451547026,-124.48762999962292,,,POD,32319_3,32291,,stream,OR,
ORwr_S50,,Unspecified,,EPSG:4326,,,,,42.80416087557602,-124.4886219125033,,,POD,32319_4,32292,,stream,OR,
ORwr_S51,,Unspecified,,EPSG:4326,,,,,42.8065157534508,-124.48639216623863,,,POD,32319_5,32293,,stream,OR,
ORwr_S52,,Unspecified,,EPSG:4326,,,,,42.806351526395105,-124.49050290939637,,,POD,32319_6,32294,,winter runoff,OR,
ORwr_S53,,Unspecified,,EPSG:4326,,,,,42.80431205309626,-124.49263673445071,,,POD,32319_7,32295,,winter runoff,OR,
ORwr_S54,,Unspecified,,EPSG:4326,,,,,43.03498373505902,-124.41740257800721,,,POD,32355_1,32342,,stream,OR,
ORwr_S55,,Unspecified,,EPSG:4326,,,,,43.036645541716695,-124.41664741681576,,,POD,32355_2,32343,,stream,OR,
ORwr_S56,,Unspecified,,EPSG:4326,,,,,43.07040774024209,-124.41719808596208,,,POD,32356_1,32344,,stream,OR,
ORwr_S57,,Unspecified,,EPSG:4326,,,,,43.072063154633206,-124.41731931702653,,,POD,32356_2,32345,,stream,OR,
ORwr_S58,,Unspecified,,EPSG:4326,,,,,43.072016166413775,-124.41804174378034,,,POD,32356_3,32346,,stream,OR,
ORwr_S59,,Unspecified,,EPSG:4326,,,,,43.08593168624135,-124.39344022019088,,,POD,32365_1,32366,,stream,OR,
ORwr_S60,,Unspecified,,EPSG:4326,,,,,45.563886248518045,-123.04862474142672,,,POD,32474_1,32512,,stream,OR,
ORwr_S61,,Unspecified,,EPSG:4326,,,,,45.56395152984813,-123.04677064703134,,,POD,32474_2,32513,,stream,OR,
ORwr_S62,,Unspecified,,EPSG:4326,,,,,43.101845485156105,-124.40782314547477,,,POD,32478_1,32518,,stream,OR,
ORwr_S63,,Unspecified,,EPSG:4326,,,,,43.195682894694116,-124.36415356076218,,,POD,32484_1,32528,,stream,OR,
ORwr_S64,,Unspecified,,EPSG:4326,,,,,43.201167579002174,-124.36388747328577,,,POD,32484_2,32529,,stream,OR,
ORwr_S65,,Unspecified,,EPSG:4326,,,,,43.20119452264046,-124.36223797830785,,,POD,32484_3,32530,,stream,OR,
ORwr_S66,,Unspecified,,EPSG:4326,,,,,43.073751892314,-124.42838968426365,,,POD,32490_1,32539,,stream,OR,
ORwr_S67,,Unspecified,,EPSG:4326,,,,,43.18135386096599,-124.3425208588496,,,POD,32495_1,32544,,stream,OR,
ORwr_S68,,Unspecified,,EPSG:4326,,,,,43.181085649238184,-124.34170176204874,,,POD,32495_2,32545,,stream,OR,
ORwr_S69,,Unspecified,,EPSG:4326,,,,,43.17997772524988,-124.34222107975603,,,POD,32495_3,32546,,stream,OR,
ORwr_S70,,Unspecified,,EPSG:4326,,,,,43.08419715648025,-124.40043139912402,,,POD,32509_1,32566,,stream,OR,
ORwr_S71,,Unspecified,,EPSG:4326,,,,,42.799014203074684,-124.48470517612415,,,POD,32528_1,32596,,stream,OR,
ORwr_S72,,Unspecified,,EPSG:4326,,,,,42.78582508961519,-124.47769841698876,,,POD,32528_2,32597,,stream,OR,
ORwr_S73,,Unspecified,,EPSG:4326,,,,,43.08203291967899,-124.37677204259657,,,POD,32529_1,32598,,stream,OR,
ORwr_S74,,Unspecified,,EPSG:4326,,,,,42.83023884749613,-124.48825925810617,,,POD,32531_1,32600,,stream,OR,
ORwr_S75,,Unspecified,,EPSG:4326,,,,,43.07091540604648,-124.41340677661105,,,POD,32537_1,32614,,stream,OR,
ORwr_S76,,Unspecified,,EPSG:4326,,,,,42.82221829570715,-124.4341265570885,,,POD,32558_1,32650,,spring,OR,
ORwr_S77,,Unspecified,,EPSG:4326,,,,,42.806957476842285,-124.46925167462787,,,POD,32558_2,32651,,spring,OR,
ORwr_S78,,Unspecified,,EPSG:4326,,,,,42.80537674478108,-124.4692199532513,,,POD,32558_3,32652,,spring,OR,
ORwr_S79,,Unspecified,,EPSG:4326,,,,,42.80638307033749,-124.47279025332931,,,POD,32558_4,32653,,spring,OR,
ORwr_S80,,Unspecified,,EPSG:4326,,,,,42.80777034011975,-124.4726191563258,,,POD,32558_5,32654,,reservoir,OR,
ORwr_S81,,Unspecified,,EPSG:4326,,,,,42.98353561205942,-124.42483310111443,,,POD,32711_1,32943,,stream,OR,
ORwr_S82,,Unspecified,,EPSG:4326,,,,,42.983335751728255,-124.42336730841569,,,POD,32711_2,32944,,stream,OR,
ORwr_S83,,Unspecified,,EPSG:4326,,,,,43.06081660330891,-124.40162056495706,,,POD,32768_1,33047,,stream,OR,
ORwr_S84,,Unspecified,,EPSG:4326,,,,,42.86746489890505,-124.51548014170311,,,POD,32801_1,33105,,winter runoff,OR,
ORwr_S85,,Unspecified,,EPSG:4326,,,,,42.866286751928584,-124.51423583315562,,,POD,32801_2,33106,,winter runoff,OR,
ORwr_S86,,Unspecified,,EPSG:4326,,,,,42.863532182093074,-124.51072432224714,,,POD,32801_3,33107,,winter runoff,OR,
ORwr_S87,,Unspecified,,EPSG:4326,,,,,42.863433457848664,-124.51503942785864,,,POD,32801_4,33108,,stream,OR,
ORwr_S88,,Unspecified,,EPSG:4326,,,,,42.86464059306776,-124.51442729833367,,,POD,32801_5,33109,,stream,OR,
ORwr_S89,,Unspecified,,EPSG:4326,,,,,42.97752316717593,-124.42277067015331,,,POD,32803_1,33113,,stream,OR,
ORwr_S90,,Unspecified,,EPSG:4326,,,,,42.97291811130898,-124.42107440782071,,,POD,32803_2,33114,,stream,OR,
ORwr_S91,,Unspecified,,EPSG:4326,,,,,42.97273677764722,-124.4207992117496,,,POD,32803_3,33115,,stream,OR,
ORwr_S92,,Unspecified,,EPSG:4326,,,,,42.97257605201272,-124.42053876174566,,,POD,32803_4,33116,,stream,OR,
ORwr_S93,,Unspecified,,EPSG:4326,,,,,42.97232939276077,-124.420175406553,,,POD,32803_5,33117,,stream,OR,
ORwr_S94,,Unspecified,,EPSG:4326,,,,,42.97003222397405,-124.41753139156133,,,POD,32803_6,33118,,stream,OR,
ORwr_S95,,Unspecified,,EPSG:4326,,,,,43.000268926488644,-124.42859497909456,,,POD,32811_1,33132,,stream,OR,
ORwr_S96,,Unspecified,,EPSG:4326,,,,,43.134256418820996,-124.3862198281883,,,POD,32849_1,33202,,stream,OR,
ORwr_S97,,Unspecified,,EPSG:4326,,,,,42.84946249484067,-124.51244177699834,,,POD,32985_1,33370,,winter runoff,OR,
ORwr_S98,,Unspecified,,EPSG:4326,,,,,42.846944017353415,-124.51406805305099,,,POD,32985_2,33371,,winter runoff,OR,
ORwr_S99,,Unspecified,,EPSG:4326,,,,,42.10355097762896,-121.1910374847277,,,POD,33194_1,33628,,stream,OR,
ORwr_S100,,Unspecified,,EPSG:4326,,,,,42.81943287825485,-124.47559171189688,,,POD,33301_1,33753,,winter runoff,OR,
ORwr_S101,,Unspecified,,EPSG:4326,,,,,42.81938164522149,-124.48056351310294,,,POD,33302_1,33754,,winter runoff,OR,
ORwr_S102,,Unspecified,,EPSG:4326,,,,,43.07284678485637,-124.41652486675618,,,POD,33435_1,33924,,winter runoff,OR,
ORwr_S103,,Unspecified,,EPSG:4326,,,,,43.07297071571702,-124.41817273590352,,,POD,33436_1,33925,,winter runoff,OR,
ORwr_S104,,Unspecified,,EPSG:4326,,,,,43.05385255525865,-124.4199709546936,,,POD,33575_1,34096,,stream,OR,
ORwr_S105,,Unspecified,,EPSG:4326,,,,,43.05469262298471,-124.42108382557724,,,POD,33576_1,34097,,stream,OR,
ORwr_S106,,Unspecified,,EPSG:4326,,,,,43.05112610167061,-124.42296426116665,,,POD,33576_2,34098,,stream,OR,
ORwr_S107,,Unspecified,,EPSG:4326,,,,,43.05117384488468,-124.42152669963494,,,POD,33576_3,34099,,stream,OR,
ORwr_S108,,Unspecified,,EPSG:4326,,,,,43.059288975669865,-124.41779467849946,,,POD,33576_4,34100,,winter runoff,OR,
ORwr_S109,,Unspecified,,EPSG:4326,,,,,43.04828098202903,-124.42199134271964,,,POD,33576_5,34101,,winter runoff,OR,
ORwr_S110,,Unspecified,,EPSG:4326,,,,,42.26022217159072,-122.85291820277901,,,POD,47404_1,39833,,reservoir,OR,
ORwr_S111,,Unspecified,,EPSG:4326,,,,,43.0666557087732,-124.40457026149058,,,POD,48347_1,41295,,reservoir,OR,
ORwr_S112,,Unspecified,,EPSG:4326,,,,,43.06817831502978,-124.40908451833471,,,POD,48347_2,41296,,reservoir,OR,
ORwr_S113,,Unspecified,,EPSG:4326,,,,,43.0700643134593,-124.40160897956,,,POD,48347_3,41297,,reservoir,OR,
ORwr_S114,,Unspecified,,EPSG:4326,,,,,43.06667366619815,-124.3996537698539,,,POD,48347_4,41298,,reservoir,OR,
ORwr_S115,,Unspecified,,EPSG:4326,,,,,43.06662381117443,-124.40377081532425,,,POD,48347_5,41299,,reservoir,OR,
ORwr_S116,,Unspecified,,EPSG:4326,,,,,43.136209212687874,-124.37661125858862,,,POD,48515_2,41578,,reservoir,OR,
ORwr_S117,,Unspecified,,EPSG:4326,,,,,43.06817831502978,-124.40908451833471,,,POD,48694_1,41854,,reservoir,OR,
ORwr_S118,,Unspecified,,EPSG:4326,,,,,43.06667366619815,-124.3996537698539,,,POD,48694_2,41855,,reservoir,OR,
ORwr_S119,,Unspecified,,EPSG:4326,,,,,43.0666557087732,-124.40457026149058,,,POD,48694_3,41856,,reservoir,OR,
ORwr_S120,,Unspecified,,EPSG:4326,,,,,43.06662290336364,-124.14900815000604,,,POD,49498_3,43109,,reservoir,OR,
ORwr_S121,,Unspecified,,EPSG:4326,,,,,43.10592777362828,-124.39361635494942,,,POD,49635_2,43392,,reservoir,OR,
ORwr_S122,,Unspecified,,EPSG:4326,,,,,43.00788358478165,-124.40967916562927,,,POD,49905_5,43838,,reservoir,OR,
ORwr_S123,,Unspecified,,EPSG:4326,,,,,43.00830192858951,-124.40656840274775,,,POD,49905_6,43839,,reservoir,OR,
ORwr_S124,,Unspecified,,EPSG:4326,,,,,43.00852255551511,-124.41479091218945,,,POD,49905_7,43840,,reservoir,OR,
ORwr_S125,,Unspecified,,EPSG:4326,,,,,43.07741005295222,-124.37443389505115,,,POD,49932_1,43902,,stream,OR,
ORwr_S126,,Unspecified,,EPSG:4326,,,,,43.073854124644434,-124.41764915074283,,,POD,50272_3,44501,,stream,OR,
ORwr_S127,,Unspecified,,EPSG:4326,,,,,43.08515912265247,-124.39459873108576,,,POD,50318_2,44574,,reservoir,OR,
ORwr_S128,,Unspecified,,EPSG:4326,,,,,43.073751892314,-124.42838968426365,,,POD,50536_1,44949,,stream,OR,
ORwr_S129,,Unspecified,,EPSG:4326,,,,,43.097437632366514,-124.40834010257352,,,POD,50559_1,44981,,reservoir,OR,
ORwr_S130,,Unspecified,,EPSG:4326,,,,,43.181085649238184,-124.34170176204874,,,POD,50560_2,44984,,stream,OR,
ORwr_S131,,Unspecified,,EPSG:4326,,,,,43.17997772524988,-124.34222107975603,,,POD,50560_3,44985,,stream,OR,
ORwr_S132,,Unspecified,,EPSG:4326,,,,,43.18349401986295,-124.34091948671825,,,POD,50560_4,44986,,stream,OR,
ORwr_S133,,Unspecified,,EPSG:4326,,,,,43.19402159344577,-124.36372742483638,,,POD,50562_1,44988,,reservoir,OR,
ORwr_S134,,Unspecified,,EPSG:4326,,,,,43.201167579002174,-124.36388747328577,,,POD,50562_2,44989,,reservoir,OR,
