WaterSourceUUID,Geometry,GNISFeatureNameCV,WaterQualityIndicatorCV,WaterSourceName,WaterSourceNativeID,WaterSourceTypeCV
ORwr_WS1,,,Fresh,A RESERVOIR,Unspecified,surface water
ORwr_WS2,,,Fresh,WOLF CREEK,Unspecified,storage
ORwr_WS3,,,Fresh,WARD CREEK,Unspecified,storage
ORwr_WS4,,,Fresh,MILLER GULCH,Unspecified,storage
ORwr_WS5,,,Fresh,FALL CREEK,Unspecified,storage
ORwr_WS6,,,Fresh,EMIGRANT CR/RESERVOIR 1,Unspecified,storage
ORwr_WS7,,,Fresh,EMIGRANT CR/RESERVOIR 2,Unspecified,storage
ORwr_WS8,,,Fresh,BASIN CR/RESERVOIR 3,Unspecified,storage
ORwr_WS9,,,Fresh,BASIN CR/RESERVOIR 4,Unspecified,storage
ORwr_WS10,,,Fresh,COARSE GOLD CR/RESERVOIR,Unspecified,storage
ORwr_WS11,,,Fresh,BUSHNELL CR/RESERVOIR,Unspecified,storage
ORwr_WS12,,,Fresh,CROOKED CREEK/RESERVOIR 1,Unspecified,storage
ORwr_WS13,,,Fresh,CROOKED CREEK/RESERVOIR 2,Unspecified,storage
ORwr_WS14,,,Fresh,NORTH FORK CROOKED CREEK,Unspecified,storage
ORwr_WS15,,,Fresh,UNNAMED STREAM/RESERVOIR 1,Unspecified,storage
ORwr_WS16,,,Fresh,UNNAMED STREAM/RESERVOIR 2,Unspecified,storage
ORwr_WS17,,,Fresh,MILL CREEK,Unspecified,storage
ORwr_WS18,,,Fresh,CUT CREEK,Unspecified,storage
ORwr_WS19,,,Fresh,SEEPAGE/EASTSIDE RESERVOIR,Unspecified,storage
ORwr_WS20,,,Fresh,SEEPAGE/WESTSIDE RESERVOIR,Unspecified,storage
ORwr_WS21,,,Fresh,ABES CREEK,Unspecified,storage
ORwr_WS22,,,Fresh,CROOKED CREEK/SUMP RESERVOIR 4,Unspecified,storage
ORwr_WS23,,,Fresh,CROOKED CREEK/RESERVOIR 5,Unspecified,storage
ORwr_WS24,,,Fresh,SIMPSON CREEK/RESERVOIR 1,Unspecified,storage
ORwr_WS25,,,Fresh,SPRING CREEK/RESERVOIR 2,Unspecified,storage
ORwr_WS26,,,Fresh,UNNAMED STREAM 1/RESERVOIR 1,Unspecified,storage
ORwr_WS27,,,Fresh,UNNAMED STREAM 1/RESERVOIR 2,Unspecified,storage
ORwr_WS28,,,Fresh,UNNAMED STREAM 3/RESERVOIR 3,Unspecified,storage
ORwr_WS29,,,Fresh,CROOKED CREEK/RESERVOIR 6,Unspecified,storage
ORwr_WS30,,,Fresh,CROOKED CREEK/RESERVOIR 7,Unspecified,storage
ORwr_WS31,,,Fresh,JOHNSON CREEK,Unspecified,storage
ORwr_WS32,,,Fresh,SIMPSON CREEK,Unspecified,storage
ORwr_WS33,,,Fresh,UNNAMED STREAM,Unspecified,storage
ORwr_WS34,,,Fresh,UNNAMED STREAM/RESERVOIR 3,Unspecified,storage
ORwr_WS35,,,Fresh,JOHNSON CREEK/RESERVOIR 2,Unspecified,storage
ORwr_WS36,,,Fresh,BULL CREEK/BULL CR 1,Unspecified,storage
ORwr_WS37,,,Fresh,BULL CREEK/BULL CR 2,Unspecified,storage
ORwr_WS38,,,Fresh,BULL CREEK/ESIDE REC,Unspecified,storage
ORwr_WS39,,,Fresh,BULL CREEK/SANDPIT REC,Unspecified,storage
ORwr_WS40,,,Fresh,CAMP CREEK/CAMP CR 2,Unspecified,storage
ORwr_WS41,,,Fresh,RUNOFF/WSIDE REC 1,Unspecified,storage
ORwr_WS42,,,Fresh,RUNOFF/WSIDE REC 2,Unspecified,storage
ORwr_WS43,,,Fresh,UNNAMED STREAM/JAY RESERVOIR 1,Unspecified,storage
