WaterSourceUUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry
OR_1,1,FORMOSA 1 ADIT                                    ,groundwater,Fresh,,
OR_2,2,SILVER BUTTE 1 ADIT                               ,groundwater,Fresh,,
OR_3,3,A WELL                                            ,groundwater,Fresh,,
OR_4,4,A WELL,groundwater,Fresh,,
OR_5,5,WELL 1                                            ,groundwater,Fresh,,
OR_6,6,WELL 2                                            ,groundwater,Fresh,,
OR_7,7,WELL 3                                            ,groundwater,Fresh,,
OR_8,8,WELL 4                                            ,groundwater,Fresh,,
OR_9,9,EAST FORK GRANDE RONDE RIVER                      ,surface water,Fresh,,
OR_10,10,LITTLE MEADOW CREEK                               ,surface water,Fresh,,
OR_11,11,NORTH FORK BRIDGE CREEK                           ,surface water,Fresh,,
OR_12,12,CAMPBELL GULCH                                    ,surface water,Fresh,,
OR_13,13,VINCENT CREEK                                     ,surface water,Fresh,,
OR_14,14,SUCKER CREEK                                      ,surface water,Fresh,,
OR_15,15,UNNAMED STREAM 1                                  ,surface water,Fresh,,
OR_16,16,UNNAMED STREAM 2                                  ,surface water,Fresh,,
OR_17,17,UNNAMED STREAM 3                                  ,surface water,Fresh,,
OR_18,18,SPRING 1                                          ,surface water,Fresh,,
OR_19,19,SPRING FED POND                                   ,surface water,Fresh,,
OR_20,20,UNNAMED STREAM                                    ,surface water,Fresh,,
OR_21,21,TOWN GULCH                                        ,surface water,Fresh,,
OR_22,22,CHANNEL CREEK                                     ,surface water,Fresh,,
OR_23,23,BLUE CANYON                                       ,surface water,Fresh,,
OR_24,24,STEVES FORK                                       ,surface water,Fresh,,
OR_25,25,TEXAS GULCH                                       ,surface water,Fresh,,
OR_26,26,RUSSELL CREEK                                     ,surface water,Fresh,,
OR_27,27,SNAILBACK CREEK                                   ,surface water,Fresh,,
OR_28,28,GRAVE CREEK                                       ,surface water,Fresh,,
OR_29,29,A RESERVOIR                                       ,surface water,Fresh,,
