SiteUUID,RegulatoryOverlayUUIDs,WaterSourceUUID,CoordinateAccuracy,CoordinateMethodCV,County,EPSGCodeCV,Geometry,GNISCodeCV,HUC12,HUC8,Latitude,Longitude,NHDNetworkStatusCV,NHDProductCV,PODorPOUSite,SiteName,SiteNativeID,SitePoint,SiteTypeCV,StateCV,USGSSiteID
SDwr_S1,,SDwr_WS1,Unspecified,Unspecified,MC,4326,,,,10160010,43.713840000000005,-97.6078,,,POD,Unspecified,WaDESD_S1,,Unspecified,SD,
SDwr_S2,,SDwr_WS2,Unspecified,Unspecified,LN,4326,,,,10170203,43.31191,-96.60393,,,POD,Unspecified,WaDESD_S2,,Unspecified,SD,
SDwr_S3,,SDwr_WS3,Unspecified,Unspecified,HK,4326,,,,10140102,44.03808,-101.67197,,,POD,Unspecified,WaDESD_S3,,Unspecified,SD,
SDwr_S4,,SDwr_WS4,Unspecified,Unspecified,CK,4326,,,,10170201,45.083009999999994,-97.6319,,,POD,Unspecified,WaDESD_S4,,Unspecified,SD,
SDwr_S5,,SDwr_WS5,Unspecified,Unspecified,MA,4326,,,,10170203,43.607040000000005,-96.63436,,,POD,Unspecified,WaDESD_S5,,Unspecified,SD,
SDwr_S6,,SDwr_WS6,Unspecified,Unspecified,BG,4326,,,,10170202,44.31901,-96.81691,,,POD,Unspecified,WaDESD_S6,,Unspecified,SD,
SDwr_S7,,SDwr_WS5,Unspecified,Unspecified,CD,4326,,,,10170201,44.94684,-97.17002,,,POD,Unspecified,WaDESD_S7,,Unspecified,SD,
SDwr_S8,,SDwr_WS7,Unspecified,Unspecified,LK,4326,,,,10170203,43.91919,-96.96145,,,POD,Unspecified,WaDESD_S8,,Unspecified,SD,
SDwr_S9,,SDwr_WS8,Unspecified,Unspecified,HM,4326,,,,10170202,44.59635,-97.02485,,,POD,Unspecified,WaDESD_S9,,Unspecified,SD,
SDwr_S10,,SDwr_WS5,Unspecified,Unspecified,HM,4326,,,,10170202,44.648509999999995,-97.00182,,,POD,Unspecified,WaDESD_S10,,Unspecified,SD,
SDwr_S11,,SDwr_WS9,Unspecified,Unspecified,MA,4326,,,,10170203,43.632690000000004,-96.56461,,,POD,Unspecified,WaDESD_S11,,Unspecified,SD,
SDwr_S12,,SDwr_WS9,Unspecified,Unspecified,MD,4326,,,,10120202,44.631879999999995,-102.77099,,,POD,Unspecified,WaDESD_S12,,Unspecified,SD,
SDwr_S13,,SDwr_WS10,Unspecified,Unspecified,FR,4326,,,,10120106,43.13927,-103.85078,,,POD,Unspecified,WaDESD_S13,,Unspecified,SD,
SDwr_S14,,SDwr_WS9,Unspecified,Unspecified,MD,4326,,,,10120111,44.31307,-103.20981,,,POD,Unspecified,WaDESD_S14,,Unspecified,SD,
SDwr_S15,,SDwr_WS9,Unspecified,Unspecified,BU,4326,,,,10130304,45.09206,-103.26547,,,POD,Unspecified,WaDESD_S15,,Unspecified,SD,
SDwr_S16,,SDwr_WS11,Unspecified,Unspecified,FR,4326,,,,10120106,43.26188,-104.03243,,,POD,Unspecified,WaDESD_S16,,Unspecified,SD,
SDwr_S17,,SDwr_WS9,Unspecified,Unspecified,FR,4326,,,,10120108,43.002109999999995,-103.61922,,,POD,Unspecified,WaDESD_S17,,Unspecified,SD,
SDwr_S18,,SDwr_WS12,Unspecified,Unspecified,FR,4326,,,,10120106,43.02657,-103.32068000000001,,,POD,Unspecified,WaDESD_S18,,Unspecified,SD,
SDwr_S19,,SDwr_WS13,Unspecified,Unspecified,FR,4326,,,,10120108,43.05935,-103.60413,,,POD,Unspecified,WaDESD_S19,,Unspecified,SD,
SDwr_S20,,SDwr_WS9,Unspecified,Unspecified,MD,4326,,,,10120111,44.24023,-102.98313,,,POD,Unspecified,WaDESD_S20,,Unspecified,SD,
SDwr_S21,,SDwr_WS9,Unspecified,Unspecified,MD,4326,,,,10120111,44.31619,-103.2291,,,POD,Unspecified,WaDESD_S21,,Unspecified,SD,
SDwr_S22,,SDwr_WS9,Unspecified,Unspecified,HR,4326,,,,10110201,45.65931,-103.80552,,,POD,Unspecified,WaDESD_S22,,Unspecified,SD,
SDwr_S23,,SDwr_WS9,Unspecified,Unspecified,BU,4326,,,,10120202,45.011759999999995,-104.00336999999999,,,POD,Unspecified,WaDESD_S23,,Unspecified,SD,
SDwr_S24,,SDwr_WS9,Unspecified,Unspecified,FR,4326,,,,10120106,43.25542,-103.88505,,,POD,Unspecified,WaDESD_S24,,Unspecified,SD,
SDwr_S25,,SDwr_WS9,Unspecified,Unspecified,CU,4326,,,,10120109,43.523720000000004,-103.15413000000001,,,POD,Unspecified,WaDESD_S25,,Unspecified,SD,
SDwr_S26,,SDwr_WS9,Unspecified,Unspecified,HR,4326,,,,10110201,45.72436,-103.81993,,,POD,Unspecified,WaDESD_S26,,Unspecified,SD,
SDwr_S27,,SDwr_WS14,Unspecified,Unspecified,FR,4326,,,,10120106,43.19392,-104.04177,,,POD,Unspecified,WaDESD_S27,,Unspecified,SD,
SDwr_S28,,SDwr_WS9,Unspecified,Unspecified,FR,4326,,,,10120108,43.02697,-103.62979,,,POD,Unspecified,WaDESD_S28,,Unspecified,SD,
SDwr_S29,,SDwr_WS15,Unspecified,Unspecified,FR,4326,,,,10120108,43.02316,-103.65431,,,POD,Unspecified,WaDESD_S29,,Unspecified,SD,
SDwr_S30,,SDwr_WS9,Unspecified,Unspecified,CU,4326,,,,10120107,43.5348,-104.02323,,,POD,Unspecified,WaDESD_S30,,Unspecified,SD,
SDwr_S31,,SDwr_WS16,Unspecified,Unspecified,FR,4326,,,,10120106,43.25945,-103.91954,,,POD,Unspecified,WaDESD_S31,,Unspecified,SD,
SDwr_S32,,SDwr_WS17,Unspecified,Unspecified,FR,4326,,,,10120108,43.168279999999996,-103.72809000000001,,,POD,Unspecified,WaDESD_S32,,Unspecified,SD,
SDwr_S33,,SDwr_WS18,Unspecified,Unspecified,FR,4326,,,,10120106,43.320170000000005,-103.78361,,,POD,Unspecified,WaDESD_S33,,Unspecified,SD,
SDwr_S34,,SDwr_WS9,Unspecified,Unspecified,FR,4326,,,,10120108,43.18639,-103.73356,,,POD,Unspecified,WaDESD_S34,,Unspecified,SD,
SDwr_S35,,SDwr_WS9,Unspecified,Unspecified,FR,4326,,,,10120106,43.42994,-103.95821,,,POD,Unspecified,WaDESD_S35,,Unspecified,SD,
SDwr_S36,,SDwr_WS11,Unspecified,Unspecified,HR,4326,,,,10130302,45.61916,-103.32663000000001,,,POD,Unspecified,WaDESD_S36,,Unspecified,SD,
SDwr_S37,,SDwr_WS11,Unspecified,Unspecified,FR,4326,,,,10120108,43.1828,-103.78755,,,POD,Unspecified,WaDESD_S37,,Unspecified,SD,
SDwr_S38,,SDwr_WS9,Unspecified,Unspecified,MD,4326,,,,10120202,44.573609999999995,-102.59501,,,POD,Unspecified,WaDESD_S38,,Unspecified,SD,
SDwr_S39,,SDwr_WS9,Unspecified,Unspecified,FR,4326,,,,10120106,43.273709999999994,-103.86033,,,POD,Unspecified,WaDESD_S39,,Unspecified,SD,
SDwr_S40,,SDwr_WS19,Unspecified,Unspecified,BU,4326,,,,10130304,45.12438,-103.27656999999999,,,POD,Unspecified,WaDESD_S40,,Unspecified,SD,
SDwr_S41,,SDwr_WS9,Unspecified,Unspecified,FR,4326,,,,10120108,43.00273,-103.60375,,,POD,Unspecified,WaDESD_S41,,Unspecified,SD,
SDwr_S42,,SDwr_WS20,Unspecified,Unspecified,FR,4326,,,,10120106,43.21853,-103.96779000000001,,,POD,Unspecified,WaDESD_S42,,Unspecified,SD,
SDwr_S43,,SDwr_WS9,Unspecified,Unspecified,FR,4326,,,,10120106,43.39249,-103.89311,,,POD,Unspecified,WaDESD_S43,,Unspecified,SD,
SDwr_S44,,SDwr_WS9,Unspecified,Unspecified,CU,4326,,,,10120109,43.511790000000005,-103.41405999999999,,,POD,Unspecified,WaDESD_S44,,Unspecified,SD,
SDwr_S45,,SDwr_WS9,Unspecified,Unspecified,FR,4326,,,,10120108,43.20407,-103.54549,,,POD,Unspecified,WaDESD_S45,,Unspecified,SD,
SDwr_S46,,SDwr_WS18,Unspecified,Unspecified,FR,4326,,,,10120106,43.31995,-103.78886,,,POD,Unspecified,WaDESD_S46,,Unspecified,SD,
SDwr_S47,,SDwr_WS9,Unspecified,Unspecified,PE,4326,,,,10120109,43.85988,-102.5993,,,POD,Unspecified,WaDESD_S47,,Unspecified,SD,
SDwr_S48,,SDwr_WS9,Unspecified,Unspecified,HR,4326,,,,10110201,45.32728,-103.92385,,,POD,Unspecified,WaDESD_S48,,Unspecified,SD,
SDwr_S49,,SDwr_WS9,Unspecified,Unspecified,BU,4326,,,,10130304,45.073159999999994,-103.17412,,,POD,Unspecified,WaDESD_S49,,Unspecified,SD,
SDwr_S50,,SDwr_WS9,Unspecified,Unspecified,HR,4326,,,,10130305,45.3295,-103.19973,,,POD,Unspecified,WaDESD_S50,,Unspecified,SD,
SDwr_S51,,SDwr_WS9,Unspecified,Unspecified,BU,4326,,,,10130304,45.13524,-103.31168000000001,,,POD,Unspecified,WaDESD_S51,,Unspecified,SD,
SDwr_S52,,SDwr_WS11,Unspecified,Unspecified,FR,4326,,,,10140201,43.21457,-103.06862,,,POD,Unspecified,WaDESD_S52,,Unspecified,SD,
SDwr_S53,,SDwr_WS9,Unspecified,Unspecified,FR,4326,,,,10120106,43.21873,-103.74707,,,POD,Unspecified,WaDESD_S53,,Unspecified,SD,
SDwr_S54,,SDwr_WS9,Unspecified,Unspecified,FR,4326,,,,10140201,43.163579999999996,-103.0683,,,POD,Unspecified,WaDESD_S54,,Unspecified,SD,
SDwr_S55,,SDwr_WS9,Unspecified,Unspecified,HR,4326,,,,10110201,45.391529999999996,-103.96882,,,POD,Unspecified,WaDESD_S55,,Unspecified,SD,
SDwr_S56,,SDwr_WS9,Unspecified,Unspecified,FR,4326,,,,10120106,43.32038,-103.79819,,,POD,Unspecified,WaDESD_S56,,Unspecified,SD,
SDwr_S57,,SDwr_WS11,Unspecified,Unspecified,FR,4326,,,,10120106,43.24089,-103.68414,,,POD,Unspecified,WaDESD_S57,,Unspecified,SD,
SDwr_S58,,SDwr_WS17,Unspecified,Unspecified,FR,4326,,,,10120108,43.15788,-103.72325,,,POD,Unspecified,WaDESD_S58,,Unspecified,SD,
SDwr_S59,,SDwr_WS21,Unspecified,Unspecified,SP,4326,,,,10160006,44.898920000000004,-98.37518,,,POD,Unspecified,WaDESD_S59,,Unspecified,SD,
SDwr_S60,,SDwr_WS22,Unspecified,Unspecified,CU,4326,,,,10120109,43.78282,-102.81151,,,POD,Unspecified,WaDESD_S60,,Unspecified,SD,
SDwr_S61,,SDwr_WS23,Unspecified,Unspecified,FR,4326,,,,10120109,43.453540000000004,-103.48835,,,POD,Unspecified,WaDESD_S61,,Unspecified,SD,
SDwr_S62,,SDwr_WS23,Unspecified,Unspecified,FR,4326,,,,10120109,43.45172,-103.48563,,,POD,Unspecified,WaDESD_S62,,Unspecified,SD,
SDwr_S63,,SDwr_WS24,Unspecified,Unspecified,HU,4326,,,,10140101,44.14089,-99.80939000000001,,,POD,Unspecified,WaDESD_S63,,Unspecified,SD,
SDwr_S64,,SDwr_WS25,Unspecified,Unspecified,PK,4326,,,,10130302,45.68075,-102.82466,,,POD,Unspecified,WaDESD_S64,,Unspecified,SD,
SDwr_S65,,SDwr_WS26,Unspecified,Unspecified,CN,4326,,,,10130303,45.7098,-101.08221999999999,,,POD,Unspecified,WaDESD_S65,,Unspecified,SD,
SDwr_S66,,SDwr_WS27,Unspecified,Unspecified,BT,4326,,,,10140203,43.16961,-101.24956999999999,,,POD,Unspecified,WaDESD_S66,,Unspecified,SD,
SDwr_S67,,SDwr_WS24,Unspecified,Unspecified,HU,4326,,,,10140101,44.1183,-99.69399,,,POD,Unspecified,WaDESD_S67,,Unspecified,SD,
SDwr_S68,,SDwr_WS28,Unspecified,Unspecified,CU,4326,,,,10120109,43.69144,-103.32418,,,POD,Unspecified,WaDESD_S68,,Unspecified,SD,
SDwr_S69,,SDwr_WS27,Unspecified,Unspecified,BT,4326,,,,10140203,43.16203,-101.23473,,,POD,Unspecified,WaDESD_S69,,Unspecified,SD,
SDwr_S70,,SDwr_WS24,Unspecified,Unspecified,HU,4326,,,,10140101,44.13745,-99.83476999999999,,,POD,Unspecified,WaDESD_S70,,Unspecified,SD,
SDwr_S71,,SDwr_WS21,Unspecified,Unspecified,BN,4326,,,,10160003,45.55437,-98.27018000000001,,,POD,Unspecified,WaDESD_S71,,Unspecified,SD,
SDwr_S72,,SDwr_WS27,Unspecified,Unspecified,LA,4326,,,,10120203,44.48525,-103.85202,,,POD,Unspecified,WaDESD_S72,,Unspecified,SD,
SDwr_S73,,SDwr_WS27,Unspecified,Unspecified,BT,4326,,,,10140203,43.12093,-101.61814,,,POD,Unspecified,WaDESD_S73,,Unspecified,SD,
SDwr_S74,,SDwr_WS27,Unspecified,Unspecified,LA,4326,,,,10120203,44.560140000000004,-103.87246999999999,,,POD,Unspecified,WaDESD_S74,,Unspecified,SD,
SDwr_S75,,SDwr_WS29,Unspecified,Unspecified,JA,4326,,,,10140202,43.695440000000005,-101.4685,,,POD,Unspecified,WaDESD_S75,,Unspecified,SD,
SDwr_S76,,SDwr_WS27,Unspecified,Unspecified,CL,4326,,,,10170101,42.75164,-96.85848,,,POD,Unspecified,WaDESD_S76,,Unspecified,SD,
SDwr_S77,,SDwr_WS27,Unspecified,Unspecified,CL,4326,,,,10170102,42.82445,-97.15824,,,POD,Unspecified,WaDESD_S77,,Unspecified,SD,
SDwr_S78,,SDwr_WS30,Unspecified,Unspecified,GY,4326,,,,10150001,43.02988,-99.10226999999999,,,POD,Unspecified,WaDESD_S78,,Unspecified,SD,
SDwr_S79,,SDwr_WS31,Unspecified,Unspecified,LY,4326,,,,10140104,43.92883,-99.83315,,,POD,Unspecified,WaDESD_S79,,Unspecified,SD,
SDwr_S80,,SDwr_WS27,Unspecified,Unspecified,BU,4326,,,,10120203,44.58822,-103.96970999999999,,,POD,Unspecified,WaDESD_S80,,Unspecified,SD,
SDwr_S81,,SDwr_WS27,Unspecified,Unspecified,MC,4326,,,,10170102,43.70118,-97.18133,,,POD,Unspecified,WaDESD_S81,,Unspecified,SD,
SDwr_S82,,SDwr_WS32,Unspecified,Unspecified,LA,4326,,,,10120203,44.576879999999996,-103.96344,,,POD,Unspecified,WaDESD_S82,,Unspecified,SD,
SDwr_S83,,SDwr_WS33,Unspecified,Unspecified,MT,4326,,,,10140204,43.715340000000005,-100.30072,,,POD,Unspecified,WaDESD_S83,,Unspecified,SD,
SDwr_S84,,SDwr_WS27,Unspecified,Unspecified,BD,4326,,,,10160006,44.27447,-98.21635,,,POD,Unspecified,WaDESD_S84,,Unspecified,SD,
SDwr_S85,,SDwr_WS9,Unspecified,Unspecified,BU,4326,,,,10120202,44.89813,-103.65433,,,POD,Unspecified,WaDESD_S85,,Unspecified,SD,
SDwr_S86,,SDwr_WS3,Unspecified,Unspecified,HK,4326,,,,10140102,44.07618,-101.09964000000001,,,POD,Unspecified,WaDESD_S86,,Unspecified,SD,
SDwr_S87,,SDwr_WS34,Unspecified,Unspecified,FR,4326,,,,10120106,43.12016,-103.2265,,,POD,Unspecified,WaDESD_S87,,Unspecified,SD,
SDwr_S88,,SDwr_WS24,Unspecified,Unspecified,CN,4326,,,,10130102,45.60087,-100.45597,,,POD,Unspecified,WaDESD_S88,,Unspecified,SD,
SDwr_S89,,SDwr_WS35,Unspecified,Unspecified,GT,4326,,,,7020001,45.29218,-96.49625,,,POD,Unspecified,WaDESD_S89,,Unspecified,SD,
SDwr_S90,,SDwr_WS33,Unspecified,Unspecified,LY,4326,,,,10140204,43.70117,-100.2799,,,POD,Unspecified,WaDESD_S90,,Unspecified,SD,
SDwr_S91,,SDwr_WS36,Unspecified,Unspecified,BU,4326,,,,10120202,44.97671,-103.75992,,,POD,Unspecified,WaDESD_S91,,Unspecified,SD,
SDwr_S92,,SDwr_WS37,Unspecified,Unspecified,TR,4326,,,,10150006,43.02603,-99.70906,,,POD,Unspecified,WaDESD_S92,,Unspecified,SD,
SDwr_S93,,SDwr_WS27,Unspecified,Unspecified,DA,4326,,,,10170201,45.1681,-97.65033000000001,,,POD,Unspecified,WaDESD_S93,,Unspecified,SD,
SDwr_S94,,SDwr_WS38,Unspecified,Unspecified,FR,4326,,,,10120106,43.333909999999996,-103.41396999999999,,,POD,Unspecified,WaDESD_S94,,Unspecified,SD,
SDwr_S95,,SDwr_WS39,Unspecified,Unspecified,CK,4326,,,,10170201,45.150079999999996,-97.65004,,,POD,Unspecified,WaDESD_S95,,Unspecified,SD,
SDwr_S96,,SDwr_WS24,Unspecified,Unspecified,LY,4326,,,,10140101,43.84109,-99.33756,,,POD,Unspecified,WaDESD_S96,,Unspecified,SD,
SDwr_S97,,SDwr_WS27,Unspecified,Unspecified,BG,4326,,,,10170202,44.42416,-96.90175,,,POD,Unspecified,WaDESD_S97,,Unspecified,SD,
SDwr_S98,,SDwr_WS27,Unspecified,Unspecified,MD,4326,,,,10120202,44.36388,-103.46159,,,POD,Unspecified,WaDESD_S98,,Unspecified,SD,
SDwr_S99,,SDwr_WS40,Unspecified,Unspecified,PE,4326,,,,10120110,43.94624,-102.86075,,,POD,Unspecified,WaDESD_S99,,Unspecified,SD,
SDwr_S100,,SDwr_WS41,Unspecified,Unspecified,FR,4326,,,,10120108,43.153909999999996,-103.60504,,,POD,Unspecified,WaDESD_S100,,Unspecified,SD,
SDwr_S101,,SDwr_WS27,Unspecified,Unspecified,UN,4326,,,,10170101,42.51917,-96.55833,,,POD,Unspecified,WaDESD_S101,,Unspecified,SD,
SDwr_S102,,SDwr_WS42,Unspecified,Unspecified,HR,4326,,,,10130302,45.8434,-103.72612,,,POD,Unspecified,WaDESD_S102,,Unspecified,SD,
SDwr_S103,,SDwr_WS43,Unspecified,Unspecified,FR,4326,,,,10120108,43.0025,-103.82942,,,POD,Unspecified,WaDESD_S103,,Unspecified,SD,
SDwr_S104,,SDwr_WS44,Unspecified,Unspecified,MD,4326,,,,10120111,44.27304,-103.41467,,,POD,Unspecified,WaDESD_S104,,Unspecified,SD,
SDwr_S105,,SDwr_WS24,Unspecified,Unspecified,YA,4326,,,,10170101,42.82443,-97.21121,,,POD,Unspecified,WaDESD_S105,,Unspecified,SD,
